* Measurement data measured by REW V5.20.5
* Source: ¸¶ÀÌÅ©(THX Onyx USB Amplifie, MICROPHONE (¸¶½º), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -28.0 dBFS with no timing reference
* Dated: 2022. 4. 18 ¿ÀÈÄ 7:52:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sange1+4_Unknowntips_L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.122	168.2462
20.600000	87.117	168.2146
20.900000	87.104	168.1552
21.200001	87.086	168.0883
21.400000	87.072	168.0335
21.799999	87.037	167.8918
22.000000	87.017	167.8041
22.400000	86.974	167.6013
22.700001	86.946	167.4296
23.000000	86.927	167.2400
23.299999	86.912	167.0281
23.600000	86.899	166.7921
24.000000	86.884	166.4448
24.299999	86.877	166.1717
24.700001	86.869	165.8108
25.000000	86.865	165.5543
25.400000	86.864	165.2359
25.799999	86.871	164.9373
26.200001	86.884	164.6491
26.500000	86.893	164.4396
26.900000	86.902	164.1764
27.200001	86.904	163.9967
27.600000	86.901	163.7824
28.000000	86.892	163.5896
28.500000	86.870	163.3654
29.000000	86.838	163.1604
29.500000	86.804	162.9858
30.000000	86.770	162.8278
30.400000	86.745	162.6809
30.700001	86.730	162.5426
31.100000	86.713	162.3164
31.500000	86.696	162.0581
32.000000	86.668	161.7320
32.500000	86.644	161.4326
33.000000	86.629	161.1509
33.500000	86.619	160.8610
34.000000	86.610	160.5559
34.500000	86.601	160.2511
35.000000	86.594	159.9611
35.500000	86.589	159.6884
36.000000	86.583	159.4302
36.500000	86.573	159.1866
37.000000	86.558	158.9587
37.500000	86.538	158.7458
38.200001	86.508	158.4702
38.700001	86.493	158.2840
39.500000	86.464	157.9704
40.000000	86.439	157.7489
40.599998	86.402	157.4634
41.200001	86.357	157.1717
41.799999	86.312	156.8725
42.500000	86.266	156.5115
43.099998	86.238	156.2173
43.700001	86.221	155.9577
44.400002	86.215	155.6768
45.000000	86.213	155.4230
45.500000	86.208	155.2020
46.200001	86.194	154.9023
46.799999	86.176	154.6657
47.500000	86.155	154.3998
48.200001	86.135	154.1281
48.700001	86.117	153.9292
49.400002	86.080	153.6461
50.000000	86.040	153.3975
50.799999	85.981	153.0562
51.500000	85.930	152.7536
52.200001	85.885	152.4536
53.000000	85.850	152.1201
53.799999	85.829	151.8022
54.500000	85.814	151.5353
55.200001	85.801	151.2741
56.000000	85.784	150.9822
57.000000	85.753	150.6304
58.000000	85.705	150.2878
59.000000	85.641	149.9484
60.000000	85.580	149.5975
60.799999	85.536	149.3003
61.500000	85.502	149.0387
62.200001	85.470	148.7864
63.000000	85.438	148.5080
64.000000	85.406	148.1639
65.000000	85.384	147.8205
66.000000	85.365	147.4810
67.000000	85.340	147.1517
68.000000	85.305	146.8270
69.000000	85.253	146.5032
70.000000	85.190	146.1858
71.000000	85.129	145.8720
72.000000	85.074	145.5600
73.000000	85.027	145.2515
74.000000	84.989	144.9464
75.000000	84.961	144.6457
76.199997	84.931	144.2944
77.500000	84.892	143.9192
78.800003	84.839	143.5410
80.000000	84.776	143.1983
81.199997	84.704	142.8624
82.500000	84.630	142.5030
83.800003	84.579	142.1492
85.000000	84.546	141.8272
86.199997	84.513	141.5108
87.500000	84.466	141.1713
88.500000	84.422	140.9132
90.000000	84.343	140.5316
91.199997	84.276	140.2321
92.500000	84.209	139.9141
93.800003	84.154	139.6002
95.000000	84.114	139.3154
96.199997	84.077	139.0340
97.500000	84.031	138.7331
98.800003	83.971	138.4409
100.000000	83.904	138.1802
101.500000	83.816	137.8641
103.000000	83.736	137.5628
104.400002	83.674	137.2964
106.000000	83.608	137.0179
107.500000	83.539	136.7937
109.000000	83.455	136.6158
110.599998	83.353	136.4979
112.000000	83.264	136.4725
113.800003	83.176	136.5639
115.000000	83.142	136.7008
117.199997	83.128	137.0031
118.000000	83.134	137.0778
