* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 15 오후 3:34:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.729	-148.5373
20.600000	84.746	-148.7144
20.900000	84.779	-149.0354
21.200001	84.804	-149.3553
21.400000	84.817	-149.5721
21.799999	84.832	-150.0302
22.000000	84.834	-150.2743
22.400000	84.834	-150.7822
22.700001	84.834	-151.1728
23.000000	84.837	-151.5659
23.299999	84.840	-151.9532
23.600000	84.840	-152.3272
24.000000	84.842	-152.7971
24.299999	84.849	-153.1286
24.700001	84.866	-153.5528
25.000000	84.882	-153.8666
25.400000	84.907	-154.2846
25.799999	84.939	-154.6972
26.200001	84.976	-155.0971
26.500000	85.006	-155.3914
26.900000	85.044	-155.7885
27.200001	85.069	-156.0984
27.600000	85.094	-156.5260
28.000000	85.106	-156.9438
28.500000	85.103	-157.3944
29.000000	85.094	-157.7364
29.500000	85.096	-158.0142
30.000000	85.104	-158.3075
30.400000	85.110	-158.5824
30.700001	85.116	-158.8097
31.100000	85.124	-159.1253
31.500000	85.129	-159.4361
32.000000	85.131	-159.7888
32.500000	85.136	-160.0797
33.000000	85.151	-160.3186
33.500000	85.174	-160.5551
34.000000	85.202	-160.8443
34.500000	85.225	-161.1875
35.000000	85.240	-161.5344
35.500000	85.251	-161.8386
36.000000	85.262	-162.1058
36.500000	85.275	-162.3688
37.000000	85.283	-162.6404
37.500000	85.286	-162.9059
38.200001	85.292	-163.2491
38.700001	85.306	-163.4855
39.500000	85.326	-163.8747
40.000000	85.333	-164.1228
40.599998	85.334	-164.4057
41.200001	85.331	-164.6404
41.799999	85.336	-164.8446
42.500000	85.364	-165.1649
43.099998	85.388	-165.5579
43.700001	85.399	-165.9383
44.400002	85.404	-166.2107
45.000000	85.418	-166.3410
45.500000	85.435	-166.4674
46.200001	85.451	-166.6945
46.799999	85.455	-166.8757
47.500000	85.460	-167.0385
48.200001	85.473	-167.1900
48.700001	85.483	-167.3153
49.400002	85.490	-167.5305
50.000000	85.483	-167.7432
50.799999	85.464	-168.0145
51.500000	85.447	-168.2161
52.200001	85.439	-168.4055
53.000000	85.444	-168.6101
53.799999	85.463	-168.7916
54.500000	85.487	-168.9673
55.200001	85.510	-169.1879
56.000000	85.526	-169.4584
57.000000	85.530	-169.7231
58.000000	85.528	-169.9263
59.000000	85.519	-170.1658
60.000000	85.509	-170.3918
60.799999	85.513	-170.5576
61.500000	85.522	-170.7374
62.200001	85.525	-170.9239
63.000000	85.524	-171.0596
64.000000	85.542	-171.1474
65.000000	85.581	-171.3425
66.000000	85.609	-171.6150
67.000000	85.626	-171.8525
68.000000	85.634	-172.0575
69.000000	85.632	-172.2183
70.000000	85.630	-172.3936
71.000000	85.626	-172.6100
72.000000	85.620	-172.8123
73.000000	85.612	-172.9558
74.000000	85.616	-173.0136
75.000000	85.642	-173.0751
76.199997	85.685	-173.2561
77.500000	85.717	-173.5454
78.800003	85.728	-173.8202
80.000000	85.727	-174.0460
81.199997	85.712	-174.2474
82.500000	85.697	-174.3732
83.800003	85.711	-174.4589
85.000000	85.743	-174.5762
86.199997	85.773	-174.7441
87.500000	85.789	-174.9335
88.500000	85.796	-175.0655
90.000000	85.793	-175.2984
91.199997	85.777	-175.4397
92.500000	85.771	-175.5572
93.800003	85.779	-175.7092
95.000000	85.795	-175.8692
96.199997	85.814	-176.0226
97.500000	85.834	-176.1658
98.800003	85.848	-176.3113
100.000000	85.849	-176.4585
101.500000	85.839	-176.6073
103.000000	85.838	-176.7230
104.400002	85.851	-176.8551
106.000000	85.875	-177.0463
107.500000	85.897	-177.2622
109.000000	85.908	-177.5237
110.599998	85.902	-177.7446
112.000000	85.899	-177.8397
113.800003	85.915	-177.9485
115.000000	85.931	-178.0348
117.199997	85.954	-178.2606
118.000000	85.952	-178.3715
120.599998	85.930	-178.5955
122.000000	85.941	-178.7374
124.099998	85.969	-179.0307
125.000000	85.983	-179.1288
126.500000	86.004	-179.2468
128.000000	86.019	-179.3284
131.500000	86.020	-179.5323
132.000000	86.021	-179.5722
134.000000	86.039	-179.7905
136.000000	86.065	179.9586
138.000000	86.086	179.7275
140.000000	86.090	179.5301
143.000000	86.102	179.2484
145.000000	86.123	179.0508
147.500000	86.143	178.8061
150.000000	86.142	178.5878
152.500000	86.148	178.3483
155.000000	86.171	178.0613
157.500000	86.194	177.8127
160.000000	86.200	177.5634
162.500000	86.201	177.3111
165.000000	86.224	177.0893
167.500000	86.259	176.8763
170.000000	86.272	176.6706
172.500000	86.267	176.4695
175.000000	86.282	176.2171
177.500000	86.307	175.9174
180.000000	86.311	175.6547
182.500000	86.288	175.4650
185.000000	86.263	175.2784
187.500000	86.238	175.0628
190.000000	86.218	174.8657
192.500000	86.214	174.6507
195.000000	86.232	174.3949
197.500000	86.256	174.1270
200.000000	86.269	173.9186
203.000000	86.280	173.6652
206.000000	86.293	173.3518
209.000000	86.301	173.0515
212.000000	86.301	172.7981
214.000000	86.304	172.6497
218.000000	86.314	172.2985
220.000000	86.310	172.0899
224.000000	86.294	171.7332
227.000000	86.300	171.4939
230.000000	86.304	171.2192
233.000000	86.298	170.9557
236.000000	86.293	170.6934
240.000000	86.289	170.3237
243.000000	86.289	170.0271
247.000000	86.294	169.6566
250.000000	86.290	169.4104
254.000000	86.272	169.0802
258.000000	86.255	168.7047
262.000000	86.241	168.3253
265.000000	86.232	168.1006
269.000000	86.223	167.8253
272.000000	86.214	167.6130
276.000000	86.197	167.3030
280.000000	86.176	166.9638
