* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 12:05:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.149	39.2312
20.600000	69.176	38.9696
20.900000	69.230	38.4835
21.200001	69.280	37.9643
21.400000	69.307	37.5916
21.799999	69.343	36.7900
22.000000	69.351	36.3790
22.400000	69.354	35.6001
22.700001	69.353	35.0707
23.000000	69.358	34.5652
23.299999	69.370	34.0420
23.600000	69.389	33.4718
24.000000	69.417	32.6225
24.299999	69.435	31.9398
24.700001	69.453	31.0216
25.000000	69.463	30.3617
25.400000	69.476	29.5422
25.799999	69.494	28.7881
26.200001	69.518	28.0856
26.500000	69.539	27.5857
26.900000	69.571	26.9442
27.200001	69.597	26.4679
27.600000	69.633	25.8157
28.000000	69.664	25.1294
28.500000	69.687	24.2604
29.000000	69.690	23.4832
29.500000	69.688	22.8550
30.000000	69.701	22.2975
30.400000	69.721	21.8085
30.700001	69.735	21.3931
31.100000	69.747	20.7983
31.500000	69.750	20.2079
32.000000	69.747	19.5319
32.500000	69.752	18.9002
33.000000	69.766	18.2448
33.500000	69.782	17.5562
34.000000	69.796	16.8808
34.500000	69.812	16.2410
35.000000	69.832	15.6105
35.500000	69.852	14.9662
36.000000	69.868	14.3230
36.500000	69.879	13.7054
37.000000	69.885	13.1262
37.500000	69.886	12.6021
38.200001	69.890	11.9876
38.700001	69.905	11.5750
39.500000	69.942	10.7038
40.000000	69.944	10.0335
40.599998	69.917	9.2960
41.200001	69.883	8.7665
41.799999	69.869	8.3552
42.500000	69.878	7.8211
43.099998	69.892	7.2704
43.700001	69.900	6.6786
44.400002	69.901	6.0008
45.000000	69.898	5.4777
45.500000	69.900	5.0801
46.200001	69.913	4.5146
46.799999	69.924	3.9819
47.500000	69.928	3.3559
48.200001	69.928	2.7868
48.700001	69.931	2.4056
49.400002	69.935	1.8714
50.000000	69.935	1.4150
50.799999	69.930	0.8576
51.500000	69.929	0.4276
52.200001	69.938	-0.0345
53.000000	69.940	-0.7006
53.799999	69.909	-1.3557
54.500000	69.877	-1.7328
55.200001	69.877	-2.0546
56.000000	69.898	-2.6605
57.000000	69.887	-3.5790
58.000000	69.879	-4.2479
59.000000	69.905	-4.9986
60.000000	69.913	-5.8230
60.799999	69.920	-6.4022
61.500000	69.925	-6.9350
62.200001	69.912	-7.4633
63.000000	69.877	-7.8619
64.000000	69.866	-8.0465
65.000000	69.908	-8.4921
66.000000	69.908	-9.3603
67.000000	69.844	-10.0342
68.000000	69.801	-10.3546
69.000000	69.809	-10.7408
70.000000	69.821	-11.3714
71.000000	69.807	-12.0191
72.000000	69.787	-12.4891
73.000000	69.782	-12.8929
74.000000	69.778	-13.3438
75.000000	69.764	-13.7858
76.199997	69.756	-14.3220
77.500000	69.751	-15.0958
78.800003	69.734	-16.0025
80.000000	69.699	-16.8417
81.199997	69.651	-17.3926
82.500000	69.652	-17.6537
83.800003	69.699	-18.1630
85.000000	69.714	-18.8642
86.199997	69.693	-19.6272
87.500000	69.639	-20.3281
88.500000	69.605	-20.7609
90.000000	69.580	-21.4516
91.199997	69.556	-22.0683
92.500000	69.522	-22.5569
93.800003	69.508	-22.9884
95.000000	69.483	-23.4672
96.199997	69.442	-23.8983
97.500000	69.399	-24.3207
98.800003	69.361	-24.7980
100.000000	69.318	-25.2697
101.500000	69.257	-25.7357
103.000000	69.216	-26.0728
104.400002	69.192	-26.4718
106.000000	69.154	-26.9339
107.500000	69.125	-27.2343
109.000000	69.120	-27.4135
110.599998	69.147	-27.5693
112.000000	69.188	-27.7902
113.800003	69.248	-28.2478
115.000000	69.290	-28.7147
117.199997	69.350	-29.9453
118.000000	69.359	-30.4754
120.599998	69.346	-32.0275
122.000000	69.338	-32.7575
124.099998	69.309	-33.8520
125.000000	69.289	-34.2966
126.500000	69.248	-34.9863
128.000000	69.206	-35.6189
131.500000	69.100	-36.9559
132.000000	69.084	-37.1329
134.000000	69.019	-37.8136
136.000000	68.955	-38.4666
138.000000	68.899	-39.0826
140.000000	68.851	-39.6509
143.000000	68.772	-40.4189
145.000000	68.712	-40.8789
147.500000	68.640	-41.4480
150.000000	68.583	-41.9538
152.500000	68.547	-42.3411
155.000000	68.526	-42.6485
157.500000	68.526	-42.9658
160.000000	68.545	-43.4455
162.500000	68.570	-44.1109
165.000000	68.591	-44.9437
167.500000	68.592	-45.8619
170.000000	68.576	-46.7835
172.500000	68.542	-47.7021
175.000000	68.495	-48.5763
177.500000	68.439	-49.3860
180.000000	68.378	-50.1293
