* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 12:16:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Spring
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.097	39.6399
20.600000	69.117	39.2910
20.900000	69.159	38.6781
21.200001	69.200	38.1153
21.400000	69.228	37.7480
21.799999	69.281	36.9686
22.000000	69.304	36.5425
22.400000	69.341	35.6479
22.700001	69.358	34.9839
23.000000	69.370	34.3600
23.299999	69.385	33.7821
23.600000	69.408	33.2297
24.000000	69.452	32.4760
24.299999	69.493	31.8541
24.700001	69.544	30.9352
25.000000	69.573	30.2132
25.400000	69.593	29.2920
25.799999	69.602	28.5106
26.200001	69.616	27.8904
26.500000	69.638	27.4866
26.900000	69.681	26.9412
27.200001	69.718	26.4742
27.600000	69.762	25.7548
28.000000	69.789	24.9771
28.500000	69.798	24.0540
29.000000	69.796	23.2690
29.500000	69.802	22.5715
30.000000	69.817	21.8511
30.400000	69.830	21.2263
30.700001	69.836	20.7409
31.100000	69.838	20.1021
31.500000	69.837	19.4964
32.000000	69.837	18.7902
32.500000	69.846	18.1084
33.000000	69.862	17.4074
33.500000	69.880	16.6730
34.000000	69.893	15.9342
34.500000	69.897	15.2453
35.000000	69.900	14.6369
35.500000	69.909	14.0862
36.000000	69.924	13.5411
36.500000	69.938	12.9823
37.000000	69.949	12.4393
37.500000	69.961	11.9334
38.200001	69.988	11.1896
38.700001	70.004	10.5437
39.500000	69.980	9.4738
40.000000	69.942	9.0185
40.599998	69.916	8.7566
41.200001	69.939	8.5526
41.799999	69.991	8.1515
42.500000	70.038	7.4741
43.099998	70.065	6.9221
43.700001	70.101	6.4100
44.400002	70.154	5.6860
45.000000	70.185	4.9087
45.500000	70.190	4.2386
46.200001	70.176	3.3980
46.799999	70.162	2.7825
47.500000	70.154	2.1054
48.200001	70.154	1.4028
48.700001	70.155	0.8719
49.400002	70.151	0.1062
50.000000	70.138	-0.5199
50.799999	70.119	-1.2351
51.500000	70.113	-1.7828
52.200001	70.114	-2.3514
53.000000	70.106	-3.0169
53.799999	70.090	-3.5902
54.500000	70.083	-4.0419
55.200001	70.082	-4.5330
56.000000	70.079	-5.1597
57.000000	70.068	-6.0297
58.000000	70.035	-6.9198
59.000000	69.996	-7.6577
60.000000	69.969	-8.3356
