* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 12:13:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Spring
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.905	40.9255
20.600000	68.983	40.3025
20.900000	69.111	39.0406
21.200001	69.158	37.5240
21.400000	69.142	36.5768
21.799999	69.052	35.1482
22.000000	69.007	34.7402
22.400000	68.982	34.3924
22.700001	69.033	34.2123
23.000000	69.123	33.8344
23.299999	69.215	33.2334
23.600000	69.287	32.5198
24.000000	69.350	31.6284
24.299999	69.387	31.1204
24.700001	69.451	30.6100
25.000000	69.513	30.2240
25.400000	69.599	29.5631
25.799999	69.660	28.7376
26.200001	69.680	27.8939
26.500000	69.675	27.3362
26.900000	69.655	26.7210
27.200001	69.640	26.3192
27.600000	69.624	25.7886
28.000000	69.611	25.2096
28.500000	69.590	24.4290
29.000000	69.565	23.6565
29.500000	69.548	22.9268
30.000000	69.549	22.2149
30.400000	69.563	21.6301
30.700001	69.579	21.1764
31.100000	69.604	20.5611
31.500000	69.630	19.9557
32.000000	69.664	19.2447
32.500000	69.702	18.5861
33.000000	69.742	17.9518
33.500000	69.776	17.3376
34.000000	69.801	16.7851
34.500000	69.819	16.3193
35.000000	69.842	15.8875
35.500000	69.867	15.3879
36.000000	69.880	14.7809
36.500000	69.873	14.1352
37.000000	69.851	13.5586
37.500000	69.834	13.0710
38.200001	69.840	12.3344
38.700001	69.851	11.6292
39.500000	69.823	10.4139
40.000000	69.789	9.9079
40.599998	69.787	9.6166
41.200001	69.858	9.2710
41.799999	69.947	8.5129
42.500000	69.982	7.3345
43.099998	69.956	6.6023
43.700001	69.941	6.2126
44.400002	69.966	5.7694
45.000000	69.987	5.1882
45.500000	69.987	4.6590
46.200001	69.974	3.9755
46.799999	69.967	3.3868
47.500000	69.952	2.6555
48.200001	69.934	1.9922
48.700001	69.931	1.5687
49.400002	69.945	0.9362
50.000000	69.958	0.3197
50.799999	69.959	-0.4910
51.500000	69.950	-1.0742
52.200001	69.943	-1.5057
53.000000	69.952	-1.8851
53.799999	69.976	-2.3340
54.500000	69.984	-2.8330
55.200001	69.972	-3.3115
56.000000	69.958	-3.7858
57.000000	69.948	-4.4754
58.000000	69.922	-5.2652
59.000000	69.888	-6.0938
60.000000	69.828	-6.8402
60.799999	69.797	-7.1336
61.500000	69.822	-7.3686
62.200001	69.872	-7.8890
63.000000	69.894	-8.7920
64.000000	69.839	-9.7764
65.000000	69.768	-10.1796
66.000000	69.762	-10.3594
67.000000	69.791	-10.8522
68.000000	69.794	-11.5783
69.000000	69.773	-12.3109
70.000000	69.733	-12.9737
71.000000	69.687	-13.4207
72.000000	69.671	-13.6927
73.000000	69.687	-14.0879
74.000000	69.687	-14.7556
75.000000	69.641	-15.4575
76.199997	69.561	-16.0992
77.500000	69.487	-16.5866
78.800003	69.477	-17.0322
80.000000	69.488	-17.6723
81.199997	69.509	-18.1684
82.500000	69.565	-18.7613
83.800003	69.598	-19.4839
85.000000	69.590	-20.1243
86.199997	69.560	-20.6494
87.500000	69.526	-21.2331
88.500000	69.495	-21.7305
90.000000	69.457	-22.5144
91.199997	69.439	-23.2505
92.500000	69.404	-24.1177
93.800003	69.354	-24.8085
95.000000	69.315	-25.2735
96.199997	69.285	-25.7013
97.500000	69.246	-26.1748
98.800003	69.197	-26.6424
100.000000	69.144	-27.0809
101.500000	69.068	-27.5965
103.000000	68.988	-28.0032
104.400002	68.914	-28.2387
106.000000	68.833	-28.3884
107.500000	68.746	-28.3982
109.000000	68.663	-28.1685
110.599998	68.610	-27.6190
112.000000	68.626	-26.8053
113.800003	68.784	-25.5275
115.000000	68.968	-24.8972
