* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 12:01:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.810	41.3797
20.600000	68.801	41.3169
20.900000	68.795	41.1376
21.200001	68.811	40.7683
21.400000	68.825	40.3874
21.799999	68.838	39.3723
22.000000	68.832	38.7995
22.400000	68.800	37.6896
22.700001	68.780	36.9555
23.000000	68.779	36.2824
23.299999	68.805	35.5858
23.600000	68.852	34.8043
24.000000	68.929	33.6004
24.299999	68.984	32.6283
24.700001	69.044	31.3627
25.000000	69.083	30.5088
25.400000	69.136	29.5275
25.799999	69.195	28.6852
26.200001	69.254	27.9279
26.500000	69.293	27.4079
26.900000	69.329	26.8002
27.200001	69.347	26.4272
27.600000	69.364	26.0431
28.000000	69.381	25.7464
28.500000	69.407	25.3841
29.000000	69.428	24.9154
29.500000	69.432	24.3156
30.000000	69.413	23.6464
30.400000	69.388	23.1103
30.700001	69.369	22.7184
31.100000	69.346	22.2008
31.500000	69.332	21.6702
32.000000	69.329	20.9628
32.500000	69.340	20.1962
33.000000	69.363	19.3768
33.500000	69.395	18.5213
34.000000	69.430	17.6642
34.500000	69.462	16.8531
35.000000	69.490	16.1239
35.500000	69.519	15.4849
36.000000	69.551	14.9139
36.500000	69.585	14.3693
37.000000	69.618	13.8017
37.500000	69.640	13.1873
38.200001	69.639	12.3164
38.700001	69.621	11.7791
39.500000	69.605	11.0772
40.000000	69.613	10.5962
40.599998	69.628	9.8666
41.200001	69.626	9.0536
41.799999	69.611	8.3137
42.500000	69.602	7.5983
43.099998	69.608	7.0369
43.700001	69.621	6.4872
44.400002	69.638	5.8711
45.000000	69.654	5.3493
45.500000	69.665	4.9054
46.200001	69.674	4.2888
46.799999	69.680	3.7736
47.500000	69.687	3.1484
48.200001	69.692	2.4910
48.700001	69.694	2.0256
49.400002	69.702	1.3718
50.000000	69.709	0.7754
50.799999	69.707	-0.0139
51.500000	69.703	-0.6068
52.200001	69.710	-1.1725
53.000000	69.713	-1.9026
53.799999	69.691	-2.5843
54.500000	69.669	-3.0312
55.200001	69.665	-3.4722
56.000000	69.658	-4.0878
57.000000	69.636	-4.7538
58.000000	69.657	-5.3807
59.000000	69.678	-6.2738
60.000000	69.683	-7.0198
60.799999	69.716	-7.6261
61.500000	69.738	-8.3261
62.200001	69.732	-9.0194
63.000000	69.711	-9.6503
64.000000	69.685	-10.3787
65.000000	69.632	-10.9937
66.000000	69.593	-11.3367
67.000000	69.597	-11.7930
68.000000	69.590	-12.5029
69.000000	69.557	-13.2089
70.000000	69.519	-13.7727
71.000000	69.499	-14.2476
72.000000	69.490	-14.7667
73.000000	69.479	-15.3092
74.000000	69.468	-15.8655
75.000000	69.454	-16.4716
76.199997	69.434	-17.2437
77.500000	69.415	-18.1965
78.800003	69.366	-19.1917
80.000000	69.319	-19.7269
81.199997	69.324	-20.1765
82.500000	69.325	-20.7534
83.800003	69.329	-21.2696
85.000000	69.326	-21.9319
86.199997	69.286	-22.6376
87.500000	69.231	-23.1981
88.500000	69.205	-23.5503
90.000000	69.180	-24.1689
91.199997	69.140	-24.7270
92.500000	69.068	-25.2274
93.800003	69.011	-25.5377
95.000000	69.007	-26.0165
96.199997	68.993	-26.7993
97.500000	68.961	-27.4370
98.800003	68.970	-27.8989
100.000000	68.975	-28.3666
101.500000	68.953	-28.8024
103.000000	68.921	-29.2389
104.400002	68.878	-29.7936
106.000000	68.827	-30.4234
107.500000	68.824	-30.9879
109.000000	68.841	-31.6354
110.599998	68.846	-32.3525
112.000000	68.820	-32.9816
113.800003	68.758	-33.6018
115.000000	68.734	-33.9184
117.199997	68.732	-34.5078
118.000000	68.739	-34.6875
120.599998	68.777	-35.6267
122.000000	68.731	-36.3798
124.099998	68.626	-37.2370
125.000000	68.596	-37.5331
126.500000	68.574	-38.0345
128.000000	68.571	-38.5709
131.500000	68.554	-39.9261
132.000000	68.547	-40.1298
134.000000	68.519	-40.9786
136.000000	68.489	-41.8818
138.000000	68.445	-42.7489
140.000000	68.390	-43.4939
143.000000	68.311	-44.4880
145.000000	68.265	-45.1832
147.500000	68.198	-45.9968
150.000000	68.128	-46.7482
152.500000	68.055	-47.4888
155.000000	67.986	-48.1895
157.500000	67.924	-48.8463
160.000000	67.861	-49.5292
162.500000	67.798	-50.2035
165.000000	67.743	-50.8495
167.500000	67.684	-51.4372
170.000000	67.617	-51.9159
172.500000	67.558	-52.3649
175.000000	67.513	-52.8501
177.500000	67.477	-53.3078
180.000000	67.453	-53.7440
182.500000	67.437	-54.2645
185.000000	67.422	-54.8831
187.500000	67.405	-55.5635
190.000000	67.377	-56.3069
192.500000	67.334	-57.0606
195.000000	67.283	-57.7607
197.500000	67.232	-58.4184
200.000000	67.182	-59.0472
203.000000	67.120	-59.8042
206.000000	67.057	-60.5189
209.000000	67.000	-61.1681
212.000000	66.940	-61.8298
214.000000	66.890	-62.2589
218.000000	66.790	-63.0353
220.000000	66.749	-63.4172
224.000000	66.682	-64.2217
227.000000	66.632	-64.7859
230.000000	66.576	-65.2580
233.000000	66.519	-65.7165
236.000000	66.467	-66.2089
240.000000	66.402	-66.8763
243.000000	66.348	-67.3863
247.000000	66.270	-68.0970
250.000000	66.218	-68.6030
254.000000	66.158	-69.2234
258.000000	66.088	-69.8208
262.000000	66.015	-70.4421
265.000000	65.965	-70.9059
269.000000	65.904	-71.4913
272.000000	65.858	-71.8967
276.000000	65.797	-72.3927
280.000000	65.731	-72.8988
285.000000	65.650	-73.5484
290.000000	65.577	-74.1373
295.000000	65.508	-74.7145
300.000000	65.444	-75.2799
304.000000	65.397	-75.7014
307.000000	65.362	-76.0143
311.000000	65.315	-76.4288
315.000000	65.268	-76.8507
320.000000	65.207	-77.3744
325.000000	65.154	-77.8132
330.000000	65.104	-78.2125
335.000000	65.050	-78.6445
340.000000	64.999	-79.0450
345.000000	64.948	-79.4382
350.000000	64.896	-79.8439
355.000000	64.850	-80.2306
360.000000	64.803	-80.5950
365.000000	64.752	-80.9328
370.000000	64.706	-81.2108
375.000000	64.663	-81.5093
382.000000	64.606	-81.9826
387.000000	64.569	-82.2841
395.000000	64.506	-82.7663
400.000000	64.470	-83.0112
406.000000	64.429	-83.2607
412.000000	64.389	-83.5100
418.000000	64.354	-83.7390
425.000000	64.315	-84.0052
431.000000	64.283	-84.2314
437.000000	64.259	-84.4524
444.000000	64.242	-84.7061
450.000000	64.226	-84.8992
455.000000	64.213	-85.0155
462.000000	64.201	-85.1558
468.000000	64.197	-85.2996
475.000000	64.191	-85.4608
482.000000	64.178	-85.6125
487.000000	64.170	-85.7136
494.000000	64.166	-85.8158
500.000000	64.165	-85.8631
508.000000	64.162	-85.9470
515.000000	64.168	-86.0752
522.000000	64.188	-86.1822
530.000000	64.213	-86.2944
538.000000	64.238	-86.3547
545.000000	64.258	-86.3923
552.000000	64.276	-86.3947
560.000000	64.303	-86.3890
570.000000	64.347	-86.4673
580.000000	64.390	-86.5266
590.000000	64.428	-86.5266
600.000000	64.481	-86.4811
608.000000	64.528	-86.4741
615.000000	64.564	-86.4718
622.000000	64.602	-86.4477
630.000000	64.652	-86.3843
640.000000	64.714	-86.2854
650.000000	64.778	-86.1922
660.000000	64.859	-86.0881
670.000000	64.952	-85.9533
680.000000	65.046	-85.7858
690.000000	65.141	-85.6170
700.000000	65.240	-85.4565
710.000000	65.340	-85.3085
720.000000	65.450	-85.1684
730.000000	65.568	-85.0281
740.000000	65.690	-84.9168
750.000000	65.818	-84.8199
762.000000	65.977	-84.6942
775.000000	66.157	-84.5938
788.000000	66.345	-84.5027
800.000000	66.525	-84.4188
812.000000	66.712	-84.3754
825.000000	66.924	-84.4205
838.000000	67.139	-84.5177
850.000000	67.342	-84.6040
862.000000	67.545	-84.7017
875.000000	67.770	-84.8842
885.000000	67.947	-85.0596
900.000000	68.216	-85.3793
912.000000	68.434	-85.6888
925.000000	68.674	-86.0605
938.000000	68.915	-86.4780
950.000000	69.138	-86.9135
962.000000	69.361	-87.4061
975.000000	69.603	-88.0005
988.000000	69.844	-88.6258
1000.000000	70.062	-89.2526
1015.000000	70.336	-90.1492
1030.000000	70.606	-91.1096
1044.000000	70.852	-92.0721
1060.000000	71.124	-93.2362
1075.000000	71.370	-94.3744
1090.000000	71.612	-95.5691
1106.000000	71.868	-96.9000
1120.000000	72.084	-98.1042
1138.000000	72.351	-99.6942
1150.000000	72.522	-100.7702
1172.000000	72.816	-102.7937
1180.000000	72.917	-103.5408
1206.000000	73.228	-105.9700
1220.000000	73.384	-107.2822
1241.000000	73.601	-109.2423
1250.000000	73.688	-110.0767
1265.000000	73.827	-111.4599
1280.000000	73.956	-112.8284
1315.000000	74.229	-115.9121
1320.000000	74.265	-116.3394
1340.000000	74.399	-118.0274
1360.000000	74.519	-119.6766
1380.000000	74.632	-121.2675
1400.000000	74.743	-122.8035
1430.000000	74.899	-125.0073
1450.000000	74.997	-126.4107
1475.000000	75.115	-128.0808
1500.000000	75.230	-129.6743
1525.000000	75.343	-131.1776
1550.000000	75.457	-132.6229
1575.000000	75.573	-134.0231
1600.000000	75.690	-135.3794
1625.000000	75.811	-136.7112
1650.000000	75.933	-138.0353
1675.000000	76.056	-139.3406
1700.000000	76.180	-140.6270
1725.000000	76.306	-141.9168
1750.000000	76.434	-143.2183
1775.000000	76.566	-144.5358
1800.000000	76.699	-145.8745
1825.000000	76.833	-147.2489
1850.000000	76.966	-148.6783
1875.000000	77.097	-150.1688
1900.000000	77.225	-151.7197
1925.000000	77.344	-153.3363
1950.000000	77.453	-155.0154
1975.000000	77.549	-156.7552
2000.000000	77.631	-158.5489
2030.000000	77.703	-160.7505
2060.000000	77.745	-162.9655
2090.000000	77.753	-165.1381
2120.000000	77.728	-167.1933
2140.000000	77.692	-168.4546
2180.000000	77.588	-170.6136
2200.000000	77.528	-171.4763
2240.000000	77.417	-172.7199
2270.000000	77.372	-173.2653
2300.000000	77.385	-173.6113
2330.000000	77.470	-173.9594
2360.000000	77.621	-174.5245
2400.000000	77.890	-175.8810
2430.000000	78.107	-177.4248
2470.000000	78.364	179.8650
2500.000000	78.510	177.4516
2540.000000	78.619	173.9443
2580.000000	78.627	170.3591
2620.000000	78.545	166.9183
2650.000000	78.433	164.5199
2690.000000	78.234	161.6353
2720.000000	78.058	159.7328
2760.000000	77.803	157.5510
2800.000000	77.535	155.7603
2850.000000	77.205	154.0258
2900.000000	76.900	152.7615
2950.000000	76.633	151.8429
3000.000000	76.407	151.1066
3040.000000	76.252	150.5762
3070.000000	76.147	150.2051
3110.000000	76.024	149.7394
3150.000000	75.919	149.2759
3200.000000	75.808	148.6370
3250.000000	75.710	147.8769
3300.000000	75.616	146.9713
3350.000000	75.512	145.8699
3400.000000	75.376	144.5731
3450.000000	75.184	143.2068
3500.000000	74.922	142.0392
3550.000000	74.600	141.3935
3600.000000	74.262	141.5079
