* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 11 오후 3:26:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.415	-111.7284
20.600000	74.463	-112.6430
20.900000	74.535	-114.1769
21.200001	74.553	-115.3419
21.400000	74.551	-115.8803
21.799999	74.563	-116.6094
22.000000	74.591	-116.9325
22.400000	74.685	-117.7559
22.700001	74.764	-118.6301
23.000000	74.819	-119.6742
23.299999	74.836	-120.6971
23.600000	74.823	-121.5277
24.000000	74.796	-122.1751
24.299999	74.807	-122.3600
24.700001	74.889	-122.4607
25.000000	74.992	-122.6396
25.400000	75.151	-123.1698
25.799999	75.296	-123.9672
26.200001	75.412	-124.8214
26.500000	75.487	-125.4039
26.900000	75.585	-126.0994
27.200001	75.662	-126.6229
27.600000	75.762	-127.4113
28.000000	75.841	-128.3134
28.500000	75.895	-129.4418
29.000000	75.922	-130.3750
29.500000	75.959	-131.1454
30.000000	76.001	-131.9304
30.400000	76.021	-132.5702
30.700001	76.027	-132.9784
31.100000	76.039	-133.3221
31.500000	76.081	-133.4564
32.000000	76.197	-133.6145
32.500000	76.355	-134.1381
33.000000	76.487	-135.0475
33.500000	76.564	-136.0050
34.000000	76.623	-136.8011
34.500000	76.698	-137.6348
35.000000	76.763	-138.7483
35.500000	76.778	-140.0248
36.000000	76.751	-141.1543
36.500000	76.734	-142.1566
37.000000	76.728	-143.4161
37.500000	76.662	-145.0390
38.200001	76.390	-146.6620
38.700001	76.196	-146.3919
39.500000	76.313	-144.8057
40.000000	76.596	-144.8861
40.599998	76.871	-146.4628
41.200001	76.947	-148.2807
41.799999	76.941	-149.2614
42.500000	76.994	-149.5638
43.099998	77.104	-149.7960
43.700001	77.215	-150.1494
44.400002	77.327	-150.5746
45.000000	77.410	-150.9955
45.500000	77.460	-151.4630
46.200001	77.483	-152.2460
46.799999	77.464	-152.8985
47.500000	77.428	-153.5459
48.200001	77.408	-154.1248
48.700001	77.409	-154.5511
49.400002	77.422	-155.2310
50.000000	77.435	-155.9069
50.799999	77.444	-156.8122
51.500000	77.454	-157.4539
52.200001	77.487	-158.0091
53.000000	77.536	-158.6879
53.799999	77.564	-159.3209
54.500000	77.576	-159.7635
55.200001	77.582	-160.1518
56.000000	77.591	-160.5488
57.000000	77.632	-161.2268
58.000000	77.641	-162.4128
59.000000	77.577	-163.3245
60.000000	77.608	-163.6162
60.799999	77.728	-164.2469
61.500000	77.791	-165.3036
62.200001	77.754	-166.3037
63.000000	77.639	-166.8004
64.000000	77.509	-166.5541
65.000000	77.490	-165.9322
66.000000	77.590	-166.1028
67.000000	77.612	-167.4018
68.000000	77.537	-168.5422
69.000000	77.498	-169.4016
70.000000	77.494	-170.2434
71.000000	77.516	-170.9889
72.000000	77.537	-171.5871
73.000000	77.553	-171.9464
74.000000	77.561	-172.3134
75.000000	77.522	-172.7551
76.199997	77.424	-173.0355
77.500000	77.382	-173.1905
78.800003	77.401	-174.0612
80.000000	77.375	-175.0742
81.199997	77.354	-175.8705
82.500000	77.319	-176.6418
83.800003	77.285	-177.0432
85.000000	77.290	-177.3877
86.199997	77.290	-177.9568
87.500000	77.260	-178.6852
88.500000	77.226	-179.1710
90.000000	77.171	-179.7837
91.199997	77.113	179.9063
92.500000	77.071	179.7131
93.800003	77.058	179.3215
95.000000	77.070	178.7424
96.199997	77.088	177.7182
97.500000	77.002	176.6440
98.800003	76.908	176.7262
100.000000	76.943	177.0175
101.500000	76.975	176.6224
103.000000	76.885	176.1236
104.400002	76.777	175.7842
106.000000	76.666	175.2330
107.500000	76.580	174.6334
109.000000	76.531	174.0643
110.599998	76.499	173.4934
112.000000	76.482	173.1904
113.800003	76.472	172.7775
115.000000	76.423	172.5458
117.199997	76.312	172.5289
118.000000	76.274	172.4874
120.599998	76.219	172.2268
122.000000	76.232	171.6752
124.099998	76.206	170.8663
125.000000	76.175	170.6013
126.500000	76.090	170.1772
128.000000	75.969	169.6378
131.500000	75.680	168.8569
