* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오전 11:29:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.685	-157.8107
20.600000	72.695	-158.0805
20.900000	72.711	-158.5016
21.200001	72.718	-158.7409
21.400000	72.725	-158.8168
21.799999	72.756	-158.9056
22.000000	72.780	-158.9840
22.400000	72.833	-159.2980
22.700001	72.864	-159.6690
23.000000	72.877	-160.1014
23.299999	72.874	-160.5190
23.600000	72.862	-160.8765
24.000000	72.846	-161.2417
24.299999	72.844	-161.4677
24.700001	72.854	-161.7769
25.000000	72.868	-162.0479
25.400000	72.886	-162.4606
25.799999	72.901	-162.8923
26.200001	72.915	-163.3109
26.500000	72.926	-163.6173
26.900000	72.941	-164.0324
27.200001	72.950	-164.3556
27.600000	72.957	-164.7935
28.000000	72.958	-165.2103
28.500000	72.957	-165.6661
29.000000	72.960	-166.0625
29.500000	72.969	-166.4489
30.000000	72.979	-166.8538
30.400000	72.985	-167.1799
30.700001	72.988	-167.4154
31.100000	72.992	-167.7118
31.500000	72.996	-167.9939
32.000000	73.003	-168.3442
32.500000	73.009	-168.7045
33.000000	73.014	-169.0698
33.500000	73.019	-169.4268
34.000000	73.023	-169.7659
34.500000	73.026	-170.0877
35.000000	73.030	-170.4020
35.500000	73.035	-170.7212
36.000000	73.038	-171.0472
36.500000	73.038	-171.3663
37.000000	73.037	-171.6627
37.500000	73.038	-171.9387
38.200001	73.040	-172.3269
38.700001	73.041	-172.6170
39.500000	73.038	-173.0735
40.000000	73.035	-173.3474
40.599998	73.032	-173.6709
41.200001	73.027	-173.9770
41.799999	73.027	-174.2683
42.500000	73.032	-174.6583
43.099998	73.029	-175.0553
43.700001	73.012	-175.4043
44.400002	72.995	-175.6617
45.000000	73.000	-175.8633
45.500000	73.010	-176.1174
46.200001	73.009	-176.5464
46.799999	72.996	-176.8370
47.500000	72.993	-177.0854
48.200001	73.003	-177.3877
48.700001	73.005	-177.6389
49.400002	72.999	-177.9335
50.000000	72.998	-178.1148
50.799999	73.007	-178.3709
51.500000	73.012	-178.6482
52.200001	73.009	-178.9127
53.000000	73.004	-179.1745
53.799999	73.000	-179.4468
54.500000	72.991	-179.7022
55.200001	72.980	-179.9498
56.000000	72.967	179.7761
57.000000	72.951	179.4383
58.000000	72.940	179.1179
59.000000	72.931	178.7656
60.000000	72.915	178.4133
60.799999	72.903	178.1622
61.500000	72.895	177.9453
62.200001	72.885	177.7370
63.000000	72.875	177.5305
64.000000	72.867	177.2917
65.000000	72.863	177.0216
66.000000	72.854	176.7259
67.000000	72.840	176.4398
68.000000	72.823	176.1809
69.000000	72.807	175.9339
70.000000	72.791	175.6837
71.000000	72.774	175.4303
72.000000	72.756	175.1931
73.000000	72.739	174.9781
74.000000	72.723	174.7740
75.000000	72.707	174.6051
76.199997	72.694	174.4215
77.500000	72.677	174.1919
78.800003	72.651	173.9644
80.000000	72.618	173.8128
81.199997	72.592	173.7707
82.500000	72.599	173.7111
83.800003	72.617	173.4004
85.000000	72.616	173.0479
86.199997	72.614	172.7204
87.500000	72.607	172.3598
88.500000	72.599	172.1148
90.000000	72.586	171.7786
91.199997	72.576	171.5345
92.500000	72.566	171.2643
93.800003	72.552	170.9908
95.000000	72.536	170.7611
96.199997	72.521	170.5626
97.500000	72.507	170.3626
98.800003	72.491	170.1576
100.000000	72.473	169.9824
101.500000	72.451	169.7786
103.000000	72.427	169.5563
104.400002	72.402	169.3455
106.000000	72.374	169.1303
107.500000	72.354	168.9406
109.000000	72.339	168.7438
110.599998	72.324	168.5189
112.000000	72.308	168.3189
113.800003	72.283	168.0843
115.000000	72.268	167.9357
117.199997	72.241	167.6496
118.000000	72.231	167.5476
120.599998	72.203	167.2542
122.000000	72.189	167.1038
124.099998	72.166	166.8661
125.000000	72.154	166.7597
126.500000	72.134	166.5894
128.000000	72.115	166.4272
131.500000	72.077	166.0904
132.000000	72.072	166.0443
134.000000	72.050	165.8428
136.000000	72.023	165.6321
138.000000	71.996	165.4341
140.000000	71.970	165.2593
143.000000	71.931	165.0232
145.000000	71.906	164.8631
147.500000	71.877	164.6571
150.000000	71.852	164.4498
152.500000	71.824	164.2302
155.000000	71.790	164.0356
157.500000	71.759	163.8581
160.000000	71.726	163.6721
162.500000	71.688	163.4872
165.000000	71.648	163.3141
167.500000	71.606	163.1624
170.000000	71.567	163.0364
172.500000	71.530	162.9160
175.000000	71.491	162.8176
177.500000	71.448	162.7670
180.000000	71.405	162.7556
182.500000	71.369	162.7566
185.000000	71.342	162.7346
187.500000	71.315	162.6645
190.000000	71.281	162.5286
192.500000	71.230	162.3716
195.000000	71.167	162.2727
197.500000	71.093	162.2639
200.000000	71.009	162.3851
203.000000	70.895	162.7436
206.000000	70.772	163.4460
209.000000	70.655	164.6790
212.000000	70.593	166.6563
214.000000	70.645	168.3511
218.000000	71.120	171.3660
220.000000	71.493	171.8521
224.000000	72.134	170.0569
227.000000	72.353	167.4755
230.000000	72.388	165.1021
233.000000	72.335	163.3021
236.000000	72.249	161.9938
240.000000	72.121	160.7757
243.000000	72.031	160.1151
247.000000	71.925	159.4542
250.000000	71.854	159.0773
254.000000	71.768	158.6745
258.000000	71.693	158.3391
262.000000	71.625	158.0428
265.000000	71.577	157.8408
269.000000	71.518	157.5710
272.000000	71.477	157.3681
276.000000	71.426	157.1221
280.000000	71.381	156.9053
285.000000	71.328	156.6510
290.000000	71.280	156.4218
295.000000	71.229	156.2180
300.000000	71.178	156.0150
304.000000	71.145	155.8447
307.000000	71.120	155.7177
311.000000	71.087	155.5547
315.000000	71.056	155.3875
320.000000	71.017	155.1913
325.000000	70.975	155.0334
330.000000	70.932	154.8855
335.000000	70.893	154.7474
340.000000	70.852	154.6183
345.000000	70.810	154.5250
350.000000	70.769	154.4854
355.000000	70.734	154.4687
360.000000	70.712	154.4275
365.000000	70.696	154.3224
370.000000	70.678	154.1501
375.000000	70.655	153.9357
382.000000	70.607	153.6335
387.000000	70.568	153.4255
395.000000	70.508	153.1625
400.000000	70.469	153.0251
406.000000	70.419	152.8652
412.000000	70.371	152.7101
418.000000	70.322	152.5520
425.000000	70.271	152.3802
431.000000	70.230	152.2276
437.000000	70.190	152.0574
444.000000	70.141	151.8742
450.000000	70.093	151.7326
455.000000	70.050	151.6388
462.000000	69.991	151.5513
468.000000	69.943	151.5027
475.000000	69.891	151.4689
482.000000	69.843	151.4405
487.000000	69.810	151.4014
494.000000	69.763	151.3204
500.000000	69.724	151.2545
508.000000	69.670	151.1950
515.000000	69.623	151.1476
522.000000	69.578	151.1301
530.000000	69.526	151.1305
538.000000	69.475	151.1019
545.000000	69.428	151.0852
552.000000	69.382	151.0824
560.000000	69.329	151.0900
570.000000	69.271	151.1183
580.000000	69.212	151.1794
590.000000	69.150	151.2465
600.000000	69.091	151.3130
608.000000	69.041	151.3624
615.000000	68.996	151.4228
622.000000	68.954	151.5023
630.000000	68.910	151.6052
640.000000	68.853	151.7464
650.000000	68.796	151.8859
660.000000	68.744	152.0495
670.000000	68.693	152.2413
680.000000	68.639	152.4345
690.000000	68.586	152.6413
700.000000	68.535	152.8622
710.000000	68.488	153.0839
720.000000	68.443	153.3247
730.000000	68.400	153.5932
740.000000	68.362	153.8697
750.000000	68.323	154.1514
762.000000	68.279	154.4999
775.000000	68.239	154.8929
788.000000	68.201	155.3101
800.000000	68.169	155.6865
812.000000	68.140	156.0734
825.000000	68.115	156.5076
838.000000	68.098	156.9237
850.000000	68.085	157.3138
862.000000	68.078	157.7217
875.000000	68.075	158.1574
885.000000	68.074	158.4960
900.000000	68.080	158.9915
912.000000	68.092	159.3819
925.000000	68.111	159.7967
938.000000	68.135	160.1602
950.000000	68.160	160.4615
962.000000	68.190	160.7626
975.000000	68.228	161.0651
988.000000	68.271	161.3069
1000.000000	68.310	161.5031
1015.000000	68.354	161.7729
1030.000000	68.402	161.9941
1044.000000	68.451	162.1461
1060.000000	68.508	162.2696
1075.000000	68.560	162.3427
1090.000000	68.614	162.3816
1106.000000	68.678	162.3762
1120.000000	68.734	162.3281
1138.000000	68.803	162.2362
1150.000000	68.847	162.1581
1172.000000	68.923	161.9772
1180.000000	68.948	161.9047
1206.000000	69.021	161.6555
1220.000000	69.057	161.5070
1241.000000	69.107	161.2668
1250.000000	69.127	161.1562
1265.000000	69.159	160.9742
1280.000000	69.185	160.8058
1315.000000	69.230	160.4219
1320.000000	69.236	160.3729
1340.000000	69.254	160.1862
1360.000000	69.266	160.0151
