* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 01-Apr-2022 03:16:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aria (2021) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.3000 76.278 -124.91
20.6000 76.298 -125.37
20.9000 76.335 -126.18
21.2000 76.368 -126.93
21.4000 76.387 -127.41
21.8000 76.422 -128.36
22.0000 76.437 -128.85
22.4000 76.464 -129.83
22.7000 76.482 -130.56
23.0000 76.499 -131.29
23.3000 76.516 -132.03
23.6000 76.536 -132.76
24.0000 76.565 -133.75
24.3000 76.589 -134.48
24.7000 76.621 -135.45
25.0000 76.646 -136.16
25.4000 76.680 -137.08
25.8000 76.715 -137.96
26.2000 76.750 -138.81
26.5000 76.775 -139.42
26.9000 76.804 -140.22
27.2000 76.823 -140.79
27.6000 76.845 -141.52
28.0000 76.864 -142.23
28.5000 76.885 -143.08
29.0000 76.901 -143.92
29.5000 76.911 -144.73
30.0000 76.918 -145.51
30.4000 76.922 -146.13
30.7000 76.925 -146.59
31.1000 76.929 -147.21
31.5000 76.932 -147.82
32.0000 76.935 -148.58
32.5000 76.938 -149.34
33.0000 76.942 -150.09
33.5000 76.948 -150.83
34.0000 76.957 -151.56
34.5000 76.968 -152.26
35.0000 76.980 -152.94
35.5000 76.992 -153.60
36.0000 77.003 -154.24
36.5000 77.013 -154.85
37.0000 77.022 -155.45
37.5000 77.029 -156.02
38.2000 77.035 -156.81
38.7000 77.035 -157.36
39.5000 77.028 -158.23
40.0000 77.022 -158.75
40.6000 77.016 -159.37
41.2000 77.010 -159.99
41.8000 77.001 -160.61
42.5000 76.990 -161.31
43.1000 76.982 -161.89
43.7000 76.977 -162.47
44.4000 76.971 -163.13
45.0000 76.964 -163.68
45.5000 76.957 -164.13
46.2000 76.947 -164.73
46.8000 76.938 -165.23
47.5000 76.927 -165.79
48.2000 76.916 -166.35
48.7000 76.908 -166.74
49.4000 76.896 -167.28
50.0000 76.884 -167.74
50.8000 76.865 -168.34
51.5000 76.851 -168.85
52.2000 76.837 -169.36
53.0000 76.821 -169.94
53.8000 76.803 -170.49
54.5000 76.789 -170.96
55.2000 76.775 -171.41
56.0000 76.759 -171.91
57.0000 76.736 -172.53
58.0000 76.706 -173.10
59.0000 76.680 -173.59
60.0000 76.663 -174.15
60.8000 76.641 -174.67
61.5000 76.614 -175.11
62.2000 76.585 -175.51
63.0000 76.557 -175.94
64.0000 76.528 -176.46
65.0000 76.506 -176.97
66.0000 76.485 -177.45
67.0000 76.461 -177.89
68.0000 76.435 -178.29
69.0000 76.403 -178.67
70.0000 76.365 -179.04
71.0000 76.324 -179.47
72.0000 76.279 -179.97
73.0000 76.227 179.41
74.0000 76.144 178.86
75.0000 76.079 178.72
76.2000 76.098 178.52
77.5000 76.116 177.93
78.8000 76.109 177.43
80.0000 76.088 176.97
81.2000 76.042 176.55
82.5000 75.984 176.16
83.8000 75.929 175.76
85.0000 75.884 175.37
86.2000 75.845 174.98
87.5000 75.807 174.58
88.5000 75.778 174.29
90.0000 75.729 173.90
91.2000 75.686 173.61
92.5000 75.640 173.29
93.8000 75.593 172.96
95.0000 75.551 172.64
96.2000 75.511 172.34
97.5000 75.469 172.03
98.8000 75.426 171.75
100.0000 75.384 171.50
101.5000 75.331 171.20
103.0000 75.277 170.91
104.4000 75.227 170.63
106.0000 75.172 170.32
107.5000 75.120 170.05
109.0000 75.067 169.79
110.6000 75.010 169.52
112.0000 74.955 169.29
113.8000 74.878 169.02
115.0000 74.826 168.86
117.2000 74.730 168.57
118.0000 74.695 168.47
120.6000 74.573 168.30
122.0000 74.514 168.34
124.1000 74.431 168.46
125.0000 74.398 168.54
126.5000 74.354 168.69
128.0000 74.323 168.80
131.5000 74.272 168.80
132.0000 74.263 168.80
134.0000 74.229 168.89
136.0000 74.207 169.00
138.0000 74.192 169.05
140.0000 74.176 169.02
143.0000 74.154 168.98
145.0000 74.149 168.92
147.5000 74.140 168.67
150.0000 74.119 168.30
152.5000 74.088 167.91
155.0000 74.019 167.65
157.5000 73.905 167.64
160.0000 73.811 167.64
162.5000 73.761 167.27
165.0000 73.750 166.87
167.5000 73.759 166.57
170.0000 73.739 166.34
172.5000 73.689 166.19
175.0000 73.636 166.07
177.5000 73.585 165.93
180.0000 73.527 165.81
182.5000 73.468 165.77
185.0000 73.417 165.76
187.5000 73.364 165.70
190.0000 73.306 165.67
192.5000 73.255 165.67
195.0000 73.208 165.67
197.5000 73.158 165.66
200.0000 73.105 165.65
203.0000 73.042 165.66
206.0000 72.981 165.68
209.0000 72.923 165.72
212.0000 72.868 165.76
214.0000 72.831 165.79
218.0000 72.757 165.88
220.0000 72.720 165.92
224.0000 72.645 166.01
227.0000 72.595 166.09
230.0000 72.546 166.15
233.0000 72.495 166.23
236.0000 72.444 166.34
240.0000 72.380 166.50
243.0000 72.334 166.60
247.0000 72.274 166.74
250.0000 72.233 166.84
254.0000 72.183 166.99
258.0000 72.131 167.17
262.0000 72.085 167.37
265.0000 72.056 167.51
269.0000 72.013 167.66
272.0000 71.977 167.75
276.0000 71.934 167.87
280.0000 71.892 167.99
285.0000 71.841 168.15
290.0000 71.792 168.31
295.0000 71.739 168.51
300.0000 71.685 168.72
304.0000 71.646 168.88
307.0000 71.618 169.01
311.0000 71.579 169.18
315.0000 71.541 169.36
320.0000 71.495 169.59
325.0000 71.448 169.82
330.0000 71.403 170.06
335.0000 71.361 170.30
340.0000 71.320 170.55
345.0000 71.280 170.79
350.0000 71.239 171.04
355.0000 71.201 171.29
360.0000 71.162 171.53
365.0000 71.123 171.78
370.0000 71.086 172.02
375.0000 71.051 172.27
382.0000 71.002 172.66
387.0000 70.969 172.95
395.0000 70.920 173.35
400.0000 70.889 173.60
406.0000 70.853 173.92
412.0000 70.819 174.24
418.0000 70.787 174.56
425.0000 70.751 174.92
431.0000 70.722 175.24
437.0000 70.694 175.57
444.0000 70.663 175.96
450.0000 70.637 176.28
455.0000 70.614 176.53
462.0000 70.586 176.90
468.0000 70.563 177.24
475.0000 70.539 177.62
482.0000 70.514 178.01
487.0000 70.497 178.28
494.0000 70.475 178.66
500.0000 70.457 178.98
508.0000 70.433 179.42
515.0000 70.413 179.81
522.0000 70.396 -179.79
530.0000 70.376 -179.35
538.0000 70.356 -178.93
545.0000 70.339 -178.54
552.0000 70.323 -178.15
560.0000 70.304 -177.71
570.0000 70.283 -177.15
580.0000 70.261 -176.59
590.0000 70.241 -176.03
600.0000 70.223 -175.46
608.0000 70.210 -175.00
615.0000 70.200 -174.60
622.0000 70.191 -174.21
630.0000 70.182 -173.75
640.0000 70.174 -173.17
650.0000 70.167 -172.59
660.0000 70.161 -172.02
670.0000 70.155 -171.45
680.0000 70.152 -170.85
690.0000 70.151 -170.25
700.0000 70.153 -169.65
710.0000 70.157 -169.05
720.0000 70.161 -168.47
730.0000 70.167 -167.88
740.0000 70.174 -167.28
750.0000 70.186 -166.67
762.0000 70.203 -165.94
775.0000 70.225 -165.14
788.0000 70.249 -164.35
800.0000 70.272 -163.63
812.0000 70.299 -162.91
825.0000 70.336 -162.11
838.0000 70.378 -161.31
850.0000 70.418 -160.59
862.0000 70.460 -159.88
875.0000 70.508 -159.13
885.0000 70.549 -158.56
900.0000 70.616 -157.72
912.0000 70.674 -157.08
925.0000 70.742 -156.40
938.0000 70.815 -155.74
950.0000 70.885 -155.17
962.0000 70.956 -154.66
975.0000 71.029 -154.17
988.0000 71.089 -153.73
1,000.0000 71.124 -153.32
1,015.0000 71.147 -152.53
1,030.0000 71.208 -151.36
1,044.0000 71.340 -150.28
1,060.0000 71.532 -149.45
1,075.0000 71.696 -149.03
1,090.0000 71.832 -148.75
1,106.0000 71.961 -148.49
1,120.0000 72.072 -148.28
1,138.0000 72.211 -148.04
1,150.0000 72.301 -147.91
1,172.0000 72.461 -147.72
1,180.0000 72.519 -147.66
1,206.0000 72.707 -147.57
1,220.0000 72.812 -147.56
1,241.0000 72.971 -147.59
1,250.0000 73.038 -147.61
1,265.0000 73.147 -147.66
1,280.0000 73.252 -147.74
1,315.0000 73.479 -147.96
1,320.0000 73.510 -147.99
1,340.0000 73.631 -148.14
1,360.0000 73.750 -148.29
1,380.0000 73.869 -148.43
1,400.0000 73.986 -148.57
1,430.0000 74.154 -148.79
1,450.0000 74.263 -148.93
1,475.0000 74.396 -149.09
1,500.0000 74.523 -149.26
1,525.0000 74.642 -149.42
1,550.0000 74.752 -149.57
1,575.0000 74.854 -149.72
1,600.0000 74.955 -149.87
1,625.0000 75.055 -150.02
1,650.0000 75.154 -150.16
1,675.0000 75.254 -150.31
1,700.0000 75.354 -150.48
1,725.0000 75.457 -150.65
1,750.0000 75.559 -150.82
1,775.0000 75.663 -151.01
1,800.0000 75.767 -151.20
1,825.0000 75.872 -151.41
1,850.0000 75.975 -151.63
1,875.0000 76.078 -151.86
1,900.0000 76.180 -152.11
1,925.0000 76.281 -152.38
1,950.0000 76.381 -152.65
1,975.0000 76.479 -152.95
2,000.0000 76.578 -153.26
2,030.0000 76.694 -153.65
2,060.0000 76.808 -154.07
2,090.0000 76.921 -154.52
2,120.0000 77.032 -154.98
2,140.0000 77.103 -155.31
2,180.0000 77.242 -155.99
2,200.0000 77.309 -156.34
2,240.0000 77.440 -157.08
2,270.0000 77.534 -157.66
2,300.0000 77.625 -158.27
2,330.0000 77.711 -158.89
2,360.0000 77.794 -159.53
2,400.0000 77.899 -160.42
2,430.0000 77.973 -161.10
2,470.0000 78.066 -162.02
2,500.0000 78.131 -162.73
2,540.0000 78.211 -163.68
2,580.0000 78.282 -164.66
2,620.0000 78.345 -165.65
2,650.0000 78.386 -166.39
2,690.0000 78.435 -167.38
2,720.0000 78.467 -168.13
2,760.0000 78.503 -169.12
2,800.0000 78.531 -170.11
2,850.0000 78.555 -171.32
2,900.0000 78.568 -172.52
2,950.0000 78.570 -173.69
3,000.0000 78.563 -174.83
3,040.0000 78.552 -175.72
3,070.0000 78.541 -176.37
3,110.0000 78.523 -177.21
3,150.0000 78.500 -178.03
3,200.0000 78.466 -179.02
3,250.0000 78.425 -179.97
3,300.0000 78.380 179.13
3,350.0000 78.332 178.26
3,400.0000 78.280 177.43
3,450.0000 78.226 176.64
3,500.0000 78.168 175.89
3,550.0000 78.109 175.16
3,600.0000 78.048 174.47
3,650.0000 77.987 173.80
3,700.0000 77.923 173.17
3,750.0000 77.860 172.57
3,820.0000 77.772 171.76
3,870.0000 77.713 171.21
3,950.0000 77.625 170.38
4,000.0000 77.571 169.88
4,060.0000 77.508 169.32
4,120.0000 77.448 168.78
4,180.0000 77.394 168.25
4,250.0000 77.339 167.62
4,310.0000 77.296 167.03
4,370.0000 77.254 166.38
4,440.0000 77.199 165.52
4,500.0000 77.143 164.73
4,550.0000 77.088 164.04
4,620.0000 76.997 163.05
4,680.0000 76.905 162.19
4,750.0000 76.782 161.20
4,820.0000 76.638 160.23
4,870.0000 76.520 159.56
4,940.0000 76.335 158.67
5,000.0000 76.161 157.98
5,080.0000 75.914 157.17
5,150.0000 75.687 156.56
5,220.0000 75.453 156.07
5,300.0000 75.177 155.62
5,380.0000 74.892 155.31
5,450.0000 74.635 155.14
5,520.0000 74.368 155.09
5,600.0000 74.055 155.18
5,700.0000 73.666 155.55
5,800.0000 73.307 156.15
5,900.0000 72.963 156.76
6,000.0000 72.602 157.48
6,080.0000 72.315 158.27
6,150.0000 72.073 159.10
6,220.0000 71.843 160.04
6,300.0000 71.598 161.23
6,400.0000 71.317 162.85
6,500.0000 71.064 164.56
6,600.0000 70.838 166.36
6,700.0000 70.640 168.23
6,800.0000 70.468 170.16
6,900.0000 70.328 172.16
7,000.0000 70.222 174.22
7,100.0000 70.151 176.36
7,200.0000 70.118 178.54
7,300.0000 70.120 -179.31
7,400.0000 70.154 -177.22
7,500.0000 70.220 -175.16
