* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jul-2022 14:09:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aria Snow Edition (Grey) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.591	-132.4188
20.600000	90.637	-132.9814
20.900000	90.710	-134.1399
21.200001	90.714	-135.3622
21.400000	90.672	-136.1006
21.799999	90.520	-137.1317
22.000000	90.432	-137.3378
22.400000	90.288	-137.1340
22.700001	90.255	-136.6353
23.000000	90.308	-136.1292
23.299999	90.436	-135.8844
23.600000	90.610	-136.0889
24.000000	90.851	-137.1400
24.299999	90.998	-138.3932
24.700001	91.120	-140.3842
25.000000	91.153	-141.8883
25.400000	91.136	-143.6544
25.799999	91.083	-144.9859
26.200001	91.032	-145.8755
26.500000	91.012	-146.3253
26.900000	91.012	-146.7782
27.200001	91.029	-147.0876
27.600000	91.061	-147.5068
28.000000	91.091	-147.9000
28.500000	91.132	-148.2515
29.000000	91.200	-148.4750
29.500000	91.307	-148.8246
30.000000	91.417	-149.5780
30.400000	91.470	-150.4663
30.700001	91.474	-151.1950
31.100000	91.429	-152.0777
31.500000	91.345	-152.6915
32.000000	91.230	-152.9815
32.500000	91.154	-152.8714
33.000000	91.144	-152.7069
33.500000	91.181	-152.8015
34.000000	91.218	-153.2064
34.500000	91.230	-153.7010
35.000000	91.243	-154.1062
35.500000	91.289	-154.5809
36.000000	91.343	-155.4183
36.500000	91.346	-156.5233
37.000000	91.296	-157.3932
37.500000	91.285	-157.8601
38.200001	91.420	-159.2056
38.700001	91.451	-161.4594
39.500000	91.003	-164.6627
40.000000	90.581	-163.9778
40.599998	90.478	-161.0306
41.200001	90.878	-159.3867
41.799999	91.282	-160.6031
42.500000	91.403	-163.0548
43.099998	91.374	-164.0452
43.700001	91.413	-164.3961
44.400002	91.493	-165.0353
45.000000	91.503	-165.6054
45.500000	91.480	-165.8196
46.200001	91.444	-165.7524
46.799999	91.419	-165.5268
47.500000	91.387	-165.1565
48.200001	91.357	-164.6261
48.700001	91.362	-164.1380
49.400002	91.451	-163.6604
50.000000	91.574	-163.9800
50.799999	91.649	-165.5341
51.500000	91.578	-167.0249
52.200001	91.475	-168.0484
53.000000	91.411	-169.0063
53.799999	91.376	-170.0134
54.500000	91.356	-170.7733
55.200001	91.358	-171.4082
56.000000	91.368	-172.0226
57.000000	91.377	-172.4081
58.000000	91.420	-172.3830
59.000000	91.506	-172.4875
60.000000	91.553	-173.1992
60.799999	91.496	-173.9671
61.500000	91.391	-174.4522
62.200001	91.273	-174.7088
63.000000	91.154	-174.8127
64.000000	91.063	-174.7903
65.000000	91.056	-174.9220
66.000000	91.088	-175.3931
67.000000	91.118	-176.0504
68.000000	91.127	-176.7107
69.000000	91.118	-177.2509
70.000000	91.088	-177.6874
71.000000	91.047	-177.9321
72.000000	91.029	-178.1987
73.000000	90.998	-178.7148
74.000000	90.937	-179.1685
75.000000	90.891	-179.4789
76.199997	90.869	-179.7870
77.500000	90.898	179.8970
78.800003	90.965	179.4163
80.000000	91.010	178.5982
81.199997	90.941	177.9014
82.500000	90.850	177.8452
83.800003	90.781	177.7406
85.000000	90.699	177.5185
86.199997	90.607	177.2435
87.500000	90.554	176.9109
88.500000	90.553	176.3688
90.000000	90.555	175.1481
91.199997	90.490	174.1780
92.500000	90.357	173.9839
93.800003	90.251	174.5167
95.000000	90.181	175.2326
96.199997	90.118	175.7191
97.500000	89.986	176.0927
98.800003	89.860	176.8401
100.000000	89.836	177.4937
101.500000	89.864	178.0176
103.000000	89.956	178.6910
104.400002	90.099	179.1417
106.000000	90.242	179.1890
107.500000	90.311	178.7861
109.000000	90.306	178.0699
110.599998	90.245	177.3240
112.000000	90.209	176.9005
113.800003	90.230	176.3817
115.000000	90.251	175.8484
117.199997	90.244	174.6071
118.000000	90.233	173.9950
120.599998	90.111	171.9558
122.000000	90.036	171.4031
124.099998	89.870	171.6496
125.000000	89.782	172.2337
126.500000	89.651	173.2874
128.000000	89.553	173.7952
131.500000	89.648	169.6462
132.000000	89.637	168.6749
134.000000	89.494	166.7761
136.000000	89.448	168.5896
138.000000	89.550	171.0481
140.000000	89.570	172.1900
143.000000	89.636	172.3290
145.000000	89.741	171.3758
147.500000	89.641	170.9288
150.000000	89.610	171.3692
152.500000	89.611	170.6387
155.000000	89.538	169.8450
157.500000	89.459	169.6743
160.000000	89.427	169.4630
162.500000	89.385	169.4868
165.000000	89.348	169.8249
167.500000	89.269	170.0654
170.000000	89.183	170.0803
172.500000	89.112	169.8176
175.000000	89.062	169.6251
177.500000	89.041	169.7513
180.000000	89.018	170.3945
182.500000	89.016	171.1211
185.000000	89.002	170.9073
187.500000	88.931	170.2047
190.000000	88.883	169.7420
192.500000	88.859	169.5383
195.000000	88.819	169.5438
197.500000	88.780	169.9201
200.000000	88.774	170.2592
203.000000	88.726	170.2628
206.000000	88.680	170.0079
209.000000	88.649	169.7944
212.000000	88.640	169.6182
214.000000	88.609	169.5289
218.000000	88.549	169.9850
220.000000	88.494	170.2914
224.000000	88.322	170.7887
227.000000	88.241	170.4445
230.000000	88.167	169.7009
233.000000	88.176	169.1634
236.000000	88.260	169.0565
240.000000	88.253	169.9101
243.000000	88.177	170.3013
247.000000	88.123	170.3340
250.000000	88.081	170.4879
254.000000	88.027	170.5653
258.000000	87.989	170.6389
262.000000	87.943	170.3188
265.000000	87.978	169.9774
269.000000	87.978	170.1833
272.000000	87.890	170.3839
276.000000	87.804	170.4726
280.000000	87.774	170.9000
285.000000	87.718	171.3953
290.000000	87.674	171.6052
295.000000	87.651	171.7687
300.000000	87.608	171.8453
304.000000	87.582	172.0102
307.000000	87.570	172.1370
311.000000	87.531	172.3222
315.000000	87.493	172.6139
320.000000	87.456	172.8705
325.000000	87.415	172.9858
330.000000	87.374	173.1866
335.000000	87.344	173.5032
340.000000	87.326	173.6382
345.000000	87.295	173.7277
350.000000	87.235	173.7953
355.000000	87.200	174.0131
360.000000	87.184	174.4274
365.000000	87.169	174.7653
370.000000	87.154	175.0359
375.000000	87.143	175.2017
382.000000	87.104	175.3597
387.000000	87.067	175.5479
395.000000	87.053	175.9145
400.000000	87.046	176.3097
406.000000	87.010	176.6110
412.000000	86.974	176.6581
418.000000	86.938	176.9498
425.000000	86.900	177.3911
431.000000	86.881	177.7292
437.000000	86.868	178.0059
444.000000	86.852	178.3011
450.000000	86.836	178.5999
455.000000	86.824	178.8433
462.000000	86.808	179.1904
468.000000	86.795	179.4909
475.000000	86.777	179.8348
482.000000	86.758	-179.8089
487.000000	86.743	-179.5624
494.000000	86.723	-179.2183
500.000000	86.715	-178.9201
508.000000	86.703	-178.5595
515.000000	86.681	-178.2351
522.000000	86.667	-177.8729
530.000000	86.659	-177.4898
538.000000	86.654	-177.1502
545.000000	86.652	-176.7966
552.000000	86.648	-176.4356
560.000000	86.641	-176.0258
570.000000	86.626	-175.4652
580.000000	86.606	-174.9097
590.000000	86.595	-174.4170
600.000000	86.589	-173.9105
608.000000	86.583	-173.5481
615.000000	86.581	-173.2132
622.000000	86.581	-172.8428
630.000000	86.581	-172.4391
640.000000	86.583	-171.9441
650.000000	86.585	-171.3978
660.000000	86.590	-170.8497
670.000000	86.597	-170.2990
680.000000	86.604	-169.7821
690.000000	86.612	-169.2763
700.000000	86.616	-168.7279
710.000000	86.627	-168.1745
720.000000	86.642	-167.6234
730.000000	86.656	-167.0144
740.000000	86.679	-166.4371
750.000000	86.706	-165.9255
762.000000	86.741	-165.2990
775.000000	86.775	-164.5812
788.000000	86.798	-163.8899
