* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jul-2022 14:19:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aria Snow Edition (Spring) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.629	-136.3196
20.600000	90.546	-136.4053
20.900000	90.385	-136.3721
21.200001	90.292	-135.9017
21.400000	90.289	-135.4876
21.799999	90.376	-135.0208
22.000000	90.439	-135.1057
22.400000	90.544	-135.8562
22.700001	90.575	-136.6936
23.000000	90.572	-137.5521
23.299999	90.551	-138.3279
23.600000	90.535	-139.0239
24.000000	90.533	-139.9287
24.299999	90.547	-140.6215
24.700001	90.587	-141.5307
25.000000	90.647	-142.2193
25.400000	90.779	-143.3438
25.799999	90.932	-145.0650
26.200001	91.007	-147.4689
26.500000	90.947	-149.3896
26.900000	90.693	-151.1524
27.200001	90.427	-151.2368
27.600000	90.178	-149.4912
28.000000	90.274	-146.6949
28.500000	90.855	-144.6675
29.000000	91.433	-145.9991
29.500000	91.636	-149.1399
30.000000	91.498	-151.2639
30.400000	91.342	-151.5081
30.700001	91.302	-151.2217
31.100000	91.372	-151.0612
31.500000	91.480	-151.7908
32.000000	91.480	-153.6791
32.500000	91.272	-155.3577
33.000000	90.994	-155.8086
33.500000	90.840	-155.2891
34.000000	90.877	-154.8619
34.500000	91.015	-155.2575
35.000000	91.124	-156.3621
35.500000	91.154	-157.5099
36.000000	91.160	-158.1285
36.500000	91.232	-158.3092
37.000000	91.370	-158.6848
37.500000	91.459	-159.5025
38.200001	91.380	-159.8364
38.700001	91.365	-158.5056
39.500000	91.873	-156.5237
40.000000	92.275	-157.8981
40.599998	92.390	-161.7363
41.200001	92.041	-164.9659
41.799999	91.525	-165.8767
42.500000	91.127	-165.5035
43.099998	90.938	-165.5945
43.700001	90.769	-165.8476
44.400002	90.689	-165.9078
45.000000	90.758	-166.3983
45.500000	90.835	-167.3226
46.200001	90.885	-168.8205
46.799999	90.885	-169.7612
47.500000	90.864	-170.2179
48.200001	90.864	-169.8558
48.700001	90.923	-169.2958
49.400002	91.074	-168.9209
50.000000	91.149	-169.3310
50.799999	91.033	-169.9980
51.500000	90.833	-169.5437
52.200001	90.773	-168.4460
53.000000	90.925	-168.3250
53.799999	91.047	-170.1324
54.500000	91.021	-172.2157
55.200001	90.938	-174.1535
56.000000	90.767	-176.0780
57.000000	90.467	-176.2379
58.000000	90.578	-174.4364
59.000000	90.888	-174.6937
60.000000	90.940	-175.4800
60.799999	90.957	-175.5437
61.500000	90.978	-175.8249
62.200001	90.945	-176.3080
63.000000	90.845	-176.6446
64.000000	90.735	-176.4629
65.000000	90.751	-176.1767
66.000000	90.825	-176.5417
67.000000	90.849	-177.1863
68.000000	90.857	-177.6501
69.000000	90.872	-178.2213
70.000000	90.843	-178.9057
71.000000	90.789	-179.3075
72.000000	90.777	-179.5820
73.000000	90.793	179.9921
74.000000	90.812	179.3760
75.000000	90.792	178.6569
76.199997	90.710	178.1246
77.500000	90.621	178.0003
78.800003	90.584	177.8680
80.000000	90.528	177.2209
81.199997	90.415	176.8806
82.500000	90.376	176.6563
83.800003	90.331	176.1802
85.000000	90.280	175.9831
86.199997	90.233	175.8297
87.500000	90.160	175.6722
88.500000	90.094	175.5804
90.000000	89.994	175.3159
91.199997	89.912	175.0514
92.500000	89.853	174.6547
93.800003	89.788	174.0610
95.000000	89.705	173.6617
96.199997	89.611	173.5331
97.500000	89.508	173.8111
98.800003	89.431	174.4610
100.000000	89.394	175.1940
101.500000	89.383	176.0469
103.000000	89.425	176.7478
104.400002	89.522	176.9352
