* Measurement data measured by REW V5.20.8
* Source: C:\Users\DABKING\Downloads\autoeq_in-ear.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 7. 13 ���� 8:03:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\autoeq_in-ear.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: autoeq_in-ear
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	89.802
20.600000	89.839
20.900000	89.872
21.200001	89.895
21.400000	89.905
21.799999	89.918
22.000000	89.922
22.400000	89.927
22.700001	89.925
23.000000	89.920
23.299999	89.918
23.600000	89.918
24.000000	89.920
24.299999	89.919
24.700001	89.910
25.000000	89.908
25.400000	89.907
25.799999	89.902
26.200001	89.897
26.500000	89.893
26.900000	89.888
27.200001	89.887
27.600000	89.883
28.000000	89.876
28.500000	89.867
29.000000	89.856
29.500000	89.852
30.000000	89.844
30.400000	89.832
30.700001	89.825
31.100000	89.819
31.500000	89.813
32.000000	89.798
32.500000	89.788
33.000000	89.779
33.500000	89.766
34.000000	89.754
34.500000	89.739
35.000000	89.725
35.500000	89.711
36.000000	89.697
36.500000	89.683
37.000000	89.669
37.500000	89.655
38.200001	89.632
38.700001	89.618
39.500000	89.590
40.000000	89.576
40.599998	89.560
41.200001	89.545
41.799999	89.529
42.500000	89.512
43.099998	89.494
43.700001	89.469
44.400002	89.435
45.000000	89.409
45.500000	89.391
46.200001	89.367
46.799999	89.347
47.500000	89.320
48.200001	89.291
48.700001	89.263
49.400002	89.220
50.000000	89.185
50.799999	89.151
51.500000	89.116
52.200001	89.085
53.000000	89.050
53.799999	89.014
54.500000	88.981
55.200001	88.947
56.000000	88.913
57.000000	88.870
58.000000	88.828
59.000000	88.792
60.000000	88.753
60.799999	88.713
61.500000	88.674
62.200001	88.637
63.000000	88.598
64.000000	88.551
65.000000	88.509
66.000000	88.467
67.000000	88.422
68.000000	88.378
69.000000	88.333
70.000000	88.286
71.000000	88.245
72.000000	88.197
73.000000	88.147
74.000000	88.102
75.000000	88.056
76.199997	88.004
77.500000	87.951
78.800003	87.898
80.000000	87.848
81.199997	87.797
82.500000	87.743
83.800003	87.684
85.000000	87.634
86.199997	87.584
87.500000	87.526
88.500000	87.483
90.000000	87.415
91.199997	87.355
92.500000	87.294
93.800003	87.235
95.000000	87.180
96.199997	87.120
97.500000	87.056
98.800003	86.992
100.000000	86.937
101.500000	86.868
103.000000	86.797
104.400002	86.735
106.000000	86.666
107.500000	86.597
109.000000	86.528
110.599998	86.460
112.000000	86.394
113.800003	86.307
115.000000	86.251
117.199997	86.151
118.000000	86.115
120.599998	86.007
122.000000	85.947
124.099998	85.864
125.000000	85.828
126.500000	85.768
128.000000	85.705
131.500000	85.569
132.000000	85.552
134.000000	85.485
136.000000	85.418
138.000000	85.352
140.000000	85.288
143.000000	85.209
145.000000	85.155
147.500000	85.093
150.000000	85.031
152.500000	84.964
155.000000	84.900
157.500000	84.835
160.000000	84.769
162.500000	84.708
165.000000	84.652
167.500000	84.594
170.000000	84.538
172.500000	84.486
175.000000	84.432
177.500000	84.373
180.000000	84.317
182.500000	84.268
185.000000	84.220
187.500000	84.173
190.000000	84.130
192.500000	84.090
195.000000	84.051
197.500000	84.012
200.000000	83.978
203.000000	83.947
206.000000	83.920
209.000000	83.894
212.000000	83.872
214.000000	83.864
218.000000	83.846
220.000000	83.836
224.000000	83.826
227.000000	83.828
230.000000	83.832
233.000000	83.836
236.000000	83.838
240.000000	83.846
243.000000	83.857
247.000000	83.874
250.000000	83.889
254.000000	83.915
258.000000	83.940
262.000000	83.967
265.000000	83.986
269.000000	84.015
272.000000	84.039
276.000000	84.068
280.000000	84.094
285.000000	84.125
290.000000	84.158
295.000000	84.193
300.000000	84.228
304.000000	84.257
307.000000	84.281
311.000000	84.312
315.000000	84.345
320.000000	84.378
325.000000	84.407
330.000000	84.439
335.000000	84.465
340.000000	84.496
345.000000	84.523
350.000000	84.549
355.000000	84.572
360.000000	84.597
365.000000	84.619
370.000000	84.635
375.000000	84.655
382.000000	84.684
387.000000	84.696
395.000000	84.719
400.000000	84.730
406.000000	84.745
412.000000	84.764
418.000000	84.777
425.000000	84.789
431.000000	84.803
437.000000	84.817
444.000000	84.833
450.000000	84.849
455.000000	84.865
462.000000	84.884
468.000000	84.903
475.000000	84.925
482.000000	84.945
487.000000	84.958
494.000000	84.979
500.000000	84.997
508.000000	85.019
515.000000	85.038
522.000000	85.062
530.000000	85.085
538.000000	85.108
545.000000	85.130
552.000000	85.151
560.000000	85.173
570.000000	85.194
580.000000	85.216
590.000000	85.242
600.000000	85.268
608.000000	85.290
615.000000	85.309
622.000000	85.326
630.000000	85.345
640.000000	85.365
650.000000	85.383
660.000000	85.404
670.000000	85.419
680.000000	85.433
690.000000	85.450
700.000000	85.462
710.000000	85.473
720.000000	85.481
730.000000	85.493
740.000000	85.506
750.000000	85.516
762.000000	85.524
775.000000	85.533
788.000000	85.542
800.000000	85.546
812.000000	85.551
825.000000	85.552
838.000000	85.553
850.000000	85.557
862.000000	85.557
875.000000	85.560
885.000000	85.566
900.000000	85.572
912.000000	85.575
925.000000	85.577
938.000000	85.579
950.000000	85.586
962.000000	85.595
975.000000	85.607
988.000000	85.618
1000.000000	85.633
1015.000000	85.655
1030.000000	85.677
1044.000000	85.697
1060.000000	85.723
1075.000000	85.755
1090.000000	85.786
1106.000000	85.823
1120.000000	85.861
1138.000000	85.916
1150.000000	85.955
1172.000000	86.025
1180.000000	86.052
1206.000000	86.149
1220.000000	86.204
1241.000000	86.284
1250.000000	86.318
1265.000000	86.378
1280.000000	86.441
1315.000000	86.599
1320.000000	86.622
1340.000000	86.714
1360.000000	86.812
1380.000000	86.907
1400.000000	86.996
1430.000000	87.131
1450.000000	87.217
1475.000000	87.322
1500.000000	87.435
1525.000000	87.558
1550.000000	87.684
1575.000000	87.811
1600.000000	87.937
1625.000000	88.075
1650.000000	88.216
1675.000000	88.355
1700.000000	88.490
1725.000000	88.637
1750.000000	88.787
1775.000000	88.935
1800.000000	89.078
1825.000000	89.228
1850.000000	89.381
1875.000000	89.527
1900.000000	89.672
1925.000000	89.820
1950.000000	89.971
1975.000000	90.117
2000.000000	90.253
2030.000000	90.400
2060.000000	90.538
2090.000000	90.670
2120.000000	90.800
2140.000000	90.887
2180.000000	91.052
2200.000000	91.134
2240.000000	91.295
2270.000000	91.406
2300.000000	91.516
2330.000000	91.627
2360.000000	91.726
2400.000000	91.840
2430.000000	91.917
2470.000000	92.019
2500.000000	92.091
2540.000000	92.176
2580.000000	92.254
2620.000000	92.334
2650.000000	92.388
2690.000000	92.453
2720.000000	92.502
2760.000000	92.564
2800.000000	92.620
2850.000000	92.674
2900.000000	92.718
2950.000000	92.757
3000.000000	92.799
3040.000000	92.833
3070.000000	92.859
3110.000000	92.896
3150.000000	92.924
3200.000000	92.947
3250.000000	92.963
3300.000000	92.978
3350.000000	92.986
3400.000000	92.985
3450.000000	92.976
3500.000000	92.967
3550.000000	92.957
3600.000000	92.932
3650.000000	92.901
3700.000000	92.869
3750.000000	92.834
3820.000000	92.773
3870.000000	92.726
3950.000000	92.656
4000.000000	92.606
4060.000000	92.536
4120.000000	92.462
4180.000000	92.389
4250.000000	92.297
4310.000000	92.209
4370.000000	92.117
4440.000000	92.010
4500.000000	91.915
4550.000000	91.834
4620.000000	91.719
4680.000000	91.619
4750.000000	91.505
4820.000000	91.391
4870.000000	91.308
4940.000000	91.194
5000.000000	91.100
5080.000000	90.990
5150.000000	90.903
5220.000000	90.816
5300.000000	90.716
5380.000000	90.619
5450.000000	90.539
5520.000000	90.461
5600.000000	90.376
5700.000000	90.285
5800.000000	90.203
5900.000000	90.124
6000.000000	90.031
6080.000000	89.942
6150.000000	89.858
6220.000000	89.773
6300.000000	89.681
6400.000000	89.577
6500.000000	89.481
6600.000000	89.383
6700.000000	89.283
6800.000000	89.173
6900.000000	89.058
7000.000000	88.947
7100.000000	88.834
7200.000000	88.711
7300.000000	88.578
7400.000000	88.447
7500.000000	88.318
7620.000000	88.175
7750.000000	88.024
7880.000000	87.878
8000.000000	87.741
8120.000000	87.595
8250.000000	87.436
8380.000000	87.278
8500.000000	87.126
8620.000000	86.962
8750.000000	86.783
8850.000000	86.650
9000.000000	86.452
9120.000000	86.276
9250.000000	86.080
9380.000000	85.888
9500.000000	85.704
9620.000000	85.504
9750.000000	85.279
9880.000000	85.058
10000.000000	84.862
10150.000000	84.622
10300.000000	84.386
10440.000000	84.166
10600.000000	83.907
10750.000000	83.654
10900.000000	83.397
11060.000000	83.117
11200.000000	82.872
11380.000000	82.543
11500.000000	82.322
11720.000000	81.926
11800.000000	81.788
12060.000000	81.371
12200.000000	81.155
12410.000000	80.841
12500.000000	80.707
12650.000000	80.486
12800.000000	80.267
13150.000000	79.776
13200.000000	79.710
13400.000000	79.466
13600.000000	79.236
13800.000000	79.010
14000.000000	78.793
14300.000000	78.499
14500.000000	78.313
14750.000000	78.086
15000.000000	77.840
15250.000000	77.562
15500.000000	77.272
15750.000000	76.980
16000.000000	76.658
16250.000000	76.252
16500.000000	75.817
16750.000000	75.377
17000.000000	74.890
17250.000000	74.271
17500.000000	73.596
17750.000000	72.914
18000.000000	72.163
18250.000000	71.256
18500.000000	70.267
18750.000000	69.260
19000.000000	68.188
19250.000000	66.934
19500.000000	65.600
19750.000000	64.377
