* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 11 오후 6:20:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.679	-139.1736
20.600000	78.712	-139.6083
20.900000	78.770	-140.3983
21.200001	78.802	-141.1704
21.400000	78.810	-141.6401
21.799999	78.812	-142.4688
22.000000	78.814	-142.8392
22.400000	78.834	-143.5515
22.700001	78.866	-144.1408
23.000000	78.906	-144.8274
23.299999	78.940	-145.5819
23.600000	78.961	-146.3422
24.000000	78.979	-147.2660
24.299999	78.997	-147.8631
24.700001	79.042	-148.5944
25.000000	79.088	-149.1782
25.400000	79.152	-150.0775
25.799999	79.198	-151.0700
26.200001	79.217	-151.9994
26.500000	79.218	-152.5678
26.900000	79.217	-153.1317
27.200001	79.224	-153.4620
27.600000	79.248	-153.8887
28.000000	79.277	-154.3922
28.500000	79.294	-155.1266
29.000000	79.289	-155.8661
29.500000	79.279	-156.5591
30.000000	79.266	-157.2590
30.400000	79.252	-157.8540
30.700001	79.240	-158.3098
31.100000	79.224	-158.8937
31.500000	79.211	-159.4260
32.000000	79.210	-160.0351
32.500000	79.233	-160.6662
33.000000	79.271	-161.4096
33.500000	79.303	-162.2725
34.000000	79.314	-163.1609
34.500000	79.310	-163.9412
35.000000	79.306	-164.5494
35.500000	79.318	-165.0401
36.000000	79.346	-165.5259
36.500000	79.375	-166.0585
37.000000	79.395	-166.6028
37.500000	79.408	-167.1233
38.200001	79.432	-167.8879
38.700001	79.445	-168.5186
39.500000	79.421	-169.4920
40.000000	79.389	-169.9455
40.599998	79.362	-170.3952
41.200001	79.346	-170.9225
41.799999	79.319	-171.5377
42.500000	79.278	-172.1689
43.099998	79.263	-172.5716
43.700001	79.279	-172.9693
44.400002	79.315	-173.5470
45.000000	79.339	-174.1139
45.500000	79.349	-174.5924
46.200001	79.352	-175.2455
46.799999	79.346	-175.7802
47.500000	79.334	-176.3683
48.200001	79.322	-176.9350
48.700001	79.308	-177.3191
49.400002	79.276	-177.7729
50.000000	79.254	-178.0871
50.799999	79.248	-178.5905
51.500000	79.237	-179.2166
52.200001	79.205	-179.8361
53.000000	79.177	179.6498
53.799999	79.173	179.1649
54.500000	79.162	178.6914
55.200001	79.136	178.3123
56.000000	79.115	178.0032
57.000000	79.105	177.5045
58.000000	79.067	176.7198
59.000000	78.967	175.8550
60.000000	78.841	175.2401
60.799999	78.752	175.0503
61.500000	78.724	175.1855
62.200001	78.789	175.2848
63.000000	78.917	174.6722
64.000000	78.954	173.1385
65.000000	78.876	172.2192
66.000000	78.828	171.8123
67.000000	78.789	171.5083
68.000000	78.767	171.3094
69.000000	78.763	170.8845
70.000000	78.730	170.1326
71.000000	78.658	169.3708
72.000000	78.587	168.8306
73.000000	78.550	168.3806
74.000000	78.538	167.8645
75.000000	78.524	167.3765
76.199997	78.524	167.0016
77.500000	78.545	166.3818
78.800003	78.475	165.6243
80.000000	78.382	165.3413
81.199997	78.318	164.9877
82.500000	78.231	164.3815
83.800003	78.157	163.9283
85.000000	78.134	163.5013
86.199997	78.113	162.9852
87.500000	78.080	162.4788
88.500000	78.044	162.1330
90.000000	77.988	161.7451
91.199997	77.945	161.3666
92.500000	77.889	160.9182
93.800003	77.831	160.4857
95.000000	77.779	160.1710
96.199997	77.741	159.8794
97.500000	77.687	159.4743
98.800003	77.614	159.1696
100.000000	77.564	158.9051
101.500000	77.517	158.4456
103.000000	77.486	157.9868
104.400002	77.463	157.6179
106.000000	77.424	157.2220
107.500000	77.337	156.7352
109.000000	77.205	156.3337
110.599998	77.110	156.0070
112.000000	77.083	155.6144
113.800003	77.059	155.2305
115.000000	77.011	155.1946
117.199997	76.742	155.5554
