* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 8:38:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.310	51.8427
20.600000	109.348	51.5141
20.900000	109.423	50.9304
21.200001	109.487	50.3828
21.400000	109.523	50.0342
21.799999	109.588	49.3393
22.000000	109.619	48.9822
22.400000	109.677	48.2529
22.700001	109.719	47.6951
23.000000	109.761	47.1265
23.299999	109.802	46.5487
23.600000	109.843	45.9652
24.000000	109.897	45.1860
24.299999	109.938	44.6089
24.700001	109.993	43.8587
25.000000	110.035	43.3147
25.400000	110.094	42.6142
25.799999	110.153	41.9385
26.200001	110.212	41.2848
26.500000	110.255	40.8101
26.900000	110.310	40.2010
27.200001	110.349	39.7642
27.600000	110.398	39.2083
28.000000	110.444	38.6776
28.500000	110.498	38.0378
29.000000	110.548	37.4113
29.500000	110.593	36.7892
30.000000	110.633	36.1643
30.400000	110.663	35.6589
30.700001	110.683	35.2764
31.100000	110.709	34.7640
31.500000	110.733	34.2523
32.000000	110.762	33.6183
32.500000	110.792	32.9914
33.000000	110.823	32.3710
33.500000	110.855	31.7601
34.000000	110.886	31.1668
34.500000	110.918	30.5967
35.000000	110.951	30.0475
35.500000	110.984	29.5127
36.000000	111.014	28.9907
36.500000	111.041	28.4878
37.000000	111.065	28.0106
37.500000	111.087	27.5562
38.200001	111.118	26.9342
38.700001	111.138	26.4844
39.500000	111.165	25.7542
40.000000	111.178	25.3010
40.599998	111.193	24.7679
41.200001	111.208	24.2459
41.799999	111.224	23.7292
42.500000	111.244	23.1289
43.099998	111.260	22.6251
43.700001	111.275	22.1421
44.400002	111.294	21.6032
45.000000	111.309	21.1520
45.500000	111.320	20.7814
46.200001	111.334	20.2760
46.799999	111.343	19.8567
47.500000	111.351	19.3795
48.200001	111.359	18.9103
48.700001	111.364	18.5766
49.400002	111.370	18.1070
50.000000	111.374	17.7057
50.799999	111.379	17.1854
51.500000	111.383	16.7453
52.200001	111.389	16.3116
53.000000	111.396	15.8222
53.799999	111.400	15.3485
54.500000	111.403	14.9533
