* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 1:13:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.191	-165.7882
20.600000	78.194	-166.1184
20.900000	78.198	-166.7074
21.200001	78.194	-167.2659
21.400000	78.187	-167.6228
21.799999	78.167	-168.3278
22.000000	78.154	-168.6819
22.400000	78.125	-169.3803
22.700001	78.104	-169.8930
23.000000	78.085	-170.4043
23.299999	78.070	-170.9224
23.600000	78.058	-171.4528
24.000000	78.047	-172.1801
24.299999	78.041	-172.7331
24.700001	78.036	-173.4650
25.000000	78.033	-174.0006
25.400000	78.031	-174.6926
25.799999	78.031	-175.3629
26.200001	78.032	-176.0153
26.500000	78.032	-176.4913
26.900000	78.026	-177.1023
27.200001	78.019	-177.5388
27.600000	78.006	-178.0912
28.000000	77.992	-178.6167
28.500000	77.973	-179.2529
29.000000	77.951	-179.8820
29.500000	77.924	179.4915
30.000000	77.894	178.8678
30.400000	77.868	178.3716
30.700001	77.848	178.0020
31.100000	77.820	177.5159
31.500000	77.792	177.0413
32.000000	77.759	176.4648
32.500000	77.732	175.8936
33.000000	77.712	175.3053
33.500000	77.695	174.6921
34.000000	77.676	174.0759
34.500000	77.654	173.4932
35.000000	77.631	172.9601
35.500000	77.613	172.4577
36.000000	77.598	171.9537
36.500000	77.582	171.4364
37.000000	77.560	170.9223
37.500000	77.532	170.4339
38.200001	77.488	169.8019
38.700001	77.456	169.3721
39.500000	77.405	168.6855
40.000000	77.374	168.2455
40.599998	77.333	167.7075
41.200001	77.290	167.1767
41.799999	77.247	166.6656
42.500000	77.201	166.0789
43.099998	77.164	165.5720
43.700001	77.125	165.0831
44.400002	77.082	164.5597
45.000000	77.051	164.1310
45.500000	77.029	163.7617
46.200001	76.997	163.2135
46.799999	76.966	162.7266
47.500000	76.924	162.1724
48.200001	76.878	161.6742
48.700001	76.846	161.3590
49.400002	76.810	160.9411
50.000000	76.782	160.5683
50.799999	76.743	160.0452
51.500000	76.704	159.5948
52.200001	76.662	159.1724
53.000000	76.615	158.7220
53.799999	76.570	158.2753
54.500000	76.531	157.8615
55.200001	76.487	157.4350
56.000000	76.434	156.9641
57.000000	76.369	156.4170
58.000000	76.308	155.8966
59.000000	76.251	155.3837
60.000000	76.192	154.8621
60.799999	76.142	154.4549
61.500000	76.097	154.1234
62.200001	76.054	153.8048
63.000000	76.003	153.4436
64.000000	75.938	153.0219
65.000000	75.879	152.6096
66.000000	75.820	152.1540
67.000000	75.756	151.7099
68.000000	75.692	151.2996
69.000000	75.632	150.8862
70.000000	75.569	150.4625
71.000000	75.501	150.0557
72.000000	75.431	149.6896
73.000000	75.364	149.3667
74.000000	75.302	149.0580
75.000000	75.245	148.7251
76.199997	75.174	148.3083
77.500000	75.095	147.8795
78.800003	75.022	147.4761
80.000000	74.956	147.0426
81.199997	74.875	146.6206
82.500000	74.787	146.2536
83.800003	74.704	145.8943
85.000000	74.628	145.5795
86.199997	74.558	145.3004
87.500000	74.493	144.9944
88.500000	74.444	144.7302
90.000000	74.365	144.3572
91.199997	74.301	144.1015
92.500000	74.234	143.8337
93.800003	74.166	143.5489
95.000000	74.100	143.2794
96.199997	74.030	143.0181
97.500000	73.955	142.7617
98.800003	73.884	142.5075
100.000000	73.820	142.2760
101.500000	73.739	141.9890
103.000000	73.655	141.7242
104.400002	73.579	141.5029
106.000000	73.495	141.2415
107.500000	73.415	140.9835
109.000000	73.336	140.7492
110.599998	73.256	140.5027
112.000000	73.186	140.2709
113.800003	73.097	139.9918
115.000000	73.040	139.8401
117.199997	72.948	139.6270
118.000000	72.919	139.5570
120.599998	72.813	139.1664
122.000000	72.730	138.9862
124.099998	72.609	138.8255
125.000000	72.564	138.7528
126.500000	72.493	138.6159
128.000000	72.425	138.4738
131.500000	72.264	138.1486
132.000000	72.239	138.1095
134.000000	72.147	137.9692
136.000000	72.065	137.7998
138.000000	71.982	137.6360
140.000000	71.895	137.5457
143.000000	71.758	137.4622
145.000000	71.668	137.3943
147.500000	71.568	137.2779
150.000000	71.466	137.1591
152.500000	71.359	137.0930
155.000000	71.252	137.0236
157.500000	71.144	136.9665
160.000000	71.035	136.9285
162.500000	70.931	136.9249
165.000000	70.838	136.9395
167.500000	70.747	136.9933
170.000000	70.649	137.0781
172.500000	70.538	137.1548
175.000000	70.432	137.2558
177.500000	70.342	137.3942
180.000000	70.256	137.5657
182.500000	70.167	137.7710
185.000000	70.086	138.0036
187.500000	70.018	138.2874
190.000000	69.963	138.5926
192.500000	69.918	138.8388
195.000000	69.883	139.0193
197.500000	69.858	139.1600
200.000000	69.836	139.2411
203.000000	69.806	139.2226
206.000000	69.766	139.1508
209.000000	69.717	139.1334
212.000000	69.660	139.0756
214.000000	69.616	138.9920
218.000000	69.532	138.8477
220.000000	69.495	138.8093
224.000000	69.417	138.7373
227.000000	69.348	138.6271
230.000000	69.272	138.5130
233.000000	69.198	138.4440
236.000000	69.126	138.4128
240.000000	69.030	138.4045
243.000000	68.954	138.4187
247.000000	68.848	138.4833
250.000000	68.772	138.5351
254.000000	68.674	138.6021
258.000000	68.574	138.6893
262.000000	68.473	138.7918
265.000000	68.402	138.8945
269.000000	68.311	139.0764
272.000000	68.246	139.2137
276.000000	68.166	139.3721
280.000000	68.084	139.5387
285.000000	67.981	139.7638
290.000000	67.880	140.0399
295.000000	67.785	140.3370
300.000000	67.695	140.6066
304.000000	67.624	140.8311
307.000000	67.574	141.0065
311.000000	67.511	141.2560
315.000000	67.452	141.5279
320.000000	67.387	141.8687
325.000000	67.324	142.1897
330.000000	67.265	142.4795
335.000000	67.203	142.7555
340.000000	67.135	143.0480
345.000000	67.065	143.3353
350.000000	66.993	143.5743
355.000000	66.922	143.8019
360.000000	66.854	144.0558
365.000000	66.790	144.3395
370.000000	66.725	144.5899
375.000000	66.656	144.8411
382.000000	66.563	145.2867
387.000000	66.501	145.6241
395.000000	66.403	146.1188
400.000000	66.344	146.4413
406.000000	66.275	146.8345
412.000000	66.212	147.2228
418.000000	66.149	147.5951
425.000000	66.076	148.0283
431.000000	66.017	148.4252
437.000000	65.958	148.8239
444.000000	65.891	149.2930
450.000000	65.834	149.6815
455.000000	65.790	150.0155
462.000000	65.733	150.5143
468.000000	65.682	150.9772
475.000000	65.620	151.5270
482.000000	65.562	152.0577
487.000000	65.522	152.4589
494.000000	65.471	153.0849
500.000000	65.443	153.6240
508.000000	65.430	154.2411
515.000000	65.422	154.6923
522.000000	65.405	155.0818
530.000000	65.370	155.4661
538.000000	65.328	155.8645
545.000000	65.291	156.2776
552.000000	65.254	156.7440
560.000000	65.213	157.2998
570.000000	65.165	157.9727
580.000000	65.122	158.5868
590.000000	65.086	159.2527
600.000000	65.051	159.9934
608.000000	65.019	160.5565
615.000000	64.991	161.0142
622.000000	64.965	161.4812
630.000000	64.941	162.0506
640.000000	64.916	162.7656
650.000000	64.891	163.4562
660.000000	64.872	164.1500
670.000000	64.854	164.8661
680.000000	64.831	165.5872
690.000000	64.809	166.3513
700.000000	64.797	167.1553
710.000000	64.801	167.9442
720.000000	64.809	168.6547
730.000000	64.810	169.3246
740.000000	64.814	170.0265
750.000000	64.818	170.7715
762.000000	64.820	171.6562
775.000000	64.830	172.5793
788.000000	64.856	173.4680
800.000000	64.874	174.2273
812.000000	64.877	174.9956
825.000000	64.884	175.9711
838.000000	64.920	177.0274
850.000000	64.968	177.9694
862.000000	65.013	178.8612
875.000000	65.070	179.7955
885.000000	65.120	-179.5126
900.000000	65.201	-178.4751
912.000000	65.268	-177.6606
925.000000	65.347	-176.8092
938.000000	65.430	-175.9989
950.000000	65.516	-175.2777
962.000000	65.609	-174.5849
975.000000	65.709	-173.8439
988.000000	65.815	-173.1089
1000.000000	65.917	-172.4647
1015.000000	66.034	-171.7392
1030.000000	66.157	-171.0381
1044.000000	66.280	-170.4041
1060.000000	66.424	-169.7286
1075.000000	66.561	-169.1311
1090.000000	66.705	-168.5927
1106.000000	66.867	-168.0816
1120.000000	67.013	-167.6517
1138.000000	67.207	-167.1167
1150.000000	67.336	-166.7989
1172.000000	67.574	-166.3000
1180.000000	67.662	-166.1373
1206.000000	67.955	-165.6494
1220.000000	68.112	-165.4359
1241.000000	68.350	-165.1855
1250.000000	68.453	-165.1047
1265.000000	68.625	-165.0074
1280.000000	68.797	-164.9500
1315.000000	69.196	-164.9855
1320.000000	69.253	-165.0070
1340.000000	69.476	-165.1379
1360.000000	69.692	-165.3481
1380.000000	69.903	-165.6096
1400.000000	70.114	-165.9184
1430.000000	70.424	-166.4951
1450.000000	70.625	-166.9448
1475.000000	70.868	-167.5678
1500.000000	71.100	-168.2242
1525.000000	71.321	-168.9273
1550.000000	71.535	-169.6675
1575.000000	71.743	-170.4301
1600.000000	71.943	-171.2119
1625.000000	72.141	-172.0324
1650.000000	72.335	-172.8925
1675.000000	72.524	-173.7863
1700.000000	72.706	-174.7140
1725.000000	72.881	-175.6899
1750.000000	73.052	-176.7089
1775.000000	73.219	-177.7652
1800.000000	73.379	-178.8710
1825.000000	73.533	179.9724
1850.000000	73.679	178.7650
1875.000000	73.817	177.5090
1900.000000	73.949	176.2007
1925.000000	74.070	174.8490
1950.000000	74.179	173.4547
1975.000000	74.275	172.0178
2000.000000	74.359	170.5453
2030.000000	74.444	168.7456
2060.000000	74.509	166.9144
2090.000000	74.554	165.0666
2120.000000	74.577	163.2273
2140.000000	74.582	162.0092
2180.000000	74.562	159.6042
2200.000000	74.539	158.4282
2240.000000	74.468	156.1697
2270.000000	74.393	154.5540
2300.000000	74.300	153.0145
2330.000000	74.194	151.5656
2360.000000	74.077	150.2140
2400.000000	73.904	148.5576
2430.000000	73.764	147.4298
2470.000000	73.570	146.0973
2500.000000	73.420	145.2182
2540.000000	73.214	144.1939
2580.000000	73.004	143.3292
2620.000000	72.795	142.6189
2650.000000	72.639	142.1909
2690.000000	72.435	141.7371
2720.000000	72.285	141.4795
2760.000000	72.091	141.2461
2800.000000	71.902	141.1302
2850.000000	71.673	141.1171
2900.000000	71.459	141.2537
2950.000000	71.259	141.5164
3000.000000	71.071	141.8858
3040.000000	70.931	142.2523
3070.000000	70.832	142.5607
3110.000000	70.709	143.0140
3150.000000	70.593	143.5077
3200.000000	70.462	144.1887
3250.000000	70.345	144.9398
3300.000000	70.241	145.7219
3350.000000	70.151	146.5391
3400.000000	70.074	147.3983
3450.000000	70.011	148.2879
3500.000000	69.970	149.2105
3550.000000	69.946	150.1447
3600.000000	69.930	151.0782
3650.000000	69.926	152.0247
3700.000000	69.932	152.9793
3750.000000	69.950	153.9294
3820.000000	69.991	155.2515
3870.000000	70.030	156.1966
3950.000000	70.112	157.6716
4000.000000	70.177	158.5605
4060.000000	70.268	159.5891
4120.000000	70.373	160.5668
4180.000000	70.495	161.4783
4250.000000	70.655	162.4435
4310.000000	70.802	163.1741
4370.000000	70.950	163.7959
4440.000000	71.130	164.3647
4500.000000	71.295	164.7267
4550.000000	71.438	164.9293
4620.000000	71.646	165.0281
4680.000000	71.826	164.9345
4750.000000	72.035	164.6030
4820.000000	72.237	164.0167
4870.000000	72.373	163.4383
