* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 1:21:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.824	-167.2499
20.600000	77.824	-167.5553
20.900000	77.822	-168.1002
21.200001	77.816	-168.6180
21.400000	77.809	-168.9521
21.799999	77.792	-169.6266
22.000000	77.781	-169.9758
22.400000	77.758	-170.6912
22.700001	77.739	-171.2393
23.000000	77.721	-171.7979
23.299999	77.702	-172.3641
23.600000	77.686	-172.9344
24.000000	77.667	-173.6961
24.299999	77.656	-174.2649
24.700001	77.645	-175.0168
25.000000	77.638	-175.5729
25.400000	77.629	-176.2970
25.799999	77.621	-176.9906
26.200001	77.612	-177.6450
26.500000	77.606	-178.1101
26.900000	77.596	-178.7022
27.200001	77.588	-179.1319
27.600000	77.574	-179.6923
28.000000	77.558	179.7590
28.500000	77.534	179.0912
29.000000	77.506	178.4417
29.500000	77.475	177.8020
30.000000	77.440	177.1669
30.400000	77.411	176.6642
30.700001	77.390	176.2917
31.100000	77.361	175.7992
31.500000	77.334	175.3070
32.000000	77.301	174.6864
32.500000	77.269	174.0645
33.000000	77.239	173.4550
33.500000	77.214	172.8647
34.000000	77.194	172.2851
34.500000	77.174	171.7019
35.000000	77.153	171.1122
35.500000	77.126	170.5298
36.000000	77.092	169.9790
36.500000	77.053	169.4796
37.000000	77.014	169.0338
37.500000	76.978	168.6194
38.200001	76.931	168.0236
38.700001	76.894	167.5635
39.500000	76.824	166.8291
40.000000	76.778	166.4120
40.599998	76.732	165.9351
41.200001	76.694	165.4203
41.799999	76.656	164.8499
42.500000	76.603	164.1863
43.099998	76.555	163.6872
43.700001	76.512	163.2509
44.400002	76.469	162.7662
45.000000	76.434	162.3360
45.500000	76.400	161.9675
46.200001	76.342	161.4745
46.799999	76.284	161.1263
47.500000	76.218	160.8401
48.200001	76.170	160.6212
48.700001	76.147	160.4446
49.400002	76.123	160.1192
50.000000	76.102	159.7705
50.799999	76.064	159.2614
51.500000	76.021	158.8693
52.200001	75.984	158.5777
53.000000	75.965	158.2354
53.799999	75.945	157.7196
54.500000	75.904	157.2213
55.200001	75.848	156.8224
56.000000	75.790	156.4512
57.000000	75.724	155.9619
58.000000	75.658	155.4718
59.000000	75.602	154.9680
60.000000	75.553	154.4229
60.799999	75.520	153.9569
61.500000	75.494	153.5245
62.200001	75.467	153.0693
63.000000	75.427	152.5354
64.000000	75.359	151.9578
65.000000	75.293	151.5406
66.000000	75.238	151.1100
67.000000	75.174	150.6191
68.000000	75.101	150.1433
69.000000	75.024	149.6774
70.000000	74.946	149.2392
71.000000	74.870	148.8406
72.000000	74.798	148.4739
73.000000	74.730	148.1318
74.000000	74.664	147.7881
75.000000	74.596	147.4448
76.199997	74.513	147.0403
77.500000	74.422	146.5964
78.800003	74.332	146.1572
80.000000	74.252	145.8059
81.199997	74.184	145.4762
82.500000	74.114	145.0851
83.800003	74.039	144.6782
85.000000	73.962	144.3017
86.199997	73.877	143.9818
87.500000	73.791	143.6890
88.500000	73.727	143.4478
90.000000	73.624	143.1137
91.199997	73.542	142.8901
92.500000	73.452	142.6542
93.800003	73.357	142.4646
95.000000	73.278	142.3376
96.199997	73.210	142.1717
97.500000	73.133	141.9609
98.800003	73.051	141.8322
100.000000	72.984	141.7975
101.500000	72.917	141.7434
103.000000	72.855	141.5828
104.400002	72.795	141.3424
106.000000	72.722	141.0476
107.500000	72.660	140.7971
109.000000	72.597	140.5392
110.599998	72.519	140.2942
112.000000	72.447	140.1044
113.800003	72.353	139.8550
115.000000	72.292	139.7079
117.199997	72.196	139.5312
118.000000	72.167	139.4878
120.599998	72.069	139.2131
122.000000	71.990	139.0613
124.099998	71.874	138.8986
125.000000	71.829	138.8123
126.500000	71.759	138.6487
128.000000	71.692	138.4908
131.500000	71.533	138.1790
132.000000	71.508	138.1374
134.000000	71.408	137.9873
136.000000	71.308	137.8575
138.000000	71.209	137.7493
140.000000	71.110	137.6766
143.000000	70.966	137.6354
145.000000	70.877	137.6735
147.500000	70.775	137.7629
150.000000	70.676	137.8712
152.500000	70.587	138.0192
155.000000	70.512	138.1104
157.500000	70.436	138.1442
160.000000	70.363	138.1229
162.500000	70.291	138.0544
165.000000	70.220	137.9968
167.500000	70.148	137.9677
170.000000	70.076	137.9366
172.500000	70.002	137.8671
175.000000	69.925	137.7720
177.500000	69.850	137.6673
180.000000	69.773	137.5811
182.500000	69.691	137.5609
185.000000	69.609	137.5558
187.500000	69.527	137.5430
190.000000	69.448	137.5582
192.500000	69.372	137.5957
195.000000	69.291	137.6352
197.500000	69.209	137.6914
200.000000	69.132	137.7837
203.000000	69.050	137.9301
206.000000	68.977	138.0846
209.000000	68.916	138.2237
212.000000	68.858	138.3071
214.000000	68.815	138.3278
218.000000	68.728	138.2867
220.000000	68.685	138.2571
224.000000	68.590	138.2463
227.000000	68.509	138.2722
230.000000	68.427	138.3038
233.000000	68.349	138.3377
236.000000	68.273	138.3879
240.000000	68.167	138.4856
243.000000	68.086	138.5832
247.000000	67.980	138.7417
250.000000	67.900	138.8795
254.000000	67.792	139.0954
258.000000	67.688	139.3832
262.000000	67.585	139.7381
265.000000	67.513	140.0048
269.000000	67.432	140.3585
272.000000	67.384	140.6443
276.000000	67.333	141.0329
280.000000	67.290	141.3643
285.000000	67.243	141.6318
290.000000	67.195	141.7408
295.000000	67.136	141.7922
300.000000	67.066	141.8954
304.000000	67.000	142.0120
307.000000	66.947	142.1111
311.000000	66.875	142.2639
315.000000	66.805	142.4291
320.000000	66.726	142.6398
325.000000	66.655	142.8508
330.000000	66.582	143.0706
335.000000	66.507	143.3772
340.000000	66.434	143.7213
345.000000	66.356	144.0075
350.000000	66.280	144.3004
355.000000	66.211	144.6526
360.000000	66.142	145.0072
365.000000	66.073	145.3023
370.000000	66.008	145.6003
375.000000	65.949	145.9143
382.000000	65.860	146.3614
387.000000	65.790	146.7021
395.000000	65.696	147.2418
400.000000	65.641	147.6095
406.000000	65.576	148.0173
412.000000	65.513	148.3782
418.000000	65.449	148.7796
425.000000	65.376	149.2845
431.000000	65.319	149.6966
437.000000	65.267	150.1063
444.000000	65.210	150.6004
450.000000	65.160	151.0234
455.000000	65.118	151.3741
462.000000	65.063	151.8746
468.000000	65.015	152.3052
475.000000	64.964	152.7813
482.000000	64.915	153.2563
487.000000	64.880	153.6332
494.000000	64.839	154.1701
500.000000	64.803	154.5990
508.000000	64.751	155.1208
515.000000	64.710	155.6039
522.000000	64.675	156.0980
530.000000	64.639	156.6703
538.000000	64.600	157.2512
545.000000	64.564	157.7349
552.000000	64.533	158.2383
560.000000	64.502	158.8104
570.000000	64.461	159.5172
580.000000	64.426	160.3052
590.000000	64.399	161.0633
600.000000	64.368	161.7894
608.000000	64.340	162.3416
615.000000	64.321	162.8591
622.000000	64.304	163.3972
630.000000	64.282	163.9881
640.000000	64.260	164.6859
650.000000	64.242	165.3988
660.000000	64.226	166.1490
670.000000	64.211	166.8976
680.000000	64.200	167.6345
690.000000	64.189	168.4291
700.000000	64.181	169.2646
710.000000	64.194	170.0848
720.000000	64.213	170.8093
730.000000	64.222	171.4732
740.000000	64.227	172.1418
750.000000	64.236	172.8662
762.000000	64.248	173.7604
775.000000	64.268	174.7010
788.000000	64.291	175.6253
800.000000	64.311	176.4367
812.000000	64.328	177.2503
825.000000	64.355	178.2654
838.000000	64.396	179.3250
850.000000	64.445	-179.7375
862.000000	64.505	-178.8627
875.000000	64.572	-177.9518
885.000000	64.628	-177.2841
900.000000	64.715	-176.3101
912.000000	64.787	-175.5411
925.000000	64.870	-174.7333
938.000000	64.959	-173.9112
950.000000	65.048	-173.1401
962.000000	65.137	-172.4171
975.000000	65.234	-171.7158
988.000000	65.341	-171.0406
1000.000000	65.449	-170.4135
1015.000000	65.574	-169.6529
1030.000000	65.702	-168.9425
1044.000000	65.826	-168.3169
1060.000000	65.973	-167.6391
1075.000000	66.112	-167.0228
1090.000000	66.260	-166.4656
1106.000000	66.430	-165.9159
1120.000000	66.586	-165.4501
1138.000000	66.785	-164.9021
1150.000000	66.917	-164.5885
1172.000000	67.165	-164.0686
1180.000000	67.256	-163.8894
1206.000000	67.561	-163.3806
1220.000000	67.731	-163.1687
1241.000000	67.986	-162.9384
1250.000000	68.095	-162.8637
1265.000000	68.280	-162.7551
1280.000000	68.466	-162.6827
