* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 1:28:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Spring
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.707	-164.4781
20.600000	76.708	-164.8090
20.900000	76.708	-165.3965
21.200001	76.704	-165.9477
21.400000	76.699	-166.2994
21.799999	76.684	-167.0051
22.000000	76.675	-167.3707
22.400000	76.655	-168.1235
22.700001	76.638	-168.7032
23.000000	76.621	-169.2943
23.299999	76.603	-169.8907
23.600000	76.585	-170.4863
24.000000	76.565	-171.2685
24.299999	76.553	-171.8402
24.700001	76.542	-172.5801
25.000000	76.537	-173.1212
25.400000	76.535	-173.8323
25.799999	76.537	-174.5396
26.200001	76.538	-175.2429
26.500000	76.535	-175.7603
26.900000	76.526	-176.4232
27.200001	76.515	-176.8916
27.600000	76.497	-177.4746
28.000000	76.480	-178.0205
28.500000	76.459	-178.6830
29.000000	76.436	-179.3554
29.500000	76.408	179.9595
30.000000	76.373	179.2855
30.400000	76.343	178.7682
30.700001	76.321	178.3929
31.100000	76.293	177.9000
31.500000	76.268	177.4040
32.000000	76.238	176.7695
32.500000	76.209	176.1245
33.000000	76.181	175.4849
33.500000	76.156	174.8595
34.000000	76.132	174.2500
34.500000	76.108	173.6602
35.000000	76.083	173.0967
35.500000	76.058	172.5593
36.000000	76.034	172.0368
36.500000	76.008	171.5197
37.000000	75.980	171.0093
37.500000	75.949	170.5106
38.200001	75.901	169.8237
38.700001	75.864	169.3304
39.500000	75.797	168.5535
40.000000	75.755	168.0903
40.599998	75.708	167.5443
41.200001	75.663	166.9845
41.799999	75.617	166.4197
42.500000	75.562	165.7941
43.099998	75.519	165.2935
43.700001	75.479	164.8017
44.400002	75.433	164.2159
45.000000	75.386	163.7139
45.500000	75.340	163.3266
46.200001	75.270	162.8818
46.799999	75.216	162.5861
47.500000	75.171	162.2338
48.200001	75.132	161.7715
48.700001	75.097	161.3878
49.400002	75.037	160.8610
50.000000	74.981	160.4542
50.799999	74.909	159.9420
51.500000	74.846	159.5073
52.200001	74.785	159.1053
53.000000	74.720	158.6734
53.799999	74.657	158.2525
54.500000	74.603	157.8980
55.200001	74.549	157.5307
56.000000	74.474	157.1090
57.000000	74.363	156.7470
58.000000	74.256	156.5287
59.000000	74.134	156.3707
60.000000	73.999	156.5276
60.799999	73.920	156.8696
61.500000	73.885	157.1949
62.200001	73.875	157.4912
63.000000	73.900	157.7771
64.000000	73.994	157.8774
65.000000	74.119	157.4081
66.000000	74.209	156.4698
67.000000	74.246	155.3970
68.000000	74.239	154.3804
69.000000	74.201	153.5104
70.000000	74.149	152.7746
71.000000	74.089	152.0927
72.000000	74.018	151.4428
73.000000	73.938	150.8363
74.000000	73.853	150.2852
75.000000	73.769	149.7874
76.199997	73.670	149.2274
77.500000	73.559	148.6808
78.800003	73.449	148.2382
80.000000	73.353	147.8326
81.199997	73.255	147.4380
82.500000	73.158	147.0214
83.800003	73.066	146.5511
85.000000	72.977	146.1318
86.199997	72.886	145.8022
87.500000	72.797	145.5397
88.500000	72.731	145.3128
90.000000	72.614	144.9925
91.199997	72.515	144.8273
92.500000	72.413	144.6746
93.800003	72.319	144.5469
95.000000	72.246	144.3960
96.199997	72.176	144.1808
97.500000	72.102	144.0021
98.800003	72.046	143.8762
100.000000	72.007	143.6884
101.500000	71.945	143.3501
103.000000	71.857	143.0023
104.400002	71.758	142.6949
106.000000	71.639	142.3364
107.500000	71.523	141.9844
109.000000	71.404	141.6984
110.599998	71.271	141.4940
112.000000	71.145	141.3990
113.800003	70.966	141.3207
115.000000	70.841	141.2592
117.199997	70.623	141.1005
118.000000	70.545	141.0203
120.599998	70.218	141.6750
122.000000	70.080	143.0417
124.099998	69.991	145.5280
125.000000	69.991	146.6353
126.500000	70.058	148.3597
128.000000	70.219	149.6826
131.500000	70.777	149.9703
132.000000	70.844	149.7066
134.000000	71.025	148.3051
136.000000	71.079	146.7341
138.000000	71.044	145.3236
140.000000	70.964	144.2255
143.000000	70.810	143.0748
145.000000	70.694	142.5695
147.500000	70.557	142.1165
150.000000	70.438	141.7952
152.500000	70.331	141.5850
155.000000	70.230	141.4478
157.500000	70.139	141.3059
160.000000	70.059	141.1184
162.500000	69.989	140.9424
165.000000	69.920	140.7643
167.500000	69.839	140.5642
170.000000	69.751	140.3104
172.500000	69.658	140.0294
175.000000	69.558	139.7921
