* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 30 오전 9:04:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCA CRA (제출용) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.931	-168.7291
20.600000	93.906	-168.8719
20.900000	93.852	-169.1345
21.200001	93.793	-169.4107
21.400000	93.750	-169.6184
21.799999	93.652	-170.1218
22.000000	93.597	-170.4248
22.400000	93.478	-171.1209
22.700001	93.388	-171.7061
23.000000	93.304	-172.3376
23.299999	93.227	-173.0203
23.600000	93.156	-173.7641
24.000000	93.075	-174.8633
24.299999	93.023	-175.7639
24.700001	92.965	-177.0326
25.000000	92.928	-177.9957
25.400000	92.889	-179.2437
25.799999	92.873	179.5836
26.200001	92.882	178.4852
26.500000	92.902	177.6973
26.900000	92.937	176.6850
27.200001	92.965	175.9613
27.600000	92.997	175.0688
28.000000	93.020	174.2923
28.500000	93.039	173.5023
29.000000	93.053	172.8668
29.500000	93.062	172.3097
30.000000	93.052	171.7858
30.400000	93.026	171.3954
30.700001	93.000	171.1264
31.100000	92.963	170.7957
31.500000	92.924	170.4751
32.000000	92.872	170.0388
32.500000	92.818	169.5232
33.000000	92.760	168.9339
33.500000	92.698	168.3057
34.000000	92.638	167.6612
34.500000	92.592	166.9917
35.000000	92.560	166.2791
35.500000	92.538	165.5278
36.000000	92.521	164.7755
36.500000	92.505	164.0704
37.000000	92.488	163.4471
37.500000	92.473	162.9081
38.200001	92.457	162.2637
38.700001	92.449	161.8655
39.500000	92.418	161.3298
40.000000	92.384	161.0438
40.599998	92.331	160.7159
41.200001	92.264	160.3749
41.799999	92.189	160.0040
42.500000	92.109	159.5058
43.099998	92.050	159.0033
43.700001	92.001	158.4523
44.400002	91.952	157.8061
45.000000	91.918	157.2776
45.500000	91.894	156.8561
46.200001	91.864	156.3031
46.799999	91.841	155.8778
47.500000	91.815	155.4341
48.200001	91.788	155.0316
48.700001	91.761	154.7747
49.400002	91.705	154.4656
50.000000	91.647	154.2234
50.799999	91.563	153.8683
51.500000	91.484	153.5054
52.200001	91.408	153.1096
53.000000	91.336	152.6385
53.799999	91.280	152.1745
54.500000	91.243	151.7905
55.200001	91.214	151.4155
56.000000	91.182	150.9947
57.000000	91.129	150.5451
58.000000	91.056	150.2024
59.000000	90.968	149.8920
60.000000	90.877	149.5570
60.799999	90.807	149.2501
61.500000	90.747	148.9667
62.200001	90.690	148.6917
63.000000	90.630	148.3959
64.000000	90.568	148.0464
65.000000	90.521	147.7131
66.000000	90.478	147.3954
67.000000	90.425	147.1046
68.000000	90.360	146.8455
69.000000	90.278	146.6031
70.000000	90.187	146.3562
71.000000	90.100	146.0944
72.000000	90.021	145.8235
73.000000	89.947	145.5603
74.000000	89.884	145.3228
75.000000	89.830	145.1110
76.199997	89.772	144.8718
77.500000	89.702	144.6153
78.800003	89.619	144.3454
80.000000	89.529	144.0981
81.199997	89.429	143.8825
82.500000	89.327	143.6810
83.800003	89.249	143.4875
85.000000	89.191	143.3045
86.199997	89.131	143.1198
87.500000	89.056	142.9288
88.500000	88.991	142.7932
90.000000	88.885	142.6128
91.199997	88.798	142.4838
92.500000	88.710	142.3505
93.800003	88.635	142.2189
95.000000	88.576	142.1001
96.199997	88.521	141.9904
97.500000	88.457	141.8813
98.800003	88.382	141.7806
100.000000	88.301	141.6971
101.500000	88.198	141.6017
103.000000	88.104	141.5132
104.400002	88.032	141.4347
106.000000	87.961	141.3484
107.500000	87.889	141.2723
109.000000	87.805	141.2025
110.599998	87.704	141.1410
112.000000	87.617	141.1008
113.800003	87.522	141.0673
115.000000	87.470	141.0540
117.199997	87.378	141.0439
118.000000	87.340	141.0411
120.599998	87.196	141.0248
122.000000	87.117	141.0235
124.099998	87.017	141.0488
125.000000	86.980	141.0691
126.500000	86.923	141.1100
128.000000	86.862	141.1530
131.500000	86.693	141.2412
132.000000	86.670	141.2525
134.000000	86.591	141.2944
136.000000	86.529	141.3282
138.000000	86.461	141.3538
140.000000	86.373	141.3776
143.000000	86.235	141.4279
145.000000	86.161	141.4808
147.500000	86.074	141.5663
150.000000	85.968	141.6646
152.500000	85.860	141.7773
155.000000	85.778	141.9010
157.500000	85.709	142.0267
160.000000	85.628	142.1483
162.500000	85.544	142.2668
165.000000	85.473	142.3853
167.500000	85.413	142.4980
170.000000	85.340	142.6044
172.500000	85.255	142.7114
175.000000	85.179	142.8227
177.500000	85.106	142.9398
180.000000	85.017	143.0671
182.500000	84.910	143.2079
185.000000	84.797	143.3613
187.500000	84.688	143.5267
190.000000	84.585	143.7037
192.500000	84.498	143.8885
195.000000	84.434	144.0792
197.500000	84.382	144.2729
200.000000	84.325	144.4641
203.000000	84.253	144.6895
206.000000	84.188	144.9122
209.000000	84.122	145.1380
212.000000	84.048	145.3714
214.000000	84.000	145.5275
218.000000	83.910	145.8352
220.000000	83.860	145.9909
224.000000	83.759	146.3149
