* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -17.0 dBFS with no timing reference
* Dated: 2022. 4. 20 ¿ÀÈÄ 6:02:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu_Softears UC_right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.773	-170.2722
20.600000	83.772	-170.4993
20.900000	83.768	-170.9026
21.200001	83.758	-171.2800
21.400000	83.748	-171.5202
21.799999	83.722	-172.0017
22.000000	83.707	-172.2525
22.400000	83.677	-172.7754
22.700001	83.661	-173.1860
23.000000	83.652	-173.6130
23.299999	83.645	-174.0524
23.600000	83.640	-174.4991
24.000000	83.636	-175.0977
24.299999	83.637	-175.5441
24.700001	83.643	-176.1316
25.000000	83.648	-176.5629
25.400000	83.655	-177.1177
25.799999	83.665	-177.6380
26.200001	83.677	-178.1159
26.500000	83.686	-178.4469
26.900000	83.693	-178.8571
27.200001	83.695	-179.1464
27.600000	83.692	-179.5122
28.000000	83.680	-179.8566
28.500000	83.654	179.7390
29.000000	83.621	179.3477
29.500000	83.586	178.9493
30.000000	83.546	178.5360
30.400000	83.510	178.1978
30.700001	83.485	177.9410
31.100000	83.458	177.5918
31.500000	83.435	177.2304
32.000000	83.408	176.7623
32.500000	83.386	176.2923
33.000000	83.370	175.8408
33.500000	83.357	175.4102
34.000000	83.348	174.9883
34.500000	83.341	174.5688
35.000000	83.335	174.1609
35.500000	83.327	173.7777
36.000000	83.316	173.4215
36.500000	83.301	173.0888
37.000000	83.279	172.7800
37.500000	83.250	172.4974
38.200001	83.209	172.1312
38.700001	83.186	171.8674
39.500000	83.140	171.4162
40.000000	83.102	171.1263
40.599998	83.049	170.7847
41.200001	82.992	170.4523
41.799999	82.936	170.1241
42.500000	82.883	169.7404
43.099998	82.852	169.4096
43.700001	82.830	169.0865
44.400002	82.810	168.7361
45.000000	82.793	168.4614
45.500000	82.777	168.2430
46.200001	82.750	167.9457
46.799999	82.721	167.7039
47.500000	82.686	167.4449
48.200001	82.652	167.2012
48.700001	82.627	167.0257
49.400002	82.581	166.7708
50.000000	82.533	166.5473
50.799999	82.463	166.2505
51.500000	82.402	165.9927
52.200001	82.346	165.7423
53.000000	82.298	165.4758
53.799999	82.263	165.2184
54.500000	82.236	164.9921
55.200001	82.210	164.7704
56.000000	82.181	164.5092
57.000000	82.132	164.1606
58.000000	82.059	163.8749
59.000000	81.978	163.6877
60.000000	81.910	163.5240
60.799999	81.867	163.3517
61.500000	81.830	163.1722
62.200001	81.791	163.0027
63.000000	81.747	162.8365
64.000000	81.701	162.6292
65.000000	81.665	162.4148
66.000000	81.634	162.2119
67.000000	81.603	162.0314
68.000000	81.564	161.8738
69.000000	81.507	161.7649
70.000000	81.434	161.7169
71.000000	81.354	161.7715
72.000000	81.301	161.9828
73.000000	81.293	161.9291
74.000000	81.258	161.4802
75.000000	81.182	161.1358
76.199997	81.107	160.9362
77.500000	81.044	160.7299
78.800003	80.980	160.5516
80.000000	80.916	160.4417
81.199997	80.847	160.3535
82.500000	80.772	160.2693
83.800003	80.715	160.1956
85.000000	80.676	160.1209
86.199997	80.637	160.0388
87.500000	80.587	159.9516
88.500000	80.542	159.8969
90.000000	80.464	159.8393
91.199997	80.398	159.8047
92.500000	80.329	159.7747
93.800003	80.273	159.7472
95.000000	80.233	159.7179
96.199997	80.198	159.6882
97.500000	80.156	159.6637
98.800003	80.103	159.6487
100.000000	80.044	159.6459
101.500000	79.967	159.6578
103.000000	79.899	159.6746
104.400002	79.851	159.6893
106.000000	79.805	159.7024
107.500000	79.756	159.7169
109.000000	79.696	159.7413
110.599998	79.621	159.7731
112.000000	79.555	159.8038
113.800003	79.486	159.8450
115.000000	79.451	159.8777
117.199997	79.388	159.9565
118.000000	79.360	159.9908
120.599998	79.249	160.1188
122.000000	79.188	160.1931
124.099998	79.111	160.3185
125.000000	79.084	160.3755
126.500000	79.042	160.4728
128.000000	78.994	160.5776
131.500000	78.849	160.8704
132.000000	78.828	160.9151
134.000000	78.754	161.0958
136.000000	78.695	161.2841
138.000000	78.633	161.4963
140.000000	78.552	161.7762
143.000000	78.421	162.4139
145.000000	78.371	162.9645
147.500000	78.329	163.4333
150.000000	78.220	163.9439
152.500000	78.097	165.0759
155.000000	78.083	166.4773
157.500000	78.173	167.7169
160.000000	78.326	168.4860
162.500000	78.491	168.6346
165.000000	78.633	168.2701
167.500000	78.720	167.6591
170.000000	78.735	167.0750
172.500000	78.703	166.6014
175.000000	78.661	166.2466
177.500000	78.614	166.0313
180.000000	78.544	165.9447
182.500000	78.461	165.9183
185.000000	78.380	165.8629
187.500000	78.299	165.8212
190.000000	78.217	165.8564
192.500000	78.151	165.9478
195.000000	78.112	166.0583
197.500000	78.088	166.1818
200.000000	78.056	166.3039
203.000000	78.007	166.4537
206.000000	77.969	166.6191
209.000000	77.931	166.8024
212.000000	77.886	166.9981
214.000000	77.857	167.1273
218.000000	77.808	167.3999
220.000000	77.781	167.5500
224.000000	77.723	167.8641
227.000000	77.685	168.1176
230.000000	77.646	168.3921
233.000000	77.606	168.6671
236.000000	77.571	168.9485
240.000000	77.532	169.3591
243.000000	77.511	169.6836
247.000000	77.504	170.1097
250.000000	77.498	170.3716
254.000000	77.478	170.6012
258.000000	77.465	170.8767
262.000000	77.456	171.1329
265.000000	77.443	171.2347
269.000000	77.420	171.3718
272.000000	77.398	171.5094
276.000000	77.367	171.7211
280.000000	77.337	171.9633
285.000000	77.304	172.2781
290.000000	77.277	172.5896
295.000000	77.243	172.9074
300.000000	77.207	173.2233
304.000000	77.179	173.4698
307.000000	77.160	173.6544
311.000000	77.137	173.9014
315.000000	77.117	174.1479
320.000000	77.097	174.4636
325.000000	77.077	174.7850
330.000000	77.053	175.1053
335.000000	77.030	175.4271
340.000000	77.011	175.7467
345.000000	76.998	176.0663
350.000000	76.983	176.3879
355.000000	76.963	176.7007
360.000000	76.943	177.0104
365.000000	76.923	177.3241
370.000000	76.905	177.6394
375.000000	76.889	177.9553
382.000000	76.867	178.3956
387.000000	76.852	178.7072
395.000000	76.834	179.1919
400.000000	76.826	179.4944
406.000000	76.814	179.8574
412.000000	76.798	-179.7877
418.000000	76.782	-179.4352
425.000000	76.771	-179.0225
431.000000	76.761	-178.6722
437.000000	76.749	-178.3255
444.000000	76.733	-177.9184
450.000000	76.721	-177.5703
455.000000	76.716	-177.2797
462.000000	76.711	-176.8735
468.000000	76.706	-176.5260
475.000000	76.702	-176.1171
482.000000	76.699	-175.7080
487.000000	76.694	-175.4157
494.000000	76.686	-175.0073
500.000000	76.683	-174.6616
508.000000	76.680	-174.2085
515.000000	76.676	-173.8168
522.000000	76.672	-173.4238
530.000000	76.673	-172.9740
538.000000	76.677	-172.5294
545.000000	76.675	-172.1467
552.000000	76.667	-171.7632
560.000000	76.660	-171.3223
570.000000	76.666	-170.7688
580.000000	76.673	-170.2105
590.000000	76.670	-169.6534
600.000000	76.664	-169.0918
608.000000	76.666	-168.6396
615.000000	76.673	-168.2402
622.000000	76.681	-167.8386
630.000000	76.690	-167.3806
640.000000	76.701	-166.8077
650.000000	76.714	-166.2367
660.000000	76.726	-165.6678
670.000000	76.741	-165.1019
680.000000	76.757	-164.5421
690.000000	76.769	-163.9893
700.000000	76.782	-163.4353
710.000000	76.799	-162.8769
720.000000	76.821	-162.3170
730.000000	76.847	-161.7617
740.000000	76.872	-161.2108
750.000000	76.898	-160.6538
762.000000	76.930	-159.9714
775.000000	76.968	-159.2302
788.000000	77.011	-158.4955
800.000000	77.054	-157.8194
812.000000	77.097	-157.1406
825.000000	77.143	-156.4110
838.000000	77.193	-155.6921
850.000000	77.238	-155.0379
862.000000	77.281	-154.3887
875.000000	77.330	-153.6851
885.000000	77.372	-153.1444
900.000000	77.431	-152.2986
912.000000	77.477	-151.5525
925.000000	77.531	-150.5936
938.000000	77.617	-149.3442
950.000000	77.783	-148.0712
962.000000	78.037	-147.3003
975.000000	78.287	-147.4365
988.000000	78.417	-147.9378
1000.000000	78.470	-148.1477
1015.000000	78.524	-148.0458
1030.000000	78.590	-147.7700
1044.000000	78.662	-147.4658
1060.000000	78.750	-147.1152
1075.000000	78.836	-146.8078
1090.000000	78.929	-146.5260
1106.000000	79.034	-146.2577
1120.000000	79.128	-146.0496
1138.000000	79.248	-145.8148
1150.000000	79.325	-145.6817
1172.000000	79.459	-145.4829
1180.000000	79.506	-145.4187
1206.000000	79.642	-145.2358
1220.000000	79.703	-145.1615
1241.000000	79.784	-145.0616
1250.000000	79.820	-145.0196
1265.000000	79.894	-144.9520
1280.000000	79.996	-144.8847
1315.000000	80.316	-144.7334
1320.000000	80.364	-144.7128
1340.000000	80.548	-144.6326
1360.000000	80.711	-144.5563
1380.000000	80.845	-144.4833
1400.000000	80.951	-144.4136
1430.000000	81.089	-144.3248
1450.000000	81.177	-144.2774
1475.000000	81.294	-144.2319
1500.000000	81.416	-144.1996
1525.000000	81.535	-144.1759
1550.000000	81.652	-144.1546
1575.000000	81.774	-144.1339
1600.000000	81.898	-144.1245
1625.000000	82.023	-144.1219
1650.000000	82.148	-144.1181
1675.000000	82.274	-144.1111
1700.000000	82.402	-144.1184
