* Measurement data measured by REW V5.20.8
* Source: C:\Users\DABKING\Downloads\새 결과\ChuR7.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 6. 25 오전 6:37:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\새 결과\ChuR7.csv Format: Comma/Tab/Space delimited data 720 values loaded, 12 Hz to 23,827 Hz log spaced
* Measurement: ChuR7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	79.022
20.600000	79.057
20.900000	79.090
21.200001	79.121
21.400000	79.140
21.799999	79.178
22.000000	79.194
22.400000	79.221
22.700001	79.245
23.000000	79.280
23.299999	79.315
23.600000	79.342
24.000000	79.377
24.299999	79.409
24.700001	79.449
25.000000	79.475
25.400000	79.509
25.799999	79.545
26.200001	79.582
26.500000	79.609
26.900000	79.638
27.200001	79.654
27.600000	79.673
28.000000	79.686
28.500000	79.691
29.000000	79.689
29.500000	79.694
30.000000	79.694
30.400000	79.686
30.700001	79.685
31.100000	79.694
31.500000	79.704
32.000000	79.712
32.500000	79.726
33.000000	79.744
33.500000	79.755
34.000000	79.762
34.500000	79.768
35.000000	79.770
35.500000	79.770
36.000000	79.765
36.500000	79.755
37.000000	79.741
37.500000	79.720
38.200001	79.692
38.700001	79.684
39.500000	79.659
40.000000	79.634
40.599998	79.604
41.200001	79.564
41.799999	79.521
42.500000	79.481
43.099998	79.459
43.700001	79.447
44.400002	79.440
45.000000	79.432
45.500000	79.423
46.200001	79.405
46.799999	79.387
47.500000	79.365
48.200001	79.347
48.700001	79.332
49.400002	79.297
50.000000	79.253
50.799999	79.194
51.500000	79.138
52.200001	79.088
53.000000	79.051
53.799999	79.026
54.500000	79.007
55.200001	78.990
56.000000	78.971
57.000000	78.944
58.000000	78.901
59.000000	78.845
60.000000	78.796
60.799999	78.766
61.500000	78.748
62.200001	78.733
63.000000	78.717
64.000000	78.705
65.000000	78.707
66.000000	78.716
67.000000	78.720
68.000000	78.717
69.000000	78.698
70.000000	78.665
71.000000	78.640
72.000000	78.624
73.000000	78.616
74.000000	78.622
75.000000	78.642
76.199997	78.670
77.500000	78.691
78.800003	78.696
80.000000	78.683
81.199997	78.654
82.500000	78.618
83.800003	78.603
85.000000	78.603
86.199997	78.596
87.500000	78.575
88.500000	78.550
90.000000	78.495
91.199997	78.443
92.500000	78.392
93.800003	78.356
95.000000	78.331
96.199997	78.307
97.500000	78.273
98.800003	78.223
100.000000	78.164
101.500000	78.087
103.000000	78.022
104.400002	77.983
106.000000	77.955
107.500000	77.926
109.000000	77.886
110.599998	77.830
112.000000	77.780
113.800003	77.735
115.000000	77.719
117.199997	77.688
118.000000	77.669
120.599998	77.580
122.000000	77.527
124.099998	77.470
125.000000	77.452
126.500000	77.426
128.000000	77.395
131.500000	77.281
132.000000	77.266
134.000000	77.222
136.000000	77.200
138.000000	77.169
140.000000	77.109
143.000000	76.997
145.000000	76.940
147.500000	76.869
150.000000	76.774
152.500000	76.678
155.000000	76.624
157.500000	76.586
160.000000	76.528
162.500000	76.463
165.000000	76.415
167.500000	76.382
170.000000	76.332
172.500000	76.264
175.000000	76.220
177.500000	76.196
180.000000	76.160
182.500000	76.107
185.000000	76.050
187.500000	75.994
190.000000	75.935
192.500000	75.887
195.000000	75.868
197.500000	75.862
200.000000	75.847
203.000000	75.824
206.000000	75.815
209.000000	75.802
212.000000	75.772
214.000000	75.755
218.000000	75.732
220.000000	75.713
224.000000	75.680
227.000000	75.680
230.000000	75.680
233.000000	75.672
236.000000	75.674
240.000000	75.679
243.000000	75.678
247.000000	75.690
250.000000	75.689
254.000000	75.668
258.000000	75.653
262.000000	75.642
265.000000	75.641
269.000000	75.639
272.000000	75.626
276.000000	75.601
280.000000	75.572
285.000000	75.536
290.000000	75.504
295.000000	75.469
300.000000	75.435
304.000000	75.398
307.000000	75.369
311.000000	75.322
315.000000	75.280
320.000000	75.249
325.000000	75.228
330.000000	75.200
335.000000	75.167
340.000000	75.141
345.000000	75.129
350.000000	75.121
355.000000	75.108
360.000000	75.097
365.000000	75.089
370.000000	75.083
375.000000	75.081
382.000000	75.080
387.000000	75.082
395.000000	75.094
400.000000	75.104
406.000000	75.117
412.000000	75.124
418.000000	75.127
425.000000	75.136
431.000000	75.139
437.000000	75.137
444.000000	75.124
450.000000	75.106
455.000000	75.092
462.000000	75.074
468.000000	75.057
475.000000	75.044
482.000000	75.033
487.000000	75.022
494.000000	75.007
500.000000	75.002
508.000000	74.999
515.000000	74.992
522.000000	74.990
530.000000	75.002
538.000000	75.022
545.000000	75.033
552.000000	75.033
560.000000	75.040
570.000000	75.076
580.000000	75.115
590.000000	75.130
600.000000	75.133
608.000000	75.141
615.000000	75.154
622.000000	75.165
630.000000	75.172
640.000000	75.182
650.000000	75.195
660.000000	75.202
670.000000	75.210
680.000000	75.229
690.000000	75.257
700.000000	75.291
710.000000	75.332
720.000000	75.376
730.000000	75.429
740.000000	75.486
750.000000	75.541
762.000000	75.601
775.000000	75.659
788.000000	75.714
800.000000	75.763
812.000000	75.808
825.000000	75.861
838.000000	75.928
850.000000	75.998
862.000000	76.074
875.000000	76.169
885.000000	76.250
900.000000	76.356
912.000000	76.407
925.000000	76.439
938.000000	76.484
950.000000	76.544
962.000000	76.597
975.000000	76.639
988.000000	76.687
1000.000000	76.750
1015.000000	76.852
1030.000000	76.967
1044.000000	77.077
1060.000000	77.199
1075.000000	77.311
1090.000000	77.419
1106.000000	77.524
1120.000000	77.607
1138.000000	77.708
1150.000000	77.773
1172.000000	77.885
1180.000000	77.924
1206.000000	78.040
1220.000000	78.093
1241.000000	78.161
1250.000000	78.189
1265.000000	78.249
1280.000000	78.339
1315.000000	78.655
1320.000000	78.704
1340.000000	78.891
1360.000000	79.061
1380.000000	79.201
1400.000000	79.304
1430.000000	79.418
1450.000000	79.483
1475.000000	79.577
1500.000000	79.696
1525.000000	79.831
1550.000000	79.967
1575.000000	80.099
1600.000000	80.224
1625.000000	80.346
1650.000000	80.469
1675.000000	80.592
1700.000000	80.718
1725.000000	80.845
1750.000000	80.972
1775.000000	81.094
1800.000000	81.216
1825.000000	81.344
1850.000000	81.475
1875.000000	81.603
1900.000000	81.728
1925.000000	81.856
1950.000000	81.991
1975.000000	82.131
2000.000000	82.268
2030.000000	82.419
2060.000000	82.556
2090.000000	82.689
2120.000000	82.830
2140.000000	82.929
2180.000000	83.116
2200.000000	83.198
2240.000000	83.350
2270.000000	83.470
2300.000000	83.597
2330.000000	83.720
2360.000000	83.833
2400.000000	83.968
2430.000000	84.062
2470.000000	84.184
2500.000000	84.272
2540.000000	84.384
2580.000000	84.485
2620.000000	84.580
2650.000000	84.648
2690.000000	84.729
2720.000000	84.779
2760.000000	84.838
2800.000000	84.881
2850.000000	84.917
2900.000000	84.957
2950.000000	85.002
3000.000000	85.039
3040.000000	85.054
3070.000000	85.057
3110.000000	85.059
3150.000000	85.053
3200.000000	85.043
3250.000000	85.028
