* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 7. 18 ¿ÀÀü 11:15:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.415	52.4325
20.600000	77.512	52.7797
20.900000	77.713	53.1488
21.200001	77.901	52.8103
21.400000	77.990	52.1981
21.799999	78.048	50.4654
22.000000	78.011	49.6144
22.400000	77.832	48.5325
22.700001	77.683	48.5366
23.000000	77.622	49.1495
23.299999	77.703	49.8586
23.600000	77.909	50.1474
24.000000	78.274	49.3268
24.299999	78.515	47.8351
24.700001	78.715	45.2675
25.000000	78.775	43.4540
25.400000	78.792	41.6784
25.799999	78.821	40.6990
26.200001	78.911	40.2186
26.500000	79.015	40.0083
26.900000	79.187	39.8475
27.200001	79.339	39.7971
27.600000	79.575	39.7181
28.000000	79.830	39.3711
28.500000	80.084	38.3550
29.000000	80.163	37.2348
29.500000	80.092	37.0171
30.000000	80.039	38.0545
30.400000	80.106	39.2361
30.700001	80.219	39.9252
31.100000	80.399	40.2819
31.500000	80.559	40.0004
32.000000	80.685	39.0027
32.500000	80.713	37.5651
33.000000	80.629	36.0525
33.500000	80.459	34.9995
34.000000	80.312	34.7114
34.500000	80.304	34.6802
35.000000	80.416	34.0723
35.500000	80.524	32.6970
36.000000	80.565	31.1869
36.500000	80.597	30.0120
37.000000	80.674	28.8971
37.500000	80.740	27.4533
38.200001	80.657	25.7255
38.700001	80.543	25.7322
39.500000	80.641	26.9957
40.000000	80.826	27.0508
40.599998	80.957	26.2858
41.200001	80.977	25.7475
41.799999	81.017	25.4893
42.500000	81.065	24.5740
43.099998	80.978	23.7044
43.700001	80.872	23.8067
44.400002	80.983	24.3389
45.000000	81.207	23.4649
45.500000	81.292	21.8248
46.200001	81.194	19.9586
46.799999	81.106	19.7097
47.500000	81.212	19.7261
48.200001	81.372	18.5735
48.700001	81.373	17.3283
49.400002	81.201	16.3538
50.000000	81.043	16.7946
50.799999	81.057	18.0782
51.500000	81.217	18.1937
52.200001	81.304	17.2405
