* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 7. 18 ¿ÀÀü 11:45:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Comply_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.225	47.1696
20.600000	81.292	46.8271
20.900000	81.423	46.1807
21.200001	81.539	45.4676
21.400000	81.603	44.9486
21.799999	81.698	43.8317
22.000000	81.728	43.2700
22.400000	81.754	42.2622
22.700001	81.758	41.6733
23.000000	81.764	41.2288
23.299999	81.780	40.8656
23.600000	81.805	40.5200
24.000000	81.840	40.0319
24.299999	81.858	39.6812
24.700001	81.870	39.3602
25.000000	81.884	39.2964
25.400000	81.939	39.3994
25.799999	82.053	39.4554
26.200001	82.200	39.1592
26.500000	82.299	38.6535
26.900000	82.380	37.7543
27.200001	82.398	37.1167
27.600000	82.388	36.5422
28.000000	82.387	36.2986
28.500000	82.441	36.0733
29.000000	82.512	35.4948
29.500000	82.529	34.7078
30.000000	82.497	34.2662
30.400000	82.498	34.2736
30.700001	82.541	34.3327
31.100000	82.645	34.1618
31.500000	82.758	33.5339
32.000000	82.832	32.2931
32.500000	82.812	31.1338
33.000000	82.755	30.4764
33.500000	82.722	30.2202
34.000000	82.726	30.0908
34.500000	82.748	30.0288
35.000000	82.799	30.0800
35.500000	82.895	30.0873
36.000000	83.018	29.7778
36.500000	83.114	29.1311
37.000000	83.162	28.4458
37.500000	83.190	27.9435
38.200001	83.260	27.2307
38.700001	83.297	26.3844
39.500000	83.212	24.9916
40.000000	83.105	24.7284
40.599998	83.038	25.0590
41.200001	83.093	25.4268
41.799999	83.221	25.2880
42.500000	83.363	24.3775
43.099998	83.418	23.1999
43.700001	83.387	22.1192
44.400002	83.299	21.5679
45.000000	83.276	21.6742
45.500000	83.320	21.7437
46.200001	83.400	21.4302
46.799999	83.418	21.1050
47.500000	83.440	21.2481
48.200001	83.575	21.4798
48.700001	83.708	21.1324
49.400002	83.808	19.9318
50.000000	83.782	19.0125
50.799999	83.733	18.5046
51.500000	83.744	17.9680
52.200001	83.695	17.0967
53.000000	83.543	16.7764
53.799999	83.492	17.2990
54.500000	83.555	17.4040
55.200001	83.597	17.0376
56.000000	83.604	16.8218
57.000000	83.704	16.8323
58.000000	83.861	16.1048
59.000000	83.928	14.8492
60.000000	83.882	13.7747
60.799999	83.794	13.4716
61.500000	83.743	13.6872
62.200001	83.762	14.0058
63.000000	83.838	13.9853
64.000000	83.900	13.2849
65.000000	83.873	12.4898
66.000000	83.835	12.0411
67.000000	83.843	11.5000
68.000000	83.821	10.7460
69.000000	83.779	10.3479
70.000000	83.784	10.1211
71.000000	83.788	9.8160
72.000000	83.780	9.7094
73.000000	83.790	9.7172
74.000000	83.810	9.6791
75.000000	83.841	9.5164
76.199997	83.855	8.9892
77.500000	83.829	8.5468
78.800003	83.839	8.1067
80.000000	83.827	7.5737
81.199997	83.797	7.2740
82.500000	83.811	7.1293
83.800003	83.846	6.4253
85.000000	83.791	5.6983
86.199997	83.761	5.4469
87.500000	83.805	4.9523
88.500000	83.822	4.4132
90.000000	83.828	3.9437
91.199997	83.845	3.7424
92.500000	83.847	3.5558
93.800003	83.828	3.4729
95.000000	83.807	3.4354
96.199997	83.781	3.3732
97.500000	83.755	3.3460
98.800003	83.741	3.3135
100.000000	83.740	3.2366
101.500000	83.734	2.9260
103.000000	83.694	2.6814
104.400002	83.690	2.5218
106.000000	83.690	2.0780
107.500000	83.680	1.6515
109.000000	83.672	1.1924
110.599998	83.664	0.7870
112.000000	83.684	0.5532
113.800003	83.732	0.2807
115.000000	83.745	0.0980
117.199997	83.655	0.0007
118.000000	83.599	0.0993
120.599998	83.519	0.1997
122.000000	83.537	-0.4849
124.099998	83.579	-1.7388
125.000000	83.600	-2.1472
126.500000	83.636	-2.6016
128.000000	83.637	-2.8868
131.500000	83.594	-3.0445
132.000000	83.591	-3.1928
134.000000	83.525	-3.8972
136.000000	83.438	-4.0838
138.000000	83.421	-4.0389
140.000000	83.425	-4.0779
143.000000	83.443	-4.1016
145.000000	83.427	-4.4204
147.500000	83.348	-5.1422
150.000000	83.287	-5.6982
152.500000	83.306	-5.8054
155.000000	83.307	-5.9493
157.500000	83.217	-5.9999
160.000000	83.192	-6.0811
162.500000	83.166	-6.6586
165.000000	83.069	-6.7179
167.500000	83.035	-6.5247
170.000000	83.010	-6.8323
172.500000	82.979	-7.0103
175.000000	82.996	-7.0717
177.500000	83.040	-7.1715
180.000000	83.058	-7.6292
182.500000	82.999	-8.3560
185.000000	82.928	-8.8074
187.500000	82.906	-8.8378
190.000000	82.863	-8.7217
192.500000	82.777	-8.6486
195.000000	82.717	-9.1080
197.500000	82.678	-9.8569
200.000000	82.662	-10.2366
203.000000	82.674	-10.2381
206.000000	82.677	-10.1229
209.000000	82.631	-10.1281
212.000000	82.539	-10.3204
214.000000	82.499	-10.5377
218.000000	82.485	-10.8357
220.000000	82.454	-10.7496
224.000000	82.328	-10.3194
227.000000	82.279	-10.3035
230.000000	82.284	-10.3777
233.000000	82.279	-10.4308
236.000000	82.237	-10.7036
240.000000	82.138	-11.4578
243.000000	82.065	-11.6313
247.000000	81.968	-11.8069
250.000000	81.890	-12.0825
254.000000	81.830	-12.2174
258.000000	81.827	-12.0542
262.000000	81.767	-12.2644
265.000000	81.718	-12.4004
269.000000	81.685	-12.4354
272.000000	81.678	-12.4605
276.000000	81.683	-12.4896
280.000000	81.667	-12.2967
285.000000	81.513	-11.9102
290.000000	81.330	-11.8915
295.000000	81.269	-12.1260
300.000000	81.287	-12.0761
304.000000	81.235	-12.0200
307.000000	81.183	-12.0595
311.000000	81.114	-12.3164
315.000000	81.019	-12.6658
320.000000	80.953	-12.6161
325.000000	80.976	-12.4183
330.000000	80.969	-12.6102
335.000000	80.881	-12.5711
340.000000	80.779	-12.3134
345.000000	80.737	-12.1846
350.000000	80.662	-12.0871
355.000000	80.530	-11.9507
360.000000	80.451	-11.9753
365.000000	80.437	-11.7054
370.000000	80.382	-11.5778
375.000000	80.289	-11.6506
382.000000	80.209	-11.5897
387.000000	80.174	-11.6190
395.000000	80.067	-11.4595
400.000000	79.997	-11.1772
406.000000	79.933	-10.8205
412.000000	79.850	-10.4204
418.000000	79.784	-10.1579
425.000000	79.687	-10.0546
431.000000	79.640	-9.9219
437.000000	79.626	-9.9333
444.000000	79.592	-9.8257
450.000000	79.536	-9.4205
455.000000	79.490	-8.8514
462.000000	79.411	-7.9437
468.000000	79.297	-7.4034
475.000000	79.201	-7.2320
482.000000	79.153	-7.3572
487.000000	79.125	-7.3334
494.000000	79.088	-7.1981
500.000000	79.055	-6.8131
508.000000	78.910	-6.1615
515.000000	78.824	-6.0200
522.000000	78.774	-5.8009
530.000000	78.652	-5.0342
538.000000	78.581	-4.3112
545.000000	78.568	-4.1475
552.000000	78.535	-3.8488
560.000000	78.421	-2.9980
570.000000	78.293	-2.0373
580.000000	78.255	-1.6113
590.000000	78.204	-1.3552
600.000000	78.134	-0.4851
608.000000	78.108	0.2454
615.000000	78.117	0.6480
622.000000	78.118	0.7337
630.000000	78.101	0.8551
640.000000	78.024	1.4449
650.000000	77.956	1.9828
660.000000	77.900	2.8740
670.000000	77.855	3.7329
680.000000	77.809	4.3696
690.000000	77.765	5.4782
700.000000	77.711	6.5319
710.000000	77.700	7.1045
720.000000	77.676	7.3897
730.000000	77.667	7.7822
740.000000	77.682	8.4537
750.000000	77.668	9.3066
762.000000	77.594	10.3871
775.000000	77.539	11.2723
788.000000	77.553	11.8518
800.000000	77.538	12.4557
812.000000	77.516	13.4452
825.000000	77.567	14.5441
838.000000	77.588	15.4149
850.000000	77.582	16.4999
862.000000	77.567	17.6324
875.000000	77.589	18.4087
885.000000	77.611	19.0513
900.000000	77.640	19.8905
912.000000	77.664	20.4605
925.000000	77.676	21.3449
938.000000	77.718	21.8650
950.000000	77.754	22.4340
962.000000	77.774	23.2944
975.000000	77.770	23.5343
988.000000	77.598	21.5722
1000.000000	77.480	19.7835
1015.000000	77.742	23.2630
1030.000000	77.963	26.4518
1044.000000	78.032	27.5082
1060.000000	78.087	28.5681
1075.000000	78.136	29.1545
1090.000000	78.161	29.6862
1106.000000	78.201	30.4149
1120.000000	78.234	31.0647
1138.000000	78.265	32.0056
1150.000000	78.293	32.5468
1172.000000	78.401	33.2883
1180.000000	78.438	33.5690
1206.000000	78.527	34.7723
1220.000000	78.555	35.3646
1241.000000	78.657	36.2346
1250.000000	78.696	36.6177
1265.000000	78.714	37.2053
1280.000000	78.723	37.6730
1315.000000	78.898	39.1054
1320.000000	78.912	39.2609
1340.000000	78.945	39.8129
1360.000000	78.992	40.4044
1380.000000	79.060	41.0801
1400.000000	79.133	41.7336
1430.000000	79.233	42.9809
1450.000000	79.309	43.8304
1475.000000	79.420	44.4034
1500.000000	79.504	45.1501
1525.000000	79.599	46.2985
1550.000000	79.719	47.4639
1575.000000	79.802	48.3098
1600.000000	79.869	48.7707
1625.000000	79.973	49.5918
1650.000000	80.111	50.7425
1675.000000	80.244	51.5522
1700.000000	80.405	52.3431
