* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 8:58:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	115.075	17.3756
20.600000	115.080	17.2455
20.900000	115.087	17.0115
21.200001	115.089	16.7815
21.400000	115.088	16.6239
21.799999	115.082	16.2778
22.000000	115.077	16.0836
22.400000	115.068	15.6570
22.700001	115.061	15.3088
23.000000	115.056	14.9402
23.299999	115.053	14.5557
23.600000	115.053	14.1600
24.000000	115.059	13.6238
24.299999	115.066	13.2237
24.700001	115.081	12.7039
25.000000	115.096	12.3312
25.400000	115.120	11.8632
25.799999	115.148	11.4320
26.200001	115.177	11.0386
26.500000	115.199	10.7683
26.900000	115.227	10.4409
27.200001	115.247	10.2198
27.600000	115.269	9.9560
28.000000	115.288	9.7235
28.500000	115.305	9.4640
29.000000	115.317	9.2167
29.500000	115.324	8.9595
30.000000	115.323	8.6781
30.400000	115.319	8.4340
30.700001	115.314	8.2414
31.100000	115.305	7.9740
31.500000	115.297	7.6955
32.000000	115.288	7.3310
32.500000	115.283	6.9474
33.000000	115.282	6.5485
33.500000	115.284	6.1441
34.000000	115.289	5.7485
34.500000	115.296	5.3755
35.000000	115.306	5.0318
35.500000	115.317	4.7172
36.000000	115.329	4.4275
36.500000	115.339	4.1593
37.000000	115.346	3.9103
37.500000	115.350	3.6771
38.200001	115.350	3.3630
38.700001	115.347	3.1363
39.500000	115.336	2.7578
40.000000	115.327	2.5104
40.599998	115.316	2.2007
41.200001	115.307	1.8757
41.799999	115.299	1.5389
42.500000	115.292	1.1419
43.099998	115.289	0.8068
43.700001	115.288	0.4830
44.400002	115.288	0.1262
45.000000	115.287	-0.1584
45.500000	115.286	-0.3811
46.200001	115.282	-0.6740
46.799999	115.276	-0.9112
47.500000	115.268	-1.1807
48.200001	115.257	-1.4559
48.700001	115.249	-1.6599
49.400002	115.235	-1.9529
50.000000	115.224	-2.2069
50.799999	115.210	-2.5526
51.500000	115.199	-2.8629
52.200001	115.187	-3.1670
53.000000	115.172	-3.4847
53.799999	115.161	-3.7723
54.500000	115.151	-4.0173
55.200001	115.140	-4.2598
56.000000	115.124	-4.5227
57.000000	115.104	-4.8345
58.000000	115.083	-5.1575
59.000000	115.062	-5.4933
60.000000	115.040	-5.8339
60.799999	115.023	-6.1055
61.500000	115.007	-6.3364
62.200001	114.992	-6.5591
63.000000	114.974	-6.8047
64.000000	114.953	-7.0998
65.000000	114.931	-7.3879
66.000000	114.908	-7.6743
67.000000	114.884	-7.9553
68.000000	114.860	-8.2293
69.000000	114.836	-8.5011
70.000000	114.810	-8.7660
71.000000	114.784	-9.0157
72.000000	114.759	-9.2589
73.000000	114.733	-9.4999
74.000000	114.708	-9.7388
75.000000	114.682	-9.9776
76.199997	114.650	-10.2519
77.500000	114.616	-10.5322
78.800003	114.583	-10.8076
80.000000	114.550	-11.0522
81.199997	114.517	-11.2864
82.500000	114.481	-11.5369
83.800003	114.445	-11.7835
85.000000	114.412	-12.0069
86.199997	114.379	-12.2204
87.500000	114.344	-12.4388
88.500000	114.317	-12.6047
90.000000	114.275	-12.8496
91.199997	114.242	-13.0407
92.500000	114.205	-13.2409
93.800003	114.169	-13.4346
95.000000	114.136	-13.6105
96.199997	114.102	-13.7741
97.500000	114.066	-13.9379
98.800003	114.031	-14.0999
100.000000	113.997	-14.2485
101.500000	113.955	-14.4287
103.000000	113.914	-14.6025
104.400002	113.875	-14.7606
106.000000	113.832	-14.9325
107.500000	113.791	-15.0858
109.000000	113.750	-15.2308
110.599998	113.706	-15.3742
112.000000	113.669	-15.5000
113.800003	113.620	-15.6648
115.000000	113.587	-15.7661
117.199997	113.529	-15.9334
118.000000	113.508	-15.9898
120.599998	113.440	-16.1664
122.000000	113.403	-16.2581
124.099998	113.348	-16.3963
125.000000	113.324	-16.4541
126.500000	113.285	-16.5448
128.000000	113.246	-16.6272
131.500000	113.158	-16.7859
132.000000	113.146	-16.8074
134.000000	113.098	-16.8953
136.000000	113.048	-16.9744
138.000000	112.997	-17.0366
140.000000	112.948	-17.0969
143.000000	112.876	-17.1923
145.000000	112.829	-17.2467
147.500000	112.771	-17.3055
150.000000	112.711	-17.3632
152.500000	112.652	-17.4113
155.000000	112.595	-17.4342
157.500000	112.542	-17.4442
160.000000	112.488	-17.4538
162.500000	112.433	-17.4616
165.000000	112.379	-17.4635
167.500000	112.326	-17.4545
170.000000	112.274	-17.4345
172.500000	112.223	-17.4143
175.000000	112.172	-17.3983
177.500000	112.121	-17.3800
180.000000	112.072	-17.3515
182.500000	112.024	-17.3147
185.000000	111.975	-17.2716
187.500000	111.927	-17.2221
190.000000	111.881	-17.1702
192.500000	111.836	-17.1182
195.000000	111.791	-17.0640
197.500000	111.746	-17.0045
200.000000	111.700	-16.9400
203.000000	111.647	-16.8559
206.000000	111.596	-16.7566
209.000000	111.546	-16.6495
212.000000	111.495	-16.5451
214.000000	111.462	-16.4765
218.000000	111.397	-16.3391
220.000000	111.366	-16.2724
224.000000	111.305	-16.1285
227.000000	111.260	-16.0021
230.000000	111.215	-15.8728
233.000000	111.169	-15.7453
236.000000	111.124	-15.6168
240.000000	111.066	-15.4404
243.000000	111.023	-15.3117
247.000000	110.968	-15.1343
250.000000	110.926	-14.9898
254.000000	110.873	-14.7889
258.000000	110.820	-14.5852
262.000000	110.769	-14.3735
265.000000	110.732	-14.2082
269.000000	110.683	-13.9849
272.000000	110.647	-13.8177
276.000000	110.601	-13.5971
280.000000	110.557	-13.3753
285.000000	110.502	-13.0877
290.000000	110.448	-12.7941
295.000000	110.396	-12.4836
300.000000	110.347	-12.1524
304.000000	110.309	-11.8835
307.000000	110.282	-11.6790
311.000000	110.249	-11.4022
315.000000	110.218	-11.1241
320.000000	110.182	-10.7805
325.000000	110.150	-10.4456
330.000000	110.119	-10.1255
335.000000	110.091	-9.8065
340.000000	110.066	-9.4968
345.000000	110.043	-9.2208
350.000000	110.022	-8.9695
355.000000	109.999	-8.7271
360.000000	109.975	-8.4925
365.000000	109.950	-8.2727
370.000000	109.923	-8.0532
375.000000	109.894	-7.8274
382.000000	109.851	-7.5048
387.000000	109.821	-7.2766
395.000000	109.772	-6.9147
400.000000	109.741	-6.6755
406.000000	109.706	-6.3804
412.000000	109.672	-6.0720
418.000000	109.638	-5.7472
425.000000	109.600	-5.3793
431.000000	109.568	-5.0687
437.000000	109.539	-4.7494
444.000000	109.504	-4.3711
450.000000	109.474	-4.0374
455.000000	109.451	-3.7549
462.000000	109.419	-3.3629
468.000000	109.392	-3.0341
475.000000	109.361	-2.6552
482.000000	109.330	-2.2645
487.000000	109.311	-1.9782
494.000000	109.284	-1.5810
500.000000	109.262	-1.2461
508.000000	109.233	-0.7944
515.000000	109.209	-0.3955
522.000000	109.185	0.0077
530.000000	109.160	0.4750
538.000000	109.137	0.9388
545.000000	109.117	1.3397
552.000000	109.098	1.7457
560.000000	109.077	2.2108
570.000000	109.054	2.7940
580.000000	109.030	3.3881
590.000000	109.009	3.9891
600.000000	108.989	4.5871
608.000000	108.975	5.0642
615.000000	108.963	5.4819
622.000000	108.952	5.9020
630.000000	108.943	6.3810
640.000000	108.933	6.9800
650.000000	108.922	7.5798
660.000000	108.913	8.1855
670.000000	108.907	8.8027
680.000000	108.904	9.4240
690.000000	108.902	10.0457
700.000000	108.901	10.6657
710.000000	108.902	11.2874
720.000000	108.905	11.9164
730.000000	108.912	12.5438
740.000000	108.921	13.1682
750.000000	108.933	13.7992
762.000000	108.951	14.5631
775.000000	108.975	15.3884
788.000000	109.004	16.2115
800.000000	109.033	16.9662
812.000000	109.067	17.7159
825.000000	109.108	18.5206
838.000000	109.154	19.3077
850.000000	109.199	20.0212
862.000000	109.248	20.7237
875.000000	109.306	21.4669
885.000000	109.352	22.0304
900.000000	109.428	22.8502
912.000000	109.493	23.4818
925.000000	109.568	24.1523
938.000000	109.645	24.7992
950.000000	109.719	25.3645
962.000000	109.795	25.8992
975.000000	109.878	26.4516
988.000000	109.964	26.9727
1000.000000	110.047	27.4251
1015.000000	110.152	27.9540
1030.000000	110.255	28.4404
1044.000000	110.352	28.8467
1060.000000	110.462	29.2666
1075.000000	110.565	29.6245
1090.000000	110.667	29.9448
1106.000000	110.773	30.2463
1120.000000	110.864	30.4776
1138.000000	110.978	30.7352
1150.000000	111.050	30.8807
1172.000000	111.179	31.1128
1180.000000	111.224	31.1904
1206.000000	111.364	31.4101
1220.000000	111.435	31.5105
1241.000000	111.536	31.6541
1250.000000	111.578	31.7116
1265.000000	111.646	31.8003
1280.000000	111.710	31.8850
1315.000000	111.855	32.0884
1320.000000	111.874	32.1180
1340.000000	111.951	32.2336
1360.000000	112.023	32.3529
1380.000000	112.094	32.4841
1400.000000	112.164	32.6172
1430.000000	112.266	32.8207
1450.000000	112.333	32.9662
1475.000000	112.415	33.1651
1500.000000	112.497	33.3721
1525.000000	112.579	33.5849
1550.000000	112.662	33.8010
1575.000000	112.746	34.0209
1600.000000	112.832	34.2394
1625.000000	112.918	34.4561
1650.000000	113.005	34.6673
1675.000000	113.095	34.8715
1700.000000	113.186	35.0660
1725.000000	113.279	35.2521
1750.000000	113.373	35.4296
1775.000000	113.467	35.5904
1800.000000	113.563	35.7369
1825.000000	113.659	35.8689
1850.000000	113.756	35.9780
1875.000000	113.851	36.0687
1900.000000	113.944	36.1521
1925.000000	114.034	36.2262
1950.000000	114.121	36.2938
1975.000000	114.208	36.3709
2000.000000	114.293	36.4686
2030.000000	114.397	36.6139
2060.000000	114.504	36.7848
2090.000000	114.618	36.9770
2120.000000	114.740	37.1763
2140.000000	114.827	37.3026
2180.000000	115.011	37.5224
2200.000000	115.108	37.6067
2240.000000	115.311	37.7088
2270.000000	115.469	37.7215
2300.000000	115.631	37.6785
2330.000000	115.797	37.5763
2360.000000	115.964	37.4113
2400.000000	116.189	37.0954
2430.000000	116.359	36.7858
2470.000000	116.584	36.2748
2500.000000	116.753	35.8164
2540.000000	116.977	35.1032
2580.000000	117.197	34.2744
2620.000000	117.412	33.3250
2650.000000	117.569	32.5301
2690.000000	117.770	31.3627
2720.000000	117.914	30.4081
2760.000000	118.095	29.0383
2800.000000	118.261	27.5688
2850.000000	118.447	25.6091
2900.000000	118.605	23.5358
2950.000000	118.734	21.3762
3000.000000	118.833	19.1629
3040.000000	118.890	17.3751
3070.000000	118.922	16.0326
3110.000000	118.947	14.2510
3150.000000	118.954	12.4890
3200.000000	118.940	10.3253
3250.000000	118.903	8.2124
3300.000000	118.843	6.1625
3350.000000	118.763	4.1807
3400.000000	118.665	2.2662
3450.000000	118.548	0.4265
3500.000000	118.413	-1.3271
3550.000000	118.262	-2.9871
3600.000000	118.097	-4.5396
3650.000000	117.920	-5.9756
3700.000000	117.734	-7.2930
3750.000000	117.540	-8.4911
3820.000000	117.258	-9.9678
3870.000000	117.053	-10.8782
3950.000000	116.724	-12.0968
4000.000000	116.520	-12.7204
4060.000000	116.278	-13.3420
4120.000000	116.041	-13.8389
4180.000000	115.809	-14.2219
4250.000000	115.548	-14.5445
4310.000000	115.331	-14.7299
4370.000000	115.121	-14.8412
4440.000000	114.884	-14.8923
4500.000000	114.687	-14.8797
4550.000000	114.528	-14.8338
4620.000000	114.312	-14.7181
4680.000000	114.134	-14.5742
4750.000000	113.932	-14.3654
4820.000000	113.737	-14.1265
4870.000000	113.602	-13.9408
4940.000000	113.415	-13.6605
5000.000000	113.257	-13.4056
5080.000000	113.050	-13.0520
5150.000000	112.869	-12.7238
5220.000000	112.687	-12.3731
5300.000000	112.477	-11.9413
5380.000000	112.262	-11.4678
5450.000000	112.068	-11.0051
5520.000000	111.868	-10.4841
5600.000000	111.630	-9.7939
5700.000000	111.321	-8.7415
5800.000000	111.000	-7.4106
5900.000000	110.677	-5.7382
6000.000000	110.365	-3.6734
6080.000000	110.133	-1.7296
6150.000000	109.950	0.1842
6220.000000	109.792	2.2872
6300.000000	109.648	4.8967
6400.000000	109.534	8.4170
6500.000000	109.505	12.1406
6600.000000	109.571	15.9735
6700.000000	109.735	19.8118
6800.000000	110.003	23.5427
6900.000000	110.377	27.0557
7000.000000	110.860	30.2270
7100.000000	111.451	32.9087
7200.000000	112.146	34.9312
7300.000000	112.935	36.0803
7400.000000	113.793	36.1067
7500.000000	114.680	34.7479
7620.000000	115.696	30.9688
7750.000000	116.576	24.1154
7880.000000	117.049	15.0690
8000.000000	117.047	6.1814
8120.000000	116.668	-1.7346
8250.000000	115.976	-8.2195
8380.000000	115.163	-12.4059
8500.000000	114.417	-14.6031
8620.000000	113.734	-15.6521
8750.000000	113.095	-15.9354
8850.000000	112.680	-15.7845
9000.000000	112.176	-15.2746
9120.000000	111.866	-14.8277
9250.000000	111.606	-14.4847
9380.000000	111.405	-14.4255
9500.000000	111.252	-14.7031
9620.000000	111.108	-15.3452
9750.000000	110.938	-16.4591
9880.000000	110.727	-17.9447
10000.000000	110.475	-19.5364
10150.000000	110.066	-21.6204
10300.000000	109.547	-23.5310
10440.000000	108.972	-24.9129
10600.000000	108.233	-25.8006
10750.000000	107.494	-25.8684
10900.000000	106.744	-25.1925
11060.000000	105.957	-23.7111
11200.000000	105.296	-21.8467
11380.000000	104.505	-18.7760
