* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 16 오후 11:17:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	66.917	-170.1585
20.600000	66.849	-170.8725
20.900000	66.705	-171.9460
21.200001	66.568	-172.4387
21.400000	66.502	-172.4710
21.799999	66.449	-172.4891
22.000000	66.459	-172.5296
22.400000	66.520	-173.1562
22.700001	66.555	-174.0659
23.000000	66.546	-175.2250
23.299999	66.484	-176.4019
23.600000	66.379	-177.3999
24.000000	66.212	-178.2415
24.299999	66.104	-178.4990
24.700001	66.027	-178.5504
25.000000	66.023	-178.6000
25.400000	66.068	-178.9367
25.799999	66.122	-179.6713
26.200001	66.140	179.3381
26.500000	66.123	178.5837
26.900000	66.067	177.7245
27.200001	66.016	177.2366
27.600000	65.954	176.7542
28.000000	65.911	176.3359
28.500000	65.870	175.7366
29.000000	65.815	175.0456
29.500000	65.736	174.4044
30.000000	65.649	173.9306
30.400000	65.591	173.6552
30.700001	65.559	173.4675
31.100000	65.530	173.1765
31.500000	65.512	172.7882
32.000000	65.487	172.1395
32.500000	65.442	171.3748
33.000000	65.372	170.6524
33.500000	65.293	170.1088
34.000000	65.230	169.7467
34.500000	65.197	169.4084
35.000000	65.181	168.9306
35.500000	65.151	168.2987
36.000000	65.091	167.6720
36.500000	65.010	167.2256
37.000000	64.938	166.9925
37.500000	64.893	166.8360
38.200001	64.861	166.4164
38.700001	64.827	165.9207
39.500000	64.719	165.1352
40.000000	64.640	164.8151
40.599998	64.564	164.5458
41.200001	64.511	164.2092
41.799999	64.460	163.7315
42.500000	64.382	163.0977
43.099998	64.302	162.5871
43.700001	64.211	162.1534
44.400002	64.099	161.8314
45.000000	64.016	161.7626
45.500000	63.975	161.7808
46.200001	63.960	161.6903
46.799999	63.962	161.3510
47.500000	63.937	160.7263
48.200001	63.871	160.1459
48.700001	63.816	159.8764
49.400002	63.755	159.6375
50.000000	63.721	159.3817
50.799999	63.660	158.8717
51.500000	63.569	158.4962
52.200001	63.467	158.3933
53.000000	63.385	158.4794
53.799999	63.337	158.4822
54.500000	63.303	158.3308
55.200001	63.263	158.0523
56.000000	63.198	157.6456
57.000000	63.084	157.2750
58.000000	62.990	157.1810
59.000000	62.937	157.0383
60.000000	62.886	156.7158
60.799999	62.834	156.4250
61.500000	62.779	156.1740
62.200001	62.710	155.9744
63.000000	62.626	155.9054
64.000000	62.545	155.9879
65.000000	62.493	155.9633
66.000000	62.438	155.7858
67.000000	62.369	155.5784
68.000000	62.293	155.4398
69.000000	62.227	155.3518
70.000000	62.167	155.2371
71.000000	62.108	155.1329
72.000000	62.060	155.0455
73.000000	62.022	154.8170
74.000000	61.958	154.4431
75.000000	61.855	154.2050
76.199997	61.735	154.3045
77.500000	61.664	154.5927
78.800003	61.640	154.6769
80.000000	61.612	154.4385
81.199997	61.536	154.1922
82.500000	61.451	154.1628
83.800003	61.375	154.0790
85.000000	61.295	154.0462
86.199997	61.226	154.0732
87.500000	61.165	154.0575
88.500000	61.122	154.0170
90.000000	61.059	153.8981
91.199997	61.000	153.8041
92.500000	60.933	153.7967
93.800003	60.879	153.8665
95.000000	60.843	153.8822
96.199997	60.804	153.8210
97.500000	60.749	153.7672
98.800003	60.689	153.8182
100.000000	60.644	153.9188
101.500000	60.592	153.9576
103.000000	60.517	153.9580
104.400002	60.441	154.0563
106.000000	60.370	154.2314
107.500000	60.323	154.3669
109.000000	60.285	154.4242
110.599998	60.237	154.4310
112.000000	60.187	154.4309
113.800003	60.117	154.4463
115.000000	60.074	154.4688
117.199997	60.008	154.5663
118.000000	59.989	154.6110
120.599998	59.908	154.7554
122.000000	59.850	154.9252
124.099998	59.774	155.1812
125.000000	59.746	155.2343
126.500000	59.699	155.2545
128.000000	59.647	155.2513
131.500000	59.533	155.3773
132.000000	59.518	155.4063
134.000000	59.459	155.5491
136.000000	59.397	155.7643
138.000000	59.337	156.0316
140.000000	59.272	156.2873
143.000000	59.176	156.6714
145.000000	59.109	156.9735
147.500000	59.018	157.5723
150.000000	58.930	158.3844
152.500000	58.888	159.3668
155.000000	58.920	160.3696
157.500000	59.019	161.1373
160.000000	59.141	161.3813
162.500000	59.242	161.1552
165.000000	59.299	160.8026
167.500000	59.323	160.4783
170.000000	59.316	160.1469
172.500000	59.285	159.8759
175.000000	59.237	159.7503
177.500000	59.185	159.6978
180.000000	59.135	159.5966
182.500000	59.092	159.5489
185.000000	59.061	159.6050
187.500000	59.026	159.7108
190.000000	58.988	159.8204
192.500000	58.955	159.9070
195.000000	58.932	159.9806
197.500000	58.907	160.0120
200.000000	58.866	160.0164
203.000000	58.818	160.0747
206.000000	58.790	160.2112
209.000000	58.760	160.4089
212.000000	58.721	160.5776
214.000000	58.701	160.6457
218.000000	58.679	160.7739
220.000000	58.667	160.8791
224.000000	58.632	161.0610
227.000000	58.604	161.1601
230.000000	58.574	161.3075
233.000000	58.543	161.4835
236.000000	58.518	161.6356
240.000000	58.496	161.8528
243.000000	58.483	162.0309
247.000000	58.467	162.2414
250.000000	58.457	162.3589
254.000000	58.431	162.5096
258.000000	58.407	162.6863
262.000000	58.391	162.8443
265.000000	58.375	162.9591
269.000000	58.349	163.1002
272.000000	58.334	163.2144
276.000000	58.315	163.4088
280.000000	58.300	163.6136
285.000000	58.287	163.8286
290.000000	58.274	163.9738
295.000000	58.247	164.1231
300.000000	58.223	164.3488
304.000000	58.210	164.4956
307.000000	58.206	164.6126
311.000000	58.199	164.7921
315.000000	58.190	164.9627
320.000000	58.182	165.1725
325.000000	58.174	165.3851
330.000000	58.171	165.5837
