* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 12 오후 1:20:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4월 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.869	175.8592
20.600000	76.836	175.8139
20.900000	76.777	175.7889
21.200001	76.744	175.8849
21.400000	76.739	175.9422
21.799999	76.739	175.8944
22.000000	76.739	175.7460
22.400000	76.716	175.2236
22.700001	76.675	174.7289
23.000000	76.614	174.2467
23.299999	76.537	173.8484
23.600000	76.451	173.5692
24.000000	76.345	173.3864
24.299999	76.286	173.3391
24.700001	76.245	173.2677
25.000000	76.235	173.1039
25.400000	76.230	172.6562
25.799999	76.207	172.0045
26.200001	76.150	171.3646
26.500000	76.093	171.0352
26.900000	76.023	170.8580
27.200001	75.997	170.8378
27.600000	76.007	170.7336
28.000000	76.041	170.2972
28.500000	76.043	169.2607
29.000000	75.955	168.1445
29.500000	75.814	167.4580
30.000000	75.695	167.2619
30.400000	75.647	167.2026
30.700001	75.638	167.0767
31.100000	75.639	166.7340
31.500000	75.633	166.2458
32.000000	75.599	165.6135
32.500000	75.549	165.1304
33.000000	75.503	164.8557
33.500000	75.475	164.7341
34.000000	75.468	164.6349
34.500000	75.470	164.4306
35.000000	75.455	164.1171
35.500000	75.405	163.8569
36.000000	75.332	163.8399
36.500000	75.269	164.0817
37.000000	75.242	164.3684
37.500000	75.242	164.4389
38.200001	75.234	164.0005
38.700001	75.195	163.4557
39.500000	75.078	162.6263
40.000000	75.007	162.1324
40.599998	74.936	161.3093
41.200001	74.829	160.1009
41.799999	74.631	158.9353
42.500000	74.339	158.6081
43.099998	74.200	159.3385
43.700001	74.243	160.0558
44.400002	74.370	159.9702
45.000000	74.399	159.5207
45.500000	74.378	159.4513
46.200001	74.380	159.7710
46.799999	74.419	159.8269
47.500000	74.405	159.4760
48.200001	74.304	159.3096
48.700001	74.222	159.4372
49.400002	74.127	159.6395
50.000000	74.049	159.6669
50.799999	73.957	159.5673
51.500000	73.908	159.1988
52.200001	73.853	158.4774
53.000000	73.758	157.7449
53.799999	73.694	157.4532
54.500000	73.680	157.3034
55.200001	73.665	157.2530
56.000000	73.657	157.4894
57.000000	73.666	157.6479
58.000000	73.546	157.4733
59.000000	73.307	157.7321
60.000000	73.097	158.0632
60.799999	72.983	157.9155
61.500000	72.924	157.1751
62.200001	72.838	155.7731
63.000000	72.638	154.2902
64.000000	72.484	153.9724
65.000000	72.614	153.3843
66.000000	72.639	152.7438
67.000000	72.799	153.8046
68.000000	73.061	153.2161
69.000000	72.874	152.1636
70.000000	72.543	153.2826
71.000000	72.364	154.6647
72.000000	72.259	155.6448
73.000000	72.234	155.9399
74.000000	72.215	155.4972
75.000000	72.097	154.7258
76.199997	71.760	155.8040
77.500000	71.616	158.6489
78.800003	71.426	162.5572
80.000000	71.697	165.7490
81.199997	71.617	164.8783
82.500000	71.374	166.7817
83.800003	71.820	166.6438
85.000000	72.085	163.4689
86.199997	72.140	161.3837
87.500000	72.248	160.3244
