* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 9 오후 10:58:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4월 9
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.243	-2.2375
20.600000	90.235	-2.5456
20.900000	90.217	-3.0938
21.200001	90.197	-3.6110
21.400000	90.181	-3.9428
21.799999	90.143	-4.6060
22.000000	90.120	-4.9437
22.400000	90.069	-5.6151
22.700001	90.033	-6.1043
23.000000	90.002	-6.5790
23.299999	89.973	-7.0412
23.600000	89.944	-7.4951
24.000000	89.907	-8.0923
24.299999	89.880	-8.5323
24.700001	89.846	-9.0983
25.000000	89.819	-9.5010
25.400000	89.787	-10.0128
25.799999	89.762	-10.5224
26.200001	89.741	-11.0625
26.500000	89.721	-11.4919
26.900000	89.680	-12.0727
27.200001	89.639	-12.4833
27.600000	89.573	-12.9622
28.000000	89.504	-13.3606
28.500000	89.421	-13.8097
29.000000	89.342	-14.2840
29.500000	89.265	-14.7784
30.000000	89.187	-15.2392
30.400000	89.133	-15.5926
30.700001	89.103	-15.8800
31.100000	89.074	-16.3337
31.500000	89.044	-16.8689
32.000000	88.991	-17.5748
32.500000	88.923	-18.1928
33.000000	88.857	-18.6449
33.500000	88.802	-18.9590
34.000000	88.765	-19.2414
34.500000	88.737	-19.6111
35.000000	88.694	-20.0869
35.500000	88.616	-20.4996
36.000000	88.520	-20.6180
36.500000	88.453	-20.4603
37.000000	88.442	-20.4245
37.500000	88.438	-20.8909
38.200001	88.308	-22.0340
38.700001	88.125	-22.3974
39.500000	87.915	-21.8189
40.000000	87.895	-21.6100
40.599998	87.881	-22.0668
41.200001	87.790	-22.7201
41.799999	87.682	-23.0270
42.500000	87.639	-23.3123
43.099998	87.635	-23.9215
43.700001	87.608	-24.6587
44.400002	87.558	-25.3888
45.000000	87.505	-25.9438
45.500000	87.441	-26.3048
46.200001	87.341	-26.4491
46.799999	87.294	-26.3690
47.500000	87.278	-26.5411
48.200001	87.227	-26.9981
48.700001	87.157	-27.2305
49.400002	87.057	-27.2979
50.000000	86.999	-27.3740
50.799999	86.924	-27.7996
51.500000	86.824	-28.2511
52.200001	86.720	-28.5003
53.000000	86.649	-28.6560
53.799999	86.611	-28.9349
54.500000	86.569	-29.2238
55.200001	86.521	-29.4474
56.000000	86.464	-29.6726
57.000000	86.367	-29.9428
58.000000	86.244	-30.0582
59.000000	86.134	-30.1795
60.000000	86.028	-30.5569
60.799999	85.924	-30.8712
61.500000	85.836	-30.9649
62.200001	85.774	-30.9096
63.000000	85.743	-30.8561
64.000000	85.722	-30.9836
65.000000	85.672	-31.1105
66.000000	85.604	-30.9702
67.000000	85.539	-30.7209
68.000000	85.470	-30.5216
69.000000	85.388	-30.5948
70.000000	85.252	-30.8823
71.000000	85.103	-31.0468
72.000000	84.992	-31.2479
73.000000	84.898	-31.5947
74.000000	84.805	-31.9336
75.000000	84.726	-32.0567
76.199997	84.671	-32.0789
77.500000	84.604	-32.1363
78.800003	84.513	-32.0546
80.000000	84.437	-31.9237
81.199997	84.366	-32.1198
82.500000	84.238	-32.4689
83.800003	84.123	-32.5428
85.000000	84.050	-32.5051
86.199997	83.984	-32.3239
87.500000	83.930	-32.0164
88.500000	83.889	-31.8544
90.000000	83.796	-31.7007
91.199997	83.719	-31.5783
92.500000	83.657	-31.6772
93.800003	83.580	-31.9495
95.000000	83.515	-31.9437
96.199997	83.502	-31.8036
97.500000	83.478	-31.9540
98.800003	83.346	-31.8797
100.000000	83.201	-31.3528
101.500000	83.048	-30.7780
103.000000	82.907	-30.7253
104.400002	82.771	-30.9730
106.000000	82.664	-31.2128
107.500000	82.637	-31.3906
109.000000	82.615	-31.7277
110.599998	82.502	-31.7077
112.000000	82.409	-31.2134
113.800003	82.340	-30.6409
115.000000	82.310	-30.3894
117.199997	82.263	-29.7799
118.000000	82.260	-29.4792
120.599998	82.230	-29.1584
122.000000	82.120	-29.1767
124.099998	81.947	-29.0615
125.000000	81.884	-29.0235
126.500000	81.810	-28.8783
128.000000	81.772	-28.7556
131.500000	81.620	-28.4799
132.000000	81.589	-28.3886
134.000000	81.483	-27.9088
136.000000	81.425	-27.5150
138.000000	81.374	-27.3375
140.000000	81.305	-27.1363
143.000000	81.207	-26.8197
145.000000	81.132	-26.6502
147.500000	81.016	-26.2979
150.000000	80.926	-25.9297
152.500000	80.839	-25.6732
155.000000	80.761	-25.1998
157.500000	80.697	-24.9098
160.000000	80.614	-24.7046
162.500000	80.582	-24.3467
165.000000	80.536	-24.1416
167.500000	80.402	-23.8614
170.000000	80.246	-23.4612
172.500000	80.155	-23.0854
175.000000	80.101	-22.8855
177.500000	80.003	-22.5594
180.000000	79.878	-21.9806
182.500000	79.750	-21.3671
185.000000	79.596	-20.9420
187.500000	79.448	-20.5740
190.000000	79.400	-20.0957
192.500000	79.452	-19.0559
195.000000	79.522	-17.8505
197.500000	79.415	-17.3000
200.000000	79.141	-16.8089
203.000000	78.893	-15.6526
206.000000	78.893	-13.7390
209.000000	79.191	-12.4664
212.000000	79.500	-12.3231
214.000000	79.636	-11.8024
218.000000	79.822	-10.6664
220.000000	79.842	-10.7353
224.000000	79.820	-11.3914
227.000000	79.787	-11.4151
230.000000	79.729	-11.4899
233.000000	79.618	-12.0011
236.000000	79.529	-12.5707
240.000000	79.422	-12.8477
243.000000	79.337	-12.5455
247.000000	79.256	-12.0108
250.000000	79.189	-11.6549
254.000000	79.088	-11.4667
258.000000	78.993	-11.3994
262.000000	78.925	-10.7968
265.000000	78.890	-10.3243
269.000000	78.833	-9.9765
272.000000	78.779	-9.7351
276.000000	78.702	-9.3531
280.000000	78.637	-8.7809
285.000000	78.565	-7.9149
290.000000	78.547	-7.2225
295.000000	78.550	-6.5485
300.000000	78.505	-5.9650
304.000000	78.427	-5.4903
307.000000	78.356	-5.1538
311.000000	78.272	-4.7007
315.000000	78.230	-4.1143
320.000000	78.249	-3.2528
325.000000	78.221	-2.5214
330.000000	78.130	-2.1860
335.000000	78.078	-1.8700
340.000000	78.033	-1.3365
345.000000	78.019	-0.6590
350.000000	78.004	-0.1614
355.000000	77.967	0.2317
360.000000	77.927	0.9462
365.000000	77.863	1.5330
370.000000	77.793	2.1691
375.000000	77.738	2.7460
