* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 9 오후 12:49:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.868	-162.6739
20.600000	80.868	-162.7923
20.900000	80.871	-162.9669
21.200001	80.882	-163.0457
21.400000	80.897	-163.0803
21.799999	80.941	-163.2219
22.000000	80.968	-163.3748
22.400000	81.015	-163.8759
22.700001	81.037	-164.3642
23.000000	81.045	-164.8432
23.299999	81.043	-165.2171
23.600000	81.044	-165.4580
24.000000	81.075	-165.6417
24.299999	81.128	-165.8121
24.700001	81.219	-166.2425
25.000000	81.277	-166.7175
25.400000	81.316	-167.3735
25.799999	81.327	-167.7493
26.200001	81.362	-167.7197
26.500000	81.432	-167.5779
26.900000	81.587	-167.5746
27.200001	81.717	-167.9224
27.600000	81.852	-168.8978
28.000000	81.888	-170.1426
28.500000	81.790	-171.3130
29.000000	81.642	-171.5128
29.500000	81.572	-171.0060
30.000000	81.607	-170.5599
30.400000	81.664	-170.5767
30.700001	81.698	-170.7956
31.100000	81.717	-171.1955
31.500000	81.704	-171.5350
32.000000	81.671	-171.7079
32.500000	81.666	-171.6550
33.000000	81.704	-171.6241
33.500000	81.762	-171.8300
34.000000	81.802	-172.2939
34.500000	81.804	-172.8278
35.000000	81.779	-173.2278
35.500000	81.759	-173.4532
36.000000	81.762	-173.6624
36.500000	81.776	-174.0325
37.000000	81.771	-174.5715
37.500000	81.735	-175.1038
38.200001	81.689	-175.5882
38.700001	81.704	-175.9166
39.500000	81.744	-176.9499
40.000000	81.724	-177.6304
40.599998	81.710	-177.9774
41.200001	81.822	-178.2540
41.799999	81.999	-179.5514
42.500000	82.005	177.7520
43.099998	81.761	176.3573
43.700001	81.516	176.9169
44.400002	81.515	178.5790
45.000000	81.665	179.1994
45.500000	81.751	179.1512
46.200001	81.787	179.0392
46.799999	81.801	179.0409
47.500000	81.800	178.8441
48.200001	81.752	178.5921
48.700001	81.707	178.5076
49.400002	81.656	178.4080
50.000000	81.626	178.1946
50.799999	81.596	177.6494
51.500000	81.555	177.0096
52.200001	81.498	176.5588
53.000000	81.492	176.4957
53.799999	81.583	176.3230
54.500000	81.648	175.7353
55.200001	81.632	175.1916
56.000000	81.580	175.1163
57.000000	81.563	174.9932
58.000000	81.426	174.3505
59.000000	81.208	174.5985
60.000000	81.194	174.8722
60.799999	81.244	174.0170
