* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 9 오후 12:52:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.292	-169.3746
20.600000	82.288	-169.5961
20.900000	82.275	-169.9697
21.200001	82.249	-170.2624
21.400000	82.230	-170.4137
21.799999	82.192	-170.6755
22.000000	82.175	-170.8141
22.400000	82.143	-171.1322
22.700001	82.120	-171.3597
23.000000	82.102	-171.4833
23.299999	82.103	-171.4357
23.600000	82.144	-171.2594
24.000000	82.293	-171.0743
24.299999	82.469	-171.2810
24.700001	82.730	-172.3346
25.000000	82.881	-173.7007
25.400000	82.957	-175.9151
25.799999	82.878	-177.8257
26.200001	82.707	-178.7472
26.500000	82.590	-178.6974
26.900000	82.529	-177.9876
27.200001	82.569	-177.4114
27.600000	82.690	-177.0700
28.000000	82.799	-177.3273
28.500000	82.830	-177.9731
29.000000	82.777	-178.2766
29.500000	82.732	-178.1632
30.000000	82.726	-178.0706
30.400000	82.723	-178.2091
30.700001	82.711	-178.4084
31.100000	82.680	-178.6843
31.500000	82.642	-178.8995
32.000000	82.607	-179.1202
32.500000	82.594	-179.4288
33.000000	82.586	-179.8781
33.500000	82.568	179.6355
34.000000	82.550	179.2391
34.500000	82.552	178.9370
35.000000	82.582	178.6301
35.500000	82.624	178.2510
36.000000	82.661	177.8546
36.500000	82.694	177.5158
37.000000	82.729	177.1867
37.500000	82.748	176.7639
38.200001	82.709	176.2049
38.700001	82.653	176.1600
39.500000	82.638	176.3479
40.000000	82.639	175.9026
40.599998	82.504	174.9075
41.200001	82.198	174.7934
41.799999	81.957	176.1683
42.500000	82.032	177.7963
43.099998	82.232	177.4738
43.700001	82.318	176.0676
44.400002	82.279	174.6172
45.000000	82.246	173.8405
45.500000	82.240	173.2546
46.200001	82.231	172.5016
46.799999	82.230	172.0590
47.500000	82.260	171.6125
48.200001	82.281	171.1160
48.700001	82.276	170.8614
49.400002	82.257	170.7223
50.000000	82.242	170.6350
50.799999	82.202	170.4588
51.500000	82.152	170.3875
52.200001	82.122	170.2899
53.000000	82.090	169.9520
53.799999	82.037	169.6942
54.500000	82.020	169.6284
55.200001	82.036	169.3328
56.000000	82.013	168.6838
57.000000	81.903	168.2245
58.000000	81.795	168.3437
59.000000	81.762	168.7637
60.000000	81.840	168.5392
60.799999	81.860	167.6351
61.500000	81.819	166.8422
62.200001	81.768	166.1935
63.000000	81.702	165.4156
64.000000	81.555	164.6929
65.000000	81.426	164.9022
66.000000	81.444	165.3535
67.000000	81.497	165.0656
68.000000	81.448	164.6035
69.000000	81.360	164.5130
70.000000	81.284	164.4771
71.000000	81.216	164.3441
72.000000	81.149	164.1512
73.000000	81.089	163.9692
74.000000	81.042	163.7264
75.000000	80.989	163.4640
76.199997	80.927	163.2223
77.500000	80.838	162.7263
78.800003	80.649	162.4563
80.000000	80.522	162.9535
81.199997	80.528	162.9724
82.500000	80.488	162.2583
83.800003	80.415	161.9622
85.000000	80.392	162.0000
86.199997	80.375	162.1223
87.500000	80.353	162.3194
88.500000	80.326	162.2943
90.000000	80.213	162.0187
91.199997	80.098	161.8389
92.500000	79.998	161.6134
93.800003	79.952	161.3676
95.000000	79.954	161.0092
96.199997	79.947	160.5550
97.500000	79.884	160.2464
98.800003	79.782	160.4182
100.000000	79.703	160.7602
101.500000	79.611	160.9906
103.000000	79.516	161.1181
104.400002	79.450	161.2166
106.000000	79.393	161.2269
107.500000	79.315	161.1566
109.000000	79.221	161.2675
110.599998	79.160	161.3669
112.000000	79.113	161.3162
113.800003	79.014	161.4847
115.000000	78.923	161.8912
117.199997	78.683	162.6027
118.000000	78.546	162.8665
120.599998	78.330	164.7169
122.000000	78.468	164.3177
124.099998	78.550	162.9583
125.000000	78.536	162.7907
126.500000	78.480	163.0954
128.000000	78.415	163.5367
