* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 7. 18 ¿ÀÈÄ 1:13:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.933	-179.1463
20.600000	84.901	-179.5150
20.900000	84.834	179.8902
21.200001	84.772	179.4840
21.400000	84.740	179.2803
21.799999	84.696	178.8695
22.000000	84.682	178.5947
22.400000	84.657	177.8463
22.700001	84.627	177.1404
23.000000	84.579	176.3868
23.299999	84.515	175.6794
23.600000	84.447	175.0734
24.000000	84.370	174.4337
24.299999	84.337	174.0070
24.700001	84.326	173.3580
25.000000	84.327	172.7334
25.400000	84.316	171.7294
25.799999	84.266	170.7129
26.200001	84.180	169.9423
26.500000	84.110	169.6236
26.900000	84.042	169.5219
27.200001	84.023	169.5743
27.600000	84.042	169.6176
28.000000	84.089	169.4607
28.500000	84.138	168.9498
29.000000	84.147	168.2708
29.500000	84.114	167.6088
30.000000	84.053	167.0491
30.400000	83.990	166.6959
30.700001	83.940	166.4943
31.100000	83.878	166.2999
31.500000	83.828	166.1385
32.000000	83.787	165.8501
32.500000	83.749	165.3668
33.000000	83.692	164.7559
33.500000	83.616	164.1714
34.000000	83.541	163.6598
34.500000	83.474	163.1180
35.000000	83.398	162.5020
35.500000	83.296	161.9786
36.000000	83.195	161.7424
36.500000	83.144	161.6851
37.000000	83.151	161.3702
37.500000	83.154	160.5002
38.200001	83.008	158.9112
38.700001	82.801	158.3705
39.500000	82.560	158.9919
40.000000	82.557	159.4401
40.599998	82.615	159.2565
41.200001	82.622	158.5702
41.799999	82.579	158.0431
42.500000	82.563	157.7354
43.099998	82.589	157.2716
43.700001	82.584	156.5149
44.400002	82.494	155.7625
45.000000	82.386	155.6292
45.500000	82.321	155.8086
46.200001	82.286	156.0535
46.799999	82.263	156.0179
47.500000	82.200	155.8948
48.200001	82.128	155.8956
48.700001	82.094	155.8514
49.400002	82.051	155.4634
50.000000	81.976	154.8766
50.799999	81.803	154.2781
51.500000	81.658	154.2882
52.200001	81.602	154.4459
53.000000	81.599	154.0933
53.799999	81.535	153.4562
54.500000	81.454	153.2809
55.200001	81.424	153.2411
56.000000	81.397	152.7798
57.000000	81.240	152.2285
58.000000	81.104	152.5581
59.000000	81.105	152.1691
60.000000	80.945	150.7795
60.799999	80.694	150.6728
61.500000	80.577	151.4654
62.200001	80.624	152.1551
63.000000	80.758	152.0634
64.000000	80.834	151.1121
65.000000	80.799	150.5030
66.000000	80.754	150.1724
67.000000	80.626	149.8294
68.000000	80.426	150.1292
69.000000	80.278	150.8113
70.000000	80.199	151.2205
71.000000	80.147	151.0609
72.000000	80.059	150.5496
73.000000	79.965	150.2845
74.000000	79.936	150.0395
75.000000	79.896	149.5226
76.199997	79.801	149.3272
77.500000	79.740	149.2274
78.800003	79.644	148.8436
80.000000	79.500	148.3885
81.199997	79.311	148.3619
82.500000	79.189	148.8424
83.800003	79.152	149.0780
85.000000	79.064	149.1360
86.199997	78.950	149.9073
87.500000	78.964	150.8032
88.500000	79.006	150.6997
90.000000	78.930	149.8171
91.199997	78.799	149.5713
92.500000	78.737	149.6188
93.800003	78.709	149.3687
95.000000	78.660	149.1843
96.199997	78.617	149.0720
97.500000	78.572	148.9341
98.800003	78.526	148.6685
100.000000	78.443	148.5703
101.500000	78.362	148.9636
103.000000	78.310	149.6077
104.400002	78.300	150.1666
106.000000	78.264	150.2184
107.500000	78.142	149.8458
109.000000	77.936	149.9601
110.599998	77.827	150.5110
112.000000	77.783	150.5140
113.800003	77.662	150.2977
115.000000	77.569	150.4800
117.199997	77.514	150.5370
118.000000	77.461	150.3023
120.599998	77.094	151.8893
122.000000	77.088	153.4604
124.099998	77.059	153.9122
125.000000	77.000	154.1027
126.500000	76.968	154.5183
128.000000	76.996	154.4202
131.500000	76.916	154.1724
132.000000	76.905	154.2821
134.000000	76.859	154.5084
136.000000	76.701	154.8266
138.000000	76.530	155.9954
140.000000	76.508	156.6381
143.000000	76.313	155.8933
145.000000	76.225	156.4242
147.500000	76.311	157.1517
150.000000	76.265	157.0857
152.500000	76.096	157.7811
155.000000	76.064	159.0746
157.500000	76.087	160.0709
160.000000	76.104	161.1468
162.500000	76.232	162.0690
165.000000	76.435	162.3370
