* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 9 오후 12:39:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.822	-176.8891
20.600000	83.812	-177.0542
20.900000	83.791	-177.3260
21.200001	83.770	-177.5289
21.400000	83.757	-177.6425
21.799999	83.733	-177.8778
22.000000	83.722	-178.0219
22.400000	83.701	-178.3769
22.700001	83.689	-178.6962
23.000000	83.681	-179.0523
23.299999	83.672	-179.4335
23.600000	83.660	-179.8286
24.000000	83.640	179.6428
24.299999	83.627	179.2602
24.700001	83.614	178.7812
25.000000	83.607	178.4432
25.400000	83.606	178.0038
25.799999	83.613	177.5524
26.200001	83.625	177.0807
26.500000	83.631	176.7257
26.900000	83.632	176.2750
27.200001	83.629	175.9662
27.600000	83.622	175.5924
28.000000	83.613	175.2401
28.500000	83.597	174.7946
29.000000	83.573	174.3360
29.500000	83.545	173.8819
30.000000	83.510	173.4398
30.400000	83.477	173.0931
30.700001	83.452	172.8416
31.100000	83.422	172.5311
31.500000	83.396	172.2559
32.000000	83.373	171.9354
32.500000	83.365	171.5683
33.000000	83.360	171.1000
33.500000	83.342	170.5648
34.000000	83.307	170.0612
34.500000	83.270	169.6570
35.000000	83.244	169.3296
35.500000	83.235	168.9921
36.000000	83.230	168.5806
36.500000	83.216	168.1187
37.000000	83.187	167.7057
37.500000	83.153	167.4135
38.200001	83.133	167.1093
38.700001	83.137	166.8197
39.500000	83.106	166.2825
40.000000	83.062	166.0874
40.599998	83.015	165.9837
41.200001	82.968	165.8112
41.799999	82.893	165.6226
42.500000	82.801	165.7296
43.099998	82.796	165.9372
43.700001	82.849	165.6724
44.400002	82.867	164.6563
45.000000	82.795	163.7492
45.500000	82.712	163.2687
46.200001	82.625	162.8605
46.799999	82.583	162.4925
47.500000	82.546	162.0175
48.200001	82.520	161.5751
48.700001	82.502	161.2725
49.400002	82.463	160.8986
50.000000	82.416	160.6780
50.799999	82.352	160.4554
51.500000	82.286	160.2173
52.200001	82.207	159.9681
53.000000	82.118	159.6802
53.799999	82.031	159.2885
54.500000	81.947	158.9588
55.200001	81.892	158.7192
56.000000	81.888	158.2445
57.000000	81.891	157.2094
58.000000	81.891	156.1594
59.000000	81.830	154.7830
60.000000	81.598	154.5210
60.799999	81.519	155.5644
61.500000	81.575	156.1096
62.200001	81.586	155.9968
63.000000	81.490	156.0463
64.000000	81.409	156.6749
65.000000	81.402	156.6907
66.000000	81.343	156.2203
67.000000	81.259	155.8022
68.000000	81.191	155.3492
69.000000	81.108	154.7987
70.000000	80.994	154.4248
71.000000	80.900	154.3414
72.000000	80.843	154.2818
73.000000	80.794	154.1411
74.000000	80.747	153.9744
75.000000	80.706	153.7947
76.199997	80.657	153.4844
77.500000	80.552	153.0577
78.800003	80.413	152.9156
80.000000	80.296	152.5641
81.199997	80.106	152.1646
82.500000	79.930	152.3269
83.800003	79.889	152.4898
85.000000	79.893	152.3867
86.199997	79.881	152.4041
87.500000	79.865	152.6017
88.500000	79.834	152.7054
90.000000	79.732	152.8982
91.199997	79.652	153.0808
92.500000	79.583	153.0136
93.800003	79.518	152.8406
95.000000	79.480	152.6952
96.199997	79.449	152.4819
97.500000	79.382	152.2429
98.800003	79.275	152.2191
100.000000	79.175	152.3797
101.500000	79.071	152.5602
103.000000	78.982	152.6826
104.400002	78.913	152.7994
106.000000	78.845	152.8963
107.500000	78.756	152.9399
109.000000	78.656	153.3421
110.599998	78.634	153.7653
112.000000	78.593	153.6055
113.800003	78.444	153.4522
115.000000	78.338	153.3521
117.199997	78.164	152.3791
118.000000	78.076	151.7228
120.599998	77.671	152.0180
122.000000	77.734	153.3987
124.099998	77.927	154.0255
125.000000	77.948	154.1071
126.500000	77.920	154.3269
128.000000	77.857	154.4774
131.500000	77.660	154.6589
132.000000	77.640	154.7384
134.000000	77.605	155.0378
136.000000	77.568	155.1376
138.000000	77.494	155.2807
140.000000	77.410	155.4252
143.000000	77.274	155.6985
145.000000	77.197	155.9396
147.500000	77.107	156.3900
150.000000	77.022	156.9340
152.500000	76.945	157.2349
155.000000	76.858	157.3911
157.500000	76.790	157.6742
160.000000	76.746	157.9887
162.500000	76.726	158.1415
165.000000	76.692	158.2086
167.500000	76.619	158.6791
170.000000	76.517	159.3193
172.500000	76.398	159.8999
175.000000	76.335	160.1954
177.500000	76.279	160.1891
180.000000	76.216	160.3882
182.500000	76.161	160.6845
185.000000	76.100	161.1406
187.500000	76.050	161.5743
190.000000	75.966	161.9564
192.500000	75.891	162.6093
195.000000	75.879	163.0053
197.500000	75.854	162.9845
200.000000	75.777	163.1237
203.000000	75.686	163.6115
206.000000	75.699	163.9370
209.000000	75.833	163.7353
212.000000	75.825	163.4734
214.000000	75.701	164.0153
218.000000	75.490	165.6753
220.000000	75.451	165.9942
224.000000	75.552	165.6902
227.000000	75.624	165.6558
230.000000	75.454	166.8315
233.000000	75.280	168.3872
236.000000	75.206	168.7052
240.000000	75.086	169.1249
243.000000	75.033	170.0899
247.000000	74.982	171.0449
250.000000	74.891	171.4356
254.000000	74.806	172.1598
258.000000	74.865	173.5999
262.000000	74.904	175.5397
265.000000	74.960	176.8767
269.000000	75.204	177.6178
272.000000	75.362	177.5326
276.000000	75.405	177.1254
280.000000	75.436	176.9349
285.000000	75.466	176.8793
290.000000	75.420	176.6522
295.000000	75.389	176.7454
300.000000	75.345	176.9964
304.000000	75.260	177.3344
307.000000	75.219	177.4773
311.000000	75.196	177.6221
315.000000	75.165	178.1019
320.000000	75.112	178.7541
325.000000	75.058	179.2422
330.000000	75.046	179.7307
335.000000	75.047	-179.7771
340.000000	75.035	-179.2422
345.000000	75.032	-178.7619
350.000000	75.024	-178.2812
355.000000	75.011	-177.7857
360.000000	75.012	-177.3150
365.000000	75.009	-176.9243
370.000000	74.999	-176.5044
375.000000	74.989	-175.9395
382.000000	74.998	-175.2900
387.000000	74.979	-174.8441
395.000000	74.960	-173.9563
400.000000	74.965	-173.3811
406.000000	74.993	-172.7946
412.000000	74.993	-172.2932
418.000000	74.998	-171.7350
425.000000	75.028	-171.0092
431.000000	75.065	-170.4077
437.000000	75.114	-169.9075
444.000000	75.144	-169.3439
450.000000	75.150	-168.8870
455.000000	75.155	-168.5748
462.000000	75.170	-168.1145
468.000000	75.197	-167.5799
475.000000	75.255	-166.9736
482.000000	75.313	-166.5850
487.000000	75.341	-166.3503
494.000000	75.361	-165.9356
500.000000	75.374	-165.4940
508.000000	75.413	-164.9259
515.000000	75.445	-164.4438
522.000000	75.471	-164.0132
530.000000	75.522	-163.7048
538.000000	75.582	-163.3990
545.000000	75.622	-163.1255
552.000000	75.653	-162.8003
560.000000	75.688	-162.3743
570.000000	75.744	-161.8871
580.000000	75.816	-161.5900
590.000000	75.872	-161.3315
600.000000	75.908	-161.1233
608.000000	75.937	-160.8657
615.000000	75.958	-160.6072
622.000000	75.989	-160.3803
630.000000	76.027	-160.2092
640.000000	76.067	-160.0069
650.000000	76.101	-159.8207
660.000000	76.117	-159.6112
670.000000	76.140	-159.3105
680.000000	76.177	-158.9828
690.000000	76.199	-158.6867
700.000000	76.197	-158.4342
710.000000	76.192	-158.2384
720.000000	76.190	-158.1176
730.000000	76.190	-157.8592
740.000000	76.193	-157.5389
750.000000	76.204	-157.2098
762.000000	76.210	-156.7986
775.000000	76.220	-156.3808
788.000000	76.226	-155.9533
800.000000	76.224	-155.5552
812.000000	76.221	-155.0590
825.000000	76.214	-154.4917
838.000000	76.217	-153.9438
850.000000	76.216	-153.5096
862.000000	76.220	-153.0659
875.000000	76.231	-152.4596
885.000000	76.247	-151.9564
900.000000	76.272	-151.2193
912.000000	76.278	-150.7309
925.000000	76.296	-150.2160
938.000000	76.335	-149.5833
950.000000	76.367	-148.9637
962.000000	76.386	-148.4259
975.000000	76.415	-147.8703
988.000000	76.457	-147.3013
1000.000000	76.495	-146.8216
1015.000000	76.560	-146.2319
1030.000000	76.635	-145.6290
1044.000000	76.700	-145.0872
1060.000000	76.768	-144.5378
1075.000000	76.837	-144.0754
1090.000000	76.897	-143.6209
1106.000000	76.955	-143.0964
1120.000000	77.019	-142.6521
1138.000000	77.110	-142.1535
1150.000000	77.171	-141.8634
1172.000000	77.272	-141.3104
1180.000000	77.303	-141.1048
1206.000000	77.397	-140.4644
1220.000000	77.437	-140.1730
1241.000000	77.473	-139.7107
1250.000000	77.492	-139.5014
1265.000000	77.544	-139.1932
1280.000000	77.629	-138.9187
1315.000000	77.917	-138.2536
1320.000000	77.959	-138.1483
1340.000000	78.127	-137.7185
1360.000000	78.283	-137.2896
1380.000000	78.395	-136.8396
1400.000000	78.485	-136.5094
1430.000000	78.600	-136.0701
1450.000000	78.675	-135.7107
1475.000000	78.776	-135.2278
1500.000000	78.876	-134.7034
1525.000000	78.977	-134.1354
1550.000000	79.085	-133.5815
1575.000000	79.218	-133.0519
1600.000000	79.361	-132.5103
1625.000000	79.515	-131.9878
1650.000000	79.673	-131.5256
1675.000000	79.840	-131.1949
1700.000000	80.012	-130.8674
1725.000000	80.188	-130.5571
1750.000000	80.366	-130.3409
1775.000000	80.544	-130.2281
1800.000000	80.724	-130.2248
1825.000000	80.899	-130.2861
1850.000000	81.068	-130.4111
1875.000000	81.237	-130.5864
1900.000000	81.398	-130.8377
1925.000000	81.551	-131.1046
1950.000000	81.696	-131.3989
1975.000000	81.838	-131.7745
2000.000000	81.973	-132.1955
2030.000000	82.124	-132.6800
2060.000000	82.261	-133.1834
2090.000000	82.386	-133.6982
2120.000000	82.500	-134.2192
2140.000000	82.572	-134.5720
2180.000000	82.711	-135.2538
2200.000000	82.774	-135.5737
2240.000000	82.895	-136.1877
2270.000000	82.987	-136.6548
2300.000000	83.078	-137.0967
2330.000000	83.169	-137.5574
2360.000000	83.259	-138.0340
2400.000000	83.374	-138.6328
2430.000000	83.461	-139.1299
2470.000000	83.577	-139.8887
2500.000000	83.665	-140.4646
2540.000000	83.775	-141.2605
2580.000000	83.868	-142.0730
2620.000000	83.950	-142.8572
2650.000000	84.006	-143.4779
2690.000000	84.071	-144.3586
2720.000000	84.111	-145.0089
2760.000000	84.155	-145.8520
2800.000000	84.190	-146.6616
2850.000000	84.224	-147.6391
2900.000000	84.255	-148.5616
2950.000000	84.283	-149.4023
3000.000000	84.317	-150.2366
3040.000000	84.348	-150.9236
3070.000000	84.371	-151.4554
3110.000000	84.398	-152.1706
3150.000000	84.426	-152.8951
3200.000000	84.454	-153.8753
3250.000000	84.475	-154.9471
3300.000000	84.486	-156.0337
3350.000000	84.479	-157.1055
3400.000000	84.456	-158.1266
3450.000000	84.423	-159.1049
3500.000000	84.382	-160.0550
3550.000000	84.339	-160.9028
3600.000000	84.292	-161.6797
3650.000000	84.240	-162.4151
3700.000000	84.188	-163.1173
3750.000000	84.139	-163.8052
3820.000000	84.074	-164.7439
3870.000000	84.035	-165.4350
3950.000000	83.981	-166.6517
4000.000000	83.952	-167.4852
4060.000000	83.916	-168.5925
4120.000000	83.858	-169.7881
4180.000000	83.765	-171.0377
4250.000000	83.604	-172.5024
4310.000000	83.426	-173.7389
4370.000000	83.226	-174.9285
4440.000000	82.993	-176.1689
4500.000000	82.796	-177.0500
4550.000000	82.636	-177.6746
4620.000000	82.418	-178.4450
4680.000000	82.242	-179.0354
4750.000000	82.038	-179.6577
4820.000000	81.823	179.6945
4870.000000	81.658	179.1789
4940.000000	81.401	178.4827
5000.000000	81.156	177.9924
5080.000000	80.800	177.5745
5150.000000	80.471	177.5200
5220.000000	80.137	177.7988
5300.000000	79.780	178.4492
5380.000000	79.457	179.2288
5450.000000	79.190	-179.9846
5520.000000	78.944	-179.0629
5600.000000	78.698	-177.8724
5700.000000	78.433	-176.3461
5800.000000	78.200	-174.8565
5900.000000	77.996	-173.3713
6000.000000	77.837	-171.9060
6080.000000	77.753	-170.7561
6150.000000	77.715	-169.7649
6220.000000	77.706	-168.8503
6300.000000	77.713	-167.9500
6400.000000	77.732	-167.1084
6500.000000	77.735	-166.6333
6600.000000	77.701	-166.3177
6700.000000	77.639	-165.9352
6800.000000	77.600	-165.3820
6900.000000	77.588	-164.7709
7000.000000	77.595	-164.1856
7100.000000	77.628	-163.7139
7200.000000	77.680	-163.3918
7300.000000	77.752	-163.1713
7400.000000	77.847	-163.1037
7500.000000	77.932	-163.1964
7620.000000	78.002	-163.5117
7750.000000	78.051	-163.8972
7880.000000	78.082	-164.3942
8000.000000	78.077	-165.4396
8120.000000	78.003	-167.1361
8250.000000	77.811	-169.3018
8380.000000	77.524	-171.2116
8500.000000	77.249	-172.5178
8620.000000	77.006	-173.6559
8750.000000	76.749	-174.9036
8850.000000	76.546	-175.9104
9000.000000	76.229	-177.3956
9120.000000	75.938	-178.3174
9250.000000	75.633	-178.8514
9380.000000	75.396	-179.1621
9500.000000	75.209	-179.7143
9620.000000	75.025	179.3934
9750.000000	74.810	178.1565
9880.000000	74.559	176.7831
