* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 2 오후 7:30:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4월 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.896	-158.0412
20.600000	91.912	-158.3636
20.900000	91.944	-158.9691
21.200001	91.966	-159.6234
21.400000	91.972	-160.0793
21.799999	91.965	-161.0206
22.000000	91.954	-161.4884
22.400000	91.922	-162.3702
22.700001	91.903	-162.9759
23.000000	91.898	-163.5521
23.299999	91.902	-164.1294
23.600000	91.914	-164.7330
24.000000	91.937	-165.6033
24.299999	91.955	-166.3016
24.700001	91.975	-167.2605
25.000000	91.983	-167.9668
25.400000	91.989	-168.8511
25.799999	91.995	-169.6474
26.200001	92.007	-170.3623
26.500000	92.018	-170.8609
26.900000	92.035	-171.4967
27.200001	92.045	-171.9624
27.600000	92.055	-172.5751
28.000000	92.059	-173.1836
28.500000	92.053	-173.9502
29.000000	92.035	-174.7338
29.500000	92.005	-175.5131
30.000000	91.960	-176.2297
30.400000	91.921	-176.7325
30.700001	91.899	-177.0777
31.100000	91.883	-177.5364
31.500000	91.879	-178.0385
32.000000	91.876	-178.7560
32.500000	91.869	-179.5246
33.000000	91.857	179.7407
33.500000	91.846	179.0628
34.000000	91.841	178.4005
34.500000	91.838	177.7245
35.000000	91.835	177.0570
35.500000	91.835	176.4208
36.000000	91.837	175.7847
36.500000	91.837	175.1037
37.000000	91.820	174.3969
37.500000	91.783	173.7445
38.200001	91.726	173.0141
38.700001	91.699	172.5751
39.500000	91.661	171.8719
40.000000	91.633	171.4290
40.599998	91.599	170.8905
41.200001	91.561	170.2971
41.799999	91.515	169.6483
42.500000	91.455	168.9134
43.099998	91.412	168.3611
43.700001	91.384	167.8686
44.400002	91.372	167.3136
45.000000	91.369	166.7945
45.500000	91.363	166.3161
46.200001	91.337	165.6458
46.799999	91.307	165.1476
47.500000	91.282	164.6219
48.200001	91.264	164.0503
48.700001	91.245	163.6112
49.400002	91.203	162.9988
50.000000	91.155	162.4726
50.799999	91.076	161.7679
51.500000	90.997	161.2367
52.200001	90.932	160.8114
53.000000	90.892	160.3181
53.799999	90.864	159.7641
54.500000	90.840	159.3190
55.200001	90.824	158.8955
56.000000	90.803	158.3469
57.000000	90.748	157.7111
58.000000	90.685	157.1867
59.000000	90.604	156.5176
60.000000	90.494	155.9088
60.799999	90.422	155.5285
61.500000	90.381	155.1320
62.200001	90.343	154.6125
63.000000	90.282	153.9665
64.000000	90.197	153.3551
65.000000	90.156	152.8937
66.000000	90.134	152.2747
67.000000	90.083	151.6924
68.000000	90.025	151.3098
69.000000	89.966	150.9652
70.000000	89.897	150.6143
71.000000	89.831	150.2666
72.000000	89.776	149.8599
73.000000	89.719	149.3330
74.000000	89.650	148.7704
75.000000	89.579	148.3215
76.199997	89.519	147.8869
77.500000	89.466	147.3055
78.800003	89.386	146.7203
80.000000	89.305	146.3094
81.199997	89.228	145.8557
82.500000	89.132	145.2817
83.800003	89.038	144.8338
85.000000	88.981	144.5215
86.199997	88.941	144.1616
87.500000	88.888	143.6928
88.500000	88.831	143.3781
90.000000	88.743	143.0374
91.199997	88.668	142.6941
92.500000	88.566	142.3630
93.800003	88.478	142.1432
95.000000	88.423	141.9153
96.199997	88.385	141.5540
97.500000	88.328	141.0184
98.800003	88.240	140.5734
100.000000	88.156	140.2756
101.500000	88.054	139.9612
103.000000	87.973	139.6827
104.400002	87.909	139.3357
106.000000	87.828	138.9941
107.500000	87.752	138.7064
109.000000	87.663	138.3732
110.599998	87.552	138.0074
112.000000	87.462	137.7332
113.800003	87.380	137.3955
115.000000	87.342	137.1680
117.199997	87.267	136.7285
118.000000	87.224	136.5584
120.599998	87.036	136.2491
122.000000	86.956	136.1505
124.099998	86.869	135.8879
125.000000	86.840	135.7877
126.500000	86.799	135.5963
128.000000	86.740	135.3159
131.500000	86.514	134.6634
132.000000	86.481	134.5667
134.000000	86.369	134.2213
136.000000	86.290	133.9981
138.000000	86.220	133.8083
140.000000	86.131	133.5871
143.000000	85.987	133.1544
145.000000	85.904	132.9648
147.500000	85.817	132.9209
150.000000	85.716	132.8614
152.500000	85.597	132.5533
155.000000	85.500	132.2651
157.500000	85.423	132.0110
160.000000	85.324	131.8635
162.500000	85.224	131.6356
165.000000	85.131	131.4482
167.500000	85.050	131.4206
170.000000	84.951	131.4684
172.500000	84.844	131.3829
175.000000	84.744	131.1018
177.500000	84.646	130.8573
180.000000	84.555	130.7837
182.500000	84.477	130.6908
185.000000	84.387	130.5071
187.500000	84.274	130.4048
190.000000	84.157	130.4410
192.500000	84.058	130.5110
195.000000	83.979	130.4896
197.500000	83.900	130.3295
200.000000	83.801	130.1461
203.000000	83.686	130.0767
206.000000	83.593	130.1095
209.000000	83.503	130.1817
212.000000	83.413	130.2461
214.000000	83.355	130.2899
218.000000	83.247	130.2817
220.000000	83.184	130.1696
224.000000	83.054	130.1056
227.000000	82.970	130.1358
