* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 2 오후 7:24:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4월 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.427	-161.8387
20.600000	91.423	-162.1423
20.900000	91.414	-162.6747
21.200001	91.406	-163.1603
21.400000	91.400	-163.4723
21.799999	91.387	-164.1240
22.000000	91.378	-164.4809
22.400000	91.355	-165.2532
22.700001	91.336	-165.8648
23.000000	91.315	-166.4739
23.299999	91.294	-167.0420
23.600000	91.275	-167.5530
24.000000	91.272	-168.1776
24.299999	91.294	-168.6918
24.700001	91.346	-169.5888
25.000000	91.381	-170.4763
25.400000	91.387	-171.8654
25.799999	91.331	-173.1796
26.200001	91.238	-174.0526
26.500000	91.178	-174.3400
26.900000	91.160	-174.4089
27.200001	91.201	-174.4936
27.600000	91.300	-174.9818
28.000000	91.379	-175.9841
28.500000	91.370	-177.4940
29.000000	91.270	-178.5137
29.500000	91.189	-178.8365
30.000000	91.194	-179.0021
30.400000	91.233	-179.4148
30.700001	91.257	-179.9194
31.100000	91.261	179.3101
31.500000	91.236	178.6198
32.000000	91.194	177.9893
32.500000	91.174	177.4749
33.000000	91.168	176.8933
33.500000	91.153	176.2549
34.000000	91.131	175.6466
34.500000	91.116	175.0435
35.000000	91.106	174.3575
35.500000	91.086	173.5994
36.000000	91.051	172.8921
36.500000	91.016	172.3030
37.000000	90.997	171.7501
37.500000	90.988	171.1096
38.200001	90.961	170.0768
38.700001	90.928	169.4007
39.500000	90.871	168.5729
40.000000	90.838	168.1171
40.599998	90.790	167.5798
41.200001	90.726	167.1412
41.799999	90.668	166.8300
42.500000	90.629	166.4569
43.099998	90.610	166.0037
43.700001	90.587	165.4856
44.400002	90.558	164.8900
45.000000	90.537	164.3438
45.500000	90.516	163.8210
46.200001	90.471	163.0403
46.799999	90.421	162.4202
47.500000	90.366	161.7839
48.200001	90.319	161.2101
48.700001	90.287	160.8533
49.400002	90.245	160.4490
50.000000	90.217	160.1174
50.799999	90.185	159.5411
51.500000	90.138	158.9492
52.200001	90.076	158.4018
53.000000	90.008	157.8688
53.799999	89.949	157.4805
54.500000	89.927	157.2021
55.200001	89.927	156.7119
56.000000	89.891	155.9226
57.000000	89.800	155.3538
58.000000	89.767	154.7747
59.000000	89.653	153.7800
60.000000	89.481	153.4561
60.799999	89.408	153.3680
61.500000	89.364	153.1111
62.200001	89.320	152.7812
63.000000	89.281	152.2928
64.000000	89.225	151.3931
65.000000	89.132	150.4429
66.000000	89.011	149.8630
67.000000	88.931	149.7831
68.000000	88.919	149.6363
69.000000	88.886	149.2490
70.000000	88.826	148.9299
71.000000	88.771	148.5340
72.000000	88.693	148.0197
73.000000	88.597	147.6050
74.000000	88.514	147.2251
75.000000	88.430	146.8648
76.199997	88.334	146.6910
77.500000	88.270	146.7071
78.800003	88.218	146.5349
80.000000	88.114	146.3925
81.199997	88.011	146.4054
82.500000	87.896	146.0710
83.800003	87.788	145.5742
85.000000	87.697	144.5307
86.199997	87.486	143.4754
87.500000	87.240	143.9830
88.500000	87.259	145.3053
90.000000	87.613	146.5323
91.199997	87.921	146.2124
92.500000	88.073	144.9638
93.800003	87.957	143.8497
95.000000	87.712	143.9007
96.199997	87.569	144.5222
97.500000	87.538	144.0588
98.800003	87.449	142.7336
100.000000	87.360	141.5475
101.500000	87.259	140.3709
103.000000	87.189	139.7842
104.400002	87.104	139.6034
106.000000	87.013	139.9410
107.500000	86.964	139.9616
109.000000	86.898	139.4459
110.599998	86.793	138.6194
112.000000	86.710	137.9912
113.800003	86.615	137.3589
115.000000	86.553	137.4177
117.199997	86.541	138.2617
118.000000	86.567	138.5406
120.599998	86.587	137.5661
122.000000	86.395	136.5828
124.099998	86.100	136.0536
125.000000	86.025	135.9672
126.500000	85.954	135.8083
128.000000	85.900	135.6382
131.500000	85.702	135.3459
132.000000	85.674	135.3213
134.000000	85.585	135.0990
136.000000	85.505	134.8314
138.000000	85.407	134.5491
140.000000	85.259	134.2576
143.000000	85.098	133.9757
145.000000	85.058	133.7445
147.500000	84.989	133.5270
150.000000	84.858	133.0755
152.500000	84.718	132.4373
155.000000	84.616	132.3111
157.500000	84.555	132.9604
160.000000	84.492	133.3226
162.500000	84.381	132.8792
165.000000	84.253	132.3716
167.500000	84.158	132.2157
170.000000	84.063	132.2220
172.500000	83.950	132.1317
175.000000	83.833	132.0925
177.500000	83.737	132.1795
180.000000	83.651	132.0894
182.500000	83.526	131.7088
185.000000	83.364	131.4329
187.500000	83.224	131.3146
190.000000	83.128	130.9305
192.500000	83.051	130.3010
195.000000	82.985	130.1642
197.500000	82.950	130.6335
200.000000	82.897	131.1765
203.000000	82.816	131.5666
206.000000	82.809	131.9873
209.000000	82.831	132.2180
212.000000	82.653	132.1311
214.000000	82.495	132.1837
218.000000	82.338	131.6193
220.000000	82.290	131.2975
224.000000	82.207	131.1636
227.000000	82.136	131.2762
230.000000	82.030	131.4696
233.000000	81.903	131.6407
236.000000	81.791	131.6744
240.000000	81.670	131.7570
243.000000	81.596	132.0288
247.000000	81.523	132.2513
250.000000	81.459	132.2315
254.000000	81.349	132.0939
258.000000	81.204	132.1859
262.000000	81.081	132.6386
265.000000	81.002	132.8718
269.000000	80.872	133.0515
272.000000	80.768	133.1200
276.000000	80.689	133.1320
280.000000	80.649	133.1057
285.000000	80.543	133.1730
290.000000	80.427	133.3442
295.000000	80.284	133.6972
300.000000	80.164	134.2036
304.000000	80.082	134.4720
307.000000	80.014	134.5593
311.000000	79.939	134.4167
315.000000	79.870	134.2950
320.000000	79.773	134.6379
325.000000	79.689	135.0763
330.000000	79.601	135.4855
335.000000	79.514	135.9933
340.000000	79.401	136.6228
345.000000	79.241	137.2247
350.000000	79.158	137.3338
355.000000	79.152	137.2087
360.000000	79.112	137.5165
365.000000	79.019	137.8756
370.000000	78.917	138.0623
375.000000	78.827	138.1448
382.000000	78.718	138.4424
387.000000	78.626	138.8398
395.000000	78.463	139.5403
400.000000	78.369	139.9477
406.000000	78.301	140.2965
412.000000	78.252	140.5421
418.000000	78.151	140.8749
425.000000	78.031	141.4959
431.000000	77.954	142.0308
437.000000	77.894	142.3445
444.000000	77.798	142.5678
450.000000	77.688	142.7785
455.000000	77.617	143.0806
462.000000	77.560	143.7329
468.000000	77.509	144.3974
475.000000	77.402	144.8787
482.000000	77.284	145.2614
487.000000	77.215	145.5243
494.000000	77.164	145.9219
500.000000	77.149	146.3754
508.000000	77.119	146.9693
515.000000	77.063	147.5548
522.000000	76.981	148.2555
530.000000	76.893	149.0366
538.000000	76.814	149.7361
545.000000	76.774	150.2332
552.000000	76.722	150.6784
560.000000	76.630	151.1754
570.000000	76.586	151.7951
580.000000	76.528	152.4503
590.000000	76.405	153.1711
600.000000	76.314	153.9398
608.000000	76.255	154.5116
615.000000	76.203	155.2216
622.000000	76.131	155.9882
630.000000	76.047	156.6198
640.000000	75.997	157.2908
650.000000	75.977	158.1282
660.000000	75.960	158.8712
670.000000	75.916	159.5784
