* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 2 오후 7:21:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4월 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.368	-159.6263
20.600000	91.360	-160.0582
20.900000	91.338	-160.8133
21.200001	91.304	-161.4827
21.400000	91.273	-161.8647
21.799999	91.200	-162.4632
22.000000	91.164	-162.6683
22.400000	91.120	-162.8702
22.700001	91.137	-162.9321
23.000000	91.210	-163.1037
23.299999	91.319	-163.5717
23.600000	91.433	-164.4215
24.000000	91.540	-166.0918
24.299999	91.559	-167.5163
24.700001	91.502	-169.2311
25.000000	91.425	-170.1569
25.400000	91.335	-170.8740
25.799999	91.309	-171.3058
26.200001	91.339	-171.8629
26.500000	91.366	-172.4692
26.900000	91.367	-173.4219
27.200001	91.335	-174.0726
27.600000	91.268	-174.6705
28.000000	91.210	-174.9478
28.500000	91.187	-175.1075
29.000000	91.212	-175.3858
29.500000	91.263	-175.8931
30.000000	91.319	-176.6595
30.400000	91.353	-177.4938
30.700001	91.364	-178.2355
31.100000	91.346	-179.2590
31.500000	91.293	179.8597
32.000000	91.207	179.1661
32.500000	91.160	178.8456
33.000000	91.171	178.5504
33.500000	91.206	178.0566
34.000000	91.230	177.4133
34.500000	91.243	176.7508
35.000000	91.254	176.0676
35.500000	91.256	175.2931
36.000000	91.231	174.4658
36.500000	91.172	173.7411
37.000000	91.101	173.2362
37.500000	91.043	172.8975
38.200001	91.010	172.3713
38.700001	91.003	171.8002
39.500000	90.954	170.6888
40.000000	90.896	170.0630
40.599998	90.828	169.4532
41.200001	90.778	168.8735
41.799999	90.739	168.1968
42.500000	90.690	167.3192
43.099998	90.648	166.6175
43.700001	90.612	166.0090
44.400002	90.580	165.4109
45.000000	90.561	165.0002
45.500000	90.556	164.7017
46.200001	90.569	164.2117
46.799999	90.579	163.6120
47.500000	90.560	162.7660
48.200001	90.500	161.9990
48.700001	90.442	161.5918
49.400002	90.357	161.1906
50.000000	90.285	160.9203
50.799999	90.201	160.5934
51.500000	90.145	160.2684
52.200001	90.106	159.7861
53.000000	90.056	159.0727
53.799999	89.998	158.4136
54.500000	89.957	157.9077
55.200001	89.926	157.4173
56.000000	89.908	156.8745
57.000000	89.899	155.9636
58.000000	89.811	155.0240
59.000000	89.713	154.6700
60.000000	89.674	154.2299
60.799999	89.624	153.7483
61.500000	89.569	153.3896
62.200001	89.505	153.0703
63.000000	89.422	152.8660
64.000000	89.364	152.7083
65.000000	89.316	152.1623
66.000000	89.220	151.7790
67.000000	89.170	151.6315
68.000000	89.146	151.2261
69.000000	89.108	150.6985
70.000000	89.059	150.0286
71.000000	88.982	149.3589
72.000000	88.906	148.8765
73.000000	88.843	148.4283
74.000000	88.776	148.0105
75.000000	88.705	147.6967
76.199997	88.628	147.5612
77.500000	88.605	147.3012
78.800003	88.553	146.3567
80.000000	88.417	145.4972
81.199997	88.281	145.0087
82.500000	88.187	144.5432
83.800003	88.130	144.0816
85.000000	88.102	143.6722
86.199997	88.062	143.2126
87.500000	87.989	142.7462
88.500000	87.917	142.3994
90.000000	87.791	141.9487
91.199997	87.686	141.6687
92.500000	87.581	141.4998
93.800003	87.494	141.3034
95.000000	87.399	141.1277
