* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 2 오후 7:35:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4월 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.933	-160.0598
20.600000	91.941	-160.4327
20.900000	91.955	-161.0978
21.200001	91.959	-161.7275
21.400000	91.955	-162.1255
21.799999	91.934	-162.8947
22.000000	91.919	-163.2697
22.400000	91.888	-163.9848
22.700001	91.873	-164.4941
23.000000	91.871	-165.0017
23.299999	91.878	-165.5349
23.600000	91.890	-166.1179
24.000000	91.910	-166.9961
24.299999	91.923	-167.7234
24.700001	91.927	-168.7356
25.000000	91.918	-169.4704
25.400000	91.895	-170.3444
25.799999	91.876	-171.0546
26.200001	91.873	-171.6291
26.500000	91.885	-172.0257
26.900000	91.913	-172.5851
27.200001	91.936	-173.0640
27.600000	91.957	-173.7841
28.000000	91.959	-174.5448
28.500000	91.931	-175.4387
29.000000	91.888	-176.1921
29.500000	91.851	-176.8340
30.000000	91.822	-177.4551
30.400000	91.800	-177.9797
30.700001	91.786	-178.3922
31.100000	91.771	-178.9548
31.500000	91.756	-179.5167
32.000000	91.738	179.7937
32.500000	91.725	179.1129
33.000000	91.717	178.4340
33.500000	91.707	177.7702
34.000000	91.696	177.1455
34.500000	91.693	176.5537
35.000000	91.699	175.9417
35.500000	91.706	175.2520
36.000000	91.697	174.5071
36.500000	91.662	173.8190
37.000000	91.612	173.3017
37.500000	91.569	172.9498
38.200001	91.550	172.4834
38.700001	91.556	172.0059
39.500000	91.535	171.0308
40.000000	91.494	170.4374
40.599998	91.434	169.8398
41.200001	91.381	169.3318
41.799999	91.346	168.7868
42.500000	91.320	167.9770
43.099998	91.289	167.1970
43.700001	91.249	166.5042
44.400002	91.210	165.8860
45.000000	91.192	165.4349
45.500000	91.182	165.0469
46.200001	91.166	164.4693
46.799999	91.145	163.9673
47.500000	91.113	163.4139
48.200001	91.084	162.9050
48.700001	91.063	162.5365
49.400002	91.020	161.9824
50.000000	90.964	161.5327
50.799999	90.889	161.0621
51.500000	90.847	160.6499
52.200001	90.818	160.0853
53.000000	90.775	159.3427
53.799999	90.723	158.7068
54.500000	90.681	158.2618
55.200001	90.645	157.8507
56.000000	90.602	157.3760
57.000000	90.532	156.8533
58.000000	90.463	156.4096
59.000000	90.398	155.7693
60.000000	90.306	154.9596
60.799999	90.220	154.4152
61.500000	90.159	154.0473
62.200001	90.116	153.7043
63.000000	90.079	153.2788
64.000000	90.041	152.7254
65.000000	90.008	152.1908
66.000000	89.974	151.7132
67.000000	89.937	151.2708
68.000000	89.887	150.7821
69.000000	89.811	150.2877
70.000000	89.720	149.8449
71.000000	89.642	149.4175
72.000000	89.573	148.9059
73.000000	89.499	148.4318
74.000000	89.443	148.0737
75.000000	89.411	147.6768
76.199997	89.367	147.1263
77.500000	89.293	146.5942
78.800003	89.205	146.1609
80.000000	89.109	145.7717
81.199997	89.005	145.4705
82.500000	88.920	145.1023
83.800003	88.849	144.5501
85.000000	88.777	144.0594
86.199997	88.708	143.6821
87.500000	88.639	143.2858
88.500000	88.585	142.9694
90.000000	88.490	142.4938
91.199997	88.401	142.2446
92.500000	88.328	142.0710
93.800003	88.276	141.7954
95.000000	88.229	141.4694
96.199997	88.183	141.1011
97.500000	88.122	140.6375
98.800003	88.040	140.2411
100.000000	87.965	139.9911
101.500000	87.887	139.6862
103.000000	87.807	139.3084
104.400002	87.725	139.0177
106.000000	87.634	138.7386
107.500000	87.549	138.4478
109.000000	87.457	138.1562
110.599998	87.373	137.8587
112.000000	87.302	137.5103
113.800003	87.209	137.1524
115.000000	87.158	136.9042
117.199997	87.034	136.3509
118.000000	86.975	136.2025
120.599998	86.807	135.9856
122.000000	86.742	135.8516
124.099998	86.648	135.6945
125.000000	86.615	135.6537
126.500000	86.565	135.4739
128.000000	86.497	135.1461
131.500000	86.298	134.3755
132.000000	86.273	134.2942
134.000000	86.188	134.0396
136.000000	86.109	133.9605
138.000000	86.033	133.9987
140.000000	85.957	133.8962
143.000000	85.815	133.4259
145.000000	85.711	133.1758
147.500000	85.605	133.0270
150.000000	85.494	132.7838
152.500000	85.377	132.5721
155.000000	85.289	132.2800
157.500000	85.217	132.0544
160.000000	85.131	131.8978
162.500000	85.021	131.7571
165.000000	84.906	131.4423
167.500000	84.800	131.1946
170.000000	84.718	131.1782
172.500000	84.635	131.2894
175.000000	84.569	131.3621
177.500000	84.502	131.2000
180.000000	84.393	131.0234
182.500000	84.258	130.9937
185.000000	84.128	130.9676
187.500000	84.005	130.7941
190.000000	83.880	130.5139
192.500000	83.765	130.3207
195.000000	83.689	130.3340
197.500000	83.648	130.4443
200.000000	83.606	130.5076
203.000000	83.528	130.4148
206.000000	83.416	130.3948
209.000000	83.304	130.5357
212.000000	83.191	130.6377
214.000000	83.132	130.5856
218.000000	83.042	130.2352
220.000000	82.988	130.1909
224.000000	82.851	130.3308
227.000000	82.762	130.3610
230.000000	82.704	130.3136
233.000000	82.635	130.3365
236.000000	82.546	130.3484
240.000000	82.415	130.2083
243.000000	82.329	130.2916
247.000000	82.235	130.6697
250.000000	82.150	130.8684
254.000000	82.037	130.8896
258.000000	81.934	130.8434
262.000000	81.808	130.9598
265.000000	81.732	131.0832
269.000000	81.652	131.1088
272.000000	81.583	131.1021
276.000000	81.507	131.1366
280.000000	81.421	131.1887
285.000000	81.293	131.5028
290.000000	81.198	131.7570
295.000000	81.089	131.9240
300.000000	80.978	131.8731
304.000000	80.896	132.0505
307.000000	80.828	132.2454
311.000000	80.730	132.3801
315.000000	80.640	132.5239
320.000000	80.533	132.8381
325.000000	80.432	133.1443
330.000000	80.345	133.4299
335.000000	80.240	133.5403
340.000000	80.154	133.5788
345.000000	80.089	133.8119
350.000000	79.999	134.1744
355.000000	79.921	134.4152
360.000000	79.869	134.6505
365.000000	79.789	134.8720
370.000000	79.666	135.0694
375.000000	79.545	135.2888
382.000000	79.441	135.4850
387.000000	79.358	135.9324
395.000000	79.214	136.4545
400.000000	79.149	136.6837
406.000000	79.083	137.1463
412.000000	79.014	137.6661
418.000000	78.920	137.9864
425.000000	78.807	138.4312
431.000000	78.716	138.7889
437.000000	78.641	139.1122
444.000000	78.571	139.4720
450.000000	78.487	139.7023
455.000000	78.417	140.0699
462.000000	78.353	140.6183
468.000000	78.312	140.9970
475.000000	78.231	141.5349
482.000000	78.137	142.1690
487.000000	78.083	142.4509
494.000000	78.013	142.7457
500.000000	77.947	142.9892
508.000000	77.867	143.2997
515.000000	77.785	143.5583
522.000000	77.710	143.8687
530.000000	77.663	144.5251
538.000000	77.593	145.2657
545.000000	77.524	145.6954
552.000000	77.449	145.9890
560.000000	77.361	146.5641
570.000000	77.293	147.6556
580.000000	77.246	148.4528
590.000000	77.215	148.8647
600.000000	77.129	149.4108
608.000000	77.037	150.1621
615.000000	76.983	150.7949
622.000000	76.943	151.1738
630.000000	76.909	151.5891
640.000000	76.857	152.2950
650.000000	76.783	152.7645
660.000000	76.753	153.3797
670.000000	76.735	154.3846
680.000000	76.683	155.2453
690.000000	76.624	155.9323
700.000000	76.568	156.8177
710.000000	76.553	157.6981
720.000000	76.528	158.5400
730.000000	76.453	159.3906
740.000000	76.417	160.0427
750.000000	76.415	160.5332
762.000000	76.400	161.5145
775.000000	76.388	162.5747
788.000000	76.388	163.7307
800.000000	76.358	164.7640
812.000000	76.306	165.7952
825.000000	76.324	166.8088
838.000000	76.358	167.7083
850.000000	76.373	168.5855
862.000000	76.342	169.3743
875.000000	76.288	170.3015
885.000000	76.301	171.0170
900.000000	76.328	171.9291
912.000000	76.347	172.6030
925.000000	76.383	173.5863
938.000000	76.418	174.6506
950.000000	76.471	175.4830
962.000000	76.507	176.2262
975.000000	76.524	177.0389
988.000000	76.474	177.7515
1000.000000	76.407	178.3882
1015.000000	76.466	179.5336
1030.000000	76.486	-179.1727
1044.000000	76.489	-178.1667
