* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -20.6 dBFS, measurement signal peak level -20.3 dBFS
* Format: 128k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2022. 5. 20 ¿ÀÈÄ 5:35:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0087 ms (3.0 mm, 0.12 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: JBL_E25BT_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.402	31.0878
20.299999	95.456	30.3760
20.600000	95.507	29.6999
20.900000	95.558	29.0668
21.200001	95.611	28.4705
21.400000	95.648	28.0821
21.799999	95.724	27.3049
22.000000	95.760	26.9080
22.400000	95.825	26.0972
22.700001	95.863	25.4977
23.000000	95.892	24.9385
23.299999	95.914	24.4424
23.600000	95.936	24.0122
24.000000	95.970	23.5147
24.299999	96.003	23.1549
24.700001	96.053	22.6341
25.000000	96.090	22.1922
25.400000	96.130	21.5492
25.799999	96.158	20.9013
26.200001	96.178	20.3013
26.500000	96.195	19.8858
26.900000	96.223	19.3445
27.200001	96.249	18.9133
27.600000	96.285	18.2745
28.000000	96.313	17.5765
28.500000	96.331	16.7135
29.000000	96.340	15.9663
29.500000	96.359	15.3356
30.000000	96.395	14.7220
30.400000	96.429	14.1860
30.700001	96.454	13.7570
31.100000	96.480	13.1795
31.500000	96.499	12.6296
32.000000	96.520	12.0009
32.500000	96.543	11.4066
33.000000	96.565	10.8032
33.500000	96.580	10.1921
34.000000	96.589	9.6052
34.500000	96.599	9.0498
35.000000	96.612	8.4917
35.500000	96.625	7.8957
36.000000	96.631	7.2751
36.500000	96.628	6.6792
37.000000	96.624	6.1396
37.500000	96.626	5.6362
38.200001	96.634	4.9134
38.700001	96.640	4.3701
39.500000	96.641	3.5171
40.000000	96.641	3.0084
40.599998	96.641	2.4090
41.200001	96.637	1.8237
41.799999	96.630	1.2690
42.500000	96.624	0.6499
43.099998	96.620	0.1171
43.700001	96.613	-0.4170
44.400002	96.604	-1.0300
45.000000	96.598	-1.5596
45.500000	96.592	-2.0142
46.200001	96.578	-2.6505
46.799999	96.563	-3.1638
47.500000	96.548	-3.7243
48.200001	96.537	-4.2804
48.700001	96.528	-4.6831
49.400002	96.514	-5.2354
50.000000	96.501	-5.6868
50.799999	96.486	-6.2775
