* Measurement data measured by REW V5.20.7
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 4 ¿ÀÈÄ 9:27:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.566	-109.5430
20.600000	78.655	-109.7754
20.900000	78.829	-110.2554
21.200001	78.981	-110.8858
21.400000	79.068	-111.3862
21.799999	79.203	-112.5274
22.000000	79.251	-113.1242
22.400000	79.310	-114.2459
22.700001	79.330	-114.9240
23.000000	79.348	-115.3993
23.299999	79.382	-115.6947
23.600000	79.446	-115.8936
24.000000	79.584	-116.1980
24.299999	79.717	-116.6013
24.700001	79.905	-117.4668
25.000000	80.032	-118.3320
25.400000	80.163	-119.6375
25.799999	80.247	-120.9111
26.200001	80.302	-121.9938
26.500000	80.337	-122.6557
26.900000	80.391	-123.3875
27.200001	80.440	-123.8894
27.600000	80.512	-124.5702
28.000000	80.578	-125.2818
28.500000	80.644	-126.1346
29.000000	80.707	-126.8752
29.500000	80.784	-127.6074
30.000000	80.859	-128.5088
30.400000	80.894	-129.3260
30.700001	80.899	-129.8965
31.100000	80.892	-130.4562
31.500000	80.900	-130.7607
32.000000	80.968	-131.0236
32.500000	81.086	-131.5662
33.000000	81.185	-132.4819
33.500000	81.225	-133.4006
34.000000	81.247	-133.9379
34.500000	81.314	-134.1958
35.000000	81.438	-134.6164
35.500000	81.553	-135.4726
36.000000	81.599	-136.5491
36.500000	81.569	-137.4053
37.000000	81.512	-137.7660
37.500000	81.482	-137.7111
38.200001	81.529	-137.4787
38.700001	81.608	-137.5141
39.500000	81.750	-138.0675
40.000000	81.833	-138.6474
40.599998	81.926	-139.5484
41.200001	82.002	-140.7138
41.799999	82.033	-142.0380
42.500000	82.008	-143.3678
43.099998	81.980	-144.0839
43.700001	81.989	-144.5537
44.400002	82.039	-145.0314
45.000000	82.101	-145.3846
45.500000	82.174	-145.6665
46.200001	82.299	-146.2856
46.799999	82.380	-147.1210
47.500000	82.398	-148.0990
48.200001	82.374	-148.7140
48.700001	82.363	-148.9772
49.400002	82.361	-149.3028
50.000000	82.365	-149.5647
50.799999	82.391	-149.8607
51.500000	82.451	-150.2500
52.200001	82.521	-150.9702
53.000000	82.560	-152.1857
53.799999	82.509	-153.4034
54.500000	82.416	-153.9784
55.200001	82.361	-154.0447
56.000000	82.390	-154.0912
57.000000	82.473	-154.6726
58.000000	82.562	-155.6133
59.000000	82.625	-157.0569
60.000000	82.591	-158.3362
60.799999	82.584	-158.8409
61.500000	82.623	-159.2488
62.200001	82.666	-159.7438
63.000000	82.705	-160.2144
64.000000	82.764	-160.6516
65.000000	82.821	-161.1406
66.000000	82.852	-161.7462
67.000000	82.832	-162.4419
68.000000	82.763	-162.9035
69.000000	82.729	-163.0035
70.000000	82.786	-163.2881
71.000000	82.851	-164.1470
72.000000	82.857	-165.0683
73.000000	82.851	-165.5885
74.000000	82.889	-165.9096
75.000000	82.938	-166.4448
76.199997	82.934	-167.1617
77.500000	82.899	-167.6993
78.800003	82.859	-168.1908
80.000000	82.834	-168.5911
81.199997	82.837	-169.0037
82.500000	82.867	-169.6192
83.800003	82.867	-170.3671
85.000000	82.842	-170.7993
86.199997	82.838	-171.0771
87.500000	82.844	-171.4659
88.500000	82.848	-171.8188
90.000000	82.858	-172.5203
91.199997	82.844	-173.2209
92.500000	82.809	-173.8425
93.800003	82.785	-174.2916
95.000000	82.775	-174.6303
96.199997	82.775	-174.9147
97.500000	82.790	-175.2676
98.800003	82.794	-175.7943
100.000000	82.783	-176.2352
101.500000	82.787	-176.7989
103.000000	82.779	-177.3244
104.400002	82.777	-177.5453
106.000000	82.788	-177.6745
107.500000	82.780	-177.9451
109.000000	82.714	-178.4325
110.599998	82.629	-178.9696
112.000000	82.597	-179.6424
113.800003	82.570	179.2881
115.000000	82.541	178.9347
117.199997	82.542	179.1585
118.000000	82.556	179.3057
120.599998	82.612	178.9466
122.000000	82.581	178.2309
124.099998	82.532	177.4478
125.000000	82.526	177.2341
126.500000	82.528	177.0206
128.000000	82.519	176.8641
131.500000	82.438	176.3763
132.000000	82.424	176.2242
134.000000	82.362	175.6351
136.000000	82.336	175.2264
138.000000	82.332	174.8883
140.000000	82.338	174.6315
143.000000	82.329	173.9131
145.000000	82.273	173.4271
147.500000	82.179	173.0664
150.000000	82.150	173.1055
152.500000	82.177	172.8457
155.000000	82.154	172.4025
157.500000	82.089	171.9525
160.000000	82.010	171.5207
162.500000	81.971	171.1628
165.000000	81.969	170.6099
167.500000	81.957	170.1082
170.000000	81.946	169.9563
172.500000	81.923	169.8425
175.000000	81.851	169.6549
177.500000	81.790	169.3571
180.000000	81.755	168.8426
182.500000	81.718	168.4909
185.000000	81.688	168.3926
187.500000	81.654	168.2011
190.000000	81.598	167.9127
192.500000	81.536	167.7236
195.000000	81.490	167.5945
197.500000	81.450	167.3992
200.000000	81.420	167.2320
203.000000	81.384	167.0677
206.000000	81.333	166.9755
209.000000	81.299	166.7815
212.000000	81.260	166.3909
214.000000	81.207	166.1949
218.000000	81.109	166.1221
220.000000	81.071	166.1582
224.000000	81.008	166.5119
227.000000	80.974	166.5305
230.000000	80.924	166.3425
233.000000	80.858	166.3107
236.000000	80.795	166.3424
240.000000	80.732	166.2858
243.000000	80.725	166.5406
247.000000	80.765	167.1672
250.000000	80.785	167.5178
254.000000	80.799	167.6865
258.000000	80.901	167.6799
262.000000	81.022	167.7138
265.000000	81.077	167.6653
269.000000	81.118	167.0740
272.000000	81.115	166.4776
276.000000	81.098	165.7968
280.000000	81.076	165.3374
285.000000	81.027	164.9383
290.000000	81.010	164.3613
295.000000	80.984	163.9449
300.000000	80.910	163.6305
304.000000	80.861	163.3144
307.000000	80.826	163.1012
311.000000	80.780	162.8702
315.000000	80.765	162.6946
320.000000	80.757	162.4128
325.000000	80.710	162.0147
330.000000	80.623	161.7708
335.000000	80.543	161.6441
340.000000	80.495	161.4915
345.000000	80.456	161.2283
350.000000	80.416	160.8682
355.000000	80.383	160.4885
360.000000	80.359	160.2715
365.000000	80.323	160.2750
370.000000	80.250	160.3672
375.000000	80.181	160.3547
382.000000	80.119	160.1976
387.000000	80.072	160.1573
395.000000	80.030	160.0414
400.000000	80.028	160.0569
406.000000	79.991	160.1721
412.000000	79.929	160.1215
418.000000	79.874	159.9897
425.000000	79.858	159.8817
431.000000	79.853	159.7506
437.000000	79.818	159.7423
444.000000	79.751	159.7902
450.000000	79.712	159.7607
455.000000	79.671	159.7451
462.000000	79.608	159.7021
468.000000	79.583	159.5427
475.000000	79.549	159.3403
482.000000	79.507	159.3791
487.000000	79.461	159.4021
494.000000	79.404	159.4153
500.000000	79.389	159.4774
508.000000	79.355	159.5053
515.000000	79.298	159.5090
522.000000	79.243	159.4686
530.000000	79.183	159.4662
538.000000	79.140	159.3734
545.000000	79.086	159.5062
552.000000	79.031	159.7603
560.000000	78.990	159.9011
570.000000	78.929	160.0004
580.000000	78.900	160.2281
590.000000	78.867	160.4786
600.000000	78.817	160.6394
608.000000	78.775	160.8445
615.000000	78.753	161.0985
622.000000	78.733	161.2895
630.000000	78.698	161.4117
640.000000	78.636	161.4829
650.000000	78.576	161.6379
660.000000	78.559	161.9315
670.000000	78.557	162.1145
680.000000	78.517	162.3451
690.000000	78.478	162.6241
700.000000	78.480	162.8560
710.000000	78.481	163.0931
720.000000	78.432	163.5275
730.000000	78.389	164.0101
740.000000	78.377	164.2584
750.000000	78.370	164.5184
762.000000	78.355	165.0192
775.000000	78.356	165.4352
788.000000	78.341	165.6068
800.000000	78.322	165.8832
812.000000	78.342	166.2350
825.000000	78.336	166.6984
838.000000	78.334	167.1570
850.000000	78.348	167.4151
862.000000	78.340	167.5985
875.000000	78.344	167.9432
885.000000	78.351	168.3051
900.000000	78.328	168.7964
912.000000	78.323	169.2735
925.000000	78.330	169.9721
938.000000	78.357	170.7119
950.000000	78.432	171.1847
962.000000	78.539	171.4597
975.000000	78.634	171.8710
988.000000	78.718	172.6645
1000.000000	78.793	173.3573
1015.000000	78.873	173.0387
1030.000000	78.948	172.5938
1044.000000	79.021	172.4496
1060.000000	79.092	172.2532
1075.000000	79.145	172.0464
1090.000000	79.195	171.9764
1106.000000	79.248	171.8901
1120.000000	79.274	171.7520
1138.000000	79.303	171.5248
1150.000000	79.322	171.3644
1172.000000	79.319	171.1850
1180.000000	79.299	171.1014
1206.000000	79.246	170.9865
1220.000000	79.229	171.0775
1241.000000	79.215	171.4172
1250.000000	79.213	171.6017
1265.000000	79.212	171.9109
1280.000000	79.220	172.1975
1315.000000	79.248	172.8046
1320.000000	79.254	172.9039
1340.000000	79.285	173.3196
1360.000000	79.311	173.7619
1380.000000	79.336	174.1316
1400.000000	79.382	174.4588
1430.000000	79.431	175.0410
1450.000000	79.487	175.4239
1475.000000	79.571	176.1251
1500.000000	79.659	176.7474
1525.000000	79.756	177.1118
1550.000000	79.865	177.3354
1575.000000	79.964	177.4435
1600.000000	80.035	177.7076
1625.000000	80.111	177.9539
1650.000000	80.205	178.1949
1675.000000	80.279	178.4322
1700.000000	80.347	178.6918
1725.000000	80.431	178.8787
1750.000000	80.509	179.0901
1775.000000	80.592	179.3414
1800.000000	80.679	179.5330
1825.000000	80.782	179.8055
1850.000000	80.882	-179.9164
1875.000000	80.967	-179.7370
1900.000000	81.055	-179.6923
1925.000000	81.164	-179.5706
1950.000000	81.273	-179.3973
1975.000000	81.356	-179.2758
2000.000000	81.449	-179.2305
2030.000000	81.575	-179.1876
2060.000000	81.692	-178.9919
2090.000000	81.806	-178.8525
2120.000000	81.918	-178.8273
2140.000000	81.996	-178.8232
2180.000000	82.136	-178.8869
2200.000000	82.205	-178.9342
2240.000000	82.364	-178.9159
2270.000000	82.484	-178.8901
2300.000000	82.594	-178.9519
2330.000000	82.691	-178.9450
2360.000000	82.782	-178.8255
2400.000000	82.913	-178.7765
2430.000000	83.026	-178.8250
2470.000000	83.206	-178.9497
2500.000000	83.347	-179.0992
2540.000000	83.512	-179.4377
2580.000000	83.630	-179.8185
2620.000000	83.724	179.7095
2650.000000	83.782	179.4424
2690.000000	83.847	179.4871
2720.000000	83.905	179.7689
2760.000000	84.041	-179.6487
2800.000000	84.276	-179.0509
2850.000000	84.691	-178.9367
2900.000000	85.118	-179.8798
2950.000000	85.459	178.1807
3000.000000	85.681	175.9205
3040.000000	85.776	174.1064
3070.000000	85.813	172.8423
3110.000000	85.840	171.3579
3150.000000	85.845	169.9886
3200.000000	85.827	168.3156
3250.000000	85.786	166.7962
3300.000000	85.713	165.4218
3350.000000	85.631	164.2154
3400.000000	85.532	163.2613
3450.000000	85.433	162.5547
3500.000000	85.333	161.9565
3550.000000	85.235	161.4787
3600.000000	85.151	161.1018
3650.000000	85.065	160.7767
3700.000000	84.980	160.4978
3750.000000	84.902	160.2787
3820.000000	84.804	160.0459
3870.000000	84.732	159.8985
3950.000000	84.604	159.7858
4000.000000	84.517	159.7666
4060.000000	84.429	159.8601
4120.000000	84.364	160.0585
4180.000000	84.312	160.2406
4250.000000	84.262	160.4992
4310.000000	84.220	160.7906
4370.000000	84.191	161.0205
4440.000000	84.177	161.2060
4500.000000	84.169	161.4242
4550.000000	84.157	161.5687
4620.000000	84.124	161.8177
4680.000000	84.094	162.1501
4750.000000	84.072	162.4858
4820.000000	84.082	162.8690
4870.000000	84.103	163.2201
4940.000000	84.146	163.7952
5000.000000	84.211	164.2622
5080.000000	84.309	164.6715
5150.000000	84.402	164.8890
5220.000000	84.512	165.0130
5300.000000	84.646	164.9486
5380.000000	84.786	164.7111
5450.000000	84.919	164.4340
5520.000000	85.056	164.0078
5600.000000	85.207	163.3031
5700.000000	85.361	162.1013
5800.000000	85.468	160.8347
5900.000000	85.548	159.5215
6000.000000	85.588	158.1277
6080.000000	85.596	157.0826
6150.000000	85.595	156.1984
6220.000000	85.577	155.3220
6300.000000	85.535	154.3712
6400.000000	85.456	153.3331
