* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 16 ¿ÀÈÄ 9:02:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.649	-157.8272
20.600000	103.654	-158.2179
20.900000	103.660	-158.9080
21.200001	103.663	-159.5460
21.400000	103.662	-159.9501
21.799999	103.658	-160.7583
22.000000	103.654	-161.1773
22.400000	103.644	-162.0390
22.700001	103.634	-162.6997
23.000000	103.624	-163.3724
23.299999	103.614	-164.0552
23.600000	103.604	-164.7451
24.000000	103.593	-165.6668
24.299999	103.586	-166.3475
24.700001	103.580	-167.2265
25.000000	103.579	-167.8614
25.400000	103.584	-168.6869
25.799999	103.596	-169.5143
26.200001	103.608	-170.3607
26.500000	103.612	-170.9996
26.900000	103.607	-171.8272
27.200001	103.597	-172.4045
27.600000	103.578	-173.0977
28.000000	103.561	-173.7148
28.500000	103.546	-174.4384
29.000000	103.535	-175.1716
29.500000	103.519	-175.9219
30.000000	103.497	-176.6625
30.400000	103.479	-177.2427
30.700001	103.466	-177.6782
31.100000	103.449	-178.2715
31.500000	103.431	-178.8825
32.000000	103.404	-179.6568
32.500000	103.373	179.5827
33.000000	103.344	178.8482
33.500000	103.321	178.1310
34.000000	103.300	177.4198
34.500000	103.279	176.7176
35.000000	103.256	176.0410
35.500000	103.232	175.4055
36.000000	103.211	174.8058
36.500000	103.193	174.2171
37.000000	103.174	173.6199
37.500000	103.148	173.0285
38.200001	103.104	172.2756
38.700001	103.075	171.7909
39.500000	103.042	170.9582
40.000000	103.018	170.3585
40.599998	102.974	169.6230
41.200001	102.922	168.9532
41.799999	102.874	168.3415
42.500000	102.826	167.6373
43.099998	102.788	167.0356
43.700001	102.752	166.4508
44.400002	102.712	165.7786
45.000000	102.677	165.2127
45.500000	102.648	164.7636
46.200001	102.610	164.1552
46.799999	102.580	163.6132
47.500000	102.537	162.9632
48.200001	102.487	162.3581
48.700001	102.453	161.9579
49.400002	102.408	161.3996
50.000000	102.368	160.9143
50.799999	102.313	160.2972
51.500000	102.268	159.7809
52.200001	102.227	159.2519
53.000000	102.177	158.6384
53.799999	102.123	158.0514
54.500000	102.075	157.5714
55.200001	102.030	157.1133
56.000000	101.981	156.5822
57.000000	101.914	155.9134
58.000000	101.844	155.3049
59.000000	101.779	154.6810
60.000000	101.704	154.0369
60.799999	101.643	153.5530
61.500000	101.593	153.1394
62.200001	101.544	152.7311
63.000000	101.490	152.2755
64.000000	101.424	151.7134
65.000000	101.357	151.1727
66.000000	101.292	150.6496
67.000000	101.224	150.1382
68.000000	101.154	149.6541
69.000000	101.086	149.1684
70.000000	101.014	148.6829
71.000000	100.943	148.2140
72.000000	100.872	147.7477
73.000000	100.801	147.3038
74.000000	100.732	146.8819
75.000000	100.664	146.4716
76.199997	100.585	146.0046
77.500000	100.499	145.4993
78.800003	100.410	145.0029
80.000000	100.327	144.5525
81.199997	100.245	144.1176
82.500000	100.160	143.6292
83.800003	100.073	143.1404
85.000000	99.994	142.7204
86.199997	99.918	142.3199
87.500000	99.836	141.9103
88.500000	99.773	141.6119
90.000000	99.678	141.1837
91.199997	99.603	140.8429
92.500000	99.522	140.4608
93.800003	99.439	140.0870
95.000000	99.363	139.7606
96.199997	99.288	139.4317
97.500000	99.205	139.0874
98.800003	99.120	138.7710
100.000000	99.043	138.4938
101.500000	98.949	138.1433
103.000000	98.854	137.7968
104.400002	98.768	137.4796
106.000000	98.668	137.1231
107.500000	98.575	136.8094
109.000000	98.482	136.4986
110.599998	98.381	136.1857
112.000000	98.294	135.9208
113.800003	98.182	135.5920
115.000000	98.109	135.3833
117.199997	97.973	135.0193
118.000000	97.922	134.8961
120.599998	97.758	134.5264
122.000000	97.669	134.3242
124.099998	97.531	134.0309
125.000000	97.471	133.9081
126.500000	97.369	133.7064
128.000000	97.264	133.5188
131.500000	97.009	133.1686
132.000000	96.972	133.1308
134.000000	96.817	133.0067
136.000000	96.650	132.9263
138.000000	96.467	132.9210
140.000000	96.267	133.0342
143.000000	95.931	133.6509
145.000000	95.686	134.5676
147.500000	95.395	136.6845
150.000000	95.274	140.0682
152.500000	95.549	143.6167
155.000000	96.122	145.1153
157.500000	96.618	144.1219
160.000000	96.883	141.9341
162.500000	96.948	139.6313
165.000000	96.905	137.7073
167.500000	96.813	136.1865
170.000000	96.693	134.9824
172.500000	96.556	134.0084
175.000000	96.407	133.2119
177.500000	96.254	132.5993
180.000000	96.105	132.1498
182.500000	95.959	131.8052
185.000000	95.817	131.5389
187.500000	95.680	131.3205
190.000000	95.549	131.1650
192.500000	95.424	131.0934
195.000000	95.304	131.0765
197.500000	95.192	131.1008
200.000000	95.092	131.1923
203.000000	94.992	131.3862
206.000000	94.911	131.5462
209.000000	94.845	131.5520
212.000000	94.779	131.4104
214.000000	94.730	131.2867
218.000000	94.614	131.0289
220.000000	94.545	130.9180
224.000000	94.404	130.7821
227.000000	94.302	130.7634
230.000000	94.204	130.8314
233.000000	94.116	130.9121
236.000000	94.041	130.9488
240.000000	93.946	130.9974
243.000000	93.868	131.0279
247.000000	93.765	131.0114
250.000000	93.691	130.9635
254.000000	93.588	130.8715
258.000000	93.481	130.7835
262.000000	93.371	130.7316
265.000000	93.285	130.7247
269.000000	93.173	130.7563
272.000000	93.089	130.7947
276.000000	92.980	130.8444
280.000000	92.877	130.9148
285.000000	92.753	131.0261
290.000000	92.633	131.1428
295.000000	92.512	131.2908
300.000000	92.391	131.4699
304.000000	92.299	131.6346
307.000000	92.233	131.7521
311.000000	92.147	131.9005
315.000000	92.065	132.0619
320.000000	91.965	132.2852
325.000000	91.869	132.5029
330.000000	91.773	132.7315
335.000000	91.676	132.9849
340.000000	91.575	133.2448
345.000000	91.477	133.5321
350.000000	91.389	133.8110
355.000000	91.306	134.0408
360.000000	91.222	134.2451
365.000000	91.135	134.4653
370.000000	91.048	134.6835
375.000000	90.959	134.9119
382.000000	90.836	135.2696
387.000000	90.749	135.5168
395.000000	90.613	135.9391
400.000000	90.528	136.2247
406.000000	90.430	136.5787
412.000000	90.337	136.9272
418.000000	90.244	137.2783
425.000000	90.138	137.6788
431.000000	90.052	138.0058
437.000000	89.969	138.3705
444.000000	89.875	138.8379
450.000000	89.797	139.2225
455.000000	89.732	139.5332
462.000000	89.644	139.9747
468.000000	89.570	140.3613
475.000000	89.488	140.8114
482.000000	89.407	141.2750
487.000000	89.350	141.6104
494.000000	89.271	142.0727
500.000000	89.206	142.4868
508.000000	89.119	143.0481
515.000000	89.045	143.5217
522.000000	88.977	143.9795
530.000000	88.902	144.5126
538.000000	88.826	145.0714
545.000000	88.759	145.5657
552.000000	88.694	146.0596
560.000000	88.623	146.6289
570.000000	88.542	147.3665
580.000000	88.461	148.0932
590.000000	88.380	148.8155
600.000000	88.303	149.5593
608.000000	88.244	150.1520
615.000000	88.195	150.6815
622.000000	88.148	151.2217
630.000000	88.097	151.8319
640.000000	88.036	152.5823
650.000000	87.972	153.3588
660.000000	87.907	154.1372
670.000000	87.845	154.9092
680.000000	87.788	155.6749
690.000000	87.730	156.4479
700.000000	87.674	157.2357
710.000000	87.617	158.0304
720.000000	87.553	158.8472
730.000000	87.482	159.7682
740.000000	87.419	160.8838
750.000000	87.388	162.1505
762.000000	87.411	163.5500
775.000000	87.448	164.6727
788.000000	87.459	165.6509
800.000000	87.462	166.5634
812.000000	87.462	167.4832
825.000000	87.463	168.5047
838.000000	87.469	169.5455
850.000000	87.476	170.4831
862.000000	87.493	171.4144
875.000000	87.515	172.4698
885.000000	87.534	173.2867
900.000000	87.567	174.4634
912.000000	87.599	175.3915
925.000000	87.638	176.3847
938.000000	87.687	177.3503
950.000000	87.740	178.2174
962.000000	87.797	179.0604
975.000000	87.865	179.9480
988.000000	87.943	-179.2307
1000.000000	88.018	-178.5079
1015.000000	88.103	-177.5534
1030.000000	88.190	-176.6463
1044.000000	88.277	-175.8569
1060.000000	88.383	-174.9810
1075.000000	88.486	-174.2255
1090.000000	88.597	-173.5398
1106.000000	88.723	-172.8638
1120.000000	88.835	-172.3063
1138.000000	88.981	-171.6508
1150.000000	89.078	-171.2466
1172.000000	89.255	-170.5331
1180.000000	89.321	-170.2885
1206.000000	89.527	-169.5628
1220.000000	89.633	-169.1954
1241.000000	89.797	-168.6934
1250.000000	89.867	-168.4912
1265.000000	89.985	-168.1625
1280.000000	90.103	-167.8644
1315.000000	90.364	-167.3328
1320.000000	90.399	-167.2736
1340.000000	90.534	-167.0529
1360.000000	90.661	-166.8419
1380.000000	90.785	-166.6192
1400.000000	90.908	-166.4053
1430.000000	91.091	-166.0769
1450.000000	91.211	-165.8535
1475.000000	91.360	-165.5727
1500.000000	91.508	-165.2681
1525.000000	91.654	-164.9606
1550.000000	91.799	-164.6597
1575.000000	91.944	-164.3675
1600.000000	92.090	-164.0783
1625.000000	92.240	-163.7842
1650.000000	92.390	-163.4732
1675.000000	92.541	-163.1675
1700.000000	92.694	-162.8857
1725.000000	92.850	-162.6358
1750.000000	93.008	-162.3961
1775.000000	93.168	-162.1574
1800.000000	93.330	-161.9320
1825.000000	93.495	-161.7334
1850.000000	93.661	-161.5625
1875.000000	93.826	-161.4231
1900.000000	93.993	-161.3079
1925.000000	94.163	-161.2107
1950.000000	94.333	-161.1391
1975.000000	94.502	-161.0935
2000.000000	94.668	-161.0623
2030.000000	94.864	-161.0140
2060.000000	95.063	-160.9252
2090.000000	95.273	-160.7872
2120.000000	95.505	-160.6286
2140.000000	95.672	-160.5650
2180.000000	96.019	-160.6326
2200.000000	96.190	-160.7283
2240.000000	96.550	-160.8761
2270.000000	96.868	-161.0484
2300.000000	97.223	-161.5678
2330.000000	97.575	-162.5913
2360.000000	97.885	-164.0322
2400.000000	98.217	-166.2225
2430.000000	98.420	-167.8814
2470.000000	98.653	-170.0703
2500.000000	98.805	-171.7359
2540.000000	98.972	-174.0090
2580.000000	99.090	-176.2761
2620.000000	99.161	-178.4263
2650.000000	99.190	-179.9042
2690.000000	99.212	178.3612
2720.000000	99.231	177.2361
2760.000000	99.282	175.8520
2800.000000	99.368	174.3542
2850.000000	99.477	171.9805
2900.000000	99.508	169.0967
2950.000000	99.422	166.1539
3000.000000	99.240	163.5565
3040.000000	99.049	161.8134
3070.000000	98.889	160.6942
3110.000000	98.660	159.4345
3150.000000	98.411	158.4214
3200.000000	98.068	157.5702
3250.000000	97.698	157.4193
3300.000000	97.357	158.0981
3350.000000	97.113	159.3470
3400.000000	96.982	160.6922
3450.000000	96.928	161.8419
3500.000000	96.910	162.7636
3550.000000	96.903	163.5579
3600.000000	96.903	164.3026
3650.000000	96.907	165.0262
3700.000000	96.914	165.7613
3750.000000	96.928	166.5326
3820.000000	96.952	167.6995
3870.000000	96.970	168.6567
3950.000000	97.028	170.5552
4000.000000	97.116	171.9465
4060.000000	97.297	173.6133
4120.000000	97.548	175.0071
4180.000000	97.832	176.0282
4250.000000	98.174	176.8564
4310.000000	98.466	177.3572
4370.000000	98.755	177.7403
4440.000000	99.106	178.0664
4500.000000	99.431	178.2168
4550.000000	99.726	178.2192
4620.000000	100.176	177.9610
4680.000000	100.595	177.4174
4750.000000	101.121	176.3003
4820.000000	101.676	174.5077
4870.000000	102.078	172.7068
4940.000000	102.618	169.3300
5000.000000	103.027	165.5808
5080.000000	103.429	159.4095
5150.000000	103.585	153.1890
5220.000000	103.525	146.6743
5300.000000	103.192	139.5422
5380.000000	102.619	133.3632
5450.000000	101.978	129.0289
5520.000000	101.260	125.7686
5600.000000	100.401	123.2913
5700.000000	99.342	121.8202
5800.000000	98.358	121.7794
5900.000000	97.481	122.7787
6000.000000	96.720	124.4693
6080.000000	96.189	126.1434
6150.000000	95.776	127.7817
6220.000000	95.406	129.5550
6300.000000	95.029	131.7247
6400.000000	94.625	134.6502
6500.000000	94.299	137.7976
6600.000000	94.055	141.0896
6700.000000	93.897	144.4512
6800.000000	93.830	147.8259
6900.000000	93.869	151.1761
7000.000000	94.024	154.4776
7100.000000	94.301	157.6132
7200.000000	94.695	160.3352
7300.000000	95.195	162.5203
7400.000000	95.804	163.9713
7500.000000	96.515	164.4553
7620.000000	97.488	163.2846
7750.000000	98.565	159.0257
7880.000000	99.359	150.9652
8000.000000	99.589	140.6022
8120.000000	99.185	129.4384
8250.000000	98.078	119.3002
8380.000000	96.527	112.8226
8500.000000	94.950	110.0260
8620.000000	93.394	109.6159
8750.000000	91.816	111.0973
8850.000000	90.699	113.2008
9000.000000	89.192	117.4428
9120.000000	88.126	121.5057
9250.000000	87.095	126.3630
9380.000000	86.177	131.5703
9500.000000	85.421	136.6108
9620.000000	84.747	141.8369
9750.000000	84.108	147.6519
9880.000000	83.554	153.5737
10000.000000	83.108	159.0999
10150.000000	82.635	166.0646
10300.000000	82.253	173.0443
10440.000000	81.973	179.5417
10600.000000	81.744	-173.0361
10750.000000	81.617	-166.1591
10900.000000	81.578	-159.4608
11060.000000	81.630	-152.5247
11200.000000	81.750	-146.6679
11380.000000	82.004	-139.6134
11500.000000	82.230	-135.2605
11720.000000	82.753	-128.1551
11800.000000	82.976	-125.9158
12060.000000	83.772	-120.1379
12200.000000	84.194	-118.1078
12410.000000	84.720	-116.6214
12500.000000	84.887	-116.5035
12650.000000	85.065	-116.8265
12800.000000	85.099	-117.5123
13150.000000	84.628	-118.3430
13200.000000	84.513	-118.2030
13400.000000	84.003	-116.7482
