* Measurement data measured by REW V5.20.7
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 5. 13 오후 10:57:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.829	49.1958
20.600000	80.862	48.8573
20.900000	80.929	48.2430
21.200001	80.990	47.6298
21.400000	81.026	47.2168
21.799999	81.086	46.3593
22.000000	81.111	45.9141
22.400000	81.156	45.0159
22.700001	81.191	44.3438
23.000000	81.230	43.6696
23.299999	81.270	42.9936
23.600000	81.308	42.3209
24.000000	81.357	41.4416
24.299999	81.396	40.8036
24.700001	81.451	39.9811
25.000000	81.493	39.3790
25.400000	81.548	38.5914
25.799999	81.605	37.8349
26.200001	81.662	37.1347
26.500000	81.707	36.6500
26.900000	81.771	36.0315
27.200001	81.821	35.5520
27.600000	81.887	34.8455
28.000000	81.939	34.0506
28.500000	81.971	33.0144
29.000000	81.973	32.0838
29.500000	81.973	31.3259
30.000000	81.987	30.6558
30.400000	82.007	30.0921
30.700001	82.027	29.6310
31.100000	82.056	28.9813
31.500000	82.082	28.3298
32.000000	82.113	27.5581
32.500000	82.151	26.8307
33.000000	82.195	26.1160
33.500000	82.240	25.4079
34.000000	82.282	24.7173
34.500000	82.326	24.0337
35.000000	82.368	23.3357
35.500000	82.403	22.6377
36.000000	82.429	21.9850
36.500000	82.453	21.3852
37.000000	82.476	20.7826
37.500000	82.492	20.1371
38.200001	82.496	19.2626
38.700001	82.502	18.7444
39.500000	82.531	17.9304
40.000000	82.542	17.3235
40.599998	82.528	16.6407
41.200001	82.515	16.1850
41.799999	82.545	15.7490
42.500000	82.609	14.8136
43.099998	82.620	13.7595
43.700001	82.588	12.9320
44.400002	82.567	12.3870
45.000000	82.586	11.9746
45.500000	82.607	11.5297
46.200001	82.621	10.8573
46.799999	82.630	10.3212
47.500000	82.646	9.6590
48.200001	82.656	8.9346
48.700001	82.653	8.4510
49.400002	82.641	7.8619
50.000000	82.633	7.3649
50.799999	82.618	6.6334
51.500000	82.595	5.9843
52.200001	82.574	5.3739
53.000000	82.563	4.7061
53.799999	82.560	4.0803
54.500000	82.564	3.5864
55.200001	82.577	3.1128
56.000000	82.601	2.5245
57.000000	82.616	1.6761
58.000000	82.592	0.9133
59.000000	82.568	0.2878
60.000000	82.546	-0.4875
60.799999	82.510	-1.1193
61.500000	82.477	-1.6001
62.200001	82.446	-2.0576
63.000000	82.409	-2.5388
64.000000	82.387	-3.0799
65.000000	82.389	-3.7877
66.000000	82.374	-4.5187
67.000000	82.364	-5.0814
68.000000	82.362	-5.6983
69.000000	82.332	-6.2792
70.000000	82.298	-6.7653
71.000000	82.266	-7.3220
72.000000	82.222	-7.8567
73.000000	82.184	-8.3361
74.000000	82.155	-8.8316
75.000000	82.137	-9.3309
76.199997	82.125	-9.9753
77.500000	82.098	-10.6791
78.800003	82.065	-11.3005
80.000000	82.029	-11.8893
81.199997	81.977	-12.4926
82.500000	81.914	-13.0814
83.800003	81.878	-13.5996
85.000000	81.860	-14.1357
86.199997	81.827	-14.6370
87.500000	81.787	-15.0838
88.500000	81.753	-15.4650
90.000000	81.682	-16.0028
91.199997	81.633	-16.4515
92.500000	81.576	-17.0746
93.800003	81.516	-17.6133
95.000000	81.482	-18.0236
96.199997	81.464	-18.4477
97.500000	81.433	-18.9329
98.800003	81.381	-19.3646
100.000000	81.319	-19.7255
101.500000	81.237	-20.1720
103.000000	81.172	-20.6818
104.400002	81.123	-21.2168
106.000000	81.071	-21.7542
107.500000	81.021	-22.1283
109.000000	80.964	-22.4275
110.599998	80.899	-22.7541
112.000000	80.846	-23.2328
113.800003	80.743	-23.9860
115.000000	80.679	-24.2951
117.199997	80.628	-24.8486
118.000000	80.612	-25.1199
120.599998	80.525	-26.1393
122.000000	80.445	-26.5439
124.099998	80.338	-26.7322
125.000000	80.304	-26.7888
126.500000	80.248	-27.0956
128.000000	80.158	-27.7319
131.500000	79.766	-29.3928
132.000000	79.701	-29.4074
134.000000	79.545	-29.0374
136.000000	79.430	-29.1040
138.000000	79.202	-29.0295
140.000000	78.984	-28.6240
143.000000	78.759	-28.0422
