* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -11.0 dBFS with no timing reference
* Dated: 2022. 5. 17 ¿ÀÈÄ 10:23:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: WestoneStar_EtyRed_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.380	-160.8223
20.600000	77.394	-160.9053
20.900000	77.419	-161.0541
21.200001	77.439	-161.1989
21.400000	77.448	-161.2972
21.799999	77.459	-161.5069
22.000000	77.462	-161.6189
22.400000	77.466	-161.8475
22.700001	77.468	-162.0200
23.000000	77.473	-162.1988
23.299999	77.482	-162.3938
23.600000	77.492	-162.6113
24.000000	77.509	-162.9359
24.299999	77.522	-163.1942
24.700001	77.537	-163.5342
25.000000	77.548	-163.7701
25.400000	77.565	-164.0494
25.799999	77.586	-164.2941
26.200001	77.611	-164.5167
26.500000	77.630	-164.6722
26.900000	77.654	-164.8619
27.200001	77.672	-164.9892
27.600000	77.696	-165.1448
28.000000	77.720	-165.3022
28.500000	77.745	-165.5279
29.000000	77.758	-165.7734
29.500000	77.756	-165.9799
30.000000	77.750	-166.1004
30.400000	77.751	-166.1535
30.700001	77.758	-166.1965
31.100000	77.773	-166.2953
31.500000	77.789	-166.4563
32.000000	77.803	-166.7195
32.500000	77.807	-166.9875
33.000000	77.809	-167.2131
33.500000	77.815	-167.4034
34.000000	77.827	-167.5917
34.500000	77.844	-167.7958
35.000000	77.859	-168.0032
35.500000	77.872	-168.1865
36.000000	77.884	-168.3317
36.500000	77.898	-168.4473
37.000000	77.914	-168.5548
37.500000	77.929	-168.6687
38.200001	77.944	-168.8420
38.700001	77.951	-168.9746
39.500000	77.955	-169.2035
40.000000	77.953	-169.3408
40.599998	77.947	-169.4760
41.200001	77.946	-169.5894
41.799999	77.950	-169.7176
42.500000	77.956	-169.8940
43.099998	77.961	-170.0346
43.700001	77.970	-170.1618
44.400002	77.985	-170.3300
45.000000	77.996	-170.4937
45.500000	78.001	-170.6189
46.200001	78.007	-170.7597
46.799999	78.013	-170.8636
47.500000	78.020	-170.9846
48.200001	78.025	-171.1014
48.700001	78.028	-171.1828
49.400002	78.032	-171.3030
50.000000	78.033	-171.4099
50.799999	78.033	-171.5394
51.500000	78.035	-171.6408
52.200001	78.040	-171.7489
53.000000	78.045	-171.8827
53.799999	78.050	-172.0079
54.500000	78.056	-172.1107
55.200001	78.063	-172.2183
56.000000	78.069	-172.3427
57.000000	78.075	-172.4664
58.000000	78.087	-172.5738
59.000000	78.099	-172.7468
60.000000	78.095	-172.9385
60.799999	78.087	-173.0284
61.500000	78.082	-173.0733
62.200001	78.081	-173.1196
63.000000	78.081	-173.1834
64.000000	78.083	-173.2719
65.000000	78.085	-173.3793
66.000000	78.086	-173.4957
67.000000	78.086	-173.5973
68.000000	78.089	-173.6874
69.000000	78.092	-173.7799
70.000000	78.094	-173.8708
71.000000	78.095	-173.9601
72.000000	78.094	-174.0436
73.000000	78.093	-174.1184
74.000000	78.092	-174.1872
75.000000	78.094	-174.2501
76.199997	78.097	-174.3495
77.500000	78.096	-174.4545
78.800003	78.095	-174.5369
80.000000	78.093	-174.6081
81.199997	78.092	-174.6598
82.500000	78.095	-174.7344
83.800003	78.096	-174.8290
85.000000	78.096	-174.9097
86.199997	78.096	-174.9819
87.500000	78.097	-175.0544
88.500000	78.096	-175.1067
90.000000	78.095	-175.1839
91.199997	78.093	-175.2455
92.500000	78.092	-175.3100
93.800003	78.090	-175.3724
95.000000	78.090	-175.4273
96.199997	78.089	-175.4790
97.500000	78.088	-175.5290
98.800003	78.086	-175.5756
100.000000	78.085	-175.6186
101.500000	78.083	-175.6746
