* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -11.0 dBFS with no timing reference
* Dated: 2022. 5. 17 ¿ÀÈÄ 10:15:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FrostTri_EtyRed_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.298	-160.3998
20.600000	78.310	-160.4906
20.900000	78.332	-160.6459
21.200001	78.348	-160.7783
21.400000	78.356	-160.8608
21.799999	78.368	-161.0366
22.000000	78.373	-161.1379
22.400000	78.381	-161.3682
22.700001	78.386	-161.5596
23.000000	78.390	-161.7629
23.299999	78.396	-161.9765
23.600000	78.403	-162.2006
24.000000	78.416	-162.5165
24.299999	78.428	-162.7644
24.700001	78.445	-163.0999
25.000000	78.458	-163.3442
25.400000	78.477	-163.6458
25.799999	78.497	-163.9112
26.200001	78.522	-164.1458
26.500000	78.542	-164.3098
26.900000	78.569	-164.5206
27.200001	78.588	-164.6739
27.600000	78.610	-164.8666
28.000000	78.628	-165.0367
28.500000	78.647	-165.2127
29.000000	78.663	-165.3637
29.500000	78.678	-165.5131
30.000000	78.690	-165.6739
30.400000	78.697	-165.8106
30.700001	78.702	-165.9167
31.100000	78.708	-166.0635
31.500000	78.713	-166.2170
32.000000	78.719	-166.4167
32.500000	78.725	-166.6199
33.000000	78.733	-166.8264
33.500000	78.743	-167.0427
34.000000	78.754	-167.2701
34.500000	78.766	-167.4935
35.000000	78.777	-167.6936
35.500000	78.789	-167.8634
36.000000	78.804	-168.0130
36.500000	78.819	-168.1534
37.000000	78.832	-168.2845
37.500000	78.844	-168.4017
38.200001	78.858	-168.5499
38.700001	78.866	-168.6576
39.500000	78.877	-168.8458
40.000000	78.882	-168.9731
40.599998	78.887	-169.1374
41.200001	78.889	-169.3081
41.799999	78.891	-169.4698
42.500000	78.894	-169.6388
43.099998	78.900	-169.7778
43.700001	78.908	-169.9158
44.400002	78.918	-170.0662
45.000000	78.928	-170.1841
45.500000	78.937	-170.2817
46.200001	78.947	-170.4218
46.799999	78.953	-170.5372
47.500000	78.958	-170.6591
48.200001	78.962	-170.7763
48.700001	78.964	-170.8617
49.400002	78.966	-170.9818
50.000000	78.968	-171.0860
50.799999	78.973	-171.2321
51.500000	78.977	-171.3611
52.200001	78.982	-171.4839
53.000000	78.991	-171.6181
53.799999	78.999	-171.7401
54.500000	79.007	-171.8347
55.200001	79.013	-171.9164
56.000000	79.018	-171.9655
57.000000	79.038	-172.0099
58.000000	79.059	-172.2299
59.000000	79.045	-172.4834
60.000000	79.025	-172.5698
60.799999	79.021	-172.6238
61.500000	79.022	-172.7005
62.200001	79.022	-172.7860
63.000000	79.024	-172.8873
64.000000	79.027	-173.0127
65.000000	79.031	-173.1154
66.000000	79.036	-173.2099
67.000000	79.041	-173.3095
68.000000	79.043	-173.4004
69.000000	79.044	-173.4884
70.000000	79.043	-173.5736
71.000000	79.043	-173.6485
72.000000	79.045	-173.7305
73.000000	79.048	-173.8219
74.000000	79.051	-173.9163
75.000000	79.053	-174.0088
76.199997	79.056	-174.1011
77.500000	79.059	-174.1935
78.800003	79.061	-174.2877
80.000000	79.061	-174.3751
81.199997	79.060	-174.4522
