* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 10:31:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	65.859	-131.7689
20.600000	65.879	-132.0464
20.900000	65.919	-132.5284
21.200001	65.957	-132.9562
21.400000	65.980	-133.2260
21.799999	66.026	-133.7822
22.000000	66.047	-134.0847
22.400000	66.084	-134.7324
22.700001	66.107	-135.2428
23.000000	66.126	-135.7639
23.299999	66.143	-136.2857
23.600000	66.159	-136.8020
24.000000	66.184	-137.4789
24.299999	66.207	-137.9831
24.700001	66.241	-138.6649
25.000000	66.269	-139.1915
25.400000	66.302	-139.9090
25.799999	66.327	-140.6072
26.200001	66.345	-141.2283
26.500000	66.356	-141.6193
26.900000	66.376	-142.0486
27.200001	66.398	-142.3370
27.600000	66.436	-142.7400
28.000000	66.476	-143.2114
28.500000	66.510	-143.8657
29.000000	66.522	-144.4571
29.500000	66.529	-144.9036
30.000000	66.552	-145.2849
30.400000	66.582	-145.6458
30.700001	66.604	-145.9760
31.100000	66.625	-146.4712
31.500000	66.634	-146.9707
32.000000	66.636	-147.5252
32.500000	66.643	-148.0069
33.000000	66.662	-148.4936
33.500000	66.686	-149.0302
34.000000	66.705	-149.5867
34.500000	66.718	-150.1057
35.000000	66.729	-150.5647
35.500000	66.742	-150.9767
36.000000	66.758	-151.3587
36.500000	66.774	-151.7128
37.000000	66.791	-152.0356
37.500000	66.810	-152.3301
38.200001	66.839	-152.7259
38.700001	66.861	-153.0288
39.500000	66.890	-153.5860
40.000000	66.898	-153.9509
40.599998	66.900	-154.3474
41.200001	66.901	-154.6773
41.799999	66.910	-154.9821
42.500000	66.928	-155.3674
43.099998	66.945	-155.7198
43.700001	66.961	-156.0699
44.400002	66.983	-156.4857
45.000000	66.998	-156.8616
45.500000	67.006	-157.1672
46.200001	67.012	-157.5333
46.799999	67.021	-157.7845
47.500000	67.044	-158.0734
48.200001	67.071	-158.4236
48.700001	67.087	-158.7059
49.400002	67.099	-159.0940
50.000000	67.104	-159.3865
50.799999	67.108	-159.7113
51.500000	67.113	-159.9380
52.200001	67.127	-160.1394
53.000000	67.150	-160.4291
53.799999	67.161	-160.7958
54.500000	67.159	-161.0724
55.200001	67.160	-161.2729
56.000000	67.176	-161.5190
57.000000	67.194	-161.9402
58.000000	67.198	-162.3336
59.000000	67.205	-162.6343
60.000000	67.220	-162.9532
60.799999	67.228	-163.2272
61.500000	67.232	-163.4441
62.200001	67.237	-163.6408
63.000000	67.243	-163.8612
64.000000	67.252	-164.1370
65.000000	67.261	-164.4280
66.000000	67.268	-164.7379
67.000000	67.273	-165.0397
68.000000	67.274	-165.3204
69.000000	67.274	-165.5347
70.000000	67.285	-165.7022
71.000000	67.302	-165.9284
72.000000	67.308	-166.1908
73.000000	67.307	-166.4037
74.000000	67.309	-166.5852
