* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 10:27:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Frost
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	65.705	-127.2104
20.600000	65.773	-127.4399
20.900000	65.907	-127.9485
21.200001	66.023	-128.6966
21.400000	66.079	-129.3084
21.799999	66.134	-130.6495
22.000000	66.134	-131.2858
22.400000	66.097	-132.3085
22.700001	66.062	-132.8216
23.000000	66.043	-133.1817
23.299999	66.046	-133.5033
23.600000	66.065	-133.8643
24.000000	66.101	-134.4559
24.299999	66.125	-134.9482
24.700001	66.151	-135.5867
25.000000	66.170	-136.0188
25.400000	66.205	-136.5483
25.799999	66.251	-137.0859
26.200001	66.299	-137.6672
26.500000	66.331	-138.1179
26.900000	66.365	-138.7004
27.200001	66.386	-139.1054
27.600000	66.417	-139.6123
28.000000	66.453	-140.1332
28.500000	66.497	-140.8922
29.000000	66.516	-141.7799
29.500000	66.491	-142.6497
30.000000	66.431	-143.2478
30.400000	66.387	-143.4272
30.700001	66.374	-143.4152
31.100000	66.402	-143.3595
31.500000	66.475	-143.4636
32.000000	66.589	-144.0513
32.500000	66.665	-145.0916
33.000000	66.670	-146.1834
33.500000	66.629	-146.9140
34.000000	66.606	-147.1709
34.500000	66.649	-147.2525
35.000000	66.743	-147.5645
35.500000	66.828	-148.2558
36.000000	66.854	-149.0566
36.500000	66.834	-149.5694
37.000000	66.825	-149.6751
37.500000	66.867	-149.6697
38.200001	66.959	-150.1237
38.700001	66.975	-150.7043
39.500000	66.923	-151.1875
40.000000	66.915	-151.2194
40.599998	66.935	-151.4204
41.200001	66.928	-151.8071
41.799999	66.899	-151.9516
42.500000	66.940	-151.8682
43.099998	67.044	-152.2676
43.700001	67.104	-153.2162
44.400002	67.075	-154.2273
45.000000	67.042	-154.5925
45.500000	67.055	-154.7674
46.200001	67.109	-155.2077
46.799999	67.141	-155.7280
47.500000	67.161	-156.2489
48.200001	67.183	-156.6614
48.700001	67.202	-156.9343
49.400002	67.228	-157.3100
50.000000	67.246	-157.6396
50.799999	67.255	-158.0530
51.500000	67.258	-158.3271
52.200001	67.268	-158.5653
53.000000	67.279	-158.8550
53.799999	67.292	-159.1101
54.500000	67.314	-159.3631
55.200001	67.332	-159.7199
56.000000	67.331	-160.0899
57.000000	67.348	-160.2959
58.000000	67.408	-160.6741
59.000000	67.430	-161.2889
60.000000	67.423	-161.6564
60.799999	67.433	-161.8584
61.500000	67.447	-162.0684
62.200001	67.458	-162.2646
63.000000	67.476	-162.4705
64.000000	67.503	-162.8112
65.000000	67.514	-163.1994
66.000000	67.516	-163.5308
67.000000	67.515	-163.8093
68.000000	67.515	-164.0399
69.000000	67.518	-164.2363
70.000000	67.526	-164.4110
71.000000	67.540	-164.6192
72.000000	67.547	-164.9078
73.000000	67.542	-165.1894
74.000000	67.534	-165.4389
75.000000	67.524	-165.6865
76.199997	67.513	-165.9575
77.500000	67.504	-166.2436
78.800003	67.494	-166.5110
80.000000	67.484	-166.7206
81.199997	67.474	-166.8640
82.500000	67.480	-166.9864
83.800003	67.494	-167.1961
85.000000	67.505	-167.4342
86.199997	67.513	-167.6652
87.500000	67.519	-167.9211
88.500000	67.516	-168.1145
90.000000	67.500	-168.3452
91.199997	67.485	-168.4704
92.500000	67.480	-168.6190
93.800003	67.481	-168.8559
95.000000	67.484	-169.1059
96.199997	67.488	-169.3651
97.500000	67.492	-169.6269
98.800003	67.490	-169.8256
100.000000	67.486	-169.9318
101.500000	67.483	-170.0212
103.000000	67.482	-170.1459
104.400002	67.478	-170.2976
106.000000	67.476	-170.4981
107.500000	67.469	-170.7221
109.000000	67.460	-170.9048
110.599998	67.458	-171.0789
112.000000	67.460	-171.2612
113.800003	67.471	-171.4922
115.000000	67.482	-171.6657
117.199997	67.486	-171.8918
118.000000	67.487	-171.9048
120.599998	67.497	-172.0045
122.000000	67.487	-172.1538
124.099998	67.458	-172.3645
125.000000	67.448	-172.4450
126.500000	67.437	-172.5670
128.000000	67.431	-172.6665
131.500000	67.430	-172.9054
132.000000	67.429	-172.9471
134.000000	67.429	-173.1271
136.000000	67.437	-173.3150
138.000000	67.448	-173.4438
140.000000	67.460	-173.5027
143.000000	67.452	-173.6108
145.000000	67.440	-173.7545
147.500000	67.427	-174.0265
150.000000	67.424	-174.1884
152.500000	67.433	-174.2355
155.000000	67.442	-174.3186
157.500000	67.442	-174.5133
160.000000	67.434	-174.7121
162.500000	67.441	-174.8504
165.000000	67.458	-175.0067
167.500000	67.462	-175.1098
170.000000	67.450	-175.0883
172.500000	67.447	-175.0899
175.000000	67.454	-175.2462
177.500000	67.459	-175.4267
180.000000	67.455	-175.5942
182.500000	67.442	-175.7558
185.000000	67.438	-175.8754
187.500000	67.450	-175.9286
190.000000	67.457	-175.9250
192.500000	67.453	-175.9082
195.000000	67.448	-175.9524
197.500000	67.448	-176.0325
200.000000	67.449	-176.0722
203.000000	67.448	-176.0656
206.000000	67.447	-176.1365
209.000000	67.455	-176.2583
212.000000	67.469	-176.3806
214.000000	67.471	-176.4518
218.000000	67.466	-176.5987
220.000000	67.464	-176.6924
224.000000	67.462	-176.8285
227.000000	67.466	-176.8808
230.000000	67.470	-176.9115
233.000000	67.473	-176.9647
236.000000	67.478	-177.0785
240.000000	67.486	-177.1920
243.000000	67.485	-177.1917
247.000000	67.478	-177.2253
250.000000	67.476	-177.3012
254.000000	67.472	-177.3623
258.000000	67.473	-177.3238
262.000000	67.474	-177.2769
265.000000	67.469	-177.3052
269.000000	67.468	-177.3800
272.000000	67.470	-177.4225
276.000000	67.464	-177.4536
280.000000	67.459	-177.4615
285.000000	67.468	-177.4532
290.000000	67.465	-177.4724
295.000000	67.463	-177.5047
300.000000	67.458	-177.5185
304.000000	67.464	-177.5430
307.000000	67.472	-177.5535
311.000000	67.478	-177.5638
315.000000	67.478	-177.5551
320.000000	67.475	-177.5212
325.000000	67.483	-177.5392
330.000000	67.483	-177.5721
335.000000	67.477	-177.6006
340.000000	67.474	-177.5546
345.000000	67.479	-177.5150
350.000000	67.485	-177.4924
355.000000	67.482	-177.4551
360.000000	67.470	-177.4014
365.000000	67.465	-177.3755
370.000000	67.459	-177.3171
375.000000	67.450	-177.2437
382.000000	67.452	-177.2605
387.000000	67.458	-177.2561
395.000000	67.470	-177.1492
400.000000	67.468	-177.0578
406.000000	67.455	-176.9694
412.000000	67.447	-176.9062
418.000000	67.439	-176.8437
425.000000	67.439	-176.7098
431.000000	67.447	-176.5281
437.000000	67.458	-176.3645
444.000000	67.468	-176.2005
450.000000	67.479	-176.0546
455.000000	67.489	-175.9136
462.000000	67.488	-175.7287
468.000000	67.485	-175.5358
475.000000	67.494	-175.2786
482.000000	67.520	-175.0493
487.000000	67.543	-174.9085
494.000000	67.573	-174.6767
500.000000	67.601	-174.4628
508.000000	67.639	-174.2680
515.000000	67.675	-174.1411
522.000000	67.715	-174.0223
530.000000	67.751	-173.9188
538.000000	67.780	-173.8827
545.000000	67.807	-173.8730
552.000000	67.829	-173.7981
560.000000	67.853	-173.6533
570.000000	67.868	-173.5453
580.000000	67.880	-173.4563
590.000000	67.894	-173.3033
600.000000	67.903	-173.0844
608.000000	67.907	-172.8439
615.000000	67.915	-172.6382
622.000000	67.922	-172.4566
630.000000	67.928	-172.2278
640.000000	67.943	-171.9467
650.000000	67.963	-171.7008
660.000000	67.977	-171.4193
670.000000	67.991	-171.1299
680.000000	68.003	-170.7487
690.000000	68.010	-170.3525
700.000000	68.025	-170.0081
710.000000	68.046	-169.6317
720.000000	68.060	-169.2116
730.000000	68.068	-168.8159
740.000000	68.083	-168.4173
750.000000	68.110	-167.9863
762.000000	68.145	-167.4704
775.000000	68.184	-166.9449
788.000000	68.229	-166.3721
800.000000	68.268	-165.7768
812.000000	68.314	-165.2160
825.000000	68.375	-164.6478
838.000000	68.449	-164.0713
850.000000	68.528	-163.5508
862.000000	68.603	-163.0289
875.000000	68.680	-162.4344
885.000000	68.739	-161.9870
900.000000	68.840	-161.4108
912.000000	68.933	-160.9518
925.000000	69.039	-160.4210
938.000000	69.152	-159.9417
950.000000	69.255	-159.5337
962.000000	69.360	-159.1750
975.000000	69.481	-158.8046
988.000000	69.603	-158.3950
1000.000000	69.713	-158.0436
1015.000000	69.864	-157.7924
1030.000000	70.022	-157.6042
1044.000000	70.170	-157.4344
1060.000000	70.336	-157.2762
1075.000000	70.491	-157.1923
1090.000000	70.642	-157.1534
1106.000000	70.811	-157.1420
1120.000000	70.962	-157.1543
1138.000000	71.159	-157.2440
1150.000000	71.288	-157.3450
1172.000000	71.515	-157.5933
1180.000000	71.597	-157.7045
1206.000000	71.845	-158.0936
1220.000000	71.973	-158.3267
1241.000000	72.159	-158.7104
1250.000000	72.236	-158.8804
1265.000000	72.359	-159.1661
1280.000000	72.476	-159.4620
1315.000000	72.741	-160.2176
1320.000000	72.778	-160.3242
1340.000000	72.923	-160.7439
1360.000000	73.052	-161.1591
1380.000000	73.174	-161.5863
1400.000000	73.302	-162.0097
1430.000000	73.489	-162.6418
1450.000000	73.609	-163.0479
1475.000000	73.758	-163.5559
1500.000000	73.904	-164.0430
1525.000000	74.051	-164.5262
1550.000000	74.199	-164.9796
1575.000000	74.347	-165.4139
1600.000000	74.491	-165.8626
1625.000000	74.636	-166.3203
1650.000000	74.783	-166.7766
1675.000000	74.928	-167.2497
1700.000000	75.073	-167.7281
1725.000000	75.217	-168.1958
1750.000000	75.360	-168.6679
1775.000000	75.503	-169.1687
1800.000000	75.650	-169.6932
1825.000000	75.799	-170.2320
1850.000000	75.951	-170.8089
1875.000000	76.104	-171.4228
1900.000000	76.258	-172.0641
1925.000000	76.412	-172.7286
1950.000000	76.564	-173.4212
1975.000000	76.714	-174.1536
2000.000000	76.864	-174.9341
2030.000000	77.043	-175.9161
2060.000000	77.220	-176.9485
2090.000000	77.393	-178.0437
2120.000000	77.560	-179.2080
2140.000000	77.669	179.9805
2180.000000	77.877	178.2751
2200.000000	77.974	177.3910
2240.000000	78.155	175.5670
2270.000000	78.283	174.1292
2300.000000	78.403	172.6288
2330.000000	78.513	171.0801
2360.000000	78.609	169.4969
2400.000000	78.717	167.3416
2430.000000	78.781	165.6818
2470.000000	78.844	163.4447
2500.000000	78.876	161.7669
2540.000000	78.892	159.5415
2580.000000	78.887	157.3307
2620.000000	78.861	155.1455
2650.000000	78.825	153.5416
2690.000000	78.757	151.4770
2720.000000	78.691	149.9905
2760.000000	78.588	148.0981
2800.000000	78.470	146.3086
2850.000000	78.301	144.2169
2900.000000	78.115	142.2953
2950.000000	77.917	140.5365
3000.000000	77.712	138.9389
3040.000000	77.545	137.8089
3070.000000	77.418	137.0375
3110.000000	77.249	136.0858
3150.000000	77.082	135.2213
3200.000000	76.876	134.2420
3250.000000	76.672	133.3705
3300.000000	76.475	132.6223
3350.000000	76.283	131.9909
3400.000000	76.098	131.4502
3450.000000	75.927	130.9788
3500.000000	75.770	130.5797
3550.000000	75.621	130.2552
3600.000000	75.479	129.9828
3650.000000	75.345	129.7372
3700.000000	75.218	129.5201
3750.000000	75.097	129.3393
3820.000000	74.935	129.1219
3870.000000	74.824	128.9997
3950.000000	74.645	128.8538
4000.000000	74.540	128.7686
4060.000000	74.420	128.6576
