* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 17 오후 10:00:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	66.074	-133.4196
20.600000	66.105	-133.7840
20.900000	66.162	-134.4235
21.200001	66.206	-135.0022
21.400000	66.228	-135.3559
21.799999	66.261	-136.0196
22.000000	66.274	-136.3362
22.400000	66.297	-136.9234
22.700001	66.317	-137.3294
23.000000	66.342	-137.7342
23.299999	66.375	-138.1708
23.600000	66.411	-138.6606
24.000000	66.457	-139.4027
24.299999	66.485	-139.9992
24.700001	66.511	-140.7852
25.000000	66.524	-141.3259
25.400000	66.542	-141.9586
25.799999	66.568	-142.5169
26.200001	66.603	-143.0576
26.500000	66.631	-143.4764
26.900000	66.663	-144.0513
27.200001	66.679	-144.4716
27.600000	66.691	-144.9755
28.000000	66.699	-145.3816
28.500000	66.718	-145.7656
29.000000	66.753	-146.1070
29.500000	66.801	-146.5119
30.000000	66.848	-147.0293
30.400000	66.875	-147.5033
30.700001	66.888	-147.8693
31.100000	66.895	-148.3367
31.500000	66.894	-148.7563
32.000000	66.892	-149.2056
32.500000	66.895	-149.6024
33.000000	66.906	-149.9986
33.500000	66.924	-150.4211
34.000000	66.941	-150.8595
34.500000	66.957	-151.2891
35.000000	66.974	-151.7063
35.500000	66.993	-152.1299
36.000000	67.009	-152.5656
36.500000	67.021	-152.9835
37.000000	67.030	-153.3453
37.500000	67.045	-153.6572
38.200001	67.077	-154.1180
38.700001	67.097	-154.5107
39.500000	67.108	-155.1310
40.000000	67.110	-155.4454
40.599998	67.118	-155.7842
41.200001	67.127	-156.1346
41.799999	67.132	-156.4566
42.500000	67.145	-156.7527
43.099998	67.171	-157.0306
43.700001	67.197	-157.4005
44.400002	67.212	-157.8579
45.000000	67.217	-158.1878
45.500000	67.224	-158.4374
46.200001	67.234	-158.7810
46.799999	67.242	-159.0439
47.500000	67.259	-159.3229
48.200001	67.285	-159.6510
48.700001	67.301	-159.9191
49.400002	67.318	-160.3054
50.000000	67.327	-160.6481
50.799999	67.319	-161.0594
51.500000	67.306	-161.2318
52.200001	67.317	-161.2751
53.000000	67.358	-161.4502
53.799999	67.387	-161.8009
54.500000	67.395	-162.0855
55.200001	67.403	-162.3185
56.000000	67.416	-162.5963
57.000000	67.429	-162.9823
58.000000	67.433	-163.3624
59.000000	67.434	-163.7033
60.000000	67.435	-164.0461
60.799999	67.430	-164.2954
61.500000	67.429	-164.4509
62.200001	67.438	-164.5882
63.000000	67.454	-164.7970
64.000000	67.465	-165.0829
65.000000	67.474	-165.3156
66.000000	67.485	-165.5580
67.000000	67.492	-165.7874
68.000000	67.501	-166.0089
69.000000	67.508	-166.2701
70.000000	67.509	-166.5434
71.000000	67.506	-166.7856
72.000000	67.508	-166.9770
73.000000	67.520	-167.1935
74.000000	67.529	-167.4430
75.000000	67.536	-167.6676
76.199997	67.544	-167.9384
77.500000	67.545	-168.2000
78.800003	67.544	-168.3980
80.000000	67.548	-168.5460
81.199997	67.557	-168.7194
82.500000	67.566	-168.9382
83.800003	67.571	-169.1592
85.000000	67.575	-169.3208
86.199997	67.585	-169.4718
87.500000	67.595	-169.6893
88.500000	67.597	-169.8550
