x    Curve1













20.0421    37.5029
20.3276    37.5455
20.6172    37.5881
20.9109    37.6309
21.2088    37.6738
21.5109    37.7169
21.8173    37.7604
22.1281    37.807
22.4433    37.8398
22.763    37.8739
23.0873    37.9084
23.4161    37.9431
23.75    37.978
24.088    38.013
24.431    38.0482
24.779    38.0828
25.132    38.1173
25.49    38.1518
25.853    38.1864
26.222    38.2209
26.595    38.2555
26.974    38.2902
27.358    38.3244
27.748    38.3583
28.143    38.3924
28.544    38.4267
28.951    38.4611
29.363    38.4958
29.781    38.531
30.206    38.562
30.636    38.587
31.072    38.6126
31.515    38.6386
31.964    38.6648
32.419    38.6911
32.881    38.7177
33.349    38.7438
33.824    38.7679
34.306    38.7923
34.795    38.8169
35.29    38.8416
35.793    38.8665
36.303    38.8918
36.82    38.9178
37.345    38.9353
37.877    38.952
38.416    38.9692
38.963    38.9866
39.518    39.0042
40.081    39.022
40.652    39.041
41.231    39.0564
41.819    39.0724
42.414    39.0886
43.019    39.1049
43.631    39.1214
44.253    39.1381
44.883    39.1553
45.523    39.1704
46.171    39.1779
46.829    39.1862
47.496    39.1948
48.173    39.2036
48.859    39.2127
49.555    39.2219
50.261    39.2312
50.977    39.238
51.703    39.2452
52.439    39.2527
53.186    39.2605
53.944    39.2687
54.712    39.2776
55.492    39.2878
56.282    39.2835
57.084    39.2734
57.897    39.2644
58.722    39.256
59.558    39.2481
60.407    39.2408
61.267    39.2341
62.14    39.2254
63.025    39.2069
63.923    39.1894
64.833    39.1722
65.757    39.1553
66.694    39.1385
67.644    39.1217
68.607    39.105
69.585    39.0896
70.576    39.0739
71.581    39.0579
72.601    39.0417
73.635    39.0252
74.684    39.0082
75.748    38.99
76.827    38.9835
77.921    38.9826
79.031    38.9812
80.157    38.9798
81.299    38.9786
82.457    38.9782
83.632    38.9791
84.823    38.9729
86.031    38.9331
87.257    38.8969
88.5    38.8622
89.76    38.8286
91.039    38.7959
92.336    38.7641
93.651    38.7338
94.985    38.652
96.338    38.6546
97.71    38.658
99.102    38.615
100.514    38.6075
101.946    38.608
103.398    38.6091
104.871    38.5647
106.365    38.5448
107.88    38.5511
109.417    38.558
110.975    38.5561
112.556    38.5505
114.16    38.5648
115.786    38.5374
117.435    38.5113
119.108    38.4857
120.805    38.4604
122.525    38.4355
124.271    38.4108
126.041    38.3867
127.836    38.3641
129.658    38.3263
131.504    38.2905
133.378    38.255
135.278    38.2195
137.205    38.184
139.159    38.1479
141.141    38.1138
143.152    38.0911
145.191    38.0672
147.259    38.0428
149.357    38.0179
151.485    37.9926
153.643    37.9666
155.831    37.9396
158.051    37.9395
160.302    37.9383
162.586    37.9323
164.902    37.918
167.251    37.8223
169.633    37.7836
172.05    37.7559
174.501    37.7147
176.986    37.6847
179.508    37.6658
182.065    37.653
184.658    37.6433
187.289    37.6352
189.956    37.6279
192.662    37.6431
195.407    37.5629
198.19    37.5387
201.014    37.5016
203.877    37.4609
206.781    37.4453
209.727    37.4322
212.714    37.4236
215.744    37.4102
218.818    37.3923
221.935    37.372
225.096    37.3504
228.303    37.3277
231.555    37.3044
234.853    37.2805
238.2    37.2561
241.59    37.2313
245.03    37.2063
