x    Curve1













20.0409    38.3007
20.3298    38.3378
20.6229    38.3746
20.9202    38.411
21.2218    38.4465
21.5277    38.481
21.8381    38.5142
22.1529    38.5458
22.4723    38.5755
22.7962    38.6037
23.1249    38.6304
23.4582    38.6561
23.796    38.6811
24.139    38.7056
24.487    38.7299
24.841    38.7542
25.199    38.7787
25.562    38.8034
25.93    38.8284
26.304    38.8537
26.683    38.8794
27.068    38.9054
27.458    38.932
27.854    38.9589
28.256    38.986
28.663    39.013
29.076    39.0395
29.495    39.0654
29.921    39.0903
30.352    39.114
30.79    39.1362
31.233    39.1567
31.684    39.1755
32.14    39.1924
32.604    39.2072
33.074    39.22
33.551    39.2305
34.034    39.2391
34.525    39.2465
35.023    39.2534
35.528    39.2604
36.04    39.2682
36.559    39.2775
37.086    39.2889
37.621    39.3028
38.163    39.3187
38.713    39.3361
39.272    39.3543
39.838    39.3726
40.412    39.3904
40.995    39.407
41.586    39.4217
42.185    39.4345
42.793    39.4454
43.41    39.4544
44.036    39.4617
44.671    39.4674
45.315    39.4714
45.968    39.4739
46.631    39.4751
47.303    39.4753
47.985    39.4749
48.677    39.4741
49.378    39.4733
50.09    39.4729
50.812    39.4732
51.545    39.4743
52.288    39.476
53.042    39.4778
53.807    39.479
54.582    39.4793
55.369    39.4781
56.167    39.4749
56.977    39.469
57.798    39.4607
58.632    39.4508
59.477    39.4402
60.334    39.4299
61.204    39.4207
62.086    39.4135
62.982    39.4091
63.889    39.4073
64.811    39.4074
65.745    39.4085
66.693    39.4101
67.654    39.4115
68.629    39.412
69.619    39.4108
70.622    39.4076
71.641    39.4024
72.673    39.3954
73.721    39.3866
74.784    39.3762
75.862    39.3643
76.956    39.3511
78.065    39.3367
79.19    39.3214
80.332    39.3052
81.49    39.2883
82.665    39.2708
83.857    39.2528
85.065    39.2346
86.292    39.2162
87.536    39.1978
88.798    39.1795
90.078    39.1615
91.376    39.1439
92.694    39.1269
94.03    39.1107
95.386    39.0952
96.761    39.0804
98.156    39.0656
99.571    39.0505
101.006    39.0345
102.462    39.0171
103.939    38.9978
105.438    38.9762
106.958    38.9518
108.5    38.9253
110.064    38.8975
111.651    38.8694
113.26    38.8418
114.893    38.8158
116.549    38.7923
118.229    38.7719
119.934    38.7539
121.663    38.7375
123.417    38.7217
125.196    38.7058
127.001    38.6888
128.832    38.6701
130.689    38.649
132.573    38.6258
134.484    38.6011
136.423    38.5752
138.39    38.5485
140.385    38.5214
142.409    38.4943
144.462    38.4675
146.544    38.4412
148.657    38.4152
150.8    38.3894
152.974    38.3634
155.179    38.3372
157.416    38.3106
159.686    38.2834
161.988    38.2558
164.323    38.2281
166.692    38.2007
169.095    38.1742
171.533    38.1488
174.005    38.1249
176.514    38.1028
179.059    38.0825
181.64    38.0638
184.259    38.0466
186.915    38.0306
189.61    38.0156
192.343    38.0016
195.116    37.9884
197.929    37.9757
200.782    37.9627
203.677    37.9486
206.613    37.9325
209.591    37.9136
212.613    37.891
215.678    37.8637
218.787    37.8315
221.941    37.7957
225.141    37.758
228.387    37.7198
231.679    37.6829
235.019    37.6487
238.41    37.6185
241.84    37.5932
245.33    37.5721
248.87    37.5543
