* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2022 2:22:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ER4XR R Clear
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.945	-143.1330
20.600000	88.951	-143.2432
20.900000	88.969	-143.5073
21.200001	88.990	-143.8077
21.400000	89.006	-144.0181
21.799999	89.039	-144.4689
22.000000	89.054	-144.7126
22.400000	89.081	-145.2351
22.700001	89.098	-145.6481
23.000000	89.112	-146.0686
23.299999	89.126	-146.4903
23.600000	89.140	-146.9118
24.000000	89.162	-147.4768
24.299999	89.181	-147.9043
24.700001	89.206	-148.4743
25.000000	89.225	-148.8924
25.400000	89.250	-149.4223
25.799999	89.276	-149.9116
26.200001	89.305	-150.3659
26.500000	89.328	-150.6944
26.900000	89.359	-151.1310
27.200001	89.380	-151.4633
27.600000	89.404	-151.9102
28.000000	89.421	-152.3497
28.500000	89.434	-152.8660
29.000000	89.442	-153.3362
29.500000	89.448	-153.7757
30.000000	89.453	-154.2099
30.400000	89.456	-154.5606
30.700001	89.456	-154.8235
31.100000	89.456	-155.1689
31.500000	89.456	-155.5063
32.000000	89.457	-155.9227
32.500000	89.460	-156.3440
33.000000	89.463	-156.7694
33.500000	89.467	-157.1826
34.000000	89.474	-157.5670
34.500000	89.487	-157.9232
35.000000	89.504	-158.2691
35.500000	89.525	-158.6229
36.000000	89.545	-158.9888
36.500000	89.562	-159.3576
37.000000	89.575	-159.7157
37.500000	89.585	-160.0555
38.200001	89.596	-160.5075
38.700001	89.601	-160.8243
39.500000	89.604	-161.3225
40.000000	89.603	-161.6156
40.599998	89.603	-161.9409
41.200001	89.607	-162.2523
41.799999	89.614	-162.5744
42.500000	89.624	-162.9758
43.099998	89.630	-163.3274
43.700001	89.633	-163.6659
44.400002	89.634	-164.0324
45.000000	89.635	-164.3245
45.500000	89.635	-164.5567
46.200001	89.636	-164.8701
46.799999	89.637	-165.1344
47.500000	89.638	-165.4471
48.200001	89.638	-165.7660
48.700001	89.636	-165.9911
49.400002	89.634	-166.2954
50.000000	89.633	-166.5515
50.799999	89.632	-166.8991
51.500000	89.629	-167.2023
52.200001	89.625	-167.4850
53.000000	89.621	-167.7799
53.799999	89.619	-168.0667
54.500000	89.616	-168.3204
55.200001	89.611	-168.5692
56.000000	89.605	-168.8419
57.000000	89.597	-169.1776
58.000000	89.589	-169.5160
59.000000	89.581	-169.8493
60.000000	89.574	-170.1772
60.799999	89.568	-170.4345
61.500000	89.563	-170.6517
62.200001	89.557	-170.8600
63.000000	89.549	-171.0876
64.000000	89.540	-171.3587
65.000000	89.531	-171.6186
66.000000	89.522	-171.8764
67.000000	89.513	-172.1384
68.000000	89.504	-172.3969
69.000000	89.494	-172.6424
70.000000	89.484	-172.8739
71.000000	89.475	-173.0937
72.000000	89.465	-173.3038
73.000000	89.455	-173.5043
74.000000	89.444	-173.6993
75.000000	89.434	-173.8974
76.199997	89.420	-174.1472
77.500000	89.403	-174.4227
78.800003	89.385	-174.6778
80.000000	89.368	-174.8883
81.199997	89.353	-175.0831
82.500000	89.337	-175.2879
83.800003	89.319	-175.4855
85.000000	89.302	-175.6585
86.199997	89.286	-175.8311
87.500000	89.270	-176.0232
88.500000	89.258	-176.1694
90.000000	89.240	-176.3739
91.199997	89.224	-176.5246
92.500000	89.206	-176.6776
93.800003	89.187	-176.8274
95.000000	89.169	-176.9705
96.199997	89.150	-177.1141
97.500000	89.130	-177.2616
98.800003	89.111	-177.3993
100.000000	89.096	-177.5180
101.500000	89.077	-177.6561
