* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2022 2:18:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ER4XR L Clear Small
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.638	-143.7164
20.600000	88.657	-143.9057
20.900000	88.703	-144.3810
21.200001	88.738	-144.9748
21.400000	88.746	-145.3984
21.799999	88.728	-146.1665
22.000000	88.708	-146.4562
22.400000	88.666	-146.8092
22.700001	88.655	-146.9283
23.000000	88.671	-147.0302
23.299999	88.710	-147.2156
23.600000	88.760	-147.5420
24.000000	88.820	-148.1677
24.299999	88.851	-148.6847
24.700001	88.880	-149.2955
25.000000	88.904	-149.6590
25.400000	88.954	-150.0721
25.799999	89.023	-150.5399
26.200001	89.093	-151.1526
26.500000	89.131	-151.6864
26.900000	89.153	-152.3861
27.200001	89.150	-152.8244
27.600000	89.136	-153.2364
28.000000	89.127	-153.4826
28.500000	89.134	-153.7086
29.000000	89.151	-153.9977
29.500000	89.157	-154.3594
30.000000	89.149	-154.7002
30.400000	89.141	-154.9206
30.700001	89.138	-155.0666
31.100000	89.141	-155.2724
31.500000	89.151	-155.5326
32.000000	89.164	-155.9541
32.500000	89.170	-156.4400
33.000000	89.170	-156.9177
33.500000	89.175	-157.3579
34.000000	89.188	-157.7866
34.500000	89.209	-158.2353
35.000000	89.229	-158.6957
35.500000	89.247	-159.1324
36.000000	89.265	-159.5305
36.500000	89.286	-159.9131
37.000000	89.305	-160.3075
37.500000	89.315	-160.7048
38.200001	89.313	-161.1896
38.700001	89.308	-161.4605
39.500000	89.310	-161.8536
40.000000	89.315	-162.1396
40.599998	89.316	-162.5359
41.200001	89.308	-162.9455
41.799999	89.296	-163.3190
42.500000	89.286	-163.6885
43.099998	89.287	-163.9808
43.700001	89.294	-164.2918
44.400002	89.301	-164.6765
45.000000	89.302	-164.9796
45.500000	89.301	-165.1929
46.200001	89.301	-165.4482
46.799999	89.301	-165.6571
47.500000	89.298	-165.9015
48.200001	89.291	-166.1416
48.700001	89.284	-166.3121
49.400002	89.273	-166.5513
50.000000	89.264	-166.7525
50.799999	89.257	-167.0175
51.500000	89.261	-167.2685
52.200001	89.273	-167.5589
53.000000	89.293	-167.9431
53.799999	89.314	-168.3610
54.500000	89.327	-168.7191
55.200001	89.336	-169.0395
56.000000	89.343	-169.3474
57.000000	89.346	-169.6664
58.000000	89.341	-169.9461
59.000000	89.327	-170.2115
60.000000	89.308	-170.4919
60.799999	89.289	-170.7411
61.500000	89.271	-170.9680
62.200001	89.253	-171.1893
63.000000	89.236	-171.4284
64.000000	89.224	-171.7137
65.000000	89.220	-171.9954
66.000000	89.219	-172.2712
67.000000	89.216	-172.5188
68.000000	89.212	-172.7327
69.000000	89.206	-172.9341
70.000000	89.197	-173.1357
71.000000	89.185	-173.3452
72.000000	89.174	-173.5688
73.000000	89.162	-173.8098
74.000000	89.148	-174.0607
75.000000	89.134	-174.2997
76.199997	89.119	-174.5758
77.500000	89.098	-174.8696
78.800003	89.072	-175.1072
80.000000	89.051	-175.2592
81.199997	89.039	-175.3883
82.500000	89.034	-175.5762
83.800003	89.023	-175.7944
85.000000	89.009	-175.9790
86.199997	88.995	-176.1440
