* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 03-May-2022 15:11:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ER4XR Sample 1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.840	-148.9202
20.600000	77.875	-149.1497
20.900000	77.938	-149.5979
21.200001	77.974	-150.1156
21.400000	77.981	-150.4658
21.799999	77.962	-151.1002
22.000000	77.942	-151.3496
22.400000	77.899	-151.6786
22.700001	77.876	-151.8265
23.000000	77.870	-151.9771
23.299999	77.874	-152.2003
23.600000	77.881	-152.5160
24.000000	77.882	-153.0452
24.299999	77.874	-153.4513
24.700001	77.856	-153.9198
25.000000	77.847	-154.2029
25.400000	77.851	-154.5375
25.799999	77.871	-154.9093
26.200001	77.897	-155.3586
26.500000	77.913	-155.7250
26.900000	77.927	-156.2052
27.200001	77.935	-156.5400
27.600000	77.950	-156.9658
28.000000	77.970	-157.4141
28.500000	77.990	-158.0392
29.000000	77.991	-158.6581
29.500000	77.979	-159.1502
30.000000	77.976	-159.4984
30.400000	77.988	-159.7501
30.700001	78.004	-159.9678
31.100000	78.025	-160.3184
31.500000	78.037	-160.7141
32.000000	78.037	-161.1935
32.500000	78.024	-161.5823
33.000000	78.012	-161.8649
33.500000	78.010	-162.0782
34.000000	78.022	-162.2882
34.500000	78.041	-162.5632
35.000000	78.056	-162.9245
35.500000	78.056	-163.3139
36.000000	78.047	-163.6462
36.500000	78.045	-163.9143
37.000000	78.057	-164.2119
37.500000	78.075	-164.6225
38.200001	78.085	-165.3375
38.700001	78.079	-165.8509
39.500000	78.055	-166.6035
40.000000	78.031	-166.9681
40.599998	78.006	-167.1904
41.200001	78.015	-167.2690
41.799999	78.049	-167.4524
42.500000	78.072	-167.8045
43.099998	78.077	-167.9634
43.700001	78.110	-168.0602
44.400002	78.168	-168.5022
45.000000	78.175	-169.1478
45.500000	78.146	-169.5914
46.200001	78.109	-169.9359
46.799999	78.105	-170.2493
47.500000	78.079	-170.7940
48.200001	78.005	-171.0921
48.700001	77.960	-171.0554
49.400002	77.919	-171.1059
50.000000	77.819	-171.4057
50.799999	77.504	-171.0716
51.500000	77.224	-169.4121
52.200001	77.100	-167.5868
53.000000	77.035	-166.5132
53.799999	76.981	-166.2526
54.500000	77.002	-167.0356
55.200001	77.009	-169.1561
56.000000	76.920	-172.1402
57.000000	76.889	-174.8153
58.000000	77.231	-176.4006
59.000000	77.815	-178.3403
60.000000	78.148	179.6744
60.799999	78.186	179.9503
61.500000	78.192	-178.4258
62.200001	78.189	-176.3268
63.000000	78.120	-173.7978
64.000000	77.949	-170.8706
65.000000	77.721	-169.1943
66.000000	77.430	-169.4898
67.000000	77.105	-171.5285
68.000000	76.887	-174.5045
69.000000	76.876	-177.8562
70.000000	77.016	179.4049
71.000000	77.252	178.0533
72.000000	77.497	178.0651
73.000000	77.693	179.1895
74.000000	77.833	-179.2676
75.000000	77.882	-178.0120
76.199997	77.814	-177.1806
77.500000	77.665	-177.1017
78.800003	77.553	-177.6355
80.000000	77.517	-178.3395
81.199997	77.534	-178.7500
82.500000	77.592	-178.8272
83.800003	77.624	-178.7984
85.000000	77.607	-178.7955
86.199997	77.564	-178.9386
87.500000	77.510	-179.3086
88.500000	77.469	-179.5998
90.000000	77.439	-179.7983
91.199997	77.447	-179.8092
92.500000	77.460	-179.9048
93.800003	77.432	179.9308
95.000000	77.390	179.8482
96.199997	77.361	179.7520
97.500000	77.344	179.5547
98.800003	77.330	179.3082
100.000000	77.312	179.1253
101.500000	77.292	179.0266
103.000000	77.292	178.8800
104.400002	77.281	178.6737
106.000000	77.268	178.5674
107.500000	77.263	178.4597
109.000000	77.229	178.2902
110.599998	77.168	178.2664
112.000000	77.142	178.3361
113.800003	77.143	178.2699
115.000000	77.136	178.2196
117.199997	77.085	178.4221
118.000000	77.060	178.6172
120.599998	77.041	178.8164
122.000000	77.007	178.3762
124.099998	76.931	177.8215
125.000000	76.910	177.6854
126.500000	76.892	177.5819
128.000000	76.888	177.5783
131.500000	76.855	177.5161
132.000000	76.845	177.5064
134.000000	76.807	177.4595
136.000000	76.775	177.3958
138.000000	76.756	177.3810
140.000000	76.740	177.3372
143.000000	76.671	177.3655
145.000000	76.615	177.3812
147.500000	76.543	177.2994
150.000000	76.503	177.3084
152.500000	76.490	177.2782
155.000000	76.460	177.2579
157.500000	76.423	177.1996
160.000000	76.397	177.1768
162.500000	76.394	177.2116
165.000000	76.362	177.2526
167.500000	76.295	177.3870
170.000000	76.241	177.5060
172.500000	76.205	177.6158
175.000000	76.156	177.8393
177.500000	76.091	178.1568
180.000000	76.036	178.3526
182.500000	75.988	178.4718
185.000000	75.947	178.7341
187.500000	75.913	179.0672
190.000000	75.867	179.4150
192.500000	75.806	179.9116
195.000000	75.749	-179.5242
197.500000	75.706	-178.9229
200.000000	75.719	-178.1369
203.000000	75.776	-177.1293
206.000000	75.795	-176.2870
209.000000	75.900	-175.8492
212.000000	76.048	-175.7595
214.000000	76.115	-175.0824
218.000000	76.357	-173.4945
220.000000	76.523	-173.9017
224.000000	76.636	-175.3992
227.000000	76.676	-175.2913
230.000000	76.766	-175.4989
233.000000	76.823	-176.4204
236.000000	76.805	-177.2019
240.000000	76.768	-177.9678
243.000000	76.721	-178.4621
247.000000	76.645	-178.8734
250.000000	76.581	-179.2250
254.000000	76.523	-179.4870
258.000000	76.491	-179.6573
262.000000	76.441	-179.7453
265.000000	76.401	-179.8134
269.000000	76.344	-179.9691
272.000000	76.307	-179.9928
276.000000	76.263	-179.8795
280.000000	76.202	-179.7746
285.000000	76.124	-179.6435
290.000000	76.093	-179.4825
295.000000	76.066	-179.3943
300.000000	76.011	-179.2314
304.000000	75.978	-179.0838
307.000000	75.964	-178.9719
311.000000	75.950	-178.7962
315.000000	75.931	-178.5809
320.000000	75.894	-178.3134
325.000000	75.862	-178.0851
330.000000	75.843	-177.8038
335.000000	75.818	-177.5592
