* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 03-May-2022 15:16:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ER4XR Sample 1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.917	-148.5635
20.600000	77.922	-148.8080
20.900000	77.928	-149.2230
21.200001	77.929	-149.5591
21.400000	77.931	-149.7451
21.799999	77.943	-150.0996
22.000000	77.953	-150.3042
22.400000	77.978	-150.8210
22.700001	77.990	-151.3065
23.000000	77.990	-151.8409
23.299999	77.978	-152.3626
23.600000	77.959	-152.8279
24.000000	77.938	-153.3325
24.299999	77.933	-153.6480
24.700001	77.944	-154.0490
25.000000	77.960	-154.3689
25.400000	77.984	-154.8218
25.799999	78.007	-155.2610
26.200001	78.033	-155.6490
26.500000	78.055	-155.9120
26.900000	78.090	-156.2583
27.200001	78.118	-156.5389
27.600000	78.152	-156.9524
28.000000	78.177	-157.3933
28.500000	78.196	-157.9412
29.000000	78.203	-158.4706
29.500000	78.199	-158.9998
30.000000	78.179	-159.5213
30.400000	78.150	-159.8902
30.700001	78.123	-160.1111
31.100000	78.088	-160.3127
31.500000	78.062	-160.4252
32.000000	78.052	-160.5256
32.500000	78.068	-160.6996
33.000000	78.093	-161.0088
33.500000	78.117	-161.4181
34.000000	78.137	-161.8519
34.500000	78.156	-162.2617
35.000000	78.178	-162.6430
35.500000	78.205	-163.0170
36.000000	78.234	-163.4111
36.500000	78.257	-163.8315
37.000000	78.267	-164.2315
37.500000	78.267	-164.5386
38.200001	78.273	-164.8183
38.700001	78.288	-165.0572
39.500000	78.277	-165.6374
40.000000	78.232	-165.8952
40.599998	78.177	-165.8854
41.200001	78.169	-165.7215
41.799999	78.204	-165.7619
42.500000	78.242	-166.1705
43.099998	78.252	-166.6389
43.700001	78.251	-167.1057
44.400002	78.247	-167.6175
45.000000	78.248	-168.0215
45.500000	78.255	-168.3847
46.200001	78.256	-168.9816
46.799999	78.229	-169.4330
47.500000	78.191	-169.6709
48.200001	78.184	-169.7645
48.700001	78.189	-169.9029
49.400002	78.179	-170.1475
50.000000	78.162	-170.2672
50.799999	78.160	-170.4466
51.500000	78.153	-170.8600
52.200001	78.099	-171.3463
53.000000	78.007	-171.5388
53.799999	77.973	-171.3242
54.500000	78.027	-171.2512
55.200001	78.111	-171.6141
56.000000	78.175	-172.3606
57.000000	78.223	-173.2132
58.000000	78.259	-174.1743
59.000000	78.195	-175.0068
60.000000	78.097	-174.9665
60.799999	78.078	-174.6298
61.500000	78.092	-174.4631
62.200001	78.107	-174.4863
63.000000	78.103	-174.6805
64.000000	78.059	-174.9591
65.000000	78.008	-175.0849
66.000000	77.989	-175.1893
67.000000	77.995	-175.4828
68.000000	78.000	-175.9547
69.000000	77.986	-176.4709
70.000000	77.949	-176.8125
71.000000	77.925	-176.8205
72.000000	77.951	-176.7357
73.000000	77.998	-176.9436
74.000000	77.996	-177.4029
75.000000	77.934	-177.6584
76.199997	77.871	-177.5636
77.500000	77.854	-177.5822
78.800003	77.837	-177.8757
80.000000	77.815	-178.1868
81.199997	77.801	-178.4425
82.500000	77.803	-178.7065
83.800003	77.798	-178.9748
85.000000	77.787	-179.1895
86.199997	77.759	-179.3869
87.500000	77.735	-179.4846
88.500000	77.734	-179.6493
90.000000	77.723	179.8840
91.199997	77.681	179.5721
92.500000	77.637	179.6023
93.800003	77.631	179.7100
95.000000	77.624	179.6992
96.199997	77.604	179.6485
97.500000	77.574	179.5717
98.800003	77.548	179.4514
100.000000	77.528	179.3002
101.500000	77.516	179.1052
103.000000	77.510	178.8953
104.400002	77.502	178.7417
106.000000	77.489	178.6053
107.500000	77.469	178.5026
109.000000	77.442	178.3801
110.599998	77.408	178.2980
112.000000	77.385	178.2017
113.800003	77.345	178.0717
115.000000	77.326	178.0620
117.199997	77.313	177.9248
118.000000	77.303	177.8683
120.599998	77.287	177.8293
122.000000	77.281	177.7788
124.099998	77.252	177.6005
125.000000	77.226	177.4995
126.500000	77.173	177.3801
128.000000	77.127	177.3345
131.500000	77.105	177.2439
132.000000	77.105	177.2221
134.000000	77.094	177.1907
136.000000	77.073	177.1727
138.000000	77.038	177.0549
140.000000	76.998	176.9181
143.000000	76.964	176.8510
145.000000	76.951	176.8926
147.500000	76.920	176.9242
150.000000	76.879	176.9192
152.500000	76.846	176.8702
155.000000	76.815	176.8681
157.500000	76.780	176.8916
160.000000	76.742	176.8983
162.500000	76.716	176.8567
165.000000	76.693	176.8414
167.500000	76.663	176.8991
170.000000	76.634	176.9833
172.500000	76.613	177.0169
175.000000	76.587	177.0324
177.500000	76.549	177.0823
180.000000	76.517	177.1214
182.500000	76.499	177.1176
185.000000	76.484	177.1617
187.500000	76.459	177.2698
190.000000	76.422	177.3501
192.500000	76.389	177.4017
195.000000	76.366	177.4484
197.500000	76.338	177.4849
