* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 25 오전 12:31:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	64.329	-156.9181
20.600000	64.342	-157.1056
20.900000	64.367	-157.4299
21.200001	64.385	-157.7120
21.400000	64.394	-157.8830
21.799999	64.409	-158.2216
22.000000	64.416	-158.4028
22.400000	64.426	-158.7956
22.700001	64.430	-159.1125
23.000000	64.431	-159.4386
23.299999	64.430	-159.7593
23.600000	64.430	-160.0659
24.000000	64.436	-160.4505
24.299999	64.447	-160.7328
24.700001	64.470	-161.1267
25.000000	64.491	-161.4498
25.400000	64.519	-161.9175
25.799999	64.542	-162.3973
26.200001	64.557	-162.8423
26.500000	64.565	-163.1328
26.900000	64.576	-163.4609
27.200001	64.586	-163.6781
27.600000	64.602	-163.9579
28.000000	64.620	-164.2498
28.500000	64.637	-164.6295
29.000000	64.648	-164.9941
29.500000	64.656	-165.3348
30.000000	64.666	-165.6821
30.400000	64.672	-165.9827
30.700001	64.674	-166.2186
31.100000	64.672	-166.5303
31.500000	64.668	-166.8241
32.000000	64.662	-167.1642
32.500000	64.661	-167.4941
33.000000	64.662	-167.8271
33.500000	64.668	-168.1540
34.000000	64.680	-168.4703
34.500000	64.695	-168.7979
35.000000	64.711	-169.1606
35.500000	64.722	-169.5487
36.000000	64.724	-169.9208
36.500000	64.723	-170.2456
37.000000	64.723	-170.5274
37.500000	64.725	-170.7951
38.200001	64.726	-171.1891
38.700001	64.723	-171.4852
39.500000	64.707	-171.9291
40.000000	64.697	-172.1567
40.599998	64.692	-172.3926
41.200001	64.698	-172.6580
41.799999	64.706	-172.9935
42.500000	64.706	-173.4040
43.099998	64.705	-173.6890
43.700001	64.712	-173.9371
44.400002	64.727	-174.2649
45.000000	64.732	-174.5674
45.500000	64.732	-174.7823
46.200001	64.733	-175.0166
46.799999	64.741	-175.2147
47.500000	64.747	-175.4830
48.200001	64.746	-175.7416
48.700001	64.743	-175.8985
49.400002	64.744	-176.0982
50.000000	64.747	-176.2790
50.799999	64.753	-176.5616
51.500000	64.752	-176.8465
52.200001	64.744	-177.1152
53.000000	64.735	-177.3470
53.799999	64.737	-177.5692
54.500000	64.739	-177.8235
55.200001	64.733	-178.0953
56.000000	64.723	-178.3788
57.000000	64.708	-178.7378
58.000000	64.684	-179.0847
59.000000	64.657	-179.3624
60.000000	64.639	-179.5738
60.799999	64.641	-179.7692
61.500000	64.647	179.9674
62.200001	64.644	179.6562
63.000000	64.630	179.3660
64.000000	64.619	179.1149
65.000000	64.616	178.8486
66.000000	64.605	178.6060
67.000000	64.594	178.4331
68.000000	64.586	178.2629
69.000000	64.578	178.0639
70.000000	64.568	177.8316
71.000000	64.557	177.5740
72.000000	64.542	177.2914
73.000000	64.522	177.0324
74.000000	64.505	176.8477
75.000000	64.497	176.6797
76.199997	64.489	176.4754
77.500000	64.482	176.2685
78.800003	64.472	176.0078
80.000000	64.450	175.7453
