* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 25 오전 12:27:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.982	-156.9524
20.600000	63.994	-157.1289
20.900000	64.019	-157.4274
21.200001	64.040	-157.6721
21.400000	64.054	-157.8219
21.799999	64.084	-158.1502
22.000000	64.098	-158.3490
22.400000	64.119	-158.8176
22.700001	64.125	-159.1997
23.000000	64.123	-159.5678
23.299999	64.119	-159.8966
23.600000	64.118	-160.1870
24.000000	64.129	-160.5474
24.299999	64.146	-160.8371
24.700001	64.175	-161.2817
25.000000	64.195	-161.6509
25.400000	64.214	-162.1483
25.799999	64.226	-162.5974
26.200001	64.238	-162.9785
26.500000	64.249	-163.2327
26.900000	64.264	-163.5550
27.200001	64.275	-163.7958
27.600000	64.286	-164.1148
28.000000	64.293	-164.4205
28.500000	64.300	-164.7798
29.000000	64.304	-165.1330
29.500000	64.303	-165.4918
30.000000	64.297	-165.8387
30.400000	64.292	-166.0954
30.700001	64.290	-166.2792
31.100000	64.291	-166.5312
31.500000	64.294	-166.8115
32.000000	64.298	-167.2141
32.500000	64.295	-167.6472
33.000000	64.287	-168.0502
33.500000	64.281	-168.3800
34.000000	64.285	-168.6467
34.500000	64.303	-168.9108
35.000000	64.328	-169.2291
35.500000	64.350	-169.6061
36.000000	64.361	-169.9894
36.500000	64.365	-170.3247
37.000000	64.367	-170.6022
37.500000	64.372	-170.8516
38.200001	64.376	-171.1936
38.700001	64.376	-171.4224
39.500000	64.380	-171.7601
40.000000	64.387	-172.0048
40.599998	64.393	-172.3732
41.200001	64.386	-172.7773
41.799999	64.368	-173.1290
42.500000	64.351	-173.4374
43.099998	64.348	-173.6751
43.700001	64.350	-173.9316
44.400002	64.356	-174.2397
45.000000	64.363	-174.5111
45.500000	64.369	-174.7640
46.200001	64.366	-175.1319
46.799999	64.354	-175.3694
47.500000	64.348	-175.5177
48.200001	64.364	-175.6688
