x	Curve1













20.1267	36.5831
20.4185	36.5732
20.7146	36.5634
21.015	36.554
21.3197	36.5452
21.6289	36.5371
21.9425	36.5299
22.2607	36.5237
22.5835	36.5186
22.9109	36.5148
23.2432	36.5123
23.5802	36.5111
23.922	36.5115
24.269	36.5137
24.621	36.518
24.978	36.525
25.34	36.5341
25.708	36.5425
26.08	36.5476
26.459	36.5478
26.842	36.5431
27.231	36.534
27.626	36.521
28.027	36.505
28.433	36.4869
28.846	36.4674
29.264	36.4469
29.688	36.4258
30.119	36.4044
30.555	36.3827
30.999	36.3612
31.448	36.3399
31.904	36.3192
32.367	36.2994
32.836	36.2811
33.312	36.265
33.795	36.2517
34.285	36.2413
34.782	36.2341
35.287	36.2293
35.798	36.2256
36.317	36.2205
36.844	36.2115
37.378	36.1983
37.92	36.1821
38.47	36.164
39.028	36.1447
39.594	36.1247
40.168	36.1047
40.751	36.0852
41.342	36.0665
41.941	36.0485
42.549	36.0313
43.166	36.0148
43.792	35.999
44.427	35.984
45.071	35.9698
45.725	35.9561
46.388	35.9424
47.061	35.9278
47.743	35.9116
48.435	35.8929
49.138	35.8712
49.85	35.846
50.573	35.8173
51.306	35.7856
52.05	35.7516
52.805	35.7157
53.571	35.6782
54.348	35.6397
55.136	35.6005
55.935	35.5616
56.746	35.5242
57.569	35.4887
58.404	35.4547
59.251	35.4217
60.11	35.3894
60.982	35.3575
61.866	35.3259
62.763	35.2944
63.673	35.263
64.596	35.2317
65.533	35.2003
66.483	35.1688
67.447	35.1372
68.425	35.1056
69.417	35.0737
70.424	35.0416
71.445	35.0093
72.481	34.9766
73.532	34.9435
74.599	34.9098
75.68	34.8753
76.778	34.8396
77.891	34.8022
79.02	34.7624
80.166	34.7195
81.329	34.6726
82.508	34.6224
83.704	34.572
84.918	34.5242
86.15	34.4783
87.399	34.4338
88.666	34.3905
89.952	34.3481
91.256	34.3065
92.579	34.266
93.922	34.2265
95.284	34.1873
96.665	34.1465
98.067	34.1022
99.489	34.053
100.932	33.999
102.395	33.9413
103.88	33.8813
105.387	33.8198
106.915	33.7575
108.465	33.6948
110.038	33.6322
111.633	33.5704
113.252	33.5104
114.894	33.4529
116.56	33.398
118.251	33.3452
119.965	33.2938
121.705	33.2433
123.47	33.1932
125.26	33.1435
127.076	33.094
128.919	33.0447
130.788	32.9957
132.685	32.9468
134.609	32.8981
136.561	32.8495
138.541	32.8012
140.55	32.753
142.588	32.705
144.656	32.6573
146.753	32.6097
148.881	32.5624
151.04	32.5154
153.23	32.4685
155.452	32.4216
157.706	32.3748
159.993	32.3277
162.313	32.2803
164.667	32.2325
167.054	32.184
169.477	32.1346
171.934	32.084
174.428	32.0319
176.957	31.9782
179.523	31.9231
182.126	31.867
184.767	31.8106
187.446	31.7542
190.164	31.6986
192.922	31.6442
195.719	31.5914
198.557	31.5403
201.436	31.4911
204.357	31.4432
207.321	31.3962
210.327	31.3496
213.377	31.3032
216.471	31.2567
219.61	31.2098
222.794	31.1621
226.025	31.1134
229.302	31.0632
232.627	31.0111
236.001	30.957
239.42	30.9014
242.89	30.8451
246.42	30.7891
249.99	30.7341
253.61	30.681
257.29	30.6303
