* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 8:45:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	119.288	-138.7913
20.600000	119.309	-139.1350
20.900000	119.348	-139.7450
21.200001	119.379	-140.3174
21.400000	119.395	-140.6847
21.799999	119.420	-141.4283
22.000000	119.430	-141.8167
22.400000	119.446	-142.6208
22.700001	119.455	-143.2422
23.000000	119.464	-143.8784
23.299999	119.472	-144.5263
23.600000	119.482	-145.1832
24.000000	119.496	-146.0674
24.299999	119.509	-146.7314
24.700001	119.530	-147.6105
25.000000	119.548	-148.2604
25.400000	119.575	-149.1094
25.799999	119.604	-149.9330
26.200001	119.635	-150.7245
26.500000	119.659	-151.2934
26.900000	119.690	-152.0158
27.200001	119.713	-152.5306
27.600000	119.743	-153.1833
28.000000	119.770	-153.8023
28.500000	119.800	-154.5359
29.000000	119.824	-155.2316
29.500000	119.842	-155.8985
30.000000	119.854	-156.5511
30.400000	119.861	-157.0720
30.700001	119.863	-157.4643
31.100000	119.864	-157.9898
31.500000	119.862	-158.5163
32.000000	119.859	-159.1754
32.500000	119.855	-159.8387
33.000000	119.853	-160.5096
33.500000	119.853	-161.1857
34.000000	119.854	-161.8586
34.500000	119.856	-162.5189
35.000000	119.860	-163.1607
35.500000	119.865	-163.7797
36.000000	119.871	-164.3727
36.500000	119.877	-164.9389
37.000000	119.882	-165.4811
37.500000	119.886	-166.0035
38.200001	119.887	-166.7070
38.700001	119.884	-167.1907
39.500000	119.875	-167.9394
40.000000	119.866	-168.4015
40.599998	119.855	-168.9600
41.200001	119.843	-169.5268
41.799999	119.829	-170.0987
42.500000	119.814	-170.7659
43.099998	119.802	-171.3318
43.700001	119.791	-171.8869
44.400002	119.781	-172.5146
45.000000	119.773	-173.0325
45.500000	119.766	-173.4495
46.200001	119.756	-174.0112
46.799999	119.746	-174.4731
47.500000	119.733	-174.9922
48.200001	119.717	-175.4960
48.700001	119.704	-175.8520
49.400002	119.685	-176.3522
50.000000	119.667	-176.7838
50.799999	119.641	-177.3548
51.500000	119.620	-177.8460
52.200001	119.601	-178.3330
53.000000	119.580	-178.8844
53.799999	119.560	-179.4190
54.500000	119.542	-179.8667
55.200001	119.524	179.7039
56.000000	119.503	179.2309
57.000000	119.474	178.6581
58.000000	119.443	178.0947
59.000000	119.409	177.5310
60.000000	119.374	176.9750
60.799999	119.347	176.5377
61.500000	119.325	176.1568
62.200001	119.302	175.7807
