* Measurement data measured by REW V5.20.5
* Source: 마이크(7- USB Sound Device       , MICROPHONE (마스), L, volume: 0.560
* Format: 128k Log Swept Sine, 2 sweeps at -15.0 dBFS with no timing reference
* Dated: 2022. 4. 19 오후 8:46:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	119.039	-138.8540
20.600000	119.060	-139.1984
20.900000	119.099	-139.8086
21.200001	119.129	-140.3776
21.400000	119.145	-140.7408
21.799999	119.169	-141.4734
22.000000	119.178	-141.8560
22.400000	119.194	-142.6498
22.700001	119.203	-143.2654
23.000000	119.211	-143.8974
23.299999	119.219	-144.5425
23.600000	119.228	-145.1974
24.000000	119.242	-146.0804
24.299999	119.254	-146.7452
24.700001	119.274	-147.6277
25.000000	119.291	-148.2817
25.400000	119.317	-149.1357
25.799999	119.346	-149.9605
26.200001	119.376	-150.7489
26.500000	119.400	-151.3141
26.900000	119.433	-152.0339
27.200001	119.458	-152.5507
27.600000	119.490	-153.2120
28.000000	119.518	-153.8419
28.500000	119.548	-154.5821
29.000000	119.573	-155.2714
29.500000	119.592	-155.9252
30.000000	119.607	-156.5683
30.400000	119.615	-157.0858
30.700001	119.618	-157.4761
31.100000	119.619	-157.9962
31.500000	119.618	-158.5140
32.000000	119.614	-159.1607
32.500000	119.611	-159.8148
33.000000	119.608	-160.4786
33.500000	119.607	-161.1452
34.000000	119.607	-161.8054
34.500000	119.610	-162.4572
35.000000	119.617	-163.1020
35.500000	119.623	-163.7364
36.000000	119.630	-164.3502
36.500000	119.635	-164.9335
37.000000	119.639	-165.4831
37.500000	119.643	-166.0034
38.200001	119.646	-166.6965
38.700001	119.645	-167.1747
39.500000	119.640	-167.9266
40.000000	119.633	-168.3955
40.599998	119.622	-168.9601
41.200001	119.608	-169.5240
41.799999	119.594	-170.0840
42.500000	119.579	-170.7331
43.099998	119.568	-171.2877
43.700001	119.558	-171.8381
44.400002	119.549	-172.4664
45.000000	119.542	-172.9871
45.500000	119.536	-173.4070
46.200001	119.528	-173.9726
46.799999	119.518	-174.4355
47.500000	119.506	-174.9514
48.200001	119.490	-175.4504
48.700001	119.478	-175.8018
49.400002	119.459	-176.2905
50.000000	119.441	-176.7091
50.799999	119.417	-177.2711
51.500000	119.395	-177.7635
52.200001	119.374	-178.2505
53.000000	119.352	-178.7991
53.799999	119.332	-179.3358
54.500000	119.314	-179.7879
55.200001	119.297	179.7758
56.000000	119.278	179.2886
57.000000	119.250	178.6981
58.000000	119.219	178.1333
59.000000	119.186	177.5891
60.000000	119.154	177.0543
60.799999	119.128	176.6238
61.500000	119.106	176.2470
62.200001	119.083	175.8754
63.000000	119.057	175.4611
64.000000	119.025	174.9611
65.000000	118.992	174.4774
66.000000	118.959	174.0058
67.000000	118.925	173.5450
68.000000	118.891	173.0894
69.000000	118.856	172.6398
70.000000	118.821	172.2024
71.000000	118.786	171.7821
72.000000	118.752	171.3776
73.000000	118.717	170.9822
74.000000	118.681	170.5943
75.000000	118.645	170.2142
76.199997	118.601	169.7675
77.500000	118.553	169.2962
78.800003	118.507	168.8373
80.000000	118.465	168.4274
81.199997	118.423	168.0263
82.500000	118.375	167.6030
83.800003	118.326	167.1954
85.000000	118.283	166.8229
