* Measurement data measured by REW V5.20.5
* Source: zencan xbass Filtered
* Format: 
* Dated: 13-Jul-2022 14:35:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.2 dB
* Note: No active filters, result is a pure impulse
* Measurement: FLAT
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	0.010	-0.0000
20.299999	0.010	-0.0000
20.600000	0.010	0.0000
20.900000	0.010	0.0000
21.200001	0.010	0.0000
21.400000	0.010	0.0000
21.799999	0.010	-0.0000
22.000000	0.010	-0.0000
22.400000	0.010	-0.0000
22.700001	0.010	-0.0000
23.000000	0.010	0.0000
23.299999	0.010	0.0000
23.600000	0.010	-0.0000
24.000000	0.010	-0.0000
24.299999	0.010	-0.0000
24.700001	0.010	-0.0000
25.000000	0.010	-0.0000
25.400000	0.010	-0.0000
25.799999	0.010	-0.0000
26.200001	0.010	0.0000
26.500000	0.010	0.0000
26.900000	0.010	-0.0000
27.200001	0.010	-0.0000
27.600000	0.010	-0.0000
28.000000	0.010	-0.0000
28.500000	0.010	-0.0000
29.000000	0.010	-0.0000
29.500000	0.010	-0.0000
30.000000	0.010	-0.0000
30.400000	0.010	-0.0000
30.700001	0.010	-0.0000
31.100000	0.010	-0.0000
31.500000	0.010	-0.0000
32.000000	0.010	-0.0000
32.500000	0.010	-0.0000
33.000000	0.010	-0.0000
33.500000	0.010	-0.0000
34.000000	0.010	-0.0000
34.500000	0.010	-0.0000
35.000000	0.010	-0.0000
35.500000	0.010	0.0000
36.000000	0.010	0.0000
36.500000	0.010	0.0000
37.000000	0.010	0.0000
37.500000	0.010	-0.0000
38.200001	0.010	-0.0000
38.700001	0.010	-0.0000
39.500000	0.010	-0.0000
40.000000	0.010	-0.0000
40.599998	0.010	-0.0000
41.200001	0.010	-0.0000
41.799999	0.010	-0.0000
42.500000	0.010	-0.0000
43.099998	0.010	-0.0000
43.700001	0.010	-0.0000
44.400002	0.010	-0.0000
45.000000	0.010	-0.0000
45.500000	0.010	-0.0000
46.200001	0.010	-0.0000
46.799999	0.010	-0.0000
47.500000	0.010	-0.0000
48.200001	0.010	-0.0000
48.700001	0.010	-0.0000
49.400002	0.010	-0.0000
50.000000	0.010	-0.0000
50.799999	0.010	-0.0000
51.500000	0.010	-0.0000
52.200001	0.010	-0.0000
53.000000	0.010	-0.0000
53.799999	0.010	-0.0000
54.500000	0.010	-0.0000
55.200001	0.010	-0.0000
56.000000	0.010	-0.0000
57.000000	0.010	-0.0000
58.000000	0.010	-0.0000
59.000000	0.010	-0.0000
60.000000	0.010	-0.0000
60.799999	0.010	-0.0000
61.500000	0.010	-0.0000
62.200001	0.010	-0.0000
63.000000	0.010	-0.0000
64.000000	0.010	-0.0000
65.000000	0.010	-0.0000
66.000000	0.010	-0.0000
67.000000	0.010	-0.0000
68.000000	0.010	-0.0000
69.000000	0.010	-0.0000
70.000000	0.010	-0.0000
71.000000	0.010	-0.0000
72.000000	0.010	-0.0000
73.000000	0.010	-0.0000
74.000000	0.010	-0.0000
75.000000	0.010	-0.0000
76.199997	0.010	-0.0000
77.500000	0.010	-0.0000
78.800003	0.010	-0.0000
80.000000	0.010	-0.0000
81.199997	0.010	-0.0000
82.500000	0.010	-0.0000
83.800003	0.010	-0.0000
85.000000	0.010	-0.0000
86.199997	0.010	-0.0000
87.500000	0.010	0.0000
88.500000	0.010	0.0000
90.000000	0.010	0.0000
91.199997	0.010	0.0000
92.500000	0.010	-0.0000
93.800003	0.010	-0.0000
95.000000	0.010	0.0000
96.199997	0.010	0.0000
97.500000	0.010	0.0000
98.800003	0.010	0.0000
100.000000	0.010	0.0000
101.500000	0.010	0.0000
103.000000	0.010	0.0000
104.400002	0.010	0.0000
106.000000	0.010	0.0000
107.500000	0.010	0.0000
109.000000	0.010	0.0000
110.599998	0.010	0.0000
112.000000	0.010	0.0000
113.800003	0.010	0.0000
115.000000	0.010	-0.0000
117.199997	0.010	0.0000
118.000000	0.010	-0.0000
120.599998	0.010	-0.0000
122.000000	0.010	0.0000
124.099998	0.010	-0.0000
125.000000	0.010	-0.0000
126.500000	0.010	-0.0000
128.000000	0.010	0.0000
131.500000	0.010	0.0000
132.000000	0.010	0.0000
134.000000	0.010	0.0000
136.000000	0.010	0.0000
138.000000	0.010	0.0000
140.000000	0.010	0.0000
143.000000	0.010	0.0000
145.000000	0.010	0.0000
147.500000	0.010	0.0000
150.000000	0.010	0.0000
152.500000	0.010	-0.0000
155.000000	0.010	-0.0000
157.500000	0.010	-0.0000
160.000000	0.010	-0.0000
