* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 24 오후 9:12:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.261	29.2275
20.600000	67.265	29.3473
20.900000	67.281	29.5984
21.200001	67.320	29.9116
21.400000	67.360	30.0953
21.799999	67.458	30.3086
22.000000	67.509	30.3114
22.400000	67.601	30.1276
22.700001	67.656	29.8853
23.000000	67.699	29.6103
23.299999	67.733	29.3329
23.600000	67.761	29.0703
24.000000	67.795	28.7677
24.299999	67.822	28.5969
24.700001	67.865	28.4626
25.000000	67.909	28.4208
25.400000	67.991	28.3860
25.799999	68.098	28.2710
26.200001	68.215	27.9932
26.500000	68.295	27.6807
26.900000	68.380	27.1922
27.200001	68.424	26.8432
27.600000	68.464	26.4783
28.000000	68.497	26.2563
28.500000	68.546	26.1227
29.000000	68.607	26.0353
29.500000	68.674	25.9259
30.000000	68.742	25.7794
30.400000	68.796	25.6299
30.700001	68.837	25.4907
31.100000	68.890	25.2564
31.500000	68.938	24.9649
32.000000	68.982	24.5517
32.500000	69.009	24.1632
33.000000	69.029	23.8874
33.500000	69.061	23.7450
34.000000	69.115	23.6638
34.500000	69.190	23.5289
35.000000	69.273	23.2735
35.500000	69.349	22.9152
36.000000	69.411	22.5264
36.500000	69.463	22.1625
37.000000	69.509	21.8293
37.500000	69.549	21.5097
38.200001	69.590	21.1078
38.700001	69.613	20.8997
39.500000	69.662	20.6810
40.000000	69.706	20.5196
40.599998	69.764	20.2267
41.200001	69.817	19.8377
41.799999	69.860	19.3974
42.500000	69.899	18.8726
43.099998	69.927	18.4613
43.700001	69.957	18.0939
44.400002	69.995	17.6714
45.000000	70.024	17.3115
45.500000	70.044	17.0557
46.200001	70.081	16.7591
46.799999	70.122	16.4589
47.500000	70.156	16.0218
