* Measurement data measured by REW V5.20.9
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 16 오후 9:34:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.615	-147.5413
20.600000	72.630	-147.8263
20.900000	72.658	-148.3439
21.200001	72.683	-148.8637
21.400000	72.695	-149.2180
21.799999	72.708	-149.9548
22.000000	72.708	-150.3295
22.400000	72.700	-151.0477
22.700001	72.693	-151.5471
23.000000	72.691	-152.0302
23.299999	72.696	-152.5262
23.600000	72.706	-153.0551
24.000000	72.724	-153.8213
24.299999	72.736	-154.4260
24.700001	72.749	-155.2355
25.000000	72.757	-155.8211
25.400000	72.767	-156.5570
25.799999	72.780	-157.2386
26.200001	72.796	-157.8689
26.500000	72.811	-158.3122
26.900000	72.834	-158.8782
27.200001	72.853	-159.3021
27.600000	72.879	-159.8928
28.000000	72.900	-160.5253
28.500000	72.907	-161.3331
29.000000	72.894	-162.0544
29.500000	72.874	-162.6243
30.000000	72.866	-163.1006
30.400000	72.871	-163.5009
30.700001	72.876	-163.8414
31.100000	72.878	-164.3393
31.500000	72.871	-164.8430
32.000000	72.856	-165.4109
32.500000	72.847	-165.9084
33.000000	72.852	-166.4166
33.500000	72.864	-166.9957
34.000000	72.869	-167.6171
34.500000	72.865	-168.2013
35.000000	72.859	-168.7117
35.500000	72.860	-169.1798
36.000000	72.865	-169.6557
36.500000	72.868	-170.1522
37.000000	72.864	-170.6427
37.500000	72.855	-171.0975
38.200001	72.840	-171.6670
38.700001	72.832	-172.0558
39.500000	72.821	-172.7190
40.000000	72.812	-173.1589
40.599998	72.796	-173.6783
41.200001	72.783	-174.1797
41.799999	72.773	-174.7009
42.500000	72.757	-175.3478
43.099998	72.735	-175.8561
43.700001	72.714	-176.2512
44.400002	72.708	-176.6262
45.000000	72.720	-176.9968
45.500000	72.729	-177.3819
46.200001	72.726	-177.9798
46.799999	72.708	-178.4616
47.500000	72.682	-178.9547
48.200001	72.654	-179.4123
48.700001	72.630	-179.7150
49.400002	72.598	179.9393
50.000000	72.583	179.6945
50.799999	72.587	179.2693
51.500000	72.586	178.7255
52.200001	72.564	178.1519
53.000000	72.527	177.6332
53.799999	72.501	177.2287
54.500000	72.488	176.8713
55.200001	72.477	176.4787
56.000000	72.459	176.0095
57.000000	72.426	175.4529
58.000000	72.389	174.9521
59.000000	72.350	174.4994
60.000000	72.314	174.0764
60.799999	72.291	173.7173
61.500000	72.273	173.3658
62.200001	72.251	172.9896
63.000000	72.217	172.5830
64.000000	72.175	172.1678
65.000000	72.143	171.7782
66.000000	72.113	171.3489
67.000000	72.077	170.9202
68.000000	72.038	170.5061
69.000000	71.995	170.0998
70.000000	71.949	169.7128
71.000000	71.899	169.3629
72.000000	71.851	169.0583
73.000000	71.807	168.7699
74.000000	71.762	168.4689
75.000000	71.713	168.1776
76.199997	71.649	167.8753
77.500000	71.581	167.6069
78.800003	71.510	167.4016
80.000000	71.450	167.3724
81.199997	71.423	167.4046
82.500000	71.414	167.3037
83.800003	71.406	167.1256
85.000000	71.400	166.9239
86.199997	71.395	166.7150
87.500000	71.397	166.4475
88.500000	71.394	166.1757
90.000000	71.378	165.7556
91.199997	71.362	165.4127
92.500000	71.340	165.0206
93.800003	71.313	164.6447
95.000000	71.287	164.3134
96.199997	71.258	163.9940
97.500000	71.225	163.6602
98.800003	71.189	163.3062
100.000000	71.149	162.9812
101.500000	71.098	162.6062
103.000000	71.052	162.2366
104.400002	71.008	161.9165
106.000000	70.958	161.6039
107.500000	70.909	161.3197
109.000000	70.854	161.0298
110.599998	70.795	160.6970
112.000000	70.746	160.3998
113.800003	70.692	160.0781
115.000000	70.658	159.9235
117.199997	70.579	159.8352
118.000000	70.548	159.8789
