* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 30 오후 1:49:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AAW halcyon VOKAL
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.645	-146.1615
20.600000	74.639	-146.3671
20.900000	74.626	-146.7397
21.200001	74.610	-147.1116
21.400000	74.598	-147.3671
21.799999	74.574	-147.9248
22.000000	74.561	-148.2345
22.400000	74.539	-148.9084
22.700001	74.531	-149.4508
23.000000	74.532	-150.0136
23.299999	74.539	-150.5837
23.600000	74.552	-151.1502
24.000000	74.578	-151.8867
24.299999	74.607	-152.4194
24.700001	74.656	-153.1006
25.000000	74.698	-153.5864
25.400000	74.756	-154.1899
25.799999	74.817	-154.7228
26.200001	74.879	-155.1674
26.500000	74.924	-155.4423
26.900000	74.981	-155.7440
27.200001	75.019	-155.9378
27.600000	75.063	-156.1727
28.000000	75.094	-156.3929
28.500000	75.110	-156.6473
29.000000	75.110	-156.8758
29.500000	75.102	-157.0941
30.000000	75.086	-157.3342
30.400000	75.070	-157.5591
30.700001	75.061	-157.7506
31.100000	75.053	-158.0369
31.500000	75.051	-158.3564
32.000000	75.052	-158.7950
32.500000	75.063	-159.2625
33.000000	75.084	-159.7379
33.500000	75.111	-160.2047
34.000000	75.144	-160.6518
34.500000	75.183	-161.0694
35.000000	75.224	-161.4473
35.500000	75.268	-161.7772
36.000000	75.309	-162.0592
36.500000	75.345	-162.3003
37.000000	75.374	-162.5109
37.500000	75.392	-162.7014
38.200001	75.411	-162.9544
38.700001	75.424	-163.1373
39.500000	75.432	-163.4518
40.000000	75.429	-163.6709
40.599998	75.421	-163.9642
41.200001	75.409	-164.2876
41.799999	75.399	-164.6266
42.500000	75.402	-165.0203
43.099998	75.423	-165.3479
43.700001	75.459	-165.6677
44.400002	75.510	-166.0290
45.000000	75.551	-166.3153
45.500000	75.580	-166.5256
46.200001	75.612	-166.7735
46.799999	75.634	-166.9554
47.500000	75.657	-167.1568
48.200001	75.678	-167.3678
48.700001	75.690	-167.5336
49.400002	75.696	-167.7947
50.000000	75.690	-168.0423
50.799999	75.676	-168.3748
51.500000	75.667	-168.6350
52.200001	75.673	-168.8792
53.000000	75.703	-169.1867
53.799999	75.741	-169.5018
54.500000	75.775	-169.7294
55.200001	75.813	-169.9242
56.000000	75.857	-170.1602
57.000000	75.897	-170.4653
58.000000	75.920	-170.7619
59.000000	75.929	-171.1010
60.000000	75.933	-171.4524
60.799999	75.943	-171.7170
61.500000	75.959	-171.9470
62.200001	75.979	-172.1801
63.000000	76.003	-172.4409
64.000000	76.037	-172.7446
65.000000	76.083	-173.0391
66.000000	76.131	-173.3472
67.000000	76.173	-173.6535
68.000000	76.207	-173.9615
69.000000	76.224	-174.2810
70.000000	76.229	-174.5958
71.000000	76.236	-174.8972
72.000000	76.252	-175.1964
73.000000	76.275	-175.5075
74.000000	76.307	-175.8235
75.000000	76.347	-176.1368
76.199997	76.400	-176.5069
77.500000	76.450	-176.9048
78.800003	76.484	-177.2990
80.000000	76.503	-177.6597
81.199997	76.512	-178.0249
82.500000	76.528	-178.4391
83.800003	76.564	-178.8610
85.000000	76.613	-179.2492
86.199997	76.659	-179.6353
87.500000	76.699	179.9581
88.500000	76.722	179.6479
90.000000	76.745	179.1693
91.199997	76.758	178.7803
92.500000	76.778	178.3582
93.800003	76.811	177.9359
95.000000	76.851	177.5469
96.199997	76.893	177.1545
97.500000	76.933	176.7271
98.800003	76.959	176.2964
100.000000	76.974	175.8926
101.500000	76.988	175.3793
103.000000	77.011	174.8616
104.400002	77.046	174.3801
106.000000	77.092	173.8350
107.500000	77.130	173.3181
109.000000	77.154	172.7841
110.599998	77.167	172.2121
112.000000	77.178	171.7125
113.800003	77.207	171.0625
115.000000	77.236	170.6262
117.199997	77.289	169.8244
118.000000	77.302	169.5325
120.599998	77.323	168.5660
122.000000	77.330	168.0280
124.099998	77.354	167.2265
125.000000	77.370	166.8856
126.500000	77.397	166.3172
128.000000	77.417	165.7507
131.500000	77.423	164.4171
132.000000	77.424	164.2243
134.000000	77.436	163.4552
136.000000	77.462	162.6872
138.000000	77.479	161.9082
140.000000	77.472	161.1184
143.000000	77.447	159.9448
145.000000	77.443	159.1977
147.500000	77.436	158.3600
150.000000	77.420	157.6591
152.500000	77.427	156.9068
155.000000	77.460	155.9540
157.500000	77.483	154.9145
160.000000	77.478	153.8814
162.500000	77.458	152.8760
165.000000	77.446	151.8947
167.500000	77.439	150.9285
170.000000	77.415	149.9679
172.500000	77.372	149.0096
175.000000	77.331	148.0640
177.500000	77.289	147.1317
180.000000	77.223	146.2161
182.500000	77.129	145.3286
185.000000	77.014	144.4932
187.500000	76.888	143.7824
190.000000	76.766	143.3053
192.500000	76.688	143.0479
195.000000	76.677	142.7642
197.500000	76.695	142.2476
200.000000	76.692	141.5734
203.000000	76.666	140.8243
206.000000	76.660	140.1354
209.000000	76.659	139.3065
212.000000	76.636	138.3343
214.000000	76.613	137.6594
218.000000	76.553	136.3378
220.000000	76.512	135.7003
224.000000	76.414	134.4719
227.000000	76.341	133.5989
230.000000	76.261	132.7643
233.000000	76.176	131.9601
236.000000	76.093	131.1858
240.000000	75.982	130.2119
243.000000	75.898	129.5183
247.000000	75.791	128.6429
250.000000	75.706	128.0358
254.000000	75.577	127.2930
258.000000	75.455	126.6223
262.000000	75.349	125.9911
265.000000	75.279	125.4914
269.000000	75.186	124.7679
272.000000	75.106	124.2171
276.000000	74.993	123.5092
280.000000	74.881	122.8397
285.000000	74.746	122.0689
290.000000	74.612	121.3467
295.000000	74.475	120.6580
300.000000	74.335	120.0243
304.000000	74.221	119.5467
307.000000	74.138	119.1999
311.000000	74.028	118.7575
315.000000	73.920	118.3405
320.000000	73.792	117.8473
325.000000	73.665	117.3994
330.000000	73.533	117.0125
335.000000	73.406	116.6789
340.000000	73.293	116.3739
345.000000	73.193	116.0414
350.000000	73.091	115.6884
355.000000	72.979	115.3754
360.000000	72.868	115.1076
365.000000	72.762	114.8534
370.000000	72.660	114.5976
375.000000	72.560	114.3456
382.000000	72.426	114.0039
387.000000	72.330	113.7625
395.000000	72.176	113.3896
400.000000	72.082	113.1699
406.000000	71.971	112.9359
412.000000	71.857	112.7510
418.000000	71.744	112.6006
425.000000	71.620	112.4439
431.000000	71.518	112.3336
437.000000	71.416	112.2358
444.000000	71.298	112.1371
450.000000	71.199	112.0681
455.000000	71.119	112.0240
462.000000	71.005	111.9875
468.000000	70.903	112.0099
475.000000	70.789	112.1373
482.000000	70.689	112.3549
487.000000	70.628	112.5220
494.000000	70.549	112.7325
500.000000	70.487	112.8856
508.000000	70.409	113.0648
515.000000	70.338	113.2297
522.000000	70.270	113.4089
530.000000	70.200	113.6375
538.000000	70.136	113.9096
545.000000	70.078	114.1655
552.000000	70.018	114.4415
560.000000	69.958	114.7935
570.000000	69.908	115.3098
580.000000	69.876	115.9172
590.000000	69.884	116.5181
600.000000	69.928	116.6695
608.000000	69.929	116.4564
615.000000	69.891	116.3503
622.000000	69.840	116.4550
630.000000	69.788	116.7502
640.000000	69.746	117.2258
650.000000	69.723	117.7300
660.000000	69.714	118.2288
670.000000	69.719	118.7299
680.000000	69.734	119.2184
690.000000	69.753	119.6883
700.000000	69.778	120.1535
710.000000	69.812	120.5942
720.000000	69.857	121.0262
730.000000	69.910	121.4590
740.000000	69.970	121.8813
750.000000	70.033	122.2867
762.000000	70.116	122.7283
775.000000	70.214	123.1615
788.000000	70.321	123.5724
800.000000	70.428	123.9100
812.000000	70.538	124.1927
825.000000	70.659	124.4649
838.000000	70.786	124.6973
850.000000	70.904	124.8620
862.000000	71.022	124.9782
875.000000	71.157	125.0713
885.000000	71.267	125.1164
900.000000	71.434	125.1259
912.000000	71.566	125.0873
925.000000	71.711	125.0014
938.000000	71.856	124.8618
950.000000	71.987	124.6870
962.000000	72.118	124.4794
975.000000	72.260	124.2101
988.000000	72.400	123.8920
1000.000000	72.528	123.5681
1015.000000	72.687	123.1324
1030.000000	72.844	122.6566
1044.000000	72.983	122.1633
1060.000000	73.133	121.5506
1075.000000	73.270	120.9452
1090.000000	73.405	120.3076
1106.000000	73.546	119.5992
1120.000000	73.665	118.9616
1138.000000	73.810	118.1135
1150.000000	73.901	117.5309
1172.000000	74.054	116.4407
1180.000000	74.104	116.0416
1206.000000	74.243	114.7219
1220.000000	74.302	114.0164
1241.000000	74.372	112.9743
1250.000000	74.402	112.5300
1265.000000	74.464	111.7905
1280.000000	74.551	111.0543
1315.000000	74.824	109.3790
1320.000000	74.864	109.1468
1340.000000	75.014	108.2383
1360.000000	75.140	107.3572
1380.000000	75.235	106.5009
1400.000000	75.300	105.6712
1430.000000	75.372	104.4692
1450.000000	75.415	103.6924
1475.000000	75.470	102.7621
1500.000000	75.528	101.8717
1525.000000	75.583	101.0115
1550.000000	75.634	100.1759
1575.000000	75.687	99.3602
1600.000000	75.741	98.5604
1625.000000	75.795	97.7789
1650.000000	75.849	97.0133
1675.000000	75.901	96.2535
1700.000000	75.955	95.4963
1725.000000	76.012	94.7401
1750.000000	76.070	93.9805
1775.000000	76.123	93.2132
1800.000000	76.172	92.4428
1825.000000	76.222	91.6633
1850.000000	76.271	90.8690
1875.000000	76.319	90.0567
1900.000000	76.365	89.2270
1925.000000	76.407	88.3830
1950.000000	76.447	87.5226
1975.000000	76.484	86.6419
2000.000000	76.517	85.7438
2030.000000	76.551	84.6442
2060.000000	76.580	83.5155
2090.000000	76.600	82.3570
2120.000000	76.614	81.1790
2140.000000	76.618	80.3829
2180.000000	76.614	78.7618
2200.000000	76.607	77.9417
2240.000000	76.580	76.2838
2270.000000	76.549	75.0298
2300.000000	76.509	73.7720
2330.000000	76.461	72.5099
2360.000000	76.408	71.2444
2400.000000	76.328	69.5614
2430.000000	76.262	68.3083
2470.000000	76.163	66.6544
2500.000000	76.082	65.4242
2540.000000	75.968	63.8039
2580.000000	75.844	62.2100
2620.000000	75.712	60.6383
2650.000000	75.612	59.4719
2690.000000	75.482	57.9315
2720.000000	75.384	56.7856
2760.000000	75.255	55.2648
2800.000000	75.127	53.7422
2850.000000	74.973	51.8308
2900.000000	74.826	49.8954
2950.000000	74.687	47.9065
3000.000000	74.561	45.8481
3040.000000	74.466	44.1227
3070.000000	74.396	42.7722
3110.000000	74.305	40.8930
3150.000000	74.213	38.9252
3200.000000	74.094	36.3472
3250.000000	73.961	33.6952
3300.000000	73.807	31.0529
3350.000000	73.636	28.5438
3400.000000	73.463	26.3190
3450.000000	73.315	24.4974
3500.000000	73.230	23.0798
3550.000000	73.246	21.9004
3600.000000	73.384	20.6692
3650.000000	73.626	19.0966
3700.000000	73.935	16.9888
3750.000000	74.273	14.3010
3820.000000	74.731	9.7104
3870.000000	75.026	6.0227
3950.000000	75.425	-0.2372
4000.000000	75.623	-4.2036
4060.000000	75.805	-8.8515
4120.000000	75.924	-13.2429
4180.000000	75.987	-17.2622
4250.000000	76.006	-21.3877
4310.000000	75.998	-24.3802
4370.000000	75.993	-26.8548
4440.000000	76.017	-29.1133
4500.000000	76.077	-30.5454
4550.000000	76.156	-31.4210
4620.000000	76.316	-32.2269
4680.000000	76.499	-32.5902
4750.000000	76.767	-32.7185
4820.000000	77.094	-32.6216
4870.000000	77.366	-32.4675
4940.000000	77.802	-32.2145
5000.000000	78.227	-32.0435
5080.000000	78.867	-32.0243
5150.000000	79.496	-32.3648
5220.000000	80.176	-33.2325
5300.000000	80.988	-35.1356
5380.000000	81.783	-38.2900
5450.000000	82.406	-42.2235
5520.000000	82.895	-47.2329
5600.000000	83.212	-53.9646
5700.000000	83.160	-62.8452
5800.000000	82.629	-70.7172
5900.000000	81.760	-76.3860
6000.000000	80.734	-79.4459
6080.000000	79.909	-80.1519
6150.000000	79.227	-79.7134
6220.000000	78.595	-78.4802
6300.000000	77.938	-76.3069
6400.000000	77.216	-72.7186
6500.000000	76.604	-68.3927
6600.000000	76.100	-63.4752
6700.000000	75.703	-58.0715
6800.000000	75.426	-52.2960
6900.000000	75.274	-46.2764
7000.000000	75.247	-40.1494
7100.000000	75.339	-34.0637
7200.000000	75.553	-28.1583
7300.000000	75.893	-22.5377
7400.000000	76.355	-17.2924
7500.000000	76.930	-12.5709
7620.000000	77.757	-7.9913
7750.000000	78.737	-5.1567
7880.000000	79.601	-5.2995
8000.000000	80.094	-8.1664
8120.000000	80.142	-12.7850
8250.000000	79.633	-17.6951
8380.000000	78.660	-20.3986
8500.000000	77.564	-20.1995
8620.000000	76.443	-17.6656
8750.000000	75.290	-12.8185
8850.000000	74.502	-7.9197
9000.000000	73.542	0.7102
9120.000000	72.947	8.7784
9250.000000	72.606	18.2808
9380.000000	72.579	27.2653
9500.000000	72.709	34.7331
9620.000000	72.943	41.4555
9750.000000	73.298	47.8031
9880.000000	73.724	52.9487
10000.000000	74.131	56.4132
10150.000000	74.568	58.8498
10300.000000	74.804	59.4411
10440.000000	74.751	59.0391
10600.000000	74.319	58.6278
10750.000000	73.608	59.2179
10900.000000	72.722	61.1372
11060.000000	71.703	64.5087
11200.000000	70.794	68.2242
11380.000000	69.589	73.5496
11500.000000	68.717	77.3596
11720.000000	66.848	85.6509
11800.000000	66.066	89.5305
12060.000000	63.327	107.5911
12200.000000	62.001	120.8433
12410.000000	60.715	142.9525
12500.000000	60.449	152.3941
12650.000000	60.279	167.3588
12800.000000	60.315	-178.8633
13150.000000	60.688	-150.3569
13200.000000	60.742	-146.5526
13400.000000	60.918	-131.6970
13600.000000	61.068	-117.1882
13800.000000	61.257	-102.8662
14000.000000	61.539	-88.6198
14300.000000	62.216	-67.1597
14500.000000	62.886	-52.8354
14750.000000	63.997	-35.3121
15000.000000	65.444	-18.8128
15250.000000	67.296	-4.1936
15500.000000	69.592	6.8289
15750.000000	72.102	10.9563
16000.000000	74.006	4.9441
16250.000000	74.406	-7.5446
16500.000000	73.260	-15.8777
16750.000000	71.400	-15.2866
17000.000000	69.665	-8.6175
17250.000000	68.367	0.4322
17500.000000	67.412	9.7246
17750.000000	66.533	18.5846
18000.000000	65.529	27.7625
18250.000000	64.424	38.6068
18500.000000	63.465	50.8376
18750.000000	62.754	62.3780
19000.000000	62.005	72.3660
19250.000000	60.957	82.3534
19500.000000	59.546	94.1104
19750.000000	57.875	106.8672
20000.000000	56.634	115.1240
