* Measurement data measured by REW V5.20.8
* Source: C:\Users\DABKING\Downloads\harman_over-ear_2018.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 7. 13 ���� 8:04:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\harman_over-ear_2018.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_over-ear_2018
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	89.742
20.600000	89.779
20.900000	89.817
21.200001	89.844
21.400000	89.854
21.799999	89.868
22.000000	89.872
22.400000	89.877
22.700001	89.875
23.000000	89.870
23.299999	89.868
23.600000	89.867
24.000000	89.867
24.299999	89.866
24.700001	89.859
25.000000	89.858
25.400000	89.857
25.799999	89.852
26.200001	89.848
26.500000	89.847
26.900000	89.845
27.200001	89.840
27.600000	89.833
28.000000	89.826
28.500000	89.818
29.000000	89.813
29.500000	89.805
30.000000	89.796
30.400000	89.789
30.700001	89.784
31.100000	89.774
31.500000	89.766
32.000000	89.755
32.500000	89.746
33.000000	89.735
33.500000	89.725
34.000000	89.714
34.500000	89.699
35.000000	89.685
35.500000	89.671
36.000000	89.657
36.500000	89.643
37.000000	89.629
37.500000	89.615
38.200001	89.597
38.700001	89.583
39.500000	89.555
40.000000	89.541
40.599998	89.526
41.200001	89.511
41.799999	89.496
42.500000	89.479
43.099998	89.461
43.700001	89.436
44.400002	89.405
45.000000	89.379
45.500000	89.361
46.200001	89.337
46.799999	89.317
47.500000	89.290
48.200001	89.261
48.700001	89.234
49.400002	89.192
50.000000	89.159
50.799999	89.122
51.500000	89.089
52.200001	89.059
53.000000	89.026
53.799999	88.989
54.500000	88.956
55.200001	88.924
56.000000	88.889
57.000000	88.848
58.000000	88.808
59.000000	88.772
60.000000	88.733
60.799999	88.693
61.500000	88.654
62.200001	88.617
63.000000	88.578
64.000000	88.533
65.000000	88.492
66.000000	88.448
67.000000	88.402
68.000000	88.358
69.000000	88.314
70.000000	88.270
71.000000	88.226
72.000000	88.179
73.000000	88.131
74.000000	88.083
75.000000	88.036
76.199997	87.984
77.500000	87.930
78.800003	87.874
80.000000	87.823
81.199997	87.771
82.500000	87.715
83.800003	87.658
