* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 01-Apr-2022 16:43:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: IE400 Pro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.126	-133.4444
20.600000	81.139	-133.9174
20.900000	81.162	-134.7537
21.200001	81.180	-135.5282
21.400000	81.191	-136.0172
21.799999	81.209	-136.9883
22.000000	81.217	-137.4866
22.400000	81.228	-138.4987
22.700001	81.233	-139.2619
23.000000	81.236	-140.0253
23.299999	81.240	-140.7859
23.600000	81.244	-141.5430
24.000000	81.254	-142.5483
24.299999	81.264	-143.2992
24.700001	81.280	-144.2922
25.000000	81.292	-145.0247
25.400000	81.309	-145.9749
25.799999	81.325	-146.8868
26.200001	81.342	-147.7593
26.500000	81.354	-148.3910
26.900000	81.368	-149.2079
27.200001	81.375	-149.8022
27.600000	81.380	-150.5666
28.000000	81.382	-151.2928
28.500000	81.381	-152.1465
29.000000	81.380	-152.9627
29.500000	81.378	-153.7747
30.000000	81.372	-154.5986
30.400000	81.363	-155.2567
30.700001	81.354	-155.7412
31.100000	81.340	-156.3697
31.500000	81.326	-156.9822
32.000000	81.310	-157.7414
32.500000	81.295	-158.5073
33.000000	81.281	-159.2751
33.500000	81.267	-160.0294
34.000000	81.257	-160.7610
34.500000	81.249	-161.4716
35.000000	81.242	-162.1636
35.500000	81.235	-162.8339
36.000000	81.227	-163.4771
36.500000	81.218	-164.0915
37.000000	81.208	-164.6805
37.500000	81.198	-165.2502
38.200001	81.180	-166.0270
38.700001	81.163	-166.5708
39.500000	81.131	-167.4186
40.000000	81.109	-167.9356
40.599998	81.081	-168.5496
41.200001	81.052	-169.1559
41.799999	81.022	-169.7423
42.500000	80.990	-170.3962
43.099998	80.967	-170.9496
43.700001	80.945	-171.5098
44.400002	80.918	-172.1568
45.000000	80.893	-172.6865
45.500000	80.872	-173.1092
46.200001	80.842	-173.6797
46.799999	80.815	-174.1480
47.500000	80.784	-174.6653
48.200001	80.754	-175.1570
48.700001	80.733	-175.4985
49.400002	80.706	-175.9697
50.000000	80.683	-176.3746
50.799999	80.651	-176.9214
51.500000	80.622	-177.3930
52.200001	80.593	-177.8469
53.000000	80.561	-178.3575
53.799999	80.529	-178.8718
54.500000	80.498	-179.3105
55.200001	80.464	-179.7238
56.000000	80.426	179.8293
57.000000	80.379	179.2856
58.000000	80.329	178.7839
59.000000	80.286	178.3164
60.000000	80.246	177.8087
60.799999	80.208	177.4073
61.500000	80.173	177.0974
62.200001	80.141	176.8239
63.000000	80.112	176.5192
64.000000	80.081	176.0721
65.000000	80.038	175.5858
66.000000	79.988	175.1742
67.000000	79.944	174.7889
68.000000	79.901	174.3985
69.000000	79.858	174.0164
70.000000	79.813	173.6538
71.000000	79.770	173.3491
72.000000	79.734	173.0649
73.000000	79.701	172.7935
74.000000	79.671	172.5232
75.000000	79.640	172.2373
76.199997	79.601	171.9192
77.500000	79.561	171.5360
78.800003	79.514	171.1370
80.000000	79.468	170.7829
81.199997	79.420	170.4473
82.500000	79.371	170.1149
83.800003	79.326	169.7846
85.000000	79.282	169.4825
86.199997	79.238	169.2066
87.500000	79.192	168.9311
88.500000	79.158	168.7211
90.000000	79.108	168.4077
91.199997	79.067	168.1646
92.500000	79.024	167.9124
93.800003	78.981	167.6666
95.000000	78.943	167.4423
96.199997	78.905	167.2249
97.500000	78.864	167.0000
98.800003	78.823	166.7878
100.000000	78.786	166.6002
101.500000	78.740	166.3696
103.000000	78.696	166.1379
104.400002	78.656	165.9220
106.000000	78.610	165.6839
107.500000	78.568	165.4731
109.000000	78.525	165.2772
110.599998	78.478	165.0766
112.000000	78.437	164.8924
113.800003	78.383	164.6557
115.000000	78.348	164.5120
117.199997	78.293	164.2890
118.000000	78.275	164.2143
120.599998	78.215	163.9298
122.000000	78.174	163.7913
124.099998	78.118	163.6097
125.000000	78.095	163.5290
126.500000	78.060	163.3906
128.000000	78.026	163.2479
131.500000	77.940	162.9507
132.000000	77.928	162.9078
134.000000	77.878	162.7331
136.000000	77.829	162.5754
138.000000	77.785	162.4490
140.000000	77.740	162.3350
143.000000	77.674	162.1883
145.000000	77.635	162.0909
147.500000	77.593	161.9448
150.000000	77.550	161.7719
152.500000	77.503	161.5807
155.000000	77.451	161.3825
157.500000	77.398	161.1855
160.000000	77.345	161.0109
162.500000	77.293	160.8522
165.000000	77.239	160.6967
167.500000	77.184	160.5515
170.000000	77.131	160.4203
172.500000	77.079	160.2936
175.000000	77.026	160.1732
177.500000	76.973	160.0650
180.000000	76.919	159.9758
182.500000	76.864	159.9123
185.000000	76.809	159.8765
187.500000	76.754	159.8640
190.000000	76.699	159.8883
192.500000	76.646	159.9574
195.000000	76.601	160.0489
197.500000	76.565	160.1440
200.000000	76.534	160.2325
203.000000	76.503	160.3250
206.000000	76.476	160.4010
209.000000	76.456	160.4532
212.000000	76.443	160.4490
214.000000	76.435	160.3983
218.000000	76.410	160.2016
220.000000	76.390	160.0815
224.000000	76.339	159.8661
227.000000	76.295	159.7465
230.000000	76.252	159.6613
233.000000	76.213	159.6008
236.000000	76.178	159.5418
240.000000	76.137	159.4294
243.000000	76.110	159.3112
247.000000	76.070	159.1237
250.000000	76.036	158.9776
254.000000	75.986	158.7834
258.000000	75.934	158.6008
262.000000	75.880	158.4347
265.000000	75.839	158.3126
269.000000	75.784	158.1560
272.000000	75.741	158.0535
276.000000	75.683	157.9269
280.000000	75.624	157.8024
285.000000	75.549	157.6754
290.000000	75.470	157.5747
295.000000	75.391	157.5013
300.000000	75.316	157.4549
304.000000	75.258	157.4159
307.000000	75.213	157.3930
311.000000	75.151	157.3825
315.000000	75.090	157.3825
320.000000	75.016	157.3890
325.000000	74.942	157.4043
330.000000	74.868	157.4417
335.000000	74.792	157.4984
340.000000	74.716	157.5629
345.000000	74.639	157.6500
350.000000	74.564	157.7656
355.000000	74.488	157.9198
360.000000	74.414	158.1275
365.000000	74.344	158.3730
370.000000	74.281	158.6493
375.000000	74.225	158.9510
382.000000	74.166	159.4119
387.000000	74.142	159.7448
395.000000	74.135	160.1102
400.000000	74.136	160.1765
406.000000	74.127	160.0989
412.000000	74.097	159.9294
418.000000	74.047	159.7644
425.000000	73.974	159.6373
431.000000	73.905	159.5920
437.000000	73.836	159.6000
444.000000	73.756	159.6674
450.000000	73.688	159.7561
455.000000	73.632	159.8441
462.000000	73.556	159.9881
468.000000	73.493	160.1288
475.000000	73.421	160.3052
482.000000	73.350	160.4970
487.000000	73.301	160.6424
494.000000	73.234	160.8521
500.000000	73.178	161.0408
508.000000	73.105	161.3081
515.000000	73.043	161.5522
522.000000	72.981	161.8020
530.000000	72.912	162.0927
538.000000	72.846	162.3932
545.000000	72.786	162.6671
552.000000	72.726	162.9446
560.000000	72.659	163.2681
570.000000	72.577	163.6841
580.000000	72.498	164.1199
590.000000	72.419	164.5670
600.000000	72.346	165.0256
608.000000	72.290	165.4013
615.000000	72.242	165.7349
622.000000	72.194	166.0700
630.000000	72.140	166.4576
640.000000	72.075	166.9602
650.000000	72.014	167.4721
660.000000	71.955	167.9840
670.000000	71.898	168.5067
680.000000	71.845	169.0443
690.000000	71.793	169.5858
700.000000	71.744	170.1357
710.000000	71.699	170.6899
720.000000	71.655	171.2474
730.000000	71.615	171.8253
740.000000	71.576	172.4152
750.000000	71.540	173.0062
762.000000	71.501	173.7169
775.000000	71.463	174.4991
788.000000	71.429	175.2781
800.000000	71.402	175.9977
812.000000	71.379	176.7277
825.000000	71.358	177.5224
838.000000	71.341	178.3173
850.000000	71.332	179.0436
862.000000	71.325	179.7628
875.000000	71.322	-179.4638
885.000000	71.324	-178.8745
900.000000	71.331	-177.9992
912.000000	71.340	-177.3101
925.000000	71.355	-176.5805
938.000000	71.374	-175.8733
950.000000	71.396	-175.2324
962.000000	71.421	-174.6044
975.000000	71.452	-173.9414
988.000000	71.487	-173.2944
1000.000000	71.523	-172.7170
1015.000000	71.574	-172.0289
1030.000000	71.636	-171.3862
1044.000000	71.697	-170.8367
1060.000000	71.770	-170.2775
1075.000000	71.836	-169.8407
1090.000000	71.894	-169.4783
1106.000000	71.954	-169.1599
1120.000000	72.003	-168.9237
1138.000000	72.059	-168.6681
1150.000000	72.091	-168.5178
1172.000000	72.146	-168.2564
1180.000000	72.165	-168.1658
1206.000000	72.230	-167.8967
1220.000000	72.272	-167.7687
1241.000000	72.338	-167.6082
1250.000000	72.366	-167.5478
1265.000000	72.410	-167.4546
1280.000000	72.452	-167.3669
1315.000000	72.542	-167.1820
1320.000000	72.554	-167.1576
1340.000000	72.599	-167.0586
1360.000000	72.646	-166.9514
1380.000000	72.694	-166.8445
1400.000000	72.742	-166.7419
1430.000000	72.810	-166.5729
1450.000000	72.853	-166.4540
1475.000000	72.905	-166.2964
1500.000000	72.954	-166.1289
1525.000000	72.998	-165.9564
1550.000000	73.030	-165.7809
1575.000000	73.057	-165.6061
1600.000000	73.082	-165.4217
1625.000000	73.106	-165.2275
1650.000000	73.130	-165.0249
1675.000000	73.155	-164.8204
1700.000000	73.179	-164.6233
1725.000000	73.204	-164.4229
1750.000000	73.231	-164.2260
1775.000000	73.258	-164.0336
1800.000000	73.285	-163.8318
1825.000000	73.309	-163.6224
1850.000000	73.332	-163.4057
1875.000000	73.353	-163.1768
1900.000000	73.372	-162.9333
1925.000000	73.389	-162.6634
1950.000000	73.405	-162.3544
1975.000000	73.419	-161.9882
2000.000000	73.436	-161.5518
2030.000000	73.469	-160.9382
2060.000000	73.529	-160.2611
2090.000000	73.621	-159.6214
2120.000000	73.743	-159.1581
2140.000000	73.828	-158.9904
2180.000000	73.977	-158.9242
2200.000000	74.035	-158.9529
2240.000000	74.129	-158.9862
2270.000000	74.196	-158.9634
2300.000000	74.266	-158.9431
2330.000000	74.338	-158.9746
2360.000000	74.403	-159.0853
2400.000000	74.474	-159.3192
2430.000000	74.513	-159.5057
2470.000000	74.552	-159.7034
2500.000000	74.573	-159.8094
2540.000000	74.592	-159.8973
2580.000000	74.606	-159.9195
2620.000000	74.618	-159.8854
2650.000000	74.625	-159.8153
2690.000000	74.632	-159.6535
2720.000000	74.637	-159.4771
2760.000000	74.649	-159.1606
2800.000000	74.674	-158.7625
2850.000000	74.730	-158.2109
2900.000000	74.820	-157.6866
2950.000000	74.938	-157.2898
3000.000000	75.071	-157.1270
3040.000000	75.174	-157.1897
3070.000000	75.242	-157.3236
3110.000000	75.316	-157.5630
3150.000000	75.371	-157.8042
3200.000000	75.421	-158.0501
3250.000000	75.457	-158.2206
3300.000000	75.490	-158.3061
3350.000000	75.525	-158.3102
3400.000000	75.569	-158.2482
3450.000000	75.627	-158.1790
3500.000000	75.700	-158.1837
3550.000000	75.780	-158.3273
3600.000000	75.849	-158.6399
3650.000000	75.895	-159.0779
3700.000000	75.908	-159.5418
3750.000000	75.891	-159.9184
3820.000000	75.836	-160.1400
3870.000000	75.796	-160.0596
3950.000000	75.760	-159.5873
