* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 01-Apr-2022 16:42:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: IE400 Pro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.282	-141.8399
20.600000	83.288	-142.2921
20.900000	83.297	-143.0928
21.200001	83.303	-143.8384
21.400000	83.306	-144.3122
21.799999	83.309	-145.2584
22.000000	83.309	-145.7448
22.400000	83.304	-146.7316
22.700001	83.297	-147.4748
23.000000	83.289	-148.2197
23.299999	83.281	-148.9653
23.600000	83.275	-149.7115
24.000000	83.269	-150.7058
24.299999	83.268	-151.4475
24.700001	83.268	-152.4236
25.000000	83.270	-153.1415
25.400000	83.273	-154.0765
25.799999	83.279	-154.9847
26.200001	83.285	-155.8651
26.500000	83.288	-156.5052
26.900000	83.290	-157.3285
27.200001	83.288	-157.9222
27.600000	83.284	-158.6833
28.000000	83.278	-159.4147
28.500000	83.267	-160.2966
29.000000	83.253	-161.1488
29.500000	83.234	-161.9726
30.000000	83.212	-162.7711
30.400000	83.193	-163.3972
30.700001	83.179	-163.8626
31.100000	83.159	-164.4801
31.500000	83.137	-165.0943
32.000000	83.109	-165.8552
32.500000	83.081	-166.6063
33.000000	83.054	-167.3493
33.500000	83.031	-168.0865
34.000000	83.010	-168.8157
34.500000	82.990	-169.5293
35.000000	82.971	-170.2197
35.500000	82.953	-170.8837
36.000000	82.935	-171.5235
36.500000	82.917	-172.1426
37.000000	82.899	-172.7428
37.500000	82.879	-173.3246
38.200001	82.847	-174.1108
38.700001	82.822	-174.6557
39.500000	82.777	-175.5061
40.000000	82.747	-176.0266
40.599998	82.710	-176.6402
41.200001	82.672	-177.2414
41.799999	82.634	-177.8327
42.500000	82.591	-178.5150
43.099998	82.555	-179.0919
43.700001	82.520	-179.6554
44.400002	82.479	179.7079
45.000000	82.444	179.1777
45.500000	82.416	178.7465
46.200001	82.374	178.1630
46.799999	82.338	177.6858
47.500000	82.296	177.1546
48.200001	82.255	176.6434
48.700001	82.226	176.2848
49.400002	82.187	175.7855
50.000000	82.152	175.3584
50.799999	82.104	174.7935
51.500000	82.061	174.3120
52.200001	82.018	173.8476
53.000000	81.972	173.3307
53.799999	81.927	172.8207
54.500000	81.885	172.3877
55.200001	81.844	171.9726
56.000000	81.797	171.5141
57.000000	81.738	170.9565
58.000000	81.676	170.4140
59.000000	81.612	169.9023
60.000000	81.551	169.4262
60.799999	81.507	169.0445
61.500000	81.469	168.7014
62.200001	81.430	168.3529
63.000000	81.383	167.9637
64.000000	81.324	167.5274
65.000000	81.270	167.1270
66.000000	81.217	166.7219
67.000000	81.163	166.3321
68.000000	81.110	165.9559
69.000000	81.057	165.5825
70.000000	81.004	165.2184
71.000000	80.951	164.8593
72.000000	80.898	164.5084
73.000000	80.845	164.1746
74.000000	80.793	163.8583
75.000000	80.741	163.5557
76.199997	80.679	163.2011
77.500000	80.611	162.8286
78.800003	80.544	162.4724
80.000000	80.483	162.1486
81.199997	80.422	161.8362
82.500000	80.358	161.5148
83.800003	80.295	161.2097
85.000000	80.238	160.9354
86.199997	80.181	160.6651
87.500000	80.119	160.3835
88.500000	80.072	160.1768
90.000000	80.003	159.8794
91.199997	79.949	159.6501
92.500000	79.891	159.4122
93.800003	79.834	159.1808
95.000000	79.781	158.9706
96.199997	79.729	158.7698
97.500000	79.676	158.5598
98.800003	79.623	158.3506
100.000000	79.574	158.1626
101.500000	79.512	157.9404
103.000000	79.450	157.7264
104.400002	79.392	157.5303
106.000000	79.328	157.3081
107.500000	79.270	157.1073
109.000000	79.213	156.9304
110.599998	79.153	156.7711
112.000000	79.101	156.6314
113.800003	79.029	156.4342
115.000000	78.981	156.3078
117.199997	78.907	156.0875
118.000000	78.885	156.0017
120.599998	78.806	155.7552
122.000000	78.760	155.7097
124.099998	78.690	155.6336
125.000000	78.659	155.5768
126.500000	78.608	155.4492
128.000000	78.559	155.2961
131.500000	78.450	154.9649
132.000000	78.434	154.9287
134.000000	78.370	154.8058
136.000000	78.307	154.6851
138.000000	78.247	154.5562
140.000000	78.187	154.4398
143.000000	78.097	154.2919
145.000000	78.037	154.1868
147.500000	77.963	154.0487
150.000000	77.891	153.9276
152.500000	77.817	153.8261
155.000000	77.742	153.7344
157.500000	77.669	153.6609
160.000000	77.595	153.6141
162.500000	77.520	153.5934
165.000000	77.448	153.6093
167.500000	77.386	153.6573
170.000000	77.337	153.7254
172.500000	77.300	153.7732
175.000000	77.270	153.7396
177.500000	77.237	153.6189
180.000000	77.196	153.4543
182.500000	77.146	153.2934
185.000000	77.090	153.1527
187.500000	77.032	153.0306
190.000000	76.971	152.9287
192.500000	76.910	152.8488
195.000000	76.849	152.7883
197.500000	76.790	152.7445
200.000000	76.729	152.7216
203.000000	76.656	152.7146
206.000000	76.584	152.7204
209.000000	76.515	152.7455
212.000000	76.444	152.7658
214.000000	76.393	152.7741
