* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 11 오후 1:48:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: f_l
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.900	-152.9602
20.600000	75.855	-153.6306
20.900000	75.740	-154.5961
21.200001	75.584	-154.8632
21.400000	75.502	-154.6612
21.799999	75.455	-153.8920
22.000000	75.503	-153.6384
22.400000	75.694	-153.9657
22.700001	75.842	-155.0121
23.000000	75.941	-156.4983
23.299999	75.984	-158.0786
23.600000	75.988	-159.5637
24.000000	75.967	-161.2989
24.299999	75.940	-162.4368
24.700001	75.874	-163.6095
25.000000	75.812	-163.9483
25.400000	75.801	-163.3642
25.799999	76.049	-162.0389
26.200001	76.616	-161.4921
26.500000	77.126	-162.5824
26.900000	77.684	-166.4991
27.200001	77.865	-170.8472
27.600000	77.678	-177.1468
28.000000	76.987	178.2575
28.500000	75.650	178.2081
29.000000	74.615	-175.4128
29.500000	74.641	-167.7024
30.000000	75.273	-163.7970
30.400000	75.713	-163.4784
30.700001	75.936	-164.0331
31.100000	76.128	-165.0422
31.500000	76.248	-166.1429
32.000000	76.314	-167.6513
32.500000	76.280	-168.9931
33.000000	76.211	-169.6507
33.500000	76.218	-169.7610
34.000000	76.321	-170.0933
34.500000	76.415	-171.0009
35.000000	76.419	-171.9680
35.500000	76.374	-172.3194
36.000000	76.376	-172.1126
36.500000	76.444	-171.9434
37.000000	76.497	-172.1421
37.500000	76.472	-172.3958
38.200001	76.369	-171.9713
38.700001	76.368	-171.1967
39.500000	76.530	-170.8963
40.000000	76.593	-171.8439
40.599998	76.500	-173.3813
41.200001	76.324	-174.0949
41.799999	76.325	-174.4015
42.500000	76.546	-176.9210
43.099998	76.491	178.5937
43.700001	75.969	175.2574
44.400002	75.206	176.6651
45.000000	75.158	-179.3056
45.500000	75.547	-177.2486
46.200001	76.085	-177.5784
46.799999	76.290	-178.7542
47.500000	76.401	-179.3651
48.200001	76.481	-179.6517
48.700001	76.486	-179.7825
49.400002	76.435	-179.5341
50.000000	76.405	-179.1038
50.799999	76.388	-178.9025
51.500000	76.344	-179.0485
52.200001	76.302	-179.2680
53.000000	76.298	-179.7595
53.799999	76.306	179.4352
54.500000	76.299	178.7674
55.200001	76.303	178.3761
56.000000	76.359	178.1213
57.000000	76.455	177.6437
58.000000	76.508	177.0571
59.000000	76.494	176.1104
60.000000	76.318	175.2519
60.799999	76.149	175.3768
61.500000	76.081	175.8215
62.200001	76.097	176.1891
63.000000	76.193	176.2521
64.000000	76.319	175.5311
65.000000	76.349	175.1043
66.000000	76.498	175.2665
67.000000	76.621	174.1716
68.000000	76.459	173.5508
69.000000	76.354	174.3071
70.000000	76.364	174.2546
71.000000	76.296	173.6406
72.000000	76.232	173.1448
73.000000	76.196	172.5324
74.000000	76.174	172.0385
75.000000	76.183	171.7498
76.199997	76.210	171.7349
77.500000	76.310	172.0920
78.800003	76.429	171.4096
80.000000	76.300	170.3635
81.199997	76.096	170.6515
82.500000	76.088	171.1759
83.800003	76.159	170.7963
85.000000	76.215	170.2559
86.199997	76.253	169.5723
87.500000	76.205	168.8898
88.500000	76.137	168.6944
90.000000	76.059	168.4890
91.199997	76.007	168.1257
92.500000	75.962	167.5604
93.800003	75.945	166.9922
95.000000	75.971	166.4871
96.199997	76.007	165.9250
97.500000	75.998	165.4960
98.800003	75.966	165.5881
100.000000	75.971	165.7340
101.500000	75.966	165.2948
103.000000	75.900	164.4913
104.400002	75.857	163.9268
106.000000	75.884	163.4235
107.500000	75.924	163.5651
109.000000	76.016	164.3405
110.599998	76.100	164.7945
112.000000	76.046	164.4053
113.800003	75.849	163.3121
115.000000	75.778	162.2129
117.199997	75.995	159.4628
118.000000	76.166	158.0588
120.599998	76.082	154.2836
122.000000	75.777	156.2157
124.099998	75.682	159.4979
125.000000	75.679	160.0550
126.500000	75.647	160.0448
128.000000	75.607	159.4930
131.500000	75.624	158.4425
132.000000	75.631	158.3853
134.000000	75.636	158.2090
136.000000	75.597	158.0806
138.000000	75.560	158.0039
140.000000	75.541	157.9303
143.000000	75.512	157.4340
145.000000	75.472	156.8756
147.500000	75.449	156.1139
150.000000	75.420	155.3650
152.500000	75.361	155.0246
155.000000	75.346	154.9467
157.500000	75.366	154.4798
160.000000	75.339	153.6398
162.500000	75.281	152.8775
165.000000	75.242	152.4673
167.500000	75.243	152.3568
170.000000	75.234	152.1459
172.500000	75.192	151.7513
175.000000	75.162	151.2687
177.500000	75.152	150.8212
180.000000	75.113	150.4113
182.500000	75.023	150.0711
185.000000	74.941	149.6418
187.500000	74.887	149.0833
190.000000	74.849	148.5576
192.500000	74.805	148.0896
195.000000	74.780	147.6039
197.500000	74.772	147.0972
200.000000	74.750	146.7988
203.000000	74.699	146.6426
206.000000	74.642	146.4093
209.000000	74.603	146.0373
212.000000	74.568	145.6243
214.000000	74.560	145.3869
218.000000	74.545	144.9340
220.000000	74.516	144.7384
224.000000	74.433	144.1263
227.000000	74.400	143.6985
230.000000	74.376	143.3686
233.000000	74.291	142.8715
236.000000	74.168	142.3098
240.000000	74.059	141.7675
243.000000	74.026	141.5472
247.000000	74.004	141.0940
250.000000	73.990	140.6199
254.000000	73.989	140.3170
258.000000	73.961	140.1773
262.000000	73.844	139.5544
265.000000	73.740	138.9047
269.000000	73.640	138.2185
272.000000	73.593	138.0270
276.000000	73.547	137.9646
280.000000	73.470	137.6841
285.000000	73.325	137.3767
290.000000	73.229	137.0015
295.000000	73.223	136.3610
300.000000	73.182	135.9900
304.000000	73.131	135.7540
307.000000	73.066	135.4327
311.000000	72.938	135.0333
315.000000	72.822	134.7417
320.000000	72.720	134.3202
325.000000	72.654	133.8917
330.000000	72.584	133.8040
335.000000	72.443	133.7655
340.000000	72.320	133.4464
345.000000	72.227	133.1652
350.000000	72.130	133.1275
355.000000	72.012	133.0360
360.000000	71.859	132.8696
365.000000	71.713	132.7728
370.000000	71.578	132.9447
375.000000	71.438	133.2291
382.000000	71.273	133.9856
387.000000	71.183	134.7598
395.000000	71.126	135.7371
400.000000	71.112	136.0145
406.000000	71.113	136.3470
412.000000	71.143	136.6355
418.000000	71.167	136.7234
425.000000	71.133	136.9584
431.000000	71.081	136.9902
437.000000	71.032	136.8235
444.000000	70.950	137.0233
450.000000	70.905	137.3849
455.000000	70.860	137.5396
462.000000	70.787	137.5421
468.000000	70.731	137.6118
475.000000	70.680	137.7819
482.000000	70.649	137.9064
487.000000	70.629	138.0632
494.000000	70.583	138.4514
500.000000	70.543	138.9607
508.000000	70.490	139.5999
515.000000	70.417	140.0902
522.000000	70.354	140.5081
530.000000	70.315	141.1249
538.000000	70.289	141.8775
545.000000	70.270	142.4603
552.000000	70.232	143.0430
560.000000	70.165	143.7929
