* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 11 오후 1:46:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: f_r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.607	-157.8938
20.600000	76.609	-158.1113
20.900000	76.611	-158.4831
21.200001	76.614	-158.7958
21.400000	76.616	-158.9811
21.799999	76.625	-159.3485
22.000000	76.630	-159.5523
22.400000	76.646	-160.0214
22.700001	76.662	-160.4334
23.000000	76.681	-160.8919
23.299999	76.695	-161.3743
23.600000	76.702	-161.8579
24.000000	76.706	-162.4764
24.299999	76.710	-162.9144
24.700001	76.715	-163.4735
25.000000	76.718	-163.8803
25.400000	76.717	-164.3971
25.799999	76.716	-164.8531
26.200001	76.719	-165.2256
26.500000	76.726	-165.4627
26.900000	76.743	-165.7668
27.200001	76.759	-166.0212
27.600000	76.776	-166.4172
28.000000	76.782	-166.8538
28.500000	76.771	-167.3757
29.000000	76.756	-167.8261
29.500000	76.752	-168.2602
30.000000	76.752	-168.7545
30.400000	76.745	-169.1901
30.700001	76.738	-169.5160
31.100000	76.731	-169.9189
31.500000	76.727	-170.2781
32.000000	76.728	-170.6851
32.500000	76.737	-171.0648
33.000000	76.754	-171.4095
33.500000	76.779	-171.7221
34.000000	76.815	-172.0598
34.500000	76.856	-172.4948
35.000000	76.891	-173.0362
35.500000	76.907	-173.6161
36.000000	76.906	-174.1481
36.500000	76.893	-174.5850
37.000000	76.878	-174.9245
37.500000	76.867	-175.1961
38.200001	76.875	-175.5680
38.700001	76.895	-175.9066
39.500000	76.906	-176.5912
40.000000	76.886	-177.0119
40.599998	76.842	-177.3984
41.200001	76.791	-177.6207
41.799999	76.752	-177.7251
42.500000	76.741	-177.8321
43.099998	76.760	-178.0392
43.700001	76.787	-178.3965
44.400002	76.810	-178.9345
45.000000	76.815	-179.4222
45.500000	76.811	-179.8196
46.200001	76.796	179.6697
46.799999	76.782	179.3014
47.500000	76.777	178.9311
48.200001	76.785	178.5660
48.700001	76.789	178.2988
49.400002	76.778	177.9462
50.000000	76.754	177.7094
50.799999	76.720	177.5300
51.500000	76.704	177.4072
52.200001	76.701	177.1636
53.000000	76.693	176.7544
53.799999	76.682	176.3371
54.500000	76.675	175.9345
55.200001	76.664	175.4913
56.000000	76.649	175.0499
57.000000	76.654	174.5580
58.000000	76.654	174.0184
59.000000	76.640	173.6824
60.000000	76.664	173.4775
60.799999	76.689	173.1317
61.500000	76.681	172.8085
62.200001	76.660	172.6394
63.000000	76.653	172.4772
64.000000	76.638	172.0089
65.000000	76.594	171.5099
66.000000	76.558	171.0863
67.000000	76.538	170.7239
68.000000	76.552	170.3213
69.000000	76.558	169.7605
70.000000	76.541	169.2933
71.000000	76.530	168.9248
72.000000	76.516	168.6251
73.000000	76.508	168.4167
74.000000	76.513	168.1265
75.000000	76.508	167.7189
76.199997	76.476	167.2756
77.500000	76.441	167.0806
78.800003	76.455	166.8749
80.000000	76.459	166.4185
81.199997	76.429	165.9464
82.500000	76.389	165.4877
83.800003	76.364	165.0246
85.000000	76.347	164.5949
86.199997	76.330	164.2303
87.500000	76.315	163.8893
88.500000	76.303	163.6510
90.000000	76.280	163.3164
91.199997	76.260	162.9768
92.500000	76.215	162.5589
93.800003	76.183	162.2243
95.000000	76.168	161.7827
96.199997	76.144	161.3863
97.500000	76.136	161.0765
98.800003	76.144	160.6979
100.000000	76.138	160.2338
101.500000	76.101	159.6932
103.000000	76.075	159.3832
104.400002	76.088	159.0973
106.000000	76.105	158.7168
107.500000	76.120	158.3612
109.000000	76.109	157.7589
110.599998	76.025	157.1243
112.000000	75.954	156.9428
113.800003	75.950	156.8037
115.000000	75.955	156.6367
117.199997	75.914	156.6839
118.000000	75.887	156.8045
120.599998	75.880	156.8841
122.000000	75.877	155.9512
124.099998	75.801	154.6456
125.000000	75.792	154.2818
126.500000	75.801	153.7076
128.000000	75.789	153.1622
131.500000	75.684	152.3225
132.000000	75.669	152.2421
134.000000	75.645	152.0312
136.000000	75.663	151.7875
138.000000	75.661	151.3361
140.000000	75.602	150.7929
143.000000	75.538	150.0110
145.000000	75.510	149.4328
147.500000	75.485	148.9048
150.000000	75.454	148.3869
152.500000	75.416	147.8196
155.000000	75.358	147.3485
157.500000	75.313	146.9690
160.000000	75.269	146.3831
162.500000	75.232	145.7273
165.000000	75.219	145.1116
167.500000	75.202	144.6226
170.000000	75.172	144.3223
172.500000	75.142	143.9669
175.000000	75.115	143.5354
177.500000	75.080	143.1123
180.000000	75.015	142.7042
182.500000	74.937	142.2874
185.000000	74.873	141.8138
187.500000	74.812	141.2991
190.000000	74.739	140.7292
192.500000	74.680	140.1819
195.000000	74.660	139.7485
197.500000	74.658	139.4771
200.000000	74.645	139.2501
203.000000	74.612	138.8711
206.000000	74.576	138.3829
209.000000	74.537	137.7086
212.000000	74.483	136.9979
214.000000	74.448	136.6458
218.000000	74.366	136.2088
220.000000	74.326	136.0088
224.000000	74.254	135.4511
227.000000	74.183	135.0134
230.000000	74.114	134.5370
233.000000	74.070	134.1258
236.000000	74.051	133.8137
240.000000	74.020	133.2241
243.000000	73.987	132.7208
247.000000	73.927	132.2159
250.000000	73.868	131.9220
254.000000	73.790	131.4548
258.000000	73.705	130.9519
262.000000	73.610	130.5020
265.000000	73.544	130.1865
269.000000	73.471	129.6389
272.000000	73.436	129.1571
276.000000	73.407	128.5969
280.000000	73.350	128.1281
285.000000	73.281	127.6049
290.000000	73.223	127.1875
295.000000	73.166	126.6323
300.000000	73.101	126.1949
304.000000	73.022	125.8429
307.000000	72.959	125.4952
311.000000	72.876	125.0315
315.000000	72.792	124.6897
320.000000	72.701	124.3424
325.000000	72.625	123.8298
330.000000	72.521	123.2975
335.000000	72.394	122.8642
340.000000	72.277	122.4602
345.000000	72.164	122.2484
350.000000	72.032	122.2411
355.000000	71.904	122.1336
360.000000	71.764	121.9567
365.000000	71.632	122.1011
370.000000	71.514	122.5430
375.000000	71.401	122.9542
382.000000	71.324	123.4114
387.000000	71.295	123.6994
395.000000	71.267	124.4354
400.000000	71.294	124.9057
406.000000	71.323	125.0975
412.000000	71.330	124.9187
418.000000	71.371	124.7704
425.000000	71.414	124.6017
431.000000	71.402	124.4701
437.000000	71.371	124.3284
444.000000	71.326	124.1714
450.000000	71.310	124.1144
