* Measurement data measured by REW V5.20.5
* Source: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 4. 11 오후 1:41:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4월 11
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.915	-164.4561
20.600000	76.923	-164.6652
20.900000	76.933	-165.0332
21.200001	76.930	-165.3672
21.400000	76.921	-165.5673
21.799999	76.890	-165.9285
22.000000	76.871	-166.0939
22.400000	76.832	-166.3934
22.700001	76.811	-166.5963
23.000000	76.801	-166.7890
23.299999	76.801	-166.9796
23.600000	76.811	-167.1840
24.000000	76.842	-167.5189
24.299999	76.879	-167.8587
24.700001	76.933	-168.4698
25.000000	76.967	-169.0396
25.400000	76.989	-169.8768
25.799999	76.983	-170.6572
26.200001	76.961	-171.2411
26.500000	76.946	-171.5248
26.900000	76.941	-171.7570
27.200001	76.952	-171.9097
27.600000	76.976	-172.1954
28.000000	76.991	-172.6156
28.500000	76.964	-173.1940
29.000000	76.896	-173.5522
29.500000	76.830	-173.5580
30.000000	76.803	-173.3671
30.400000	76.812	-173.2655
30.700001	76.833	-173.2854
31.100000	76.866	-173.4507
31.500000	76.893	-173.7315
32.000000	76.908	-174.1499
32.500000	76.910	-174.5575
33.000000	76.904	-174.8961
33.500000	76.896	-175.1458
34.000000	76.897	-175.3468
34.500000	76.909	-175.5866
35.000000	76.922	-175.9164
35.500000	76.924	-176.3034
36.000000	76.911	-176.6823
36.500000	76.888	-177.0352
37.000000	76.853	-177.3704
37.500000	76.799	-177.6397
38.200001	76.725	-177.7233
38.700001	76.714	-177.5969
39.500000	76.782	-177.6705
40.000000	76.828	-178.1275
40.599998	76.832	-178.9119
41.200001	76.782	-179.5466
41.799999	76.727	-179.8759
42.500000	76.709	179.9239
